
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.051671,0.0561,-0.0666,-0.9380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.070422,0.0561,-0.0666,-0.9380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080268,0.0561,-0.0666,-0.9380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.087073,0.0561,-0.0666,-0.9380,0.0000,0.0000,0.0000,-41.2125,10.3875,-10.8750,
0.089069,0.0561,-0.0666,-0.9380,0.0000,0.0000,0.0000,-41.2125,10.3875,-10.8750,
0.093534,0.0561,-0.0666,-0.9380,-0.0117,-0.0025,0.0019,-41.2125,10.3875,-10.8750,
0.108667,0.0561,-0.0666,-0.9380,-0.0117,-0.0025,0.0019,-41.2125,10.3875,-10.8750,
0.128444,0.0237,-0.2914,-0.0536,-0.0117,-0.0025,0.0019,-41.2125,10.3875,-10.8750,
0.142003,0.0237,-0.2914,-0.0536,-0.0117,-0.0025,0.0019,-41.2125,10.3875,-10.8750,
0.148002,0.0151,-0.2894,-0.0327,-0.0117,-0.0025,0.0019,-41.2125,10.3875,-10.8750,
0.150749,0.0151,-0.2894,-0.0327,-0.0117,-0.0025,0.0019,-42.0563,10.0875,-11.9813,
0.155955,0.0151,-0.2894,-0.0327,-0.0067,0.0025,-0.0054,-42.0563,10.0875,-11.9813,
0.166250,0.0071,-0.2679,-0.0086,-0.0067,0.0025,-0.0054,-42.0563,10.0875,-11.9813,
0.185084,-0.0022,-0.2393,-0.0274,-0.0067,0.0025,-0.0054,-42.0563,10.0875,-11.9813,
0.203700,-0.0022,-0.2393,-0.0274,-0.0067,0.0025,-0.0054,-42.0563,10.0875,-11.9813,
0.204962,0.0075,-0.2560,0.0251,-0.0067,0.0025,-0.0054,-42.0563,10.0875,-11.9813,
0.206651,0.0075,-0.2560,0.0251,-0.0067,0.0025,-0.0054,-41.9813,10.3875,-12.1875,
0.218778,0.0075,-0.2560,0.0251,0.0030,0.0048,0.0008,-41.9813,10.3875,-12.1875,
0.225855,0.0124,-0.3011,0.0207,0.0030,0.0048,0.0008,-41.9813,10.3875,-12.1875,
0.242284,0.0096,-0.2720,-0.0219,0.0030,0.0048,0.0008,-41.9813,10.3875,-12.1875,
0.262146,0.0186,-0.2458,-0.0526,0.0030,0.0048,0.0008,-41.9813,10.3875,-12.1875,
0.268575,0.0186,-0.2458,-0.0526,0.0030,0.0048,0.0008,-41.9813,10.3875,-12.1875,
0.269472,0.0186,-0.2458,-0.0526,0.0030,0.0048,0.0008,-42.2812,10.4813,-11.8688,
0.280065,0.0186,-0.2458,-0.0526,-0.0067,-0.0073,-0.0016,-42.2812,10.4813,-11.8688,
0.281483,0.0063,-0.2508,-0.0319,-0.0067,-0.0073,-0.0016,-42.2812,10.4813,-11.8688,
0.300038,0.0181,-0.2724,-0.0346,-0.0067,-0.0073,-0.0016,-42.2812,10.4813,-11.8688,
0.319674,0.0057,-0.2984,-0.0481,-0.0067,-0.0073,-0.0016,-42.2812,10.4813,-11.8688,
0.329214,0.0057,-0.2984,-0.0481,-0.0067,-0.0073,-0.0016,-41.8875,10.4625,-11.7750,
0.330092,0.0057,-0.2984,-0.0481,-0.0067,-0.0073,-0.0016,-41.8875,10.4625,-11.7750,
0.338346,-0.0047,-0.2670,-0.0279,-0.0067,-0.0073,-0.0016,-41.8875,10.4625,-11.7750,
0.342108,-0.0047,-0.2670,-0.0279,0.0030,-0.0037,-0.0054,-41.8875,10.4625,-11.7750,
0.358258,-0.0173,-0.2478,-0.0358,0.0030,-0.0037,-0.0054,-41.8875,10.4625,-11.7750,
0.378312,0.0008,-0.2095,-0.0259,0.0030,-0.0037,-0.0054,-41.8875,10.4625,-11.7750,
0.387872,0.0008,-0.2095,-0.0259,0.0030,-0.0037,-0.0054,-41.8688,10.3688,-11.9813,
