
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048152,-0.2291,0.0628,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067465,-0.2291,0.0628,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.081581,-0.2291,0.0628,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.090290,-0.2291,0.0628,0.0114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093004,-0.2291,0.0628,0.0114,0.0000,0.0000,0.0000,-42.9000,15.7313,-3.0563,
0.096236,-0.2291,0.0628,0.0114,-0.0235,-0.0230,-0.0077,-42.9000,15.7313,-3.0563,
0.105574,-0.2291,0.0628,0.0114,-0.0235,-0.0230,-0.0077,-42.9000,15.7313,-3.0563,
0.125459,0.0460,-0.3107,-0.0948,-0.0235,-0.0230,-0.0077,-42.9000,15.7313,-3.0563,
0.144196,0.0460,-0.3107,-0.0948,-0.0235,-0.0230,-0.0077,-42.9000,15.7313,-3.0563,
0.146846,0.0305,-0.2582,-0.0107,-0.0235,-0.0230,-0.0077,-42.9000,15.7313,-3.0563,
0.150088,0.0305,-0.2582,-0.0107,-0.0235,-0.0230,-0.0077,-43.3875,16.0312,-2.8313,
0.152817,0.0305,-0.2582,-0.0107,-0.0040,-0.0157,-0.0003,-43.3875,16.0312,-2.8313,
0.163936,0.0681,-0.3079,0.0191,-0.0040,-0.0157,-0.0003,-43.3875,16.0312,-2.8313,
0.182130,0.0840,-0.3170,0.0346,-0.0040,-0.0157,-0.0003,-43.3875,16.0312,-2.8313,
0.202065,0.0540,-0.2762,0.0131,-0.0040,-0.0157,-0.0003,-43.3875,16.0312,-2.8313,
0.206507,0.0540,-0.2762,0.0131,-0.0040,-0.0157,-0.0003,-43.3875,16.0312,-2.8313,
0.212756,0.0540,-0.2762,0.0131,-0.0040,-0.0157,-0.0003,-42.6938,15.6188,-2.8500,
0.215741,0.0540,-0.2762,0.0131,-0.0150,-0.0120,-0.0088,-42.6938,15.6188,-2.8500,
0.221894,0.0025,-0.2572,0.0160,-0.0150,-0.0120,-0.0088,-42.6938,15.6188,-2.8500,
0.240881,0.0161,-0.2859,0.0065,-0.0150,-0.0120,-0.0088,-42.6938,15.6188,-2.8500,
0.259270,0.0151,-0.2838,-0.0023,-0.0150,-0.0120,-0.0088,-42.6938,15.6188,-2.8500,
0.268058,0.0151,-0.2838,-0.0023,-0.0150,-0.0120,-0.0088,-42.6938,15.6188,-2.8500,
0.269559,0.0151,-0.2838,-0.0023,-0.0150,-0.0120,-0.0088,-43.0875,15.7125,-2.5312,
0.277872,0.0151,-0.2838,-0.0023,-0.0187,-0.0120,-0.0100,-43.0875,15.7125,-2.5312,
