
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.054788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055239,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.087993,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-41.6874,12.3098,-12.3342,
0.098639,0.0000,0.0000,0.0000,0.0089,0.0784,-0.0081,-41.6874,12.3098,-12.3342,
0.107656,0.0000,0.0000,0.0000,0.0089,0.0784,-0.0081,-41.6874,12.3098,-12.3342,
0.115293,0.0000,0.0000,0.0000,0.0089,0.0784,-0.0081,-41.6874,12.3098,-12.3342,
0.116262,0.0000,0.0000,0.0000,0.0089,0.0784,-0.0081,-41.6874,12.3098,-12.3342,
0.147046,0.0000,0.0000,0.0000,0.0089,0.0784,-0.0081,-41.8338,12.2488,-12.1268,
0.166993,0.0000,0.0000,0.0000,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.177701,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.182048,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.182942,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.183628,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.184315,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.8338,12.2488,-12.1268,
0.201404,-0.0347,0.1251,0.0044,0.0369,0.1782,-0.0165,-41.7484,12.1756,-12.3220,
0.237467,-0.0347,0.1251,0.0044,-0.0123,0.2023,0.0097,-41.7484,12.1756,-12.3220,
0.247134,-0.0419,0.0070,0.2077,-0.0123,0.2023,0.0097,-41.7484,12.1756,-12.3220,
0.248531,-0.0419,0.0070,0.2077,-0.0123,0.2023,0.0097,-41.7484,12.1756,-12.3220,
0.249343,-0.0419,0.0070,0.2077,-0.0123,0.2023,0.0097,-41.7484,12.1756,-12.3220,
0.250213,-0.0419,0.0070,0.2077,-0.0123,0.2023,0.0097,-41.7484,12.1756,-12.3220,
0.266781,-0.0419,0.0070,0.2077,-0.0123,0.2023,0.0097,-41.6386,12.1878,-12.6270,
0.307938,-0.0419,0.0070,0.2077,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.317101,-0.0419,0.0070,0.2077,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.318409,-0.0419,0.0070,0.2077,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.319271,-0.0419,0.0070,0.2077,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.320087,-0.2993,0.4347,0.4833,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.321159,-0.2993,0.4347,0.4833,-0.1036,0.1975,-0.0225,-41.6386,12.1878,-12.6270,
0.326575,-0.2993,0.4347,0.4833,-0.1036,0.1975,-0.0225,-41.5654,12.1512,-12.8344,
