
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.043914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.050528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.083600,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,0.0000,0.0000,0.0000,
0.085793,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,-51.4596,1.4762,2.9768,
0.094498,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,-51.4596,1.4762,2.9768,
0.099324,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,-51.4596,1.4762,2.9768,
0.100389,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,-51.4596,1.4762,2.9768,
0.144691,0.0000,0.0000,0.0000,-0.0927,0.0967,-0.0503,-51.8622,1.8422,2.4400,
0.155291,0.0000,0.0000,0.0000,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.165581,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.167276,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.168208,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.169059,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.170053,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-51.8622,1.8422,2.4400,
0.204120,0.0611,-0.1264,0.0328,-0.1043,0.0023,-0.0047,-52.0208,1.9764,2.1960,
0.222673,0.0611,-0.1264,0.0328,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.1960,
0.233369,-0.0001,0.0581,0.0277,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.1960,
0.234985,-0.0001,0.0581,0.0277,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.1960,
0.235880,-0.0001,0.0581,0.0277,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.1960,
0.236721,-0.0001,0.0581,0.0277,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.1960,
0.263568,-0.0001,0.0581,0.0277,-0.0490,-0.0782,0.0009,-52.0208,1.9764,2.2814,
0.292477,-0.0001,0.0581,0.0277,-0.0380,-0.0897,-0.0178,-52.0208,1.9764,2.2814,
0.298958,-0.0001,0.0581,0.0277,-0.0380,-0.0897,-0.0178,-52.0208,1.9764,2.2814,
0.300144,-0.0001,0.0581,0.0277,-0.0380,-0.0897,-0.0178,-52.0208,1.9764,2.2814,
0.301140,-0.0001,0.0581,0.0277,-0.0380,-0.0897,-0.0178,-52.0208,1.9764,2.2814,
0.302305,0.0530,-0.0842,0.1539,-0.0380,-0.0897,-0.0178,-52.0208,1.9764,2.2814,
0.322479,0.0530,-0.0842,0.1539,-0.0380,-0.0897,-0.0178,-52.0452,1.9886,2.3302,
0.362363,0.0530,-0.0842,0.1539,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.365670,0.0530,-0.0842,0.1539,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.366913,0.0530,-0.0842,0.1539,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.367924,0.0530,-0.0842,0.1539,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.368944,0.0530,-0.0842,0.1539,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.371976,0.1563,0.0638,0.1210,-0.0328,-0.0687,-0.0168,-52.0452,1.9886,2.3302,
0.382105,0.1563,0.0638,0.1210,-0.0328,-0.0687,-0.0168,-52.0696,1.9520,2.4034,
0.434775,0.1563,0.0638,0.1210,-0.0766,0.0032,-0.0214,-52.0696,1.9520,2.4034,
0.436520,0.1563,0.0638,0.1210,-0.0766,0.0032,-0.0214,-52.0696,1.9520,2.4034,
0.437456,0.1563,0.0638,0.1210,-0.0766,0.0032,-0.0214,-52.0696,1.9520,2.4034,
0.438598,0.1563,0.0638,0.1210,-0.0766,0.0032,-0.0214,-52.0696,1.9520,2.4034,
0.443238,0.1563,0.0638,0.1210,-0.0766,0.0032,-0.0214,-52.0696,1.8422,2.5620,
