
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.033753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.8468,17.4948,2.4156,
0.078924,0.0000,0.0000,0.0000,-0.0598,0.0403,-0.0170,-43.8468,17.4948,2.4156,
0.092657,0.0000,0.0000,0.0000,-0.0598,0.0403,-0.0170,-43.8468,17.4948,2.4156,
0.093956,0.0000,0.0000,0.0000,-0.0598,0.0403,-0.0170,-43.8468,17.4948,2.4156,
0.095054,0.0000,0.0000,0.0000,-0.0598,0.0403,-0.0170,-43.8468,17.4948,2.4156,
0.106221,0.0000,0.0000,0.0000,-0.0598,0.0403,-0.0170,-43.9322,17.3118,2.2570,
0.148806,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-43.9322,17.3118,2.2570,
0.157073,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.158500,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.159644,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.160526,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.161374,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.162242,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1274,17.2142,2.0618,
0.206278,0.0000,0.0000,0.0000,-0.0309,0.0280,-0.0209,-44.1640,17.1288,2.0496,
0.223378,0.0000,0.0000,0.0000,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.228004,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.239890,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.241094,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.242016,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.243133,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1640,17.1288,2.0496,
0.259429,-0.0180,-0.0176,-0.0092,-0.0419,0.0277,-0.0188,-44.1518,17.0678,2.0374,
0.288340,-0.0180,-0.0176,-0.0092,-0.0443,0.0127,-0.0141,-44.1518,17.0678,2.0374,
0.292089,-0.0180,-0.0176,-0.0092,-0.0443,0.0127,-0.0141,-44.1518,17.0678,2.0374,
0.293138,-0.0180,-0.0176,-0.0092,-0.0443,0.0127,-0.0141,-44.1518,17.0678,2.0374,
0.297644,-0.0115,0.0269,0.0062,-0.0443,0.0127,-0.0141,-44.1518,17.0678,2.0374,
0.317572,-0.0115,0.0269,0.0062,-0.0443,0.0127,-0.0141,-44.1762,17.0190,2.0496,
0.358686,-0.0115,0.0269,0.0062,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.360315,-0.0115,0.0269,0.0062,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.361058,-0.0115,0.0269,0.0062,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.361747,-0.0115,0.0269,0.0062,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.362444,-0.0115,0.0269,0.0062,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.367684,-0.0043,0.0749,0.0172,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0496,
0.377920,-0.0043,0.0749,0.0172,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0252,
0.427225,-0.0043,0.0749,0.0172,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0252,
0.428475,-0.0043,0.0749,0.0172,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0252,
0.429188,-0.0043,0.0749,0.0172,-0.0603,0.0248,0.0410,-44.1762,17.0190,2.0252,
0.429927,-0.0043,0.0749,0.0172,-0.0256,-0.0003,-0.0212,-44.1762,17.0190,2.0252,
0.438522,-0.0043,0.0749,0.0172,-0.0256,-0.0003,-0.0212,-44.2250,17.0434,2.0374,
