
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.048451,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.3438,25.0344,-10.6506,
0.104975,0.0000,0.0000,0.0000,-0.0053,-0.1551,0.0246,-36.3438,25.0344,-10.6506,
0.112049,0.0000,0.0000,0.0000,-0.0053,-0.1551,0.0246,-36.3438,25.0344,-10.6506,
0.112958,0.0000,0.0000,0.0000,-0.0053,-0.1551,0.0246,-36.3438,25.0344,-10.6506,
0.113732,0.0000,0.0000,0.0000,-0.0053,-0.1551,0.0246,-36.3438,25.0344,-10.6506,
0.154005,0.0000,0.0000,0.0000,-0.0053,-0.1551,0.0246,-36.3316,25.0344,-10.5042,
0.173928,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.3316,25.0344,-10.5042,
0.175208,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.3316,25.0344,-10.5042,
0.178842,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.3316,25.0344,-10.5042,
0.179780,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.3316,25.0344,-10.5042,
0.180580,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.3316,25.0344,-10.5042,
0.215025,0.0000,0.0000,0.0000,0.0023,-0.0475,-0.0162,-36.4170,25.1686,-10.6262,
0.243682,0.0000,0.0000,0.0000,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.245159,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.246013,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.246794,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.247639,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.248407,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4170,25.1686,-10.6262,
0.284208,-0.0151,0.0043,0.0186,-0.0486,-0.0035,0.0076,-36.4414,25.3638,-10.8336,
0.314155,-0.0151,0.0043,0.0186,-0.0341,0.0298,0.0040,-36.4414,25.3638,-10.8336,
0.315598,-0.0151,0.0043,0.0186,-0.0341,0.0298,0.0040,-36.4414,25.3638,-10.8336,
0.316334,-0.0151,0.0043,0.0186,-0.0341,0.0298,0.0040,-36.4414,25.3638,-10.8336,
0.316968,-0.0151,0.0043,0.0186,-0.0341,0.0298,0.0040,-36.4414,25.3638,-10.8336,
0.317674,-0.0175,-0.0165,0.0027,-0.0341,0.0298,0.0040,-36.4414,25.3638,-10.8336,
0.343136,-0.0175,-0.0165,0.0027,-0.0341,0.0298,0.0040,-36.3804,25.4492,-10.9434,
0.380150,-0.0175,-0.0165,0.0027,-0.0341,0.0298,0.0040,-36.3804,25.4492,-10.9434,
0.381276,-0.0175,-0.0165,0.0027,-0.0341,0.0298,0.0040,-36.3804,25.4492,-10.9434,
