
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.047307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.082259,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,0.0000,0.0000,0.0000,
0.083315,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,-45.1034,20.9474,-4.8190,
0.104141,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,-45.1034,20.9474,-4.8190,
0.105056,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,-45.1034,20.9474,-4.8190,
0.105587,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,-45.1034,20.9474,-4.8190,
0.143655,0.0000,0.0000,0.0000,0.0073,0.0020,0.0069,-44.9448,21.0572,-5.1972,
0.152932,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.163445,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.171138,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.172100,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.172922,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.173622,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.9448,21.0572,-5.1972,
0.202945,0.0000,0.0000,0.0000,-0.0009,0.0132,0.0116,-44.8716,21.0328,-5.1972,
0.224358,0.0000,0.0000,0.0000,0.0254,0.0398,0.0261,-44.8716,21.0328,-5.1972,
0.234343,-0.0375,-0.0670,0.0157,0.0254,0.0398,0.0261,-44.8716,21.0328,-5.1972,
0.237999,-0.0375,-0.0670,0.0157,0.0254,0.0398,0.0261,-44.8716,21.0328,-5.1972,
0.238601,-0.0375,-0.0670,0.0157,0.0254,0.0398,0.0261,-44.8716,21.0328,-5.1972,
0.239058,-0.0375,-0.0670,0.0157,0.0254,0.0398,0.0261,-44.8716,21.0328,-5.1972,
0.262879,-0.0375,-0.0670,0.0157,0.0254,0.0398,0.0261,-44.9326,21.0572,-5.3314,
0.294244,-0.0375,-0.0670,0.0157,-0.0157,0.1140,0.0008,-44.9326,21.0572,-5.3314,
0.302087,0.1225,0.0449,0.0875,-0.0157,0.1140,0.0008,-44.9326,21.0572,-5.3314,
0.304095,0.1225,0.0449,0.0875,-0.0157,0.1140,0.0008,-44.9326,21.0572,-5.3314,
0.305104,0.1225,0.0449,0.0875,-0.0157,0.1140,0.0008,-44.9326,21.0572,-5.3314,
0.305847,0.1225,0.0449,0.0875,-0.0157,0.1140,0.0008,-44.9326,21.0572,-5.3314,
0.322889,0.1225,0.0449,0.0875,-0.0157,0.1140,0.0008,-44.9326,21.0938,-5.4778,
0.362576,0.1225,0.0449,0.0875,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.376421,0.1225,0.0449,0.0875,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.377780,0.1225,0.0449,0.0875,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.378659,0.1225,0.0449,0.0875,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.379543,0.1225,0.0449,0.0875,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.380391,-0.0502,0.0682,0.0171,-0.0324,0.0350,-0.0025,-44.9326,21.0938,-5.4778,
0.381753,-0.0502,0.0682,0.0171,-0.0324,0.0350,-0.0025,-44.9448,21.1548,-5.5632,
0.433000,-0.0502,0.0682,0.0171,-0.0901,-0.0360,0.0001,-44.9448,21.1548,-5.5632,
0.436639,-0.0502,0.0682,0.0171,-0.0901,-0.0360,0.0001,-44.9448,21.1548,-5.5632,
0.437568,-0.0502,0.0682,0.0171,-0.0901,-0.0360,0.0001,-44.9448,21.1548,-5.5632,
0.438339,-0.0502,0.0682,0.0171,-0.0901,-0.0360,0.0001,-44.9448,21.1548,-5.5632,
0.442212,-0.0502,0.0682,0.0171,-0.0901,-0.0360,0.0001,-44.9570,21.1060,-5.5998,
0.443378,-0.2326,-0.0185,-0.1912,-0.0901,-0.0360,0.0001,-44.9570,21.1060,-5.5998,
