
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.055137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.7370,16.5554,7.5640,
0.081425,0.0000,0.0000,0.0000,-0.0153,-0.0047,-0.0003,-43.7370,16.5554,7.5640,
0.099361,0.0000,0.0000,0.0000,-0.0153,-0.0047,-0.0003,-43.7370,16.5554,7.5640,
0.100952,0.0000,0.0000,0.0000,-0.0153,-0.0047,-0.0003,-43.7370,16.5554,7.5640,
0.102045,0.0000,0.0000,0.0000,-0.0153,-0.0047,-0.0003,-43.7370,16.5554,7.5640,
0.103535,0.0000,0.0000,0.0000,-0.0153,-0.0047,-0.0003,-43.5296,16.5432,7.5152,
0.150245,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.5432,7.5152,
0.152116,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.6164,7.4298,
0.159644,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.6164,7.4298,
0.165572,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.6164,7.4298,
0.166392,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.6164,7.4298,
0.167046,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.5296,16.6164,7.4298,
0.204541,0.0000,0.0000,0.0000,0.0262,0.0047,-0.0077,-43.6760,16.7262,7.3688,
0.219638,0.0000,0.0000,0.0000,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.229045,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.232753,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.233579,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.234222,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.234866,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.6760,16.7262,7.3688,
0.255071,0.0079,0.0102,0.0041,0.0109,0.0012,-0.0016,-43.7004,16.7140,7.2834,
0.288546,0.0079,0.0102,0.0041,0.0220,-0.0017,-0.0012,-43.7004,16.7140,7.2834,
0.299458,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7004,16.7140,7.2834,
0.301194,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7004,16.7140,7.2834,
0.302018,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7004,16.7140,7.2834,
0.302847,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7004,16.7140,7.2834,
0.303718,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7370,16.7506,7.3078,
0.354450,0.0171,-0.0002,0.0007,0.0220,-0.0017,-0.0012,-43.7370,16.7506,7.4054,
0.358647,0.0171,-0.0002,0.0007,-0.0073,0.0024,-0.0044,-43.7370,16.7506,7.4054,
0.368937,0.0171,-0.0002,0.0007,-0.0073,0.0024,-0.0044,-43.7370,16.7506,7.4054,
0.370005,0.0171,-0.0002,0.0007,-0.0073,0.0024,-0.0044,-43.7370,16.7506,7.4054,
0.370772,0.0171,-0.0002,0.0007,-0.0073,0.0024,-0.0044,-43.7370,16.7506,7.4054,
0.371596,-0.0079,-0.0103,-0.0047,-0.0073,0.0024,-0.0044,-43.7370,16.7506,7.4054,
0.403932,-0.0079,-0.0103,-0.0047,-0.0073,0.0024,-0.0044,-43.7248,16.6530,7.5518,
0.430685,-0.0079,-0.0103,-0.0047,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.432103,-0.0079,-0.0103,-0.0047,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.432902,-0.0079,-0.0103,-0.0047,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.433581,-0.0079,-0.0103,-0.0047,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.434220,-0.0079,-0.0103,-0.0047,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.439560,0.0125,-0.0179,0.0225,0.0182,0.0136,-0.0025,-43.7248,16.6530,7.5518,
0.452646,0.0125,-0.0179,0.0225,0.0182,0.0136,-0.0025,-43.7004,16.5676,7.6006,
0.498456,0.0125,-0.0179,0.0225,-0.0088,0.0220,-0.0028,-43.7004,16.5676,7.6006,
0.499872,0.0125,-0.0179,0.0225,-0.0088,0.0220,-0.0028,-43.7004,16.5676,7.6006,
0.501084,0.0125,-0.0179,0.0225,-0.0088,0.0220,-0.0028,-43.7004,16.5676,7.6006,
0.501937,0.0125,-0.0179,0.0225,-0.0088,0.0220,-0.0028,-43.7004,16.5676,7.6006,
0.502845,0.0125,-0.0179,0.0225,-0.0088,0.0220,-0.0028,-43.6882,16.6042,7.6860,
0.508992,0.0282,0.0332,0.0351,-0.0088,0.0220,-0.0028,-43.6882,16.6042,7.6860,
0.553407,0.0282,0.0332,0.0351,-0.0088,0.0220,-0.0028,-43.6638,16.4822,7.8324,
0.569284,0.0282,0.0332,0.0351,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.570810,0.0282,0.0332,0.0351,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.571980,0.0282,0.0332,0.0351,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.573037,0.0282,0.0332,0.0351,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.573850,0.0282,0.0332,0.0351,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.578419,-0.0029,-0.0142,-0.0062,-0.0202,0.0152,-0.0036,-43.6638,16.4822,7.8324,
0.604662,-0.0029,-0.0142,-0.0062,-0.0202,0.0152,-0.0036,-43.6394,16.4334,7.8690,
0.634135,-0.0029,-0.0142,-0.0062,-0.0202,0.0152,-0.0036,-43.6394,16.4334,7.8690,
0.635438,-0.0029,-0.0142,-0.0062,-0.0202,0.0152,-0.0036,-43.6394,16.4334,7.8690,
0.636270,-0.0029,-0.0142,-0.0062,-0.0202,0.0152,-0.0036,-43.6394,16.4334,7.8690,
