
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080219,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.3828,17.9706,-0.9272,
0.081269,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.3828,17.9706,-0.9272,
0.102452,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.3828,17.9706,-0.9272,
0.103705,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.3828,17.9706,-0.9272,
0.104673,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.3828,17.9706,-0.9272,
0.105450,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.3828,17.9706,-0.9272,
0.138870,0.0000,0.0000,0.0000,-0.0332,0.0473,-0.0234,-42.2364,18.0804,-0.9272,
0.149431,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.2364,18.0804,-0.9272,
0.160806,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.2364,18.0804,-0.9272,
0.168629,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.2364,18.0804,-0.9272,
0.169547,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.2364,18.0804,-0.9272,
0.170164,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.2364,18.0804,-0.9272,
0.198720,0.0000,0.0000,0.0000,0.0015,-0.0365,0.0091,-42.1876,17.9950,-0.8906,
0.217309,0.0000,0.0000,0.0000,-0.0057,-0.0172,-0.0160,-42.1876,17.9950,-0.8906,
0.227714,-0.0241,0.0878,-0.0314,-0.0057,-0.0172,-0.0160,-42.1876,17.9950,-0.8906,
0.233306,-0.0241,0.0878,-0.0314,-0.0057,-0.0172,-0.0160,-42.1876,17.9950,-0.8906,
0.234331,-0.0241,0.0878,-0.0314,-0.0057,-0.0172,-0.0160,-42.1876,17.9950,-0.8906,
0.235309,-0.0241,0.0878,-0.0314,-0.0057,-0.0172,-0.0160,-42.1876,17.9950,-0.8906,
0.256961,-0.0241,0.0878,-0.0314,-0.0057,-0.0172,-0.0160,-42.1754,17.9950,-0.8662,
0.286924,-0.0241,0.0878,-0.0314,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.297163,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.300163,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.301164,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.302107,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.302986,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1754,17.9950,-0.8662,
0.317952,-0.0346,0.0219,0.0225,-0.0265,-0.0193,-0.0277,-42.1022,17.9096,-0.6588,
0.359790,-0.0346,0.0219,0.0225,-0.1266,-0.0028,-0.0268,-42.1022,17.9096,-0.6588,
0.367684,0.0673,0.1599,-0.0729,-0.1266,-0.0028,-0.0268,-42.1022,17.9096,-0.6588,
0.369142,0.0673,0.1599,-0.0729,-0.1266,-0.0028,-0.0268,-42.1022,17.9096,-0.6588,
0.370055,0.0673,0.1599,-0.0729,-0.1266,-0.0028,-0.0268,-42.1022,17.9096,-0.6588,
0.370958,0.0673,0.1599,-0.0729,-0.1266,-0.0028,-0.0268,-42.1022,17.9096,-0.6588,
0.377746,0.0673,0.1599,-0.0729,-0.1266,-0.0028,-0.0268,-42.0778,17.7876,-0.5734,
0.427943,0.0673,0.1599,-0.0729,-0.1410,0.0383,-0.0322,-42.0778,17.7876,-0.5734,
0.433362,0.0673,0.1599,-0.0729,-0.1410,0.0383,-0.0322,-42.0778,17.7876,-0.5734,
0.434284,0.0673,0.1599,-0.0729,-0.1410,0.0383,-0.0322,-42.0778,17.7876,-0.5734,
0.435066,0.0673,0.1599,-0.0729,-0.1410,0.0383,-0.0322,-42.0778,17.7876,-0.5734,
0.436030,0.0673,0.1599,-0.0729,-0.1410,0.0383,-0.0322,-42.0778,17.7388,-0.4514,
0.436990,-0.0019,0.0030,-0.0023,-0.1410,0.0383,-0.0322,-42.0778,17.7388,-0.4514,
0.497827,-0.0019,0.0030,-0.0023,-0.1806,0.0953,-0.0462,-42.0778,17.7388,-0.4514,
