
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.035134,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.059241,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.5170,12.8466,-10.9068,
0.086758,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.5170,12.8466,-10.9068,
0.099150,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.5170,12.8466,-10.9068,
0.100777,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.5170,12.8466,-10.9068,
0.102513,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.5170,12.8466,-10.9068,
0.104035,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.5170,12.8466,-10.9068,
0.108872,0.0000,0.0000,0.0000,-0.0229,-0.0101,-0.0073,-42.6024,12.8954,-11.0654,
0.156256,0.0000,0.0000,0.0000,-0.0256,0.0300,-0.0044,-42.6024,12.8954,-11.0654,
0.160834,0.0000,0.0000,0.0000,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.164477,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.167119,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.168593,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.169970,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.171467,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5780,12.7124,-10.9678,
0.209522,0.0570,0.0237,-0.0323,-0.0256,0.0300,-0.0044,-42.5902,12.6758,-10.8458,
0.225924,0.0570,0.0237,-0.0323,-0.0474,0.0334,0.0053,-42.5902,12.6758,-10.8458,
0.232732,0.0570,0.0237,-0.0323,-0.0474,0.0334,0.0053,-42.5902,12.6758,-10.8458,
0.234366,0.0570,0.0237,-0.0323,-0.0474,0.0334,0.0053,-42.5902,12.6758,-10.8458,
0.235629,0.0570,0.0237,-0.0323,-0.0474,0.0334,0.0053,-42.5902,12.6758,-10.8458,
0.236659,-0.0414,-0.0526,0.0083,-0.0474,0.0334,0.0053,-42.5902,12.6758,-10.8458,
0.260187,-0.0414,-0.0526,0.0083,-0.0474,0.0334,0.0053,-42.5170,12.6514,-10.8092,
0.295816,-0.0414,-0.0526,0.0083,-0.0457,0.0414,-0.0087,-42.5170,12.6514,-10.8092,
0.300861,-0.0414,-0.0526,0.0083,-0.0457,0.0414,-0.0087,-42.5170,12.6514,-10.8092,
0.304156,-0.0414,-0.0526,0.0083,-0.0457,0.0414,-0.0087,-42.5170,12.6514,-10.8092,
0.306865,-0.0414,-0.0526,0.0083,-0.0457,0.0414,-0.0087,-42.5170,12.6514,-10.8092,
0.309684,-0.0151,-0.0089,0.0738,-0.0457,0.0414,-0.0087,-42.5170,12.6514,-10.8092,
0.312096,-0.0151,-0.0089,0.0738,-0.0457,0.0414,-0.0087,-42.5292,12.6636,-10.8336,
0.359730,-0.0151,-0.0089,0.0738,-0.0457,0.0414,-0.0087,-42.5414,12.7368,-10.8946,
0.363396,-0.0151,-0.0089,0.0738,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.366735,-0.0151,-0.0089,0.0738,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.369437,-0.0151,-0.0089,0.0738,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.371295,-0.0151,-0.0089,0.0738,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.373023,-0.0151,-0.0089,0.0738,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.374545,-0.2186,0.0698,0.1243,-0.0754,0.0385,-0.0165,-42.5414,12.7368,-10.8946,
0.411600,-0.2186,0.0698,0.1243,-0.0754,0.0385,-0.0165,-42.5414,12.7002,-10.9068,
0.431361,-0.2186,0.0698,0.1243,-0.0754,0.0385,-0.0165,-42.5414,12.7002,-10.9068,
0.435004,-0.2186,0.0698,0.1243,-0.0754,0.0385,-0.0165,-42.5414,12.7002,-10.9068,
0.437286,-0.2186,0.0698,0.1243,-0.0754,0.0385,-0.0165,-42.5414,12.7002,-10.9068,
0.439641,-0.2186,0.0698,0.1243,-0.1429,-0.0763,-0.0419,-42.5414,12.7002,-10.9068,
0.446994,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5414,12.7002,-10.9068,
0.458943,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5658,12.6270,-10.8092,
0.468415,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5658,12.5416,-10.6628,
0.498568,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5658,12.5416,-10.6628,
0.503839,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5658,12.5416,-10.6628,
0.506998,-0.1530,-0.0302,0.0592,-0.1429,-0.0763,-0.0419,-42.5658,12.5416,-10.6628,
0.509934,-0.1530,-0.0302,0.0592,-0.1037,-0.0684,-0.0225,-42.5658,12.5416,-10.6628,
0.516116,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5416,-10.6628,
0.518662,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5172,-10.5042,
0.565263,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5172,-10.5042,
0.570435,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5172,-10.5042,
0.573408,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5172,-10.5042,
0.576218,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5658,12.5172,-10.5042,
0.579200,-0.0203,-0.0064,0.1156,-0.1037,-0.0684,-0.0225,-42.5536,12.5294,-10.4310,
0.581647,-0.0203,-0.0064,0.1156,-0.1407,-0.0489,-0.0352,-42.5536,12.5294,-10.4310,
0.584317,-0.0476,0.0740,0.0657,-0.1407,-0.0489,-0.0352,-42.5536,12.5294,-10.4310,
0.632679,-0.0476,0.0740,0.0657,-0.1407,-0.0489,-0.0352,-42.5902,12.5660,-10.3700,
0.637374,-0.0476,0.0740,0.0657,-0.1407,-0.0489,-0.0352,-42.5902,12.5660,-10.3700,
0.640415,-0.0476,0.0740,0.0657,-0.1407,-0.0489,-0.0352,-42.5902,12.5660,-10.3700,
0.643342,-0.0476,0.0740,0.0657,-0.1407,-0.0489,-0.0352,-42.5902,12.5660,-10.3700,
0.646605,-0.0476,0.0740,0.0657,-0.1826,-0.0238,-0.0225,-42.5902,12.5660,-10.3700,
0.654307,-0.0637,-0.0652,0.1274,-0.1826,-0.0238,-0.0225,-42.5902,12.5660,-10.3700,
0.694430,-0.0637,-0.0652,0.1274,-0.1826,-0.0238,-0.0225,-42.6024,12.5904,-10.2602,
0.698727,-0.0637,-0.0652,0.1274,-0.1826,-0.0238,-0.0225,-42.6024,12.5904,-10.2602,
0.701075,-0.0637,-0.0652,0.1274,-0.1826,-0.0238,-0.0225,-42.6024,12.5904,-10.2602,
0.703935,-0.0637,-0.0652,0.1274,-0.1826,-0.0238,-0.0225,-42.6024,12.5904,-10.2602,
0.713040,-0.0637,-0.0652,0.1274,-0.1615,0.0170,-0.0320,-42.6024,12.5904,-10.2602,
0.723529,-0.0776,-0.0215,0.1444,-0.1615,0.0170,-0.0320,-42.6024,12.5904,-10.2602,
0.753473,-0.0776,-0.0215,0.1444,-0.1615,0.0170,-0.0320,-42.6390,12.5294,-10.1260,
0.765059,-0.0776,-0.0215,0.1444,-0.1615,0.0170,-0.0320,-42.6390,12.5294,-10.1260,
0.768191,-0.0776,-0.0215,0.1444,-0.1615,0.0170,-0.0320,-42.6390,12.5294,-10.1260,
0.771772,-0.0776,-0.0215,0.1444,-0.1615,0.0170,-0.0320,-42.6390,12.5294,-10.1260,
