time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.040565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.00018182460182728294,non_fall
0.072026,0.0,0.0,0.0,0.0,0.0,0.0,-11.7242,16.3846,41.9558,,0.03146100000000001,0.0,-0.001406017514229026,non_fall
0.081485,0.0,0.0,0.0,-0.0337,-0.0128,-0.019,-11.7242,16.3846,41.9558,,0.009458999999999995,0.0,-0.0025074401969831465,non_fall
0.097905,0.0,0.0,0.0,-0.0337,-0.0128,-0.019,-11.7242,16.3846,41.9558,,0.016420000000000004,0.0,-0.0033840804935052087,non_fall
0.099105,0.0,0.0,0.0,-0.0337,-0.0128,-0.019,-11.7242,16.3846,41.9558,,0.0011999999999999927,0.0,-0.003934226147706694,non_fall
0.10007,0.0,0.0,0.0,-0.0337,-0.0128,-0.019,-11.7242,16.3846,41.9558,,0.0009650000000000075,0.0,-0.004058446068259927,non_fall
0.132394,0.0,0.0,0.0,-0.0337,-0.0128,-0.019,-11.6632,16.287,41.663,,0.032324000000000006,0.0,-0.0036638769323888826,non_fall
0.15125,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.018855999999999984,0.0,-0.0026708274176709427,non_fall
0.161163,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.009913000000000005,0.0,-0.0010211993184978203,non_fall
0.163869,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.002705999999999986,0.0,0.0013122931672974844,non_fall
0.164855,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.0009860000000000146,0.0,0.004317573818069052,non_fall
0.165946,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.0010910000000000086,0.0,0.007937088285300079,non_fall
0.166852,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.6632,16.287,41.663,,0.0009059999999999901,0.0,0.012065936786712922,non_fall
0.191058,0.0,0.0,0.0,-0.0117,-0.0198,-0.0029,-11.5778,16.2016,41.663,,0.024206000000000005,0.0,0.016555783403560093,non_fall
0.222501,0.0,0.0,0.0,-0.0063,-0.0153,-0.0072,-11.5778,16.2016,41.663,,0.031443,0.0,0.02122535167081301,non_fall
0.232385,-0.0401,-0.02,0.0144,-0.0063,-0.0153,-0.0072,-11.5778,16.2016,41.663,,0.009884000000000004,0.04706771717430111,0.025877111100916145,non_fall
0.233882,-0.0401,-0.02,0.0144,-0.0063,-0.0153,-0.0072,-11.5778,16.2016,41.663,,0.0014969999999999983,0.04706771717430111,0.030318186939855555,non_fall
0.234845,-0.0401,-0.02,0.0144,-0.0063,-0.0153,-0.0072,-11.5778,16.2016,41.663,,0.0009629999999999916,0.04706771717430111,0.03438207488236245,non_fall
0.235749,-0.0401,-0.02,0.0144,-0.0063,-0.0153,-0.0072,-11.5778,16.2016,41.663,,0.0009039999999999881,0.04706771717430111,0.03794714182290623,non_fall
0.251236,-0.0401,-0.02,0.0144,-0.0063,-0.0153,-0.0072,-11.5778,16.287,41.6508,,0.015487000000000029,0.04706771717430111,0.040948521002436115,non_fall
0.291292,-0.0401,-0.02,0.0144,-0.0081,-0.0096,-0.0033,-11.5778,16.287,41.6508,,0.04005599999999998,0.04706771717430111,0.043381516102436846,non_fall
0.297608,-0.0401,-0.02,0.0144,-0.0081,-0.0096,-0.0033,-11.5778,16.287,41.6508,,0.006315999999999988,0.04706771717430111,0.04529631058912655,non_fall
0.298831,-0.0401,-0.02,0.0144,-0.0081,-0.0096,-0.0033,-11.5778,16.287,41.6508,,0.0012230000000000296,0.04706771717430111,0.04678516364056174,non_fall
0.299805,-0.0401,-0.02,0.0144,-0.0081,-0.0096,-0.0033,-11.5778,16.287,41.6508,,0.0009739999999999749,0.04706771717430111,0.047964248274176495,non_fall
0.30075,0.0303,0.0094,-0.0278,-0.0081,-0.0096,-0.0033,-11.5778,16.287,41.6508,,0.0009450000000000292,0.04218163107325273,0.048952896615262094,non_fall
0.310843,0.0303,0.0094,-0.0278,-0.0081,-0.0096,-0.0033,-11.5656,16.3236,41.5776,,0.010092999999999963,0.04218163107325273,0.04985331194703103,non_fall
0.36135,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5656,16.3236,41.5776,,0.050507000000000024,0.04218163107325273,0.05073379036624463,non_fall
0.364091,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5656,16.3236,41.5776,,0.0027409999999999934,0.04218163107325273,0.05161813322126303,non_fall
0.364993,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5656,16.3236,41.5776,,0.0009020000000000139,0.04218163107325273,0.05248321612749111,non_fall
0.365669,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5656,16.3236,41.5776,,0.0006760000000000099,0.04218163107325273,0.05326566779936549,non_fall
0.36629,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5656,16.3236,41.5776,,0.0006209999999999827,0.04218163107325273,0.05387738927717769,non_fall
0.370882,0.0303,0.0094,-0.0278,0.0015,-0.0402,0.0023,-11.5534,16.3602,41.4678,,0.004591999999999985,0.04218163107325273,0.05422827294514711,non_fall
0.371937,-0.0658,0.0367,0.0151,0.0015,-0.0402,0.0023,-11.5534,16.3602,41.4678,,0.0010550000000000281,0.07684100467849181,0.054253008564285464,non_fall
0.43207,-0.0658,0.0367,0.0151,0.0015,-0.0402,0.0023,-11.529,16.348,41.419,,0.06013299999999999,0.07684100467849181,0.05393744696074976,non_fall
0.433834,-0.0658,0.0367,0.0151,0.0015,-0.0402,0.0023,-11.529,16.348,41.419,,0.0017639999999999878,0.07684100467849181,0.05333905172027344,non_fall
0.434527,-0.0658,0.0367,0.0151,0.0015,-0.0402,0.0023,-11.529,16.348,41.419,,0.0006929999999999992,0.07684100467849181,0.05259609370729439,non_fall
0.435169,-0.0658,0.0367,0.0151,0.0015,-0.0402,0.0023,-11.529,16.348,41.419,,0.0006419999999999759,0.07684100467849181,0.051921749929459776,non_fall
0.435788,-0.0658,0.0367,0.0151,-0.0019,-0.031,0.0013,-11.529,16.348,41.419,,0.0006190000000000362,0.07684100467849181,0.051581920098354835,non_fall
0.440245,0.0085,-0.024,0.01,-0.0019,-0.031,0.0013,-11.529,16.348,41.419,,0.004456999999999989,0.02735415873317986,0.0518588193313852,non_fall
0.492693,0.0085,-0.024,0.01,-0.0019,-0.031,0.0013,-11.5046,16.348,41.4434,,0.052447999999999995,0.02735415873317986,0.053005661436602895,non_fall
0.497825,0.0085,-0.024,0.01,-0.0019,-0.031,0.0013,-11.5046,16.348,41.4434,,0.005132000000000025,0.02735415873317986,0.05520029371291068,non_fall
0.498886,0.0085,-0.024,0.01,-0.0019,-0.031,0.0013,-11.5046,16.348,41.4434,,0.0010609999999999786,0.02735415873317986,0.05850661967863661,non_fall
0.499673,0.0085,-0.024,0.01,-0.0019,-0.031,0.0013,-11.5046,16.348,41.4434,,0.0007869999999999822,0.02735415873317986,0.06285156931858639,non_fall
0.500514,0.0085,-0.024,0.01,-0.0083,-0.0599,0.0073,-11.5046,16.348,41.4434,,0.0008410000000000362,0.02735415873317986,0.06802252624899621,non_fall
0.513301,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.5046,16.348,41.4434,,0.012786999999999993,0.10657565388023665,0.07368619649695027,non_fall
0.551318,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.4558,16.348,41.3702,,0.03801699999999997,0.10657565388023665,0.07942564234067286,non_fall
0.567102,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.4558,16.348,41.3702,,0.01578400000000002,0.10657565388023665,0.08478857647042176,non_fall
0.568222,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.4558,16.348,41.3702,,0.0011200000000000099,0.10657565388023665,0.08933820697730971,non_fall
0.569049,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.4558,16.348,41.3702,,0.0008270000000000222,0.10657565388023665,0.09269851505952646,non_fall
0.569865,-0.1044,0.0125,0.0174,-0.0083,-0.0599,0.0073,-11.4558,16.348,41.3702,,0.0008159999999999279,0.10657565388023665,0.09458819572354714,non_fall
0.570923,-0.1044,0.0125,0.0174,0.0013,-0.0316,-0.0068,-11.4558,16.348,41.3702,,0.0010580000000000034,0.10657565388023665,0.09484038403686854,non_fall
0.581564,-0.0727,0.0259,0.0188,0.0013,-0.0316,-0.0068,-11.4558,16.348,41.3702,,0.010641000000000012,0.07943261294959394,0.09340791632926156,non_fall
0.612501,-0.0727,0.0259,0.0188,0.0013,-0.0316,-0.0068,-11.3826,16.3846,41.358,,0.030936999999999992,0.07943261294959394,0.09035597285514768,non_fall
0.632579,-0.0727,0.0259,0.0188,0.0013,-0.0316,-0.0068,-11.3826,16.3846,41.358,,0.02007800000000004,0.07943261294959394,0.08584535968167904,non_fall
0.633907,-0.0727,0.0259,0.0188,0.0013,-0.0316,-0.0068,-11.3826,16.3846,41.358,,0.0013279999999999959,0.07943261294959394,0.08011020160952874,non_fall
0.634708,-0.0727,0.0259,0.0188,0.0013,-0.0316,-0.0068,-11.3826,16.3846,41.358,,0.0008010000000000517,0.07943261294959394,0.07343344812287594,non_fall
0.640777,-0.0727,0.0259,0.0188,-0.0015,-0.0162,-0.0047,-11.3826,16.3846,41.358,,0.006068999999999991,0.07943261294959394,0.06612278058990027,non_fall
0.650966,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.3826,16.3846,41.358,,0.010189000000000004,0.03294328459640902,0.058488861032799114,non_fall
0.671154,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.346,16.3968,41.3824,,0.020187999999999984,0.03294328459640902,0.05082767665554056,non_fall
0.699781,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.346,16.3968,41.3824,,0.028626999999999958,0.03294328459640902,0.043408721538106265,non_fall
0.701422,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.346,16.3968,41.3824,,0.0016410000000000036,0.03294328459640902,0.0364702819294277,non_fall
0.702382,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.346,16.3968,41.3824,,0.0009599999999999609,0.03294328459640902,0.03022183195534774,non_fall
0.703339,-0.0299,-0.0105,0.009,-0.0015,-0.0162,-0.0047,-11.346,16.3968,41.3824,,0.0009570000000000967,0.03294328459640902,0.024851881286684953,non_fall
0.710806,-0.0299,-0.0105,0.009,0.0121,0.0274,-0.0253,-11.346,16.3968,41.3824,,0.007467000000000001,0.03294328459640902,0.020538257188498873,non_fall
0.720576,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.346,16.3968,41.3824,,0.009769999999999945,0.0259603543889524,0.017457210840832616,non_fall
0.734168,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.2728,16.348,41.419,,0.013592000000000048,0.0259603543889524,0.015787971846280335,non_fall
0.765764,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.2728,16.348,41.419,,0.03159599999999996,0.0259603543889524,0.015710255492007236,non_fall
0.767029,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.2728,16.348,41.419,,0.0012649999999999606,0.0259603543889524,0.017393489124973842,non_fall
0.767694,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.2728,16.348,41.419,,0.0006650000000000267,0.0259603543889524,0.02097793095583891,non_fall
0.768338,-0.02,0.0165,0.0013,0.0121,0.0274,-0.0253,-11.285,16.3236,41.4922,,0.0006439999999999779,0.0259603543889524,0.026549256600891465,non_fall
0.78041,-0.02,0.0165,0.0013,-0.0121,0.0206,-0.0244,-11.285,16.3236,41.4922,,0.012072000000000083,0.0259603543889524,0.03410946667998494,non_fall
0.791703,-0.0142,-0.0037,-0.0491,-0.0121,0.0206,-0.0244,-11.285,16.3236,41.4922,,0.011292999999999997,0.05124587788300636,0.04354796425173422,non_fall
0.819322,-0.0142,-0.0037,-0.0491,-0.0121,0.0206,-0.0244,-11.2606,16.2992,41.5288,,0.02761899999999995,0.05124587788300636,0.05461722307143236,non_fall
0.833982,-0.0142,-0.0037,-0.0491,-0.0121,0.0206,-0.0244,-11.2606,16.2992,41.5288,,0.014660000000000006,0.05124587788300636,0.06691763112713137,non_fall
0.835089,-0.0142,-0.0037,-0.0491,-0.0121,0.0206,-0.0244,-11.2606,16.2992,41.5288,,0.0011069999999999691,0.05124587788300636,0.07989597834363468,non_fall
0.835915,-0.0142,-0.0037,-0.0491,-0.0121,0.0206,-0.0244,-11.2606,16.2992,41.5288,,0.0008259999999999934,0.05124587788300636,0.0928616098469952,non_fall
0.851017,-0.0142,-0.0037,-0.0491,-0.0361,-0.0047,-0.015,-11.2606,16.2992,41.5288,,0.01510200000000006,0.05124587788300636,0.10502306787621382,non_fall
