time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.077897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-0.005073814583857392,non_fall
0.078322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0004250000000000087,0.0,0.006234917614034089,non_fall
0.078722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0003999999999999976,0.0,0.017765091273973285,non_fall
0.09719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.018468,0.0,0.029407467835849663,non_fall
0.106774,0.0,0.0,0.0,0.0,0.0,0.0,-13.05,24.825,31.875,,0.009583999999999995,0.0,0.04104618916527794,non_fall
0.120142,0.0,0.0,0.0,0.0,0.0,0.0,-13.05,24.825,31.875,,0.013368000000000005,0.0,0.05255863042658183,non_fall
0.121442,0.0642,-0.0335,0.0384,0.0,0.0,0.0,-13.05,24.825,31.875,,0.0012999999999999956,0.08196615155050284,0.06381645296580819,non_fall
0.138587,0.0642,-0.0335,0.0384,0.0,0.0,0.0,-13.05,24.825,31.875,,0.017144999999999994,0.08196615155050284,0.0746878967364269,non_fall
0.140267,0.1211,-0.0159,-0.0885,0.0,0.0,0.0,-13.05,24.825,31.875,,0.0016800000000000148,0.15083192632861253,0.08504099572317933,non_fall
0.141609,0.1211,-0.0159,-0.0885,0.0412,-0.0044,-0.0214,-13.05,24.825,31.875,,0.0013420000000000099,0.15083192632861253,0.09474715126473067,non_fall
0.156193,0.1211,-0.0159,-0.0885,0.0412,-0.0044,-0.0214,-13.05,24.825,31.875,,0.014583999999999986,0.15083192632861253,0.10368448226011438,non_fall
0.1585,-0.0115,0.0204,-0.0339,0.0412,-0.0044,-0.0214,-13.05,24.825,31.875,,0.0023070000000000035,0.04120218440811118,0.11174062515344255,non_fall
0.174574,-0.0115,0.0204,-0.0339,0.0412,-0.0044,-0.0214,-13.05,24.825,31.875,,0.016074000000000005,0.04120218440811118,0.11881508535951257,non_fall
0.176739,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.05,24.825,31.875,,0.0021650000000000003,0.0914725095315527,0.12482162415234019,non_fall
0.185267,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.2,24.375,33.15,,0.00852799999999998,0.0914725095315527,0.12969125830411304,non_fall
0.201694,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.2,24.375,33.15,,0.016427000000000025,0.0914725095315527,0.13337616864188437,non_fall
0.204595,0.0958,0.0621,-0.1585,0.0412,-0.0044,-0.0214,-13.2,24.375,33.15,,0.002900999999999987,0.19533637654057168,0.13585429397195886,non_fall
