filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_waist_ll_1.csv,2.929743,21.748079123292474,806,191,615
p10_waist_ll_2.csv,1.991353,19.833100270908314,698,193,505
p10_waist_ll_3.csv,2.143845,18.559574746836944,758,191,567
p1_waist_lr_1.csv,2.510146,23.8430982239565,933,191,742
p1_waist_lr_2.csv,3.043794,31.52947329323954,959,191,768
p1_waist_lr_3.csv,2.454793,34.498849578748285,851,191,660
p2_waist_lr_1.csv,2.766034,25.358732991767177,739,191,548
p2_waist_lr_2.csv,2.501566,23.10916525568384,704,191,513
p2_waist_lr_3.csv,2.56579,27.527465263156127,676,191,485
p3_waist_lr_1.csv,2.550522,13.722766707147754,942,191,751
p3_waist_lr_2.csv,2.253031,16.787065239206804,723,191,532
p3_waist_lr_3.csv,2.53092,15.213127709796352,767,191,576
p4_waist_ll_1.csv,2.318772,10.317777287161832,733,191,542
p4_waist_ll_2.csv,3.290583,19.559863916440392,747,191,556
p4_waist_ll_3.csv,2.29944,22.633452920792713,714,191,523
p5_waist_ll_1.csv,1.633491,14.420614383215026,652,191,461
p5_waist_ll_2.csv,2.103906,16.803920813036648,747,191,556
p5_waist_ll_3.csv,2.031312,16.280157454424984,585,191,394
p6_waist_ll_1.csv,2.801947,12.799776810865774,799,191,608
p6_waist_ll_2.csv,2.738807,14.350851510228635,912,191,721
p6_waist_ll_3.csv,1.828507,9.429805000473136,656,191,465
p7_waist_lr_1.csv,3.035547,16.143619525507646,1421,191,1230
p7_waist_lr_3.csv,3.17664,19.668083180676977,1160,191,969
p8_waist_ll_1.csv,5.523037,24.497599327642057,1309,203,1106
p8_waist_ll_2.csv,3.693026,20.32359059218198,1049,203,846
p8_waist_ll_3.csv,8.184653,22.274909348392548,1772,203,1569
p9_waist_lr_1.csv,3.296077,33.82780350998282,1153,213,940
p9_waist_lr_2.csv,3.602716,27.54656532961706,984,211,773
p9_waist_lr_3 (1).csv,3.35607,27.68514923608207,1015,259,756
p9_waist_lr_3.csv,2.614714,24.86473590240225,923,213,710
