
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.068984,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.103676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.2826,16.7018,42.6268,
0.113606,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.2826,16.7018,42.6268,
0.122186,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.2826,16.7018,42.6268,
0.128526,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.2826,16.7018,42.6268,
0.129647,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.2826,16.7018,42.6268,
0.130483,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.2826,16.7018,42.6268,
0.152532,0.0000,0.0000,0.0000,-0.0258,0.0048,-0.0103,-5.4778,16.7994,42.5658,
0.182464,0.0000,0.0000,0.0000,-0.0204,-0.0057,0.0061,-5.4778,16.7994,42.5658,
0.193779,0.0080,-0.1211,0.0255,-0.0204,-0.0057,0.0061,-5.4778,16.7994,42.5658,
0.198453,0.0080,-0.1211,0.0255,-0.0204,-0.0057,0.0061,-5.4778,16.7994,42.5658,
0.199431,0.0080,-0.1211,0.0255,-0.0204,-0.0057,0.0061,-5.4778,16.7994,42.5658,
0.200235,0.0080,-0.1211,0.0255,-0.0204,-0.0057,0.0061,-5.4778,16.7994,42.5658,
0.202731,0.0080,-0.1211,0.0255,-0.0204,-0.0057,0.0061,-5.4412,16.8604,42.6146,
0.256261,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4412,16.8604,42.6146,
0.257875,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4778,16.9702,42.4560,
0.262120,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.263360,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.264113,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.264788,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.265625,0.0080,-0.1211,0.0255,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.266325,-0.0176,0.0549,-0.0048,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.293905,-0.0176,0.0549,-0.0048,0.0060,0.0108,-0.0056,-5.4900,17.0312,42.3584,
0.321765,-0.0176,0.0549,-0.0048,0.0060,0.0108,-0.0056,-5.5266,17.0312,42.3828,
