
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.040909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.087740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6348,19.6176,-43.0660,
0.089735,0.0000,0.0000,0.0000,-0.0161,0.0037,-0.0145,1.6348,19.6176,-43.0660,
0.099439,0.0000,0.0000,0.0000,-0.0161,0.0037,-0.0145,1.6348,19.6176,-43.0660,
0.100589,0.0000,0.0000,0.0000,-0.0161,0.0037,-0.0145,1.6348,19.6176,-43.0660,
0.101393,0.0000,0.0000,0.0000,-0.0161,0.0037,-0.0145,1.6348,19.6176,-43.0660,
0.150242,0.0000,0.0000,0.0000,-0.0161,0.0037,-0.0145,1.6958,19.5322,-43.0416,
0.158759,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.6958,19.5322,-43.0416,
0.167114,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.6958,19.5322,-43.0416,
0.168488,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.6958,19.5322,-43.0416,
0.169441,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.6958,19.5322,-43.0416,
0.170393,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.6958,19.5322,-43.0416,
0.209028,0.0000,0.0000,0.0000,-0.0119,-0.0021,-0.0320,1.5738,19.5444,-43.0782,
0.229450,0.0000,0.0000,0.0000,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.234232,0.0000,0.0000,0.0000,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.235208,0.0000,0.0000,0.0000,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.236507,0.0000,0.0000,0.0000,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.237288,0.0000,0.0000,0.0000,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.239652,0.0580,-0.0274,0.0084,-0.0156,0.0084,-0.0083,1.5738,19.5444,-43.0782,
0.266450,0.0580,-0.0274,0.0084,-0.0156,0.0084,-0.0083,1.4884,19.5566,-43.0538,
0.298445,0.0580,-0.0274,0.0084,-0.0035,0.0123,0.0011,1.4884,19.5566,-43.0538,
0.299710,0.0580,-0.0274,0.0084,-0.0035,0.0123,0.0011,1.4884,19.5566,-43.0538,
0.300595,0.0580,-0.0274,0.0084,-0.0035,0.0123,0.0011,1.4884,19.5566,-43.0538,
0.301271,0.0580,-0.0274,0.0084,-0.0035,0.0123,0.0011,1.4884,19.5566,-43.0538,
0.309099,0.0032,0.0002,-0.0222,-0.0035,0.0123,0.0011,1.4884,19.5566,-43.0538,
0.328446,0.0032,0.0002,-0.0222,-0.0035,0.0123,0.0011,1.4518,19.6176,-43.0660,
0.368164,0.0032,0.0002,-0.0222,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.369898,0.0032,0.0002,-0.0222,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.370728,0.0032,0.0002,-0.0222,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.371517,0.0032,0.0002,-0.0222,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.372416,0.0032,0.0002,-0.0222,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.377578,0.0181,-0.0364,-0.1093,-0.0233,0.0803,-0.0092,1.4518,19.6176,-43.0660,
0.386522,0.0181,-0.0364,-0.1093,-0.0233,0.0803,-0.0092,1.4518,19.6664,-43.1148,
