
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.077897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.078322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.078722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.097190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.0500,24.8250,31.8750,
0.120142,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.0500,24.8250,31.8750,
0.121442,0.0642,-0.0335,0.0384,0.0000,0.0000,0.0000,-13.0500,24.8250,31.8750,
0.138587,0.0642,-0.0335,0.0384,0.0000,0.0000,0.0000,-13.0500,24.8250,31.8750,
0.140267,0.1211,-0.0159,-0.0885,0.0000,0.0000,0.0000,-13.0500,24.8250,31.8750,
0.141609,0.1211,-0.0159,-0.0885,0.0412,-0.0044,-0.0214,-13.0500,24.8250,31.8750,
0.156193,0.1211,-0.0159,-0.0885,0.0412,-0.0044,-0.0214,-13.0500,24.8250,31.8750,
0.158500,-0.0115,0.0204,-0.0339,0.0412,-0.0044,-0.0214,-13.0500,24.8250,31.8750,
0.174574,-0.0115,0.0204,-0.0339,0.0412,-0.0044,-0.0214,-13.0500,24.8250,31.8750,
0.176739,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.0500,24.8250,31.8750,
0.185267,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.2000,24.3750,33.1500,
0.201694,0.0037,-0.0828,-0.0387,0.0412,-0.0044,-0.0214,-13.2000,24.3750,33.1500,
0.204595,0.0958,0.0621,-0.1585,0.0412,-0.0044,-0.0214,-13.2000,24.3750,33.1500,
0.208545,0.0958,0.0621,-0.1585,0.0305,0.0057,-0.0160,-13.2000,24.3750,33.1500,
0.213622,0.0958,0.0621,-0.1585,0.0305,0.0057,-0.0160,-13.2000,24.3750,33.1500,
0.215295,0.0662,0.1316,-0.1755,0.0305,0.0057,-0.0160,-13.2000,24.3750,33.1500,
0.233184,0.0662,0.1316,-0.1755,0.0305,0.0057,-0.0160,-13.2000,24.3750,33.1500,
0.235399,0.0207,0.0151,-0.0664,0.0305,0.0057,-0.0160,-13.2000,24.3750,33.1500,
0.243700,0.0207,0.0151,-0.0664,0.0305,0.0057,-0.0160,-13.8750,23.7750,33.3750,
0.252683,0.0207,0.0151,-0.0664,0.0305,0.0057,-0.0160,-13.8750,23.7750,33.3750,
0.254748,0.0496,-0.0309,-0.0078,0.0305,0.0057,-0.0160,-13.8750,23.7750,33.3750,
0.272364,0.0496,-0.0309,-0.0078,0.0305,0.0057,-0.0160,-13.8750,23.7750,33.3750,
0.274306,0.0360,-0.0217,-0.0893,0.0305,0.0057,-0.0160,-13.8750,23.7750,33.3750,
0.277088,0.0360,-0.0217,-0.0893,-0.0002,-0.0057,-0.0128,-13.8750,23.7750,33.3750,
0.291803,0.0360,-0.0217,-0.0893,-0.0002,-0.0057,-0.0128,-13.8750,23.7750,33.3750,
0.294296,0.0035,0.0221,-0.1265,-0.0002,-0.0057,-0.0128,-13.8750,23.7750,33.3750,
0.312601,0.0035,0.0221,-0.1265,-0.0002,-0.0057,-0.0128,-13.8750,23.7750,33.3750,
0.314014,-0.0049,0.0427,-0.1293,-0.0002,-0.0057,-0.0128,-13.8750,23.7750,33.3750,
0.315680,-0.0049,0.0427,-0.1293,-0.0002,-0.0057,-0.0128,-14.4750,24.0000,32.6250,
0.331786,-0.0049,0.0427,-0.1293,-0.0002,-0.0057,-0.0128,-14.4750,24.0000,32.6250,
0.333384,0.0114,0.0119,-0.0126,-0.0002,-0.0057,-0.0128,-14.4750,24.0000,32.6250,
0.346620,0.0114,0.0119,-0.0126,-0.0012,-0.0023,-0.0057,-14.4750,24.0000,32.6250,
0.351750,0.0114,0.0119,-0.0126,-0.0012,-0.0023,-0.0057,-14.4750,24.0000,32.6250,
0.353267,0.0221,-0.0130,-0.0431,-0.0012,-0.0023,-0.0057,-14.4750,24.0000,32.6250,
0.369008,0.0221,-0.0130,-0.0431,-0.0012,-0.0023,-0.0057,-14.4750,24.0000,32.6250,
0.370685,0.0302,0.0303,-0.0809,-0.0012,-0.0023,-0.0057,-14.4750,24.0000,32.6250,
0.385876,0.0302,0.0303,-0.0809,-0.0012,-0.0023,-0.0057,-14.1000,23.5500,33.0750,
0.387787,0.0302,0.0303,-0.0809,-0.0012,-0.0023,-0.0057,-14.1000,23.5500,33.0750,
0.389106,0.0229,0.0173,-0.0694,-0.0012,-0.0023,-0.0057,-14.1000,23.5500,33.0750,
0.410284,0.0229,0.0173,-0.0694,-0.0012,-0.0023,-0.0057,-14.1000,23.5500,33.0750,
0.414366,0.0112,-0.0210,-0.0316,-0.0012,-0.0023,-0.0057,-14.1000,23.5500,33.0750,
0.418098,0.0112,-0.0210,-0.0316,-0.0153,-0.0115,0.0002,-14.1000,23.5500,33.0750,
0.432666,0.0112,-0.0210,-0.0316,-0.0153,-0.0115,0.0002,-14.1000,23.5500,33.0750,
0.435554,0.0267,-0.0203,-0.0426,-0.0153,-0.0115,0.0002,-14.1000,23.5500,33.0750,
0.449320,0.0267,-0.0203,-0.0426,-0.0153,-0.0115,0.0002,-14.1000,23.5500,33.0750,
0.451690,0.0229,0.0129,-0.0117,-0.0153,-0.0115,0.0002,-14.1000,23.5500,33.0750,
0.453691,0.0229,0.0129,-0.0117,-0.0153,-0.0115,0.0002,-13.6500,23.8500,33.2250,
0.468526,0.0229,0.0129,-0.0117,-0.0153,-0.0115,0.0002,-13.6500,23.8500,33.2250,
0.470056,-0.0053,0.0207,-0.0178,-0.0153,-0.0115,0.0002,-13.6500,23.8500,33.2250,
0.487675,-0.0053,0.0207,-0.0178,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.492651,-0.0053,0.0207,-0.0178,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.494441,-0.0266,0.0175,-0.0674,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.512661,-0.0266,0.0175,-0.0674,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.515383,-0.0207,0.0104,-0.0715,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.533626,-0.0207,0.0104,-0.0715,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.537825,-0.0054,0.0142,-0.0437,-0.0144,-0.0086,0.0029,-13.6500,23.8500,33.2250,
0.540642,-0.0054,0.0142,-0.0437,-0.0144,-0.0086,0.0029,-13.0500,23.7000,33.7500,
0.552167,-0.0054,0.0142,-0.0437,-0.0144,-0.0086,0.0029,-13.0500,23.7000,33.7500,
0.554209,0.0085,-0.0112,-0.0303,-0.0144,-0.0086,0.0029,-13.0500,23.7000,33.7500,
0.556038,0.0085,-0.0112,-0.0303,-0.0093,-0.0154,0.0229,-13.0500,23.7000,33.7500,
0.569717,0.0085,-0.0112,-0.0303,-0.0093,-0.0154,0.0229,-13.0500,23.7000,33.7500,
0.571842,-0.0359,-0.0211,-0.0420,-0.0093,-0.0154,0.0229,-13.0500,23.7000,33.7500,
0.590294,-0.0359,-0.0211,-0.0420,-0.0093,-0.0154,0.0229,-13.0500,23.7000,33.7500,
0.592777,-0.0989,-0.0548,-0.0116,-0.0093,-0.0154,0.0229,-13.0500,23.7000,33.7500,
0.594025,-0.0989,-0.0548,-0.0116,-0.0093,-0.0154,0.0229,-13.5000,23.5500,33.1500,
0.609533,-0.0989,-0.0548,-0.0116,-0.0093,-0.0154,0.0229,-13.5000,23.5500,33.1500,
0.611743,-0.1101,-0.0798,0.0194,-0.0093,-0.0154,0.0229,-13.5000,23.5500,33.1500,
0.625279,-0.1101,-0.0798,0.0194,-0.0005,-0.0089,0.0272,-13.5000,23.5500,33.1500,
0.630557,-0.1101,-0.0798,0.0194,-0.0005,-0.0089,0.0272,-13.5000,23.5500,33.1500,
0.632008,-0.0583,0.0103,-0.1250,-0.0005,-0.0089,0.0272,-13.5000,23.5500,33.1500,
0.649614,-0.0583,0.0103,-0.1250,-0.0005,-0.0089,0.0272,-13.5000,23.5500,33.1500,
0.651219,-0.1190,0.0655,-0.1248,-0.0005,-0.0089,0.0272,-13.5000,23.5500,33.1500,
0.662857,-0.1190,0.0655,-0.1248,-0.0005,-0.0089,0.0272,-13.6500,23.8500,32.9250,
0.668533,-0.1190,0.0655,-0.1248,-0.0005,-0.0089,0.0272,-13.6500,23.8500,32.9250,
0.670002,-0.0414,-0.0077,-0.1114,-0.0005,-0.0089,0.0272,-13.6500,23.8500,32.9250,
0.688882,-0.0414,-0.0077,-0.1114,-0.0005,-0.0089,0.0272,-13.6500,23.8500,32.9250,
0.690270,0.1025,0.0609,-0.1951,-0.0005,-0.0089,0.0272,-13.6500,23.8500,32.9250,
0.693252,0.1025,0.0609,-0.1951,-0.0162,-0.0159,0.0208,-13.6500,23.8500,32.9250,
0.708429,0.1025,0.0609,-0.1951,-0.0162,-0.0159,0.0208,-13.6500,23.8500,32.9250,
0.710874,0.0603,0.0863,-0.1244,-0.0162,-0.0159,0.0208,-13.6500,23.8500,32.9250,
0.727479,0.0603,0.0863,-0.1244,-0.0162,-0.0159,0.0208,-13.6500,23.8500,32.9250,
0.729308,-0.0633,-0.0578,0.0241,-0.0162,-0.0159,0.0208,-13.6500,23.8500,32.9250,
0.737390,-0.0633,-0.0578,0.0241,-0.0162,-0.0159,0.0208,-13.2000,24.2250,33.4500,
0.747250,-0.0633,-0.0578,0.0241,-0.0162,-0.0159,0.0208,-13.2000,24.2250,33.4500,
0.749769,-0.0313,-0.0759,0.0783,-0.0162,-0.0159,0.0208,-13.2000,24.2250,33.4500,
0.761556,-0.0313,-0.0759,0.0783,-0.0405,-0.0373,0.0026,-13.2000,24.2250,33.4500,
0.766716,-0.0313,-0.0759,0.0783,-0.0405,-0.0373,0.0026,-13.2000,24.2250,33.4500,
0.768451,0.0105,-0.0469,0.0411,-0.0405,-0.0373,0.0026,-13.2000,24.2250,33.4500,
0.790947,0.0105,-0.0469,0.0411,-0.0405,-0.0373,0.0026,-13.2000,24.2250,33.4500,
0.792856,0.0126,0.0018,-0.0720,-0.0405,-0.0373,0.0026,-13.2000,24.2250,33.4500,
0.802299,0.0126,0.0018,-0.0720,-0.0405,-0.0373,0.0026,-13.0500,23.1750,33.8250,
0.810576,0.0126,0.0018,-0.0720,-0.0405,-0.0373,0.0026,-13.0500,23.1750,33.8250,
0.812489,0.0284,0.0337,-0.1112,-0.0405,-0.0373,0.0026,-13.0500,23.1750,33.8250,
0.830090,0.0284,0.0337,-0.1112,-0.0405,-0.0373,0.0026,-13.0500,23.1750,33.8250,
0.832948,0.0564,-0.0201,-0.0773,-0.0405,-0.0373,0.0026,-13.0500,23.1750,33.8250,
0.835611,0.0564,-0.0201,-0.0773,-0.0093,-0.0391,0.0066,-13.0500,23.1750,33.8250,
0.855242,0.0564,-0.0201,-0.0773,-0.0093,-0.0391,0.0066,-13.0500,23.1750,33.8250,
0.857735,0.0964,-0.0540,-0.0779,-0.0093,-0.0391,0.0066,-13.0500,23.1750,33.8250,
0.866690,0.0964,-0.0540,-0.0779,-0.0093,-0.0391,0.0066,-13.0500,23.1750,33.8250,
0.869057,0.1277,0.0776,0.0126,-0.0093,-0.0391,0.0066,-13.0500,23.1750,33.8250,
0.872248,0.1277,0.0776,0.0126,-0.0093,-0.0391,0.0066,-13.5000,23.9250,32.8500,
0.888829,0.1277,0.0776,0.0126,-0.0093,-0.0391,0.0066,-13.5000,23.9250,32.8500,
0.890637,0.0678,-0.0370,0.1505,-0.0093,-0.0391,0.0066,-13.5000,23.9250,32.8500,
0.903203,0.0678,-0.0370,0.1505,-0.0162,-0.0139,0.0003,-13.5000,23.9250,32.8500,
0.908310,0.0678,-0.0370,0.1505,-0.0162,-0.0139,0.0003,-13.5000,23.9250,32.8500,
0.909792,0.0052,-0.1727,0.1107,-0.0162,-0.0139,0.0003,-13.5000,23.9250,32.8500,
0.927872,0.0052,-0.1727,0.1107,-0.0162,-0.0139,0.0003,-13.5000,23.9250,32.8500,
0.930275,-0.0480,-0.1084,-0.1417,-0.0162,-0.0139,0.0003,-13.5000,23.9250,32.8500,
0.942513,-0.0480,-0.1084,-0.1417,-0.0162,-0.0139,0.0003,-12.9000,23.1000,33.4500,
0.947087,-0.0480,-0.1084,-0.1417,-0.0162,-0.0139,0.0003,-12.9000,23.1000,33.4500,
0.948680,-0.0634,-0.0308,-0.1777,-0.0162,-0.0139,0.0003,-12.9000,23.1000,33.4500,
0.967548,-0.0634,-0.0308,-0.1777,-0.0162,-0.0139,0.0003,-12.9000,23.1000,33.4500,
0.970812,0.0326,-0.0133,-0.0372,-0.0162,-0.0139,0.0003,-12.9000,23.1000,33.4500,
0.973059,0.0326,-0.0133,-0.0372,0.0058,-0.0026,0.0269,-12.9000,23.1000,33.4500,
0.986501,0.0326,-0.0133,-0.0372,0.0058,-0.0026,0.0269,-12.9000,23.1000,33.4500,
0.988859,0.0876,0.0221,-0.0149,0.0058,-0.0026,0.0269,-12.9000,23.1000,33.4500,
1.006018,0.0876,0.0221,-0.0149,0.0058,-0.0026,0.0269,-12.9000,23.1000,33.4500,
1.008338,0.0659,0.0383,0.0019,0.0058,-0.0026,0.0269,-12.9000,23.1000,33.4500,
1.011824,0.0659,0.0383,0.0019,0.0058,-0.0026,0.0269,-13.0500,23.7000,33.9750,
1.025594,0.0659,0.0383,0.0019,0.0058,-0.0026,0.0269,-13.0500,23.7000,33.9750,
1.027449,-0.0275,0.0105,-0.0114,0.0058,-0.0026,0.0269,-13.0500,23.7000,33.9750,
1.040184,-0.0275,0.0105,-0.0114,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.044975,-0.0275,0.0105,-0.0114,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.046927,-0.1323,-0.1714,-0.0278,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.064720,-0.1323,-0.1714,-0.0278,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.067503,-0.1858,-0.1795,0.1516,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.084229,-0.1858,-0.1795,0.1516,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.087150,-0.0691,0.0550,0.0576,0.0005,-0.0018,-0.0118,-13.0500,23.7000,33.9750,
1.089409,-0.0691,0.0550,0.0576,0.0005,-0.0018,-0.0118,-13.6500,23.6250,33.3750,
1.104141,-0.0691,0.0550,0.0576,0.0005,-0.0018,-0.0118,-13.6500,23.6250,33.3750,
1.106824,0.1782,0.1040,-0.0210,0.0005,-0.0018,-0.0118,-13.6500,23.6250,33.3750,
1.108747,0.1782,0.1040,-0.0210,0.0339,-0.0189,0.0150,-13.6500,23.6250,33.3750,
1.123490,0.1782,0.1040,-0.0210,0.0339,-0.0189,0.0150,-13.6500,23.6250,33.3750,
1.125155,0.2054,0.2951,0.0046,0.0339,-0.0189,0.0150,-13.6500,23.6250,33.3750,
1.149107,0.2054,0.2951,0.0046,0.0339,-0.0189,0.0150,-13.6500,23.6250,33.3750,
1.151717,0.0401,0.3074,-0.0031,0.0339,-0.0189,0.0150,-13.6500,23.6250,33.3750,
1.153983,0.0401,0.3074,-0.0031,0.0339,-0.0189,0.0150,-13.8000,23.1750,33.1500,
1.170559,0.0401,0.3074,-0.0031,0.0339,-0.0189,0.0150,-13.8000,23.1750,33.1500,
1.172813,0.0747,0.1167,-0.0052,0.0339,-0.0189,0.0150,-13.8000,23.1750,33.1500,
1.182822,0.0747,0.1167,-0.0052,0.0397,-0.0347,-0.0072,-13.8000,23.1750,33.1500,
1.186920,0.0747,0.1167,-0.0052,0.0397,-0.0347,-0.0072,-13.8000,23.1750,33.1500,
1.188495,0.0632,0.0409,0.0177,0.0397,-0.0347,-0.0072,-13.8000,23.1750,33.1500,
1.206490,0.0632,0.0409,0.0177,0.0397,-0.0347,-0.0072,-13.8000,23.1750,33.1500,
1.208094,0.0173,0.0010,0.0140,0.0397,-0.0347,-0.0072,-13.8000,23.1750,33.1500,
1.217360,0.0173,0.0010,0.0140,0.0397,-0.0347,-0.0072,-13.3500,23.6250,33.1500,
1.227267,0.0173,0.0010,0.0140,0.0397,-0.0347,-0.0072,-13.3500,23.6250,33.1500,
1.229715,0.0468,-0.0292,-0.0109,0.0397,-0.0347,-0.0072,-13.3500,23.6250,33.1500,
1.246098,0.0468,-0.0292,-0.0109,0.0397,-0.0347,-0.0072,-13.3500,23.6250,33.1500,
1.248701,0.0487,0.0162,-0.0200,0.0397,-0.0347,-0.0072,-13.3500,23.6250,33.1500,
1.250458,0.0487,0.0162,-0.0200,0.0328,-0.0148,-0.0133,-13.3500,23.6250,33.1500,
1.266375,0.0487,0.0162,-0.0200,0.0328,-0.0148,-0.0133,-13.3500,23.6250,33.1500,
1.268702,-0.0202,0.0374,0.0205,0.0328,-0.0148,-0.0133,-13.3500,23.6250,33.1500,
1.286058,-0.0202,0.0374,0.0205,0.0328,-0.0148,-0.0133,-13.3500,23.6250,33.1500,
1.287992,-0.0709,0.0243,0.0565,0.0328,-0.0148,-0.0133,-13.3500,23.6250,33.1500,
1.289487,-0.0709,0.0243,0.0565,0.0328,-0.0148,-0.0133,-13.2000,23.7000,33.4500,
1.304736,-0.0709,0.0243,0.0565,0.0328,-0.0148,-0.0133,-13.2000,23.7000,33.4500,
1.307283,-0.0696,0.0704,0.0579,0.0328,-0.0148,-0.0133,-13.2000,23.7000,33.4500,
1.319815,-0.0696,0.0704,0.0579,0.0382,-0.0131,-0.0104,-13.2000,23.7000,33.4500,
1.327638,-0.0696,0.0704,0.0579,0.0382,-0.0131,-0.0104,-13.2000,23.7000,33.4500,
1.332256,-0.0207,0.0703,-0.0755,0.0382,-0.0131,-0.0104,-13.2000,23.7000,33.4500,
1.350169,-0.0207,0.0703,-0.0755,0.0382,-0.0131,-0.0104,-13.2000,23.7000,33.4500,
1.351796,-0.0572,0.1227,-0.1092,0.0382,-0.0131,-0.0104,-13.2000,23.7000,33.4500,
1.354549,-0.0572,0.1227,-0.1092,0.0382,-0.0131,-0.0104,-13.9500,23.4750,33.0750,
1.366414,-0.0572,0.1227,-0.1092,0.0382,-0.0131,-0.0104,-13.9500,23.4750,33.0750,
1.367500,-0.0725,0.0879,-0.0412,0.0382,-0.0131,-0.0104,-13.9500,23.4750,33.0750,
1.384598,-0.0725,0.0879,-0.0412,0.0382,-0.0131,-0.0104,-13.9500,23.4750,33.0750,
1.385579,-0.0609,0.0440,0.0330,0.0382,-0.0131,-0.0104,-13.9500,23.4750,33.0750,
1.387939,-0.0609,0.0440,0.0330,0.0166,-0.0150,-0.0093,-13.9500,23.4750,33.0750,
1.409228,-0.0609,0.0440,0.0330,0.0166,-0.0150,-0.0093,-13.9500,23.4750,33.0750,
1.410391,-0.0288,0.0465,0.0240,0.0166,-0.0150,-0.0093,-13.9500,23.4750,33.0750,
1.428119,-0.0288,0.0465,0.0240,0.0166,-0.0150,-0.0093,-13.9500,23.4750,33.0750,
1.429601,-0.0367,0.0766,-0.0259,0.0166,-0.0150,-0.0093,-13.9500,23.4750,33.0750,
1.430941,-0.0367,0.0766,-0.0259,0.0166,-0.0150,-0.0093,-14.1750,24.0750,32.4750,
1.447975,-0.0367,0.0766,-0.0259,0.0166,-0.0150,-0.0093,-14.1750,24.0750,32.4750,
1.449513,-0.0521,0.0717,-0.0242,0.0166,-0.0150,-0.0093,-14.1750,24.0750,32.4750,
1.462898,-0.0521,0.0717,-0.0242,0.0140,-0.0186,-0.0050,-14.1750,24.0750,32.4750,
1.467319,-0.0521,0.0717,-0.0242,0.0140,-0.0186,-0.0050,-14.1750,24.0750,32.4750,
1.468788,-0.0488,0.0803,-0.0012,0.0140,-0.0186,-0.0050,-14.1750,24.0750,32.4750,
1.487132,-0.0488,0.0803,-0.0012,0.0140,-0.0186,-0.0050,-14.1750,24.0750,32.4750,
1.489645,-0.0690,0.0881,-0.0174,0.0140,-0.0186,-0.0050,-14.1750,24.0750,32.4750,
1.495616,-0.0690,0.0881,-0.0174,0.0140,-0.0186,-0.0050,-13.9500,23.8500,32.8500,
1.504773,-0.0690,0.0881,-0.0174,0.0140,-0.0186,-0.0050,-13.9500,23.8500,32.8500,
1.507122,-0.0886,0.1055,-0.0794,0.0140,-0.0186,-0.0050,-13.9500,23.8500,32.8500,
1.525586,-0.0886,0.1055,-0.0794,0.0140,-0.0186,-0.0050,-13.9500,23.8500,32.8500,
1.528246,-0.0919,0.1331,-0.1158,0.0140,-0.0186,-0.0050,-13.9500,23.8500,32.8500,
1.530068,-0.0919,0.1331,-0.1158,0.0005,-0.0073,-0.0023,-13.9500,23.8500,32.8500,
1.544656,-0.0919,0.1331,-0.1158,0.0005,-0.0073,-0.0023,-13.9500,23.8500,32.8500,
1.547082,-0.0958,0.1307,-0.1550,0.0005,-0.0073,-0.0023,-13.9500,23.8500,32.8500,
1.564120,-0.0958,0.1307,-0.1550,0.0005,-0.0073,-0.0023,-13.9500,23.8500,32.8500,
1.566844,-0.0904,0.0809,-0.0887,0.0005,-0.0073,-0.0023,-13.9500,23.8500,32.8500,
1.568789,-0.0904,0.0809,-0.0887,0.0005,-0.0073,-0.0023,-13.9500,24.0000,33.0750,
1.584198,-0.0904,0.0809,-0.0887,0.0005,-0.0073,-0.0023,-13.9500,24.0000,33.0750,
1.586920,-0.0385,0.0086,-0.0965,0.0005,-0.0073,-0.0023,-13.9500,24.0000,33.0750,
1.598362,-0.0385,0.0086,-0.0965,-0.0354,-0.0072,0.0029,-13.9500,24.0000,33.0750,
1.602875,-0.0385,0.0086,-0.0965,-0.0354,-0.0072,0.0029,-13.9500,24.0000,33.0750,
1.604734,-0.1262,0.0960,-0.1141,-0.0354,-0.0072,0.0029,-13.9500,24.0000,33.0750,
