
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.049443,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084826,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,0.0000,0.0000,0.0000,
0.106800,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,-1.9764,0.1464,46.0916,
0.108621,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,-1.9764,0.1464,46.0916,
0.109672,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,-1.9764,0.1464,46.0916,
0.110939,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,-1.9764,0.1464,46.0916,
0.114205,0.0000,0.0000,0.0000,-0.0309,0.0134,-0.0246,-1.9764,0.1464,46.0916,
0.153337,0.0000,0.0000,0.0000,-0.0204,0.0193,-0.0185,-1.9764,0.1464,46.0916,
0.163713,0.0000,0.0000,0.0000,-0.0204,0.0193,-0.0185,-2.0008,0.0732,46.1282,
0.171716,0.0000,0.0000,0.0000,-0.0204,0.0193,-0.0185,-2.0008,0.0732,46.1282,
0.174778,0.0000,0.0000,0.0000,-0.0204,0.0193,-0.0185,-2.0008,0.0732,46.1282,
0.176475,0.0000,0.0000,0.0000,-0.0204,0.0193,-0.0185,-2.0008,0.0732,46.1282,
0.183772,0.0604,-0.0146,-0.0178,-0.0204,0.0193,-0.0185,-2.0008,0.0732,46.1282,
0.225220,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.0732,46.1282,
0.230725,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.239773,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.241876,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.243900,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.245785,0.0604,-0.0146,-0.0178,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.251977,-0.0338,-0.0029,0.0164,-0.0008,-0.0137,-0.0012,-2.0008,0.1586,46.1282,
0.283570,-0.0338,-0.0029,0.0164,-0.0008,-0.0137,-0.0012,-2.0374,0.1342,46.0794,
0.293178,-0.0338,-0.0029,0.0164,0.0027,-0.0397,0.0040,-2.0374,0.1342,46.0794,
0.304284,-0.0338,-0.0029,0.0164,0.0027,-0.0397,0.0040,-2.0374,0.1342,46.0794,
0.305226,-0.0338,-0.0029,0.0164,0.0027,-0.0397,0.0040,-2.0374,0.1342,46.0794,
0.305929,-0.0338,-0.0029,0.0164,0.0027,-0.0397,0.0040,-2.0374,0.1342,46.0794,
0.321848,0.0085,0.0225,-0.0011,0.0027,-0.0397,0.0040,-2.0374,0.1342,46.0794,
0.344552,0.0085,0.0225,-0.0011,0.0027,-0.0397,0.0040,-2.0496,0.1220,46.1648,
0.363584,0.0085,0.0225,-0.0011,-0.0041,-0.0862,-0.0023,-2.0496,0.1220,46.1648,
0.376904,0.0085,0.0225,-0.0011,-0.0041,-0.0862,-0.0023,-2.0496,0.1220,46.1648,
0.379721,0.0085,0.0225,-0.0011,-0.0041,-0.0862,-0.0023,-2.0496,0.1220,46.1648,
0.381479,0.0085,0.0225,-0.0011,-0.0041,-0.0862,-0.0023,-2.0496,0.1220,46.1648,
0.392829,-0.0023,-0.0261,0.0185,-0.0041,-0.0862,-0.0023,-2.0496,0.1220,46.1648,
0.403335,-0.0023,-0.0261,0.0185,-0.0041,-0.0862,-0.0023,-1.9886,0.0854,46.2014,
0.434453,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9886,0.0854,46.2014,
0.438538,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9886,0.0854,46.2014,
0.441204,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9886,0.0854,46.2014,
0.444122,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9886,0.0854,46.2014,
0.447111,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9886,0.0854,46.2014,
0.455053,-0.0023,-0.0261,0.0185,0.0101,-0.0698,-0.0293,-1.9032,0.1342,46.2624,
0.464111,0.1940,0.0057,0.0190,0.0101,-0.0698,-0.0293,-1.9032,0.1342,46.2624,
0.505077,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.9032,0.1342,46.2624,
0.510391,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.7812,0.1586,46.1648,
0.512681,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.7812,0.1586,46.1648,
0.514294,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.7812,0.1586,46.1648,
0.515784,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.7812,0.1586,46.1648,
0.517938,0.1940,0.0057,0.0190,0.0140,-0.0563,-0.0148,-1.7080,0.2074,46.1404,
0.535375,0.1757,0.0083,0.0061,0.0140,-0.0563,-0.0148,-1.7080,0.2074,46.1404,
0.572132,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.7080,0.2074,46.1404,
0.575510,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.7080,0.2074,46.1404,
0.578223,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.7080,0.2074,46.1404,
0.581172,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.7080,0.2074,46.1404,
0.583348,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.7080,0.2074,46.1404,
0.584498,0.1757,0.0083,0.0061,0.0013,0.0113,-0.0013,-1.6470,0.2318,46.1038,
0.601537,0.1770,0.0178,0.0047,0.0013,0.0113,-0.0013,-1.6470,0.2318,46.1038,
0.639602,0.1770,0.0178,0.0047,0.0013,0.0113,-0.0013,-1.6470,0.2318,46.1038,
0.644618,0.1770,0.0178,0.0047,0.0013,0.0113,-0.0013,-1.6470,0.2318,46.1038,
0.646769,0.1770,0.0178,0.0047,0.0013,0.0113,-0.0013,-1.6470,0.2318,46.1038,
0.648874,0.1770,0.0178,0.0047,0.0013,0.0113,-0.0013,-1.5982,0.2196,46.1160,
0.651636,0.1770,0.0178,0.0047,0.0001,0.0313,0.0245,-1.5982,0.2196,46.1160,
0.670916,-0.0303,-0.0026,0.0298,0.0001,0.0313,0.0245,-1.5982,0.2196,46.1160,
0.707064,-0.0303,-0.0026,0.0298,0.0001,0.0313,0.0245,-1.4884,0.2318,46.1404,
0.711030,-0.0303,-0.0026,0.0298,0.0001,0.0313,0.0245,-1.4884,0.2318,46.1404,
0.713680,-0.0303,-0.0026,0.0298,0.0001,0.0313,0.0245,-1.4884,0.2318,46.1404,
0.715724,-0.0303,-0.0026,0.0298,0.0001,0.0313,0.0245,-1.4884,0.2318,46.1404,
0.717549,-0.0303,-0.0026,0.0298,-0.0023,0.0132,0.0262,-1.4884,0.2318,46.1404,
0.740819,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4884,0.2318,46.1404,
0.760999,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4518,0.2684,46.0672,
0.773376,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4518,0.2684,46.0672,
0.776438,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4518,0.2684,46.0672,
0.780044,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4518,0.2684,46.0672,
0.782689,0.0071,-0.0027,-0.0286,-0.0023,0.0132,0.0262,-1.4518,0.2684,46.0672,
0.785027,0.0071,-0.0027,-0.0286,-0.0136,-0.0024,0.0297,-1.4518,0.2684,46.0672,
0.811413,-0.1027,0.0421,0.0012,-0.0136,-0.0024,0.0297,-1.4518,0.2684,46.0672,
0.823808,-0.1027,0.0421,0.0012,-0.0136,-0.0024,0.0297,-1.4518,0.2806,46.0550,
0.839127,-0.1027,0.0421,0.0012,-0.0136,-0.0024,0.0297,-1.4518,0.2806,46.0550,
0.842169,-0.1027,0.0421,0.0012,-0.0136,-0.0024,0.0297,-1.4518,0.2806,46.0550,
0.845289,-0.1027,0.0421,0.0012,-0.0136,-0.0024,0.0297,-1.4518,0.2806,46.0550,
0.851462,-0.1027,0.0421,0.0012,-0.0148,-0.0330,0.0446,-1.4518,0.2806,46.0550,
0.883522,-0.1027,0.0421,0.0012,-0.0148,-0.0330,0.0446,-1.4884,0.2440,45.9574,
0.887784,0.0009,0.0459,-0.0130,-0.0148,-0.0330,0.0446,-1.4884,0.2440,45.9574,
0.905477,0.0009,0.0459,-0.0130,-0.0148,-0.0330,0.0446,-1.4884,0.2440,45.9574,
0.907781,0.0009,0.0459,-0.0130,-0.0148,-0.0330,0.0446,-1.4884,0.2440,45.9574,
0.909652,0.0009,0.0459,-0.0130,-0.0148,-0.0330,0.0446,-1.4884,0.2440,45.9574,
0.920255,0.0009,0.0459,-0.0130,-0.0309,0.0053,0.0286,-1.4884,0.2440,45.9574,
0.940287,0.0009,0.0459,-0.0130,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.951266,0.0449,-0.0532,0.0041,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.972483,0.0449,-0.0532,0.0041,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.975401,0.0449,-0.0532,0.0041,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.977638,0.0449,-0.0532,0.0041,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.979982,0.0449,-0.0532,0.0041,-0.0309,0.0053,0.0286,-1.5616,0.1830,46.0306,
0.991633,0.0449,-0.0532,0.0041,-0.0140,-0.0059,0.0237,-1.5616,0.1830,46.0306,
1.001255,0.0449,-0.0532,0.0041,-0.0140,-0.0059,0.0237,-1.5860,0.0854,46.1038,
