
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.043255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.7458,13.6152,44.8350,
0.085696,0.0000,0.0000,0.0000,0.0248,0.0119,0.0036,-4.7458,13.6152,44.8350,
0.095808,0.0000,0.0000,0.0000,0.0248,0.0119,0.0036,-4.7458,13.6152,44.8350,
0.097227,0.0000,0.0000,0.0000,0.0248,0.0119,0.0036,-4.7458,13.6152,44.8350,
0.099347,0.0000,0.0000,0.0000,0.0248,0.0119,0.0036,-4.7458,13.6152,44.8350,
0.116341,0.0000,0.0000,0.0000,0.0248,0.0119,0.0036,-4.8556,13.6762,44.5178,
0.154878,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8556,13.6762,44.5178,
0.167887,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8556,13.6762,44.5178,
0.171154,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8556,13.6762,44.5178,
0.173886,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8556,13.6762,44.5178,
0.175361,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8556,13.6762,44.5178,
0.176888,0.0000,0.0000,0.0000,0.0123,0.0164,-0.0103,-4.8434,13.6396,44.5910,
0.224881,0.0000,0.0000,0.0000,0.0033,0.0125,-0.0075,-4.8434,13.6396,44.5910,
0.231991,0.0000,0.0000,0.0000,0.0033,0.0125,-0.0075,-4.8434,13.6396,44.5910,
0.234705,0.0000,0.0000,0.0000,0.0033,0.0125,-0.0075,-4.8434,13.6396,44.5910,
0.236556,0.0000,0.0000,0.0000,0.0033,0.0125,-0.0075,-4.8434,13.6396,44.5910,
0.238166,0.0000,0.0000,0.0000,0.0033,0.0125,-0.0075,-4.8434,13.5786,44.6398,
0.239583,0.0561,-0.0962,0.0587,0.0033,0.0125,-0.0075,-4.8434,13.5786,44.6398,
0.295456,0.0561,-0.0962,0.0587,0.0033,0.0125,-0.0075,-4.8678,13.5420,44.6276,
0.298628,0.0561,-0.0962,0.0587,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.300097,0.0561,-0.0962,0.0587,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.301378,0.0561,-0.0962,0.0587,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.302734,0.0561,-0.0962,0.0587,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.303713,0.0561,-0.0962,0.0587,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.305044,-0.0108,-0.0054,0.0184,0.0081,0.0153,0.0055,-4.8678,13.5420,44.6276,
0.354126,-0.0108,-0.0054,0.0184,0.0081,0.0153,0.0055,-4.8434,13.5908,44.6764,
0.364062,-0.0108,-0.0054,0.0184,0.0233,0.0089,0.0036,-4.8434,13.5908,44.6764,
0.366539,-0.0108,-0.0054,0.0184,0.0233,0.0089,0.0036,-4.8434,13.5908,44.6764,
0.367924,-0.0108,-0.0054,0.0184,0.0233,0.0089,0.0036,-4.8434,13.5908,44.6764,
0.370151,-0.0108,-0.0054,0.0184,0.0233,0.0089,0.0036,-4.8434,13.5908,44.6764,
0.373974,0.0281,-0.0155,-0.0129,0.0233,0.0089,0.0036,-4.8434,13.5908,44.6764,
0.414658,0.0281,-0.0155,-0.0129,0.0233,0.0089,0.0036,-4.9044,13.6518,44.6398,
0.431194,0.0281,-0.0155,-0.0129,0.0233,0.0089,0.0036,-4.9044,13.6518,44.6398,
0.433823,0.0281,-0.0155,-0.0129,0.0233,0.0089,0.0036,-4.9044,13.6518,44.6398,
0.436534,0.0281,-0.0155,-0.0129,0.0233,0.0089,0.0036,-4.9044,13.6518,44.6398,
0.438655,0.0281,-0.0155,-0.0129,0.0087,0.0056,0.0426,-4.9044,13.6518,44.6398,
0.443843,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9044,13.6518,44.6398,
0.473632,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9288,13.6762,44.5910,
0.497083,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9288,13.6762,44.5910,
0.499227,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9288,13.6762,44.5910,
0.500855,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9288,13.6762,44.5910,
0.503670,-0.0370,-0.0370,0.0146,0.0087,0.0056,0.0426,-4.9288,13.6762,44.5910,
0.505611,-0.0370,-0.0370,0.0146,0.0049,-0.0435,-0.0109,-4.9288,13.6762,44.5910,
0.516283,0.0325,0.0010,0.0511,0.0049,-0.0435,-0.0109,-4.9288,13.6762,44.5910,
0.533440,0.0325,0.0010,0.0511,0.0049,-0.0435,-0.0109,-4.9410,13.6884,44.5422,
0.565915,0.0325,0.0010,0.0511,0.0049,-0.0435,-0.0109,-4.9410,13.6884,44.5422,
0.570457,0.0325,0.0010,0.0511,0.0049,-0.0435,-0.0109,-4.9410,13.6884,44.5422,
0.573680,0.0325,0.0010,0.0511,0.0049,-0.0435,-0.0109,-4.9410,13.6884,44.5422,
0.576388,0.0325,0.0010,0.0511,-0.0075,0.0027,-0.0092,-4.9410,13.6884,44.5422,
0.585155,-0.0383,-0.0307,0.0046,-0.0075,0.0027,-0.0092,-4.9410,13.6884,44.5422,
0.592081,-0.0383,-0.0307,0.0046,-0.0075,0.0027,-0.0092,-4.9776,13.7006,44.5300,
0.629242,-0.0383,-0.0307,0.0046,-0.0075,0.0027,-0.0092,-4.9776,13.7006,44.5300,
0.630719,-0.0383,-0.0307,0.0046,-0.0075,0.0027,-0.0092,-4.9776,13.7006,44.5300,
0.631674,-0.0383,-0.0307,0.0046,-0.0075,0.0027,-0.0092,-4.9776,13.7006,44.5300,
0.642488,-0.0383,-0.0307,0.0046,0.0096,-0.0182,0.0156,-4.9776,13.7006,44.5300,
