
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.044323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.2162,20.8864,-34.3186,
0.078868,0.0000,0.0000,0.0000,-0.0305,-0.0077,-0.0462,22.2162,20.8864,-34.3186,
0.097481,0.0000,0.0000,0.0000,-0.0305,-0.0077,-0.0462,22.2162,20.8864,-34.3186,
0.098924,0.0000,0.0000,0.0000,-0.0305,-0.0077,-0.0462,22.2162,20.8864,-34.3186,
0.099909,0.0000,0.0000,0.0000,-0.0305,-0.0077,-0.0462,22.2162,20.8864,-34.3186,
0.131982,0.0000,0.0000,0.0000,-0.0305,-0.0077,-0.0462,22.3138,21.0450,-34.2576,
0.150238,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3138,21.0450,-34.2576,
0.162195,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3138,21.0450,-34.2576,
0.163307,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3138,21.0450,-34.2576,
0.164049,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3138,21.0450,-34.2576,
0.164797,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3138,21.0450,-34.2576,
0.189881,0.0000,0.0000,0.0000,0.0072,0.0417,-0.0260,22.3748,21.1426,-34.1966,
0.221557,0.0000,0.0000,0.0000,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.230048,0.0000,0.0000,0.0000,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.230951,0.0000,0.0000,0.0000,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.231634,0.0000,0.0000,0.0000,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.232287,0.0000,0.0000,0.0000,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.233391,0.1215,-0.2360,0.0230,0.0462,0.0776,-0.0242,22.3748,21.1426,-34.1966,
0.249681,0.1215,-0.2360,0.0230,0.0462,0.0776,-0.0242,22.4236,21.1914,-34.1112,
0.291278,0.1215,-0.2360,0.0230,0.0716,0.0791,0.0053,22.4236,21.1914,-34.1112,
0.295855,0.1215,-0.2360,0.0230,0.0716,0.0791,0.0053,22.4236,21.1914,-34.1112,
0.296430,0.1215,-0.2360,0.0230,0.0716,0.0791,0.0053,22.4236,21.1914,-34.1112,
0.297022,0.1215,-0.2360,0.0230,0.0716,0.0791,0.0053,22.4236,21.1914,-34.1112,
0.297716,-0.0131,-0.0481,0.0278,0.0716,0.0791,0.0053,22.4236,21.1914,-34.1112,
0.308075,-0.0131,-0.0481,0.0278,0.0716,0.0791,0.0053,22.4968,21.1548,-34.0624,
0.360913,-0.0131,-0.0481,0.0278,0.0787,-0.0956,0.0803,22.4968,21.1548,-34.0624,
0.362396,-0.0131,-0.0481,0.0278,0.0787,-0.0956,0.0803,22.4968,21.1548,-34.0624,
0.363153,-0.0131,-0.0481,0.0278,0.0787,-0.0956,0.0803,22.4968,21.1548,-34.0624,
0.363836,-0.0131,-0.0481,0.0278,0.0787,-0.0956,0.0803,22.4968,21.1548,-34.0624,
0.369956,-0.0131,-0.0481,0.0278,0.0787,-0.0956,0.0803,22.5822,21.0938,-34.0868,
0.371113,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5822,21.0938,-34.0868,
0.428215,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5090,21.0084,-34.1112,
0.429905,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5090,21.0084,-34.1112,
0.430641,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5090,21.0084,-34.1112,
0.431308,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5090,21.0084,-34.1112,
0.431968,-0.1877,-0.0948,-0.0196,0.0787,-0.0956,0.0803,22.5090,21.0084,-34.1112,
0.432950,-0.1877,-0.0948,-0.0196,0.0627,-0.3132,-0.0373,22.5090,21.0084,-34.1112,
0.438537,-0.4762,0.0902,-0.3293,0.0627,-0.3132,-0.0373,22.5090,21.0084,-34.1112,
0.490381,-0.4762,0.0902,-0.3293,0.0627,-0.3132,-0.0373,22.3626,20.9718,-34.2088,
0.496285,-0.4762,0.0902,-0.3293,0.0627,-0.3132,-0.0373,22.3626,20.9718,-34.2088,
0.497532,-0.4762,0.0902,-0.3293,0.0627,-0.3132,-0.0373,22.3626,20.9718,-34.2088,
0.498485,-0.4762,0.0902,-0.3293,0.0627,-0.3132,-0.0373,22.3626,20.9718,-34.2088,
0.499333,-0.4762,0.0902,-0.3293,-0.0467,-0.3574,-0.3686,22.3626,20.9718,-34.2088,
0.509007,-0.2526,0.8309,-0.5756,-0.0467,-0.3574,-0.3686,22.3626,20.9718,-34.2088,
0.549183,-0.2526,0.8309,-0.5756,-0.0467,-0.3574,-0.3686,22.1430,21.1182,-34.3552,
0.564242,-0.2526,0.8309,-0.5756,-0.0467,-0.3574,-0.3686,22.1430,21.1182,-34.3552,
0.565923,-0.2526,0.8309,-0.5756,-0.0467,-0.3574,-0.3686,22.1430,21.1182,-34.3552,
0.566941,-0.2526,0.8309,-0.5756,-0.0467,-0.3574,-0.3686,22.1430,21.1182,-34.3552,
0.568820,-0.2526,0.8309,-0.5756,-0.1119,-0.2551,-0.2181,22.1430,21.1182,-34.3552,
0.578484,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,22.1430,21.1182,-34.3552,
0.607537,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,21.7770,21.2036,-34.5260,
0.630489,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,21.7770,21.2036,-34.5260,
0.632093,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,21.7770,21.2036,-34.5260,
0.633189,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,21.7770,21.2036,-34.5260,
0.634141,-1.6569,-0.0602,0.4577,-0.1119,-0.2551,-0.2181,21.7770,21.2036,-34.5260,
0.638424,-1.6569,-0.0602,0.4577,-0.0399,-0.1631,-0.2265,21.7770,21.2036,-34.5260,
0.649459,-1.2112,-0.5584,-0.4063,-0.0399,-0.1631,-0.2265,21.7770,21.2036,-34.5260,
0.668319,-1.2112,-0.5584,-0.4063,-0.0399,-0.1631,-0.2265,21.3622,21.3012,-34.7456,
0.696585,-1.2112,-0.5584,-0.4063,-0.0399,-0.1631,-0.2265,21.3622,21.3012,-34.7456,
0.698278,-1.2112,-0.5584,-0.4063,-0.0399,-0.1631,-0.2265,21.3622,21.3012,-34.7456,
0.699226,-1.2112,-0.5584,-0.4063,-0.0399,-0.1631,-0.2265,21.3622,21.3012,-34.7456,
0.708120,-1.2112,-0.5584,-0.4063,-0.0477,0.1744,-0.0277,21.3622,21.3012,-34.7456,
0.718026,0.8468,0.2905,0.0209,-0.0477,0.1744,-0.0277,21.3622,21.3012,-34.7456,
0.727726,0.8468,0.2905,0.0209,-0.0477,0.1744,-0.0277,20.9474,21.4476,-34.9774,
0.763501,0.8468,0.2905,0.0209,-0.0477,0.1744,-0.0277,20.9474,21.4476,-34.9774,
0.765076,0.8468,0.2905,0.0209,-0.0477,0.1744,-0.0277,20.9474,21.4476,-34.9774,
0.766045,0.8468,0.2905,0.0209,-0.0477,0.1744,-0.0277,20.9474,21.4476,-34.9774,
0.777926,0.8468,0.2905,0.0209,0.0748,-0.0883,-0.3782,20.9474,21.4476,-34.9774,
0.787644,0.8468,0.2905,0.0209,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.789087,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.830184,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.831665,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.832567,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.833521,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,20.4472,21.6062,-35.1848,
0.847939,1.2113,-1.4770,0.2134,0.0748,-0.0883,-0.3782,19.8006,21.8502,-35.3800,
0.849203,1.2113,-1.4770,0.2134,0.0185,-0.1888,-0.4304,19.8006,21.8502,-35.3800,
0.857476,0.0412,-0.3088,0.2732,0.0185,-0.1888,-0.4304,19.8006,21.8502,-35.3800,
0.897774,0.0412,-0.3088,0.2732,0.0185,-0.1888,-0.4304,19.8006,21.8502,-35.3800,
0.899420,0.0412,-0.3088,0.2732,0.0185,-0.1888,-0.4304,19.8006,21.8502,-35.3800,
0.900271,0.0412,-0.3088,0.2732,0.0185,-0.1888,-0.4304,19.8006,21.8502,-35.3800,
0.906405,0.0412,-0.3088,0.2732,0.0185,-0.1888,-0.4304,19.1906,22.2040,-35.6728,
0.916252,0.0412,-0.3088,0.2732,-0.0033,-0.1823,-0.3517,19.1906,22.2040,-35.6728,
0.927093,0.8473,0.0830,0.0164,-0.0033,-0.1823,-0.3517,19.1906,22.2040,-35.6728,
0.963863,0.8473,0.0830,0.0164,-0.0033,-0.1823,-0.3517,19.1906,22.2040,-35.6728,
0.966127,0.8473,0.0830,0.0164,-0.0033,-0.1823,-0.3517,19.1906,22.2040,-35.6728,
0.967118,0.8473,0.0830,0.0164,-0.0033,-0.1823,-0.3517,19.1906,22.2040,-35.6728,
0.968129,0.8473,0.0830,0.0164,-0.0033,-0.1823,-0.3517,18.5684,22.5578,-35.8558,
0.987296,0.8473,0.0830,0.0164,-0.1148,-0.2803,-0.2354,18.5684,22.5578,-35.8558,
0.997210,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,18.5684,22.5578,-35.8558,
1.028573,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,17.9706,22.8018,-35.9656,
1.030391,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,17.9706,22.8018,-35.9656,
1.031436,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,17.9706,22.8018,-35.9656,
1.032406,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,17.9706,22.8018,-35.9656,
1.033490,0.2253,0.9736,0.0099,-0.1148,-0.2803,-0.2354,17.9706,22.8018,-35.9656,
1.058429,0.2253,0.9736,0.0099,-0.2072,-0.3545,-0.1831,17.9706,22.8018,-35.9656,
1.067443,-0.8100,1.1855,0.1213,-0.2072,-0.3545,-0.1831,17.9706,22.8018,-35.9656,
1.085974,-0.8100,1.1855,0.1213,-0.2072,-0.3545,-0.1831,17.3484,23.1312,-36.0632,
1.097979,-0.8100,1.1855,0.1213,-0.2072,-0.3545,-0.1831,17.3484,23.1312,-36.0632,
1.099917,-0.8100,1.1855,0.1213,-0.2072,-0.3545,-0.1831,17.3484,23.1312,-36.0632,
1.102582,-0.8100,1.1855,0.1213,-0.2072,-0.3545,-0.1831,17.3484,23.1312,-36.0632,
1.127691,-0.8100,1.1855,0.1213,-0.2545,-0.5222,-0.3073,17.3484,23.1312,-36.0632,
1.137988,-0.3801,0.7695,-0.3529,-0.2545,-0.5222,-0.3073,17.3484,23.1312,-36.0632,
1.146485,-0.3801,0.7695,-0.3529,-0.2545,-0.5222,-0.3073,16.6408,23.5338,-36.1608,
1.163068,-0.3801,0.7695,-0.3529,-0.2545,-0.5222,-0.3073,16.6408,23.5338,-36.1608,
1.166388,-0.3801,0.7695,-0.3529,-0.2545,-0.5222,-0.3073,16.6408,23.5338,-36.1608,
1.169871,-0.3801,0.7695,-0.3529,-0.2545,-0.5222,-0.3073,16.6408,23.5338,-36.1608,
1.195809,-0.3801,0.7695,-0.3529,-0.5402,-1.0476,-0.2352,16.6408,23.5338,-36.1608,
1.205661,-0.3801,0.7695,-0.3529,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.208531,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.230507,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.234395,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.237714,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.240939,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,15.5794,24.0584,-36.3194,
1.267070,-0.7680,0.8082,0.4321,-0.5402,-1.0476,-0.2352,14.3106,24.6562,-36.4536,
1.271855,-0.7680,0.8082,0.4321,-0.0636,-0.5979,-0.6509,14.3106,24.6562,-36.4536,
1.276425,-1.4058,-0.8522,-0.6027,-0.0636,-0.5979,-0.6509,14.3106,24.6562,-36.4536,
1.296161,-1.4058,-0.8522,-0.6027,-0.0636,-0.5979,-0.6509,14.3106,24.6562,-36.4536,
1.299017,-1.4058,-0.8522,-0.6027,-0.0636,-0.5979,-0.6509,14.3106,24.6562,-36.4536,
1.301563,-1.4058,-0.8522,-0.6027,-0.0636,-0.5979,-0.6509,14.3106,24.6562,-36.4536,
1.326399,-1.4058,-0.8522,-0.6027,-0.0636,-0.5979,-0.6509,12.9808,25.1808,-36.5024,
