
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.046163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.068576,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.084684,0.0000,0.0000,0.0000,0.0075,0.0170,-0.0246,0.0000,0.0000,0.0000,
0.085946,0.0000,0.0000,0.0000,0.0075,0.0170,-0.0246,0.8052,-0.9760,47.2750,
0.104856,0.0000,0.0000,0.0000,0.0075,0.0170,-0.0246,0.8052,-0.9760,47.2750,
0.105866,0.0000,0.0000,0.0000,0.0075,0.0170,-0.0246,0.8052,-0.9760,47.2750,
0.135907,0.0000,0.0000,0.0000,0.0075,0.0170,-0.0246,0.6710,-0.9760,46.9578,
0.156403,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.6710,-0.9760,46.9578,
0.164332,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.6710,-0.9760,46.9578,
0.170437,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.6710,-0.9760,46.9578,
0.171448,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.6710,-0.9760,46.9578,
0.172402,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.6710,-0.9760,46.9578,
0.184710,0.0000,0.0000,0.0000,-0.0079,0.0438,-0.0244,0.5612,-0.9028,46.8480,
0.225067,0.0000,0.0000,0.0000,-0.0226,0.0774,-0.0393,0.5612,-0.9028,46.8480,
0.234494,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.5612,-0.9028,46.8480,
0.235723,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.4636,-0.7442,46.5308,
0.237199,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.4636,-0.7442,46.5308,
0.238098,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.4636,-0.7442,46.5308,
0.238983,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.4636,-0.7442,46.5308,
0.284357,0.0385,-0.0240,0.0359,-0.0226,0.0774,-0.0393,0.4026,-0.6710,46.3844,
0.293352,0.0385,-0.0240,0.0359,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.303700,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.304662,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.305145,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.305589,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.306019,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4026,-0.6710,46.3844,
0.335032,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4148,-0.5734,46.2502,
0.349268,-0.1020,0.0129,0.0183,0.0099,0.0903,-0.0482,0.4148,-0.5002,46.1526,
0.364380,-0.1020,0.0129,0.0183,0.0358,0.0800,-0.0272,0.4148,-0.5002,46.1526,
0.370489,-0.1020,0.0129,0.0183,0.0358,0.0800,-0.0272,0.4148,-0.5002,46.1526,
0.371397,-0.1020,0.0129,0.0183,0.0358,0.0800,-0.0272,0.4148,-0.5002,46.1526,
0.372154,-0.1020,0.0129,0.0183,0.0358,0.0800,-0.0272,0.4148,-0.5002,46.1526,
0.372895,0.0857,-0.0786,0.0687,0.0358,0.0800,-0.0272,0.4148,-0.5002,46.1526,
0.414475,0.0857,-0.0786,0.0687,0.0358,0.0800,-0.0272,0.3172,-0.4514,46.0916,
0.432699,0.0857,-0.0786,0.0687,0.0365,0.0710,-0.0189,0.3172,-0.4514,46.0916,
0.436632,0.0857,-0.0786,0.0687,0.0365,0.0710,-0.0189,0.3172,-0.4514,46.0916,
0.437506,0.0857,-0.0786,0.0687,0.0365,0.0710,-0.0189,0.3172,-0.4514,46.0916,
0.438180,0.0857,-0.0786,0.0687,0.0365,0.0710,-0.0189,0.3172,-0.4514,46.0916,
0.441321,0.0298,0.0566,-0.0188,0.0365,0.0710,-0.0189,0.3172,-0.4514,46.0916,
0.472966,0.0298,0.0566,-0.0188,0.0365,0.0710,-0.0189,0.1586,-0.3050,45.9208,
0.503181,0.0298,0.0566,-0.0188,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.504834,0.0298,0.0566,-0.0188,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.505561,0.0298,0.0566,-0.0188,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.506224,0.0298,0.0566,-0.0188,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.506916,0.0298,0.0566,-0.0188,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.513266,0.0590,-0.0138,-0.0565,0.0502,0.0567,-0.0079,0.1586,-0.3050,45.9208,
0.534880,0.0590,-0.0138,-0.0565,0.0502,0.0567,-0.0079,-0.0000,-0.1708,45.7744,
0.572026,0.0590,-0.0138,-0.0565,0.0499,0.0490,-0.0178,-0.0000,-0.1708,45.7744,
0.573569,0.0590,-0.0138,-0.0565,0.0499,0.0490,-0.0178,-0.0000,-0.1708,45.7744,
0.574492,0.0590,-0.0138,-0.0565,0.0499,0.0490,-0.0178,-0.0000,-0.1708,45.7744,
0.575197,0.0590,-0.0138,-0.0565,0.0499,0.0490,-0.0178,-0.0000,-0.1708,45.7744,
0.582380,0.0018,0.0284,-0.0586,0.0499,0.0490,-0.0178,-0.0000,-0.1708,45.7744,
0.592946,0.0018,0.0284,-0.0586,0.0499,0.0490,-0.0178,-0.1708,-0.0366,45.6768,
0.638561,0.0018,0.0284,-0.0586,0.0499,0.0490,-0.0178,-0.1708,-0.0366,45.6768,
0.639859,0.0018,0.0284,-0.0586,0.0499,0.0490,-0.0178,-0.1708,-0.0366,45.6768,
0.640722,0.0018,0.0284,-0.0586,0.0499,0.0490,-0.0178,-0.1708,-0.0366,45.6768,
0.641417,0.0018,0.0284,-0.0586,0.0316,0.0290,-0.0133,-0.1708,-0.0366,45.6768,
0.652320,0.0018,0.0284,-0.0586,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.653475,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.704434,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.705765,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.706419,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.707078,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.3172,0.0976,45.6646,
0.710850,0.1493,0.0341,-0.0222,0.0316,0.0290,-0.0133,-0.4758,0.1830,45.6158,
0.711902,0.1493,0.0341,-0.0222,0.0246,0.0352,-0.0037,-0.4758,0.1830,45.6158,
0.721728,0.1013,0.0245,0.0012,0.0246,0.0352,-0.0037,-0.4758,0.1830,45.6158,
