
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.041678,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.086556,0.0000,0.0000,0.0000,-0.0188,-0.0696,-0.0390,0.0000,0.0000,0.0000,
0.101260,0.0000,0.0000,0.0000,-0.0188,-0.0696,-0.0390,0.0000,0.0000,0.0000,
0.102562,0.0000,0.0000,0.0000,-0.0188,-0.0696,-0.0390,0.0000,0.0000,0.0000,
0.103497,0.0000,0.0000,0.0000,-0.0188,-0.0696,-0.0390,0.0000,0.0000,0.0000,
0.106107,0.0000,0.0000,0.0000,-0.0188,-0.0696,-0.0390,0.0610,27.2060,-36.6732,
0.159139,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,0.0610,27.2060,-36.6732,
0.167009,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.168392,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.169229,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.169906,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.170300,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.170685,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.1830,27.4622,-36.9416,
0.225921,0.0000,0.0000,0.0000,-0.0317,-0.0557,-0.0383,-0.3660,27.5476,-37.0148,
0.227742,0.0000,0.0000,0.0000,-0.0959,-0.0172,-0.0913,-0.3660,27.5476,-37.0148,
0.235401,-0.0299,0.0615,-0.0108,-0.0959,-0.0172,-0.0913,-0.3660,27.5476,-37.0148,
0.236770,-0.0299,0.0615,-0.0108,-0.0959,-0.0172,-0.0913,-0.3660,27.5476,-37.0148,
0.237848,-0.0299,0.0615,-0.0108,-0.0959,-0.0172,-0.0913,-0.3660,27.5476,-37.0148,
0.238853,-0.0299,0.0615,-0.0108,-0.0959,-0.0172,-0.0913,-0.3660,27.5476,-37.0148,
0.287576,-0.0299,0.0615,-0.0108,-0.0959,-0.0172,-0.0913,-0.5612,27.5964,-37.1124,
0.294464,-0.0299,0.0615,-0.0108,-0.0273,-0.0759,-0.0786,-0.5612,27.5964,-37.1124,
0.300846,-0.0299,0.0615,-0.0108,-0.0273,-0.0759,-0.0786,-0.5612,27.5964,-37.1124,
0.302100,-0.0299,0.0615,-0.0108,-0.0273,-0.0759,-0.0786,-0.5612,27.5964,-37.1124,
0.303014,-0.0299,0.0615,-0.0108,-0.0273,-0.0759,-0.0786,-0.5612,27.5964,-37.1124,
0.304424,-0.0585,-0.0642,0.0089,-0.0273,-0.0759,-0.0786,-0.5612,27.5964,-37.1124,
0.345716,-0.0585,-0.0642,0.0089,-0.0273,-0.0759,-0.0786,-0.6954,27.6452,-37.1124,
0.366574,-0.0585,-0.0642,0.0089,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.367924,-0.0585,-0.0642,0.0089,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.368883,-0.0585,-0.0642,0.0089,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.370031,-0.0585,-0.0642,0.0089,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.370925,-0.0585,-0.0642,0.0089,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.374594,0.1332,0.1710,-0.0121,-0.1210,-0.0639,-0.0369,-0.6954,27.6452,-37.1124,
0.405048,0.1332,0.1710,-0.0121,-0.1210,-0.0639,-0.0369,-0.8540,27.7550,-37.1246,
0.434802,0.1332,0.1710,-0.0121,-0.0891,-0.0216,-0.0402,-0.8540,27.7550,-37.1246,
0.436123,0.1332,0.1710,-0.0121,-0.0891,-0.0216,-0.0402,-0.8540,27.7550,-37.1246,
0.437074,0.1332,0.1710,-0.0121,-0.0891,-0.0216,-0.0402,-0.8540,27.7550,-37.1246,
0.438248,0.1332,0.1710,-0.0121,-0.0891,-0.0216,-0.0402,-0.8540,27.7550,-37.1246,
0.444805,0.1073,-0.0005,0.0255,-0.0891,-0.0216,-0.0402,-0.8540,27.7550,-37.1246,
0.466532,0.1073,-0.0005,0.0255,-0.0891,-0.0216,-0.0402,-0.9760,27.8648,-37.1246,
0.503332,0.1073,-0.0005,0.0255,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.504858,0.1073,-0.0005,0.0255,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.505793,0.1073,-0.0005,0.0255,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.506660,0.1073,-0.0005,0.0255,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.507451,0.1073,-0.0005,0.0255,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.514154,0.1060,-0.0874,-0.0422,-0.0867,0.0049,-0.0457,-0.9760,27.8648,-37.1246,
0.524234,0.1060,-0.0874,-0.0422,-0.0867,0.0049,-0.0457,-1.0492,27.9746,-37.1124,
