
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.046460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6794,26.4618,-33.9404,
0.080797,0.0000,0.0000,0.0000,-0.0253,0.0116,-0.0001,21.6794,26.4618,-33.9404,
0.101399,0.0000,0.0000,0.0000,-0.0253,0.0116,-0.0001,21.7770,26.6570,-34.0502,
0.103214,0.0000,0.0000,0.0000,-0.0253,0.0116,-0.0001,21.7770,26.6570,-34.0502,
0.104111,0.0000,0.0000,0.0000,-0.0253,0.0116,-0.0001,21.7770,26.6570,-34.0502,
0.104874,0.0000,0.0000,0.0000,-0.0253,0.0116,-0.0001,21.7770,26.6570,-34.0502,
0.149463,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.6570,-34.0502,
0.150694,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.7546,-34.1600,
0.159230,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.7546,-34.1600,
0.169033,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.7546,-34.1600,
0.170086,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.7546,-34.1600,
0.170911,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7770,26.7546,-34.1600,
0.203182,0.0000,0.0000,0.0000,-0.0233,0.0233,-0.0009,21.7282,26.8278,-34.2210,
0.219745,0.0000,0.0000,0.0000,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.229102,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.233884,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.234777,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.235720,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.236485,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.7282,26.8278,-34.2210,
0.251464,-0.0369,0.0134,-0.0276,-0.0469,0.0277,-0.0165,21.6794,26.9132,-34.3186,
0.292768,-0.0369,0.0134,-0.0276,-0.0302,0.0031,-0.0115,21.6794,26.9132,-34.3186,
0.294709,-0.0369,0.0134,-0.0276,-0.0302,0.0031,-0.0115,21.6306,27.0352,-34.2820,
0.298396,-0.0447,-0.0237,-0.0086,-0.0302,0.0031,-0.0115,21.6306,27.0352,-34.2820,
0.305373,-0.0447,-0.0237,-0.0086,-0.0302,0.0031,-0.0115,21.6306,27.0352,-34.2820,
0.306323,-0.0447,-0.0237,-0.0086,-0.0302,0.0031,-0.0115,21.6306,27.0352,-34.2820,
0.307205,-0.0447,-0.0237,-0.0086,-0.0302,0.0031,-0.0115,21.6306,27.0352,-34.2820,
0.360508,-0.0447,-0.0237,-0.0086,-0.0302,0.0031,-0.0115,21.6184,27.1084,-34.3552,
0.362004,-0.0447,-0.0237,-0.0086,-0.0309,-0.0269,-0.0170,21.6184,27.1084,-34.3552,
0.370280,-0.0447,-0.0237,-0.0086,-0.0309,-0.0269,-0.0170,21.6184,27.1084,-34.3552,
0.371567,-0.0447,-0.0237,-0.0086,-0.0309,-0.0269,-0.0170,21.6184,27.1084,-34.3552,
