
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.058618,-0.8963,0.2176,0.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.083047,-0.8963,0.2176,0.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.093876,-0.8963,0.2176,0.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096601,-0.8963,0.2176,0.7296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.098695,-0.8963,0.2176,0.7296,0.0000,0.0000,0.0000,0.6188,23.3063,-41.5312,
0.101686,-0.8963,0.2176,0.7296,-0.0066,-0.0011,0.0084,0.6188,23.3063,-41.5312,
0.114013,-0.8963,0.2176,0.7296,-0.0066,-0.0011,0.0084,0.6188,23.3063,-41.5312,
0.132945,0.0055,-0.2477,0.0294,-0.0066,-0.0011,0.0084,0.6188,23.3063,-41.5312,
0.151495,0.0055,-0.2477,0.0294,-0.0066,-0.0011,0.0084,0.6188,23.3063,-41.5312,
0.154078,0.0253,-0.2868,0.0136,-0.0066,-0.0011,0.0084,0.6188,23.3063,-41.5312,
0.156533,0.0253,-0.2868,0.0136,-0.0066,-0.0011,0.0084,0.5250,23.4938,-41.4188,
0.162119,0.0253,-0.2868,0.0136,-0.0201,0.0184,0.0084,0.5250,23.4938,-41.4188,
0.170684,0.0114,-0.3255,0.0038,-0.0201,0.0184,0.0084,0.5250,23.4938,-41.4188,
0.190268,-0.0428,-0.3113,0.0380,-0.0201,0.0184,0.0084,0.5250,23.4938,-41.4188,
0.210601,-0.0409,-0.3111,0.0184,-0.0201,0.0184,0.0084,0.5250,23.4938,-41.4188,
0.214219,-0.0409,-0.3111,0.0184,-0.0201,0.0184,0.0084,0.5250,23.4938,-41.4188,
0.216616,-0.0409,-0.3111,0.0184,-0.0201,0.0184,0.0084,0.1125,23.7000,-41.2125,
0.222765,-0.0409,-0.3111,0.0184,-0.0115,0.0099,0.0071,0.1125,23.7000,-41.2125,
0.228065,-0.0319,-0.2681,-0.0098,-0.0115,0.0099,0.0071,0.1125,23.7000,-41.2125,
0.247614,0.0020,-0.2492,-0.0040,-0.0115,0.0099,0.0071,0.1125,23.7000,-41.2125,
0.266792,-0.0146,-0.2615,-0.0191,-0.0115,0.0099,0.0071,0.1125,23.7000,-41.2125,
0.275159,-0.0146,-0.2615,-0.0191,-0.0115,0.0099,0.0071,0.3188,23.6063,-41.5312,
0.277969,-0.0146,-0.2615,-0.0191,-0.0115,0.0099,0.0071,0.3188,23.6063,-41.5312,
0.285130,-0.0146,-0.2615,-0.0191,-0.0115,0.0062,0.0036,0.3188,23.6063,-41.5312,
0.285853,-0.0215,-0.2928,0.0130,-0.0115,0.0062,0.0036,0.3188,23.6063,-41.5312,
0.305221,-0.0537,-0.3022,0.0335,-0.0115,0.0062,0.0036,0.3188,23.6063,-41.5312,
0.324316,-0.0708,-0.2801,0.0005,-0.0115,0.0062,0.0036,0.3188,23.6063,-41.5312,
0.334547,-0.0708,-0.2801,0.0005,-0.0115,0.0062,0.0036,1.8750,23.8500,-43.0312,
0.337871,-0.0708,-0.2801,0.0005,-0.0115,0.0062,0.0036,1.8750,23.8500,-43.0312,
0.343393,-0.0238,-0.2917,-0.0176,-0.0115,0.0062,0.0036,1.8750,23.8500,-43.0312,
0.346768,-0.0238,-0.2917,-0.0176,-0.0005,-0.0146,-0.0014,1.8750,23.8500,-43.0312,
0.363149,-0.0280,-0.2890,-0.0021,-0.0005,-0.0146,-0.0014,1.8750,23.8500,-43.0312,
0.381871,-0.0495,-0.2504,0.0011,-0.0005,-0.0146,-0.0014,1.8750,23.8500,-43.0312,
0.393687,-0.0495,-0.2504,0.0011,-0.0005,-0.0146,-0.0014,0.6000,23.9062,-41.5312,
0.399401,-0.0495,-0.2504,0.0011,-0.0005,-0.0146,-0.0014,0.6000,23.9062,-41.5312,
0.400319,-0.0490,-0.2333,-0.0291,-0.0005,-0.0146,-0.0014,0.6000,23.9062,-41.5312,
0.410296,-0.0490,-0.2333,-0.0291,0.0007,-0.0341,-0.0099,0.6000,23.9062,-41.5312,
0.420838,-0.0343,-0.2260,-0.0391,0.0007,-0.0341,-0.0099,0.6000,23.9062,-41.5312,
0.439322,-0.0246,-0.2764,-0.0409,0.0007,-0.0341,-0.0099,0.6000,23.9062,-41.5312,
0.454626,-0.0246,-0.2764,-0.0409,0.0007,-0.0341,-0.0099,0.4125,23.8125,-41.7375,
0.458282,-0.0178,-0.2931,-0.0266,0.0007,-0.0341,-0.0099,0.4125,23.8125,-41.7375,
0.462720,-0.0178,-0.2931,-0.0266,0.0007,-0.0341,-0.0099,0.4125,23.8125,-41.7375,
0.471872,-0.0178,-0.2931,-0.0266,0.0044,-0.0341,-0.0111,0.4125,23.8125,-41.7375,
0.477413,0.0009,-0.2856,-0.0233,0.0044,-0.0341,-0.0111,0.4125,23.8125,-41.7375,
0.497135,-0.0235,-0.2733,-0.0492,0.0044,-0.0341,-0.0111,0.4125,23.8125,-41.7375,
0.514854,-0.0235,-0.2733,-0.0492,0.0044,-0.0341,-0.0111,0.1125,23.8125,-41.5125,
0.515996,-0.0028,-0.2920,-0.0271,0.0044,-0.0341,-0.0111,0.1125,23.8125,-41.5125,
0.523800,-0.0028,-0.2920,-0.0271,0.0044,-0.0341,-0.0111,0.1125,23.8125,-41.5125,
0.534003,-0.0028,-0.2920,-0.0271,0.0092,-0.0329,-0.0124,0.1125,23.8125,-41.5125,
0.536637,-0.0012,-0.2532,-0.0461,0.0092,-0.0329,-0.0124,0.1125,23.8125,-41.5125,
0.554175,-0.0207,-0.2481,-0.0573,0.0092,-0.0329,-0.0124,0.1125,23.8125,-41.5125,
0.572378,0.0030,-0.2886,-0.0513,0.0092,-0.0329,-0.0124,0.1125,23.8125,-41.5125,
0.573684,0.0030,-0.2886,-0.0513,0.0092,-0.0329,-0.0124,0.2250,23.7188,-41.7188,
0.588249,0.0030,-0.2886,-0.0513,0.0092,-0.0329,-0.0124,0.2250,23.7188,-41.7188,
0.591809,0.0071,-0.3048,-0.0154,0.0092,-0.0329,-0.0124,0.2250,23.7188,-41.7188,
0.596840,0.0071,-0.3048,-0.0154,0.0129,-0.0208,-0.0087,0.2250,23.7188,-41.7188,
0.611170,-0.0011,-0.2776,-0.0075,0.0129,-0.0208,-0.0087,0.2250,23.7188,-41.7188,
0.630080,0.0001,-0.2576,-0.0402,0.0129,-0.0208,-0.0087,0.2250,23.7188,-41.7188,
0.636192,0.0001,-0.2576,-0.0402,0.0129,-0.0208,-0.0087,0.0188,23.6063,-41.3063,
0.648500,0.0001,-0.2576,-0.0402,0.0129,-0.0208,-0.0087,0.0188,23.6063,-41.3063,
0.651313,-0.0078,-0.2499,-0.0259,0.0129,-0.0208,-0.0087,0.0188,23.6063,-41.3063,
0.657731,-0.0078,-0.2499,-0.0259,0.0032,-0.0256,-0.0099,0.0188,23.6063,-41.3063,
0.668074,0.0059,-0.2257,0.0087,0.0032,-0.0256,-0.0099,0.0188,23.6063,-41.3063,
0.688093,0.0271,-0.2232,-0.0252,0.0032,-0.0256,-0.0099,0.0188,23.6063,-41.3063,
0.695153,0.0271,-0.2232,-0.0252,0.0032,-0.0256,-0.0099,0.2250,23.5312,-41.7375,
0.707315,0.0292,-0.2471,-0.0206,0.0032,-0.0256,-0.0099,0.2250,23.5312,-41.7375,
0.710197,0.0292,-0.2471,-0.0206,0.0032,-0.0256,-0.0099,0.2250,23.5312,-41.7375,
