
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.014630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.024689,0.1419,-0.2111,-0.3330,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043478,0.1216,-0.1087,-0.1726,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.059715,0.1216,-0.1087,-0.1726,0.0000,0.0000,0.0000,-10.5188,-6.3750,42.6375,
0.063216,0.1216,-0.1087,-0.1726,0.0000,0.0000,0.0000,-10.5188,-6.3750,42.6375,
0.064056,0.1216,-0.1087,-0.1726,0.0253,-0.0012,-0.0066,-10.5188,-6.3750,42.6375,
0.064794,0.0999,-0.0448,-0.2372,0.0253,-0.0012,-0.0066,-10.5188,-6.3750,42.6375,
0.082863,0.0245,-0.0325,-0.3245,0.0253,-0.0012,-0.0066,-10.5188,-6.3750,42.6375,
0.101431,0.0283,-0.1436,-0.2692,0.0253,-0.0012,-0.0066,-10.5188,-6.3750,42.6375,
0.110968,0.0283,-0.1436,-0.2692,0.0253,-0.0012,-0.0066,-10.5188,-6.3750,42.6375,
0.121624,0.0283,-0.1436,-0.2692,0.0253,-0.0012,-0.0066,-10.8188,-6.3375,42.2250,
0.122996,0.0771,-0.2351,-0.1650,0.0253,-0.0012,-0.0066,-10.8188,-6.3375,42.2250,
0.125047,0.0771,-0.2351,-0.1650,-0.0041,-0.0012,-0.0041,-10.8188,-6.3375,42.2250,
0.140821,0.0970,-0.3033,-0.1445,-0.0041,-0.0012,-0.0041,-10.8188,-6.3375,42.2250,
0.159288,0.0970,-0.3033,-0.1445,-0.0041,-0.0012,-0.0041,-10.8188,-6.3375,42.2250,
0.161899,0.1099,-0.2441,-0.2000,-0.0041,-0.0012,-0.0041,-10.8188,-6.3375,42.2250,
0.178059,0.1373,-0.2213,-0.2182,-0.0041,-0.0012,-0.0041,-10.8188,-6.3375,42.2250,
0.180051,0.1373,-0.2213,-0.2182,-0.0041,-0.0012,-0.0041,-10.9875,-6.6188,41.9250,
0.186764,0.1373,-0.2213,-0.2182,0.0081,-0.0110,-0.0029,-10.9875,-6.6188,41.9250,
0.197644,0.1143,-0.1988,-0.1514,0.0081,-0.0110,-0.0029,-10.9875,-6.6188,41.9250,
0.208249,0.1143,-0.1988,-0.1514,0.0081,-0.0110,-0.0029,-10.9875,-6.6188,41.9250,
0.217131,0.0421,-0.1787,-0.1354,0.0081,-0.0110,-0.0029,-10.9875,-6.6188,41.9250,
0.235392,-0.0087,-0.2017,-0.1433,0.0081,-0.0110,-0.0029,-10.9875,-6.6188,41.9250,
0.241319,-0.0087,-0.2017,-0.1433,0.0081,-0.0110,-0.0029,-10.5188,-6.6000,42.9563,
0.248953,-0.0087,-0.2017,-0.1433,0.0033,-0.0366,-0.0005,-10.5188,-6.6000,42.9563,
0.254736,-0.0087,-0.2017,-0.1433,0.0033,-0.0366,-0.0005,-10.5188,-6.6000,42.9563,
0.256883,0.0654,-0.2463,-0.1131,0.0033,-0.0366,-0.0005,-10.5188,-6.6000,42.9563,
0.273635,0.0739,-0.2357,-0.1070,0.0033,-0.0366,-0.0005,-10.5188,-6.6000,42.9563,
0.292477,0.1279,-0.2655,-0.0896,0.0033,-0.0366,-0.0005,-10.5188,-6.6000,42.9563,
0.299697,0.1279,-0.2655,-0.0896,0.0033,-0.0366,-0.0005,-10.3313,-6.3000,42.7313,
0.301726,0.1279,-0.2655,-0.0896,0.0033,-0.0366,-0.0005,-10.3313,-6.3000,42.7313,
0.311008,0.1279,-0.2655,-0.0896,0.0081,-0.0330,-0.0115,-10.3313,-6.3000,42.7313,
0.311921,0.1453,-0.2567,-0.0919,0.0081,-0.0330,-0.0115,-10.3313,-6.3000,42.7313,
0.331852,0.1816,-0.2358,-0.0752,0.0081,-0.0330,-0.0115,-10.3313,-6.3000,42.7313,
0.350902,0.1816,-0.2358,-0.0752,0.0081,-0.0330,-0.0115,-10.3313,-6.3000,42.7313,
0.353383,0.1914,-0.2844,-0.0971,0.0081,-0.0330,-0.0115,-10.3313,-6.3000,42.7313,
0.361014,0.1914,-0.2844,-0.0971,0.0081,-0.0330,-0.0115,-10.2375,-6.1875,42.7313,
0.369298,0.1577,-0.3254,-0.0911,0.0081,-0.0330,-0.0115,-10.2375,-6.1875,42.7313,
0.374199,0.1577,-0.3254,-0.0911,0.0179,-0.0158,-0.0078,-10.2375,-6.1875,42.7313,
0.388993,0.1115,-0.3273,-0.0393,0.0179,-0.0158,-0.0078,-10.2375,-6.1875,42.7313,
0.398701,0.1115,-0.3273,-0.0393,0.0179,-0.0158,-0.0078,-10.2375,-6.1875,42.7313,
0.408524,0.0030,-0.2807,-0.0397,0.0179,-0.0158,-0.0078,-10.2375,-6.1875,42.7313,
0.419888,0.0030,-0.2807,-0.0397,0.0179,-0.0158,-0.0078,-10.5375,-6.0563,42.3375,
0.427996,0.0076,-0.2157,-0.1529,0.0179,-0.0158,-0.0078,-10.5375,-6.0563,42.3375,
0.435078,0.0076,-0.2157,-0.1529,0.0241,-0.0146,-0.0225,-10.5375,-6.0563,42.3375,
0.445105,0.0076,-0.2157,-0.1529,0.0241,-0.0146,-0.0225,-10.5375,-6.0563,42.3375,
0.446248,0.0454,-0.1896,-0.1161,0.0241,-0.0146,-0.0225,-10.5375,-6.0563,42.3375,
0.465309,0.0832,-0.1705,-0.1034,0.0241,-0.0146,-0.0225,-10.5375,-6.0563,42.3375,
0.479941,0.0832,-0.1705,-0.1034,0.0241,-0.0146,-0.0225,-10.5375,-5.9813,42.6375,
0.484296,0.1408,-0.1560,-0.1250,0.0241,-0.0146,-0.0225,-10.5375,-5.9813,42.6375,
0.493699,0.1408,-0.1560,-0.1250,0.0241,-0.0146,-0.0225,-10.5375,-5.9813,42.6375,
0.497631,0.1408,-0.1560,-0.1250,0.0241,-0.0060,-0.0005,-10.5375,-5.9813,42.6375,
0.503052,0.1178,-0.2041,-0.1411,0.0241,-0.0060,-0.0005,-10.5375,-5.9813,42.6375,
0.523097,0.0687,-0.2694,-0.1390,0.0241,-0.0060,-0.0005,-10.5375,-5.9813,42.6375,
0.539874,0.0687,-0.2694,-0.1390,0.0241,-0.0060,-0.0005,-10.6313,-6.1688,42.6375,
0.540850,0.0687,-0.2694,-0.1390,0.0241,-0.0060,-0.0005,-10.6313,-6.1688,42.6375,
0.541535,0.0411,-0.2653,-0.0986,0.0241,-0.0060,-0.0005,-10.6313,-6.1688,42.6375,
0.561546,0.0411,-0.2653,-0.0986,0.0276,0.0098,-0.0005,-10.6313,-6.1688,42.6375,
0.564007,0.0617,-0.2365,-0.0986,0.0276,0.0098,-0.0005,-10.6313,-6.1688,42.6375,
0.580114,0.0609,-0.1597,-0.0801,0.0276,0.0098,-0.0005,-10.6313,-6.1688,42.6375,
0.588958,0.0609,-0.1597,-0.0801,0.0276,0.0098,-0.0005,-10.6313,-6.1688,42.6375,
0.598721,0.0528,-0.1912,-0.1076,0.0276,0.0098,-0.0005,-10.6313,-6.1688,42.6375,
0.599922,0.0528,-0.1912,-0.1076,0.0276,0.0098,-0.0005,-10.4625,-5.8125,42.9563,
0.619760,0.1038,-0.2380,-0.1084,0.0276,0.0098,-0.0005,-10.4625,-5.8125,42.9563,
0.622877,0.1038,-0.2380,-0.1084,0.0008,0.0403,0.0069,-10.4625,-5.8125,42.9563,
0.637359,0.1038,-0.2380,-0.1084,0.0008,0.0403,0.0069,-10.4625,-5.8125,42.9563,
0.640294,0.1369,-0.1872,-0.1364,0.0008,0.0403,0.0069,-10.4625,-5.8125,42.9563,
0.656675,0.1155,-0.2079,-0.0911,0.0008,0.0403,0.0069,-10.4625,-5.8125,42.9563,
0.658769,0.1155,-0.2079,-0.0911,0.0008,0.0403,0.0069,-10.8375,-5.7750,42.7500,
0.676086,0.0477,-0.2474,-0.1164,0.0008,0.0403,0.0069,-10.8375,-5.7750,42.7500,
