
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.064035,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.072647,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.073340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.096013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.4298,11.7852,-42.1998,
0.104506,0.0000,0.0000,0.0000,-0.0322,-0.0800,-0.0360,7.4298,11.7852,-42.1998,
0.127713,0.0000,0.0000,0.0000,-0.0322,-0.0800,-0.0360,7.4298,11.7852,-42.1998,
0.129040,0.0000,0.0000,0.0000,-0.0322,-0.0800,-0.0360,7.4298,11.7852,-42.1998,
0.130111,0.0000,0.0000,0.0000,-0.0322,-0.0800,-0.0360,7.4298,11.7852,-42.1998,
0.155970,0.0000,0.0000,0.0000,-0.0322,-0.0800,-0.0360,7.2102,11.9194,-42.4316,
0.176565,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.2102,11.9194,-42.4316,
0.178422,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.2102,11.9194,-42.4316,
0.195814,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.2102,11.9194,-42.4316,
0.196988,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.2102,11.9194,-42.4316,
0.198371,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.2102,11.9194,-42.4316,
0.225721,0.0000,0.0000,0.0000,-0.0720,-0.0896,0.0052,7.1004,12.0536,-42.4438,
0.245333,0.0000,0.0000,0.0000,-0.0121,-0.0758,-0.0182,7.1004,12.0536,-42.4438,
0.246946,-0.0141,-0.0910,0.0379,-0.0121,-0.0758,-0.0182,7.1004,12.0536,-42.4438,
0.261297,-0.0141,-0.0910,0.0379,-0.0121,-0.0758,-0.0182,7.1004,12.0536,-42.4438,
0.262696,-0.0141,-0.0910,0.0379,-0.0121,-0.0758,-0.0182,7.1004,12.0536,-42.4438,
0.263628,-0.0141,-0.0910,0.0379,-0.0121,-0.0758,-0.0182,7.1004,12.0536,-42.4438,
0.285542,-0.0141,-0.0910,0.0379,-0.0121,-0.0758,-0.0182,6.9540,12.2244,-42.7000,
0.315240,-0.0141,-0.0910,0.0379,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.316945,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.328142,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.329346,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.330394,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.331337,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.9540,12.2244,-42.7000,
0.344940,0.0542,-0.0459,0.0006,-0.0108,-0.0261,-0.0173,6.7344,12.2854,-42.7854,
0.386614,0.0542,-0.0459,0.0006,-0.0144,0.0161,-0.0164,6.7344,12.2854,-42.7854,
0.388261,0.0928,-0.0045,0.0239,-0.0144,0.0161,-0.0164,6.7344,12.2854,-42.7854,
0.394967,0.0928,-0.0045,0.0239,-0.0144,0.0161,-0.0164,6.7344,12.2854,-42.7854,
0.395995,0.0928,-0.0045,0.0239,-0.0144,0.0161,-0.0164,6.7344,12.2854,-42.7854,
0.396777,0.0928,-0.0045,0.0239,-0.0144,0.0161,-0.0164,6.7344,12.2854,-42.7854,
0.406554,0.0928,-0.0045,0.0239,-0.0144,0.0161,-0.0164,6.6368,12.3342,-42.8464,
0.455155,0.0441,-0.0416,-0.0297,-0.0144,0.0161,-0.0164,6.6368,12.3342,-42.8464,
0.456920,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.6368,12.3342,-42.8464,
0.460027,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.6368,12.3342,-42.8464,
0.461000,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.6368,12.3342,-42.8464,
0.461863,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.6368,12.3342,-42.8464,
0.462908,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.6368,12.4562,-42.9684,
0.524579,0.0441,-0.0416,-0.0297,-0.0142,0.0478,-0.0224,6.5758,12.5050,-43.0172,
0.526570,0.0441,-0.0416,-0.0297,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.527587,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.528518,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.529305,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.530452,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.531223,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5758,12.5050,-43.0172,
0.586043,0.0601,-0.0243,0.0150,-0.0268,0.0594,-0.0224,6.5148,12.6392,-43.1514,
0.594373,0.0560,0.0460,-0.0088,-0.0268,0.0594,-0.0224,6.5148,12.6392,-43.1514,
0.595704,0.0560,0.0460,-0.0088,-0.0312,0.0690,-0.0216,6.5148,12.6392,-43.1514,
0.596899,0.0560,0.0460,-0.0088,-0.0312,0.0690,-0.0216,6.5148,12.6392,-43.1514,
0.597682,0.0560,0.0460,-0.0088,-0.0312,0.0690,-0.0216,6.5148,12.6392,-43.1514,
0.598601,0.0560,0.0460,-0.0088,-0.0312,0.0690,-0.0216,6.5148,12.6392,-43.1514,
0.645228,0.0560,0.0460,-0.0088,-0.0312,0.0690,-0.0216,6.5026,12.7246,-43.1514,
0.663066,0.0560,0.0460,-0.0088,-0.0389,0.0469,-0.0196,6.5026,12.7246,-43.1514,
0.664503,0.0560,0.0460,-0.0088,-0.0389,0.0469,-0.0196,6.5026,12.7246,-43.1514,
0.665350,0.0560,0.0460,-0.0088,-0.0389,0.0469,-0.0196,6.5026,12.7246,-43.1514,
0.666332,0.0560,0.0460,-0.0088,-0.0389,0.0469,-0.0196,6.5026,12.7246,-43.1514,
0.667147,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.5026,12.7246,-43.1514,
0.702420,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.4904,12.7978,-43.2246,
0.727539,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.4904,12.7978,-43.2246,
0.728825,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.4904,12.7978,-43.2246,
0.729671,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.4904,12.7978,-43.2246,
0.730613,-0.0805,-0.0198,-0.0746,-0.0389,0.0469,-0.0196,6.4904,12.7978,-43.2246,
0.732874,-0.0805,-0.0198,-0.0746,-0.0224,-0.0004,-0.0121,6.4904,12.7978,-43.2246,
0.734164,-0.1382,-0.0200,-0.0192,-0.0224,-0.0004,-0.0121,6.4904,12.7978,-43.2246,
0.763643,-0.1382,-0.0200,-0.0192,-0.0224,-0.0004,-0.0121,6.5270,12.8588,-43.2124,
0.794326,-0.1382,-0.0200,-0.0192,-0.0224,-0.0004,-0.0121,6.5270,12.8588,-43.2124,
0.797484,-0.1382,-0.0200,-0.0192,-0.0224,-0.0004,-0.0121,6.5270,12.8588,-43.2124,
0.800175,-0.1382,-0.0200,-0.0192,-0.0224,-0.0004,-0.0121,6.5270,12.8588,-43.2124,
0.803967,-0.1382,-0.0200,-0.0192,-0.0226,-0.0173,-0.0025,6.5270,12.8588,-43.2124,
0.806061,-0.0988,-0.0302,-0.0586,-0.0226,-0.0173,-0.0025,6.5270,12.8588,-43.2124,
