
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.019885,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.025381,0.1900,-0.1164,-1.4107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.045538,0.3740,0.0731,-2.0321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.058440,0.3740,0.0731,-2.0321,0.0000,0.0000,0.0000,-2.8125,-45.4500,-1.4250,
0.065924,0.3740,0.0731,-2.0321,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.067252,0.4866,0.0767,-1.3196,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.069315,0.4866,0.0767,-1.3196,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.083937,0.2127,-0.0784,-0.9538,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.103221,0.0425,-0.1638,-0.4860,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.116846,0.0425,-0.1638,-0.4860,-0.1737,0.1862,0.0417,-2.8125,-45.4500,-1.4250,
0.119615,0.0425,-0.1638,-0.4860,-0.1737,0.1862,0.0417,-2.8125,-45.1125,-2.2500,
0.121418,-0.0686,-0.1242,0.0048,-0.1737,0.1862,0.0417,-2.8125,-45.1125,-2.2500,
0.125997,-0.0686,-0.1242,0.0048,-0.4168,0.1935,-0.0426,-2.8125,-45.1125,-2.2500,
0.141107,-0.2722,-0.1492,0.7497,-0.4168,0.1935,-0.0426,-2.8125,-45.1125,-2.2500,
0.160577,-0.2999,-0.2476,1.1998,-0.4168,0.1935,-0.0426,-2.8125,-45.1125,-2.2500,
0.166885,-0.2999,-0.2476,1.1998,-0.4168,0.1935,-0.0426,-2.8125,-45.1125,-2.2500,
0.179671,-0.2541,-0.2993,1.2399,-0.4168,0.1935,-0.0426,-2.8125,-45.1125,-2.2500,
0.182425,-0.2541,-0.2993,1.2399,-0.4168,0.1935,-0.0426,-3.3000,-45.0750,-2.6438,
0.188591,-0.2541,-0.2993,1.2399,-0.0368,0.0664,-0.0048,-3.3000,-45.0750,-2.6438,
0.198337,-0.1573,-0.2451,1.1216,-0.0368,0.0664,-0.0048,-3.3000,-45.0750,-2.6438,
0.219113,-0.1573,-0.2451,1.1216,-0.0368,0.0664,-0.0048,-3.3000,-45.0750,-2.6438,
0.220132,-0.1529,-0.2028,0.7795,-0.0368,0.0664,-0.0048,-3.3000,-45.0750,-2.6438,
0.236100,-0.1557,-0.1290,0.3079,-0.0368,0.0664,-0.0048,-3.3000,-45.0750,-2.6438,
0.238195,-0.1557,-0.1290,0.3079,-0.0368,0.0664,-0.0048,-3.1125,-44.9813,-2.5500,
0.249899,-0.1557,-0.1290,0.3079,0.2344,-0.0104,0.0159,-3.1125,-44.9813,-2.5500,
0.256277,-0.0524,-0.1968,-0.0620,0.2344,-0.0104,0.0159,-3.1125,-44.9813,-2.5500,
0.260059,-0.0524,-0.1968,-0.0620,0.2344,-0.0104,0.0159,-3.1125,-44.9813,-2.5500,
0.274783,-0.0469,-0.0749,-0.4383,0.2344,-0.0104,0.0159,-3.1125,-44.9813,-2.5500,
0.294090,0.0116,-0.0777,-0.6236,0.2344,-0.0104,0.0159,-3.1125,-44.9813,-2.5500,
0.300150,0.0116,-0.0777,-0.6236,0.2344,-0.0104,0.0159,-2.7188,-45.2625,-1.5188,
0.309463,0.0116,-0.0777,-0.6236,0.2344,-0.0104,0.0159,-2.7188,-45.2625,-1.5188,
0.312843,0.0116,-0.0777,-0.6236,0.0890,-0.0203,0.0110,-2.7188,-45.2625,-1.5188,
0.315077,0.0126,-0.0604,-0.7392,0.0890,-0.0203,0.0110,-2.7188,-45.2625,-1.5188,
0.332486,0.0268,-0.0724,-0.7884,0.0890,-0.0203,0.0110,-2.7188,-45.2625,-1.5188,
0.352457,-0.0038,-0.0852,-0.4144,0.0890,-0.0203,0.0110,-2.7188,-45.2625,-1.5188,
