
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.026939,0.4587,-0.3671,-0.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.039998,0.4587,-0.3671,-0.6646,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.046122,0.2394,-0.2864,-0.9493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.053527,0.2394,-0.2864,-0.9493,0.0000,0.0000,0.0000,-25.1813,-40.0125,-2.6250,
0.064003,0.2394,-0.2864,-0.9493,-0.1493,0.1957,0.0681,-25.1813,-40.0125,-2.6250,
0.065463,-0.0813,-0.2627,-0.9247,-0.1493,0.1957,0.0681,-25.1813,-40.0125,-2.6250,
0.084669,-0.3600,-0.3675,-0.6850,-0.1493,0.1957,0.0681,-25.1813,-40.0125,-2.6250,
0.087842,-0.3600,-0.3675,-0.6850,-0.1493,0.1957,0.0681,-25.1813,-40.0125,-2.6250,
0.104773,-0.3452,-0.2815,0.2895,-0.1493,0.1957,0.0681,-25.1813,-40.0125,-2.6250,
0.113812,-0.3452,-0.2815,0.2895,-0.1493,0.1957,0.0681,-25.6875,-39.3750,-3.2438,
0.122711,-0.1642,-0.6623,-0.2858,-0.1493,0.1957,0.0681,-25.6875,-39.3750,-3.2438,
0.126569,-0.1642,-0.6623,-0.2858,-0.0382,-0.1110,0.2135,-25.6875,-39.3750,-3.2438,
0.135939,-0.1642,-0.6623,-0.2858,-0.0382,-0.1110,0.2135,-25.6875,-39.3750,-3.2438,
0.141361,0.1329,-0.3239,-0.6999,-0.0382,-0.1110,0.2135,-25.6875,-39.3750,-3.2438,
0.160271,-0.0417,-0.2556,-1.2081,-0.0382,-0.1110,0.2135,-25.6875,-39.3750,-3.2438,
0.173923,-0.0417,-0.2556,-1.2081,-0.0382,-0.1110,0.2135,-26.1750,-39.5250,-2.1750,
0.179603,-0.2712,-0.3215,-1.4904,-0.0382,-0.1110,0.2135,-26.1750,-39.5250,-2.1750,
0.184477,-0.2712,-0.3215,-1.4904,-0.0382,-0.1110,0.2135,-26.1750,-39.5250,-2.1750,
0.188488,-0.2712,-0.3215,-1.4904,-0.1763,-0.6044,0.2294,-26.1750,-39.5250,-2.1750,
0.199007,0.0716,-0.5171,-1.1013,-0.1763,-0.6044,0.2294,-26.1750,-39.5250,-2.1750,
0.221453,0.4144,-0.6273,-0.6762,-0.1763,-0.6044,0.2294,-26.1750,-39.5250,-2.1750,
0.231387,0.4144,-0.6273,-0.6762,-0.1763,-0.6044,0.2294,-26.1750,-39.5250,-2.1750,
0.233277,0.4144,-0.6273,-0.6762,-0.1763,-0.6044,0.2294,-26.4938,-38.9625,-1.3313,
0.238194,0.3457,-0.6765,-0.7855,-0.1763,-0.6044,0.2294,-26.4938,-38.9625,-1.3313,
0.252975,0.3457,-0.6765,-0.7855,-0.1946,-0.7524,0.2245,-26.4938,-38.9625,-1.3313,
0.256655,0.3937,-0.5069,-1.1343,-0.1946,-0.7524,0.2245,-26.4938,-38.9625,-1.3313,
0.276434,0.2773,-0.4661,-1.3820,-0.1946,-0.7524,0.2245,-26.4938,-38.9625,-1.3313,
0.279051,0.2773,-0.4661,-1.3820,-0.1946,-0.7524,0.2245,-26.4938,-38.9625,-1.3313,
0.294347,0.2773,-0.4661,-1.3820,-0.1946,-0.7524,0.2245,-26.9250,-38.4938,-0.6000,
0.297493,0.4672,-0.4710,-1.1145,-0.1946,-0.7524,0.2245,-26.9250,-38.4938,-0.6000,
0.312366,0.4672,-0.4710,-1.1145,-0.5184,-0.5813,0.1743,-26.9250,-38.4938,-0.6000,
0.313204,0.2097,-0.6407,-0.7744,-0.5184,-0.5813,0.1743,-26.9250,-38.4938,-0.6000,
0.327102,0.2097,-0.6407,-0.7744,-0.5184,-0.5813,0.1743,-26.9250,-38.4938,-0.6000,
0.332550,0.0781,-0.7461,-0.4053,-0.5184,-0.5813,0.1743,-26.9250,-38.4938,-0.6000,
0.352571,0.3281,-0.6974,-0.0540,-0.5184,-0.5813,0.1743,-26.9250,-38.4938,-0.6000,
0.355878,0.3281,-0.6974,-0.0540,-0.5184,-0.5813,0.1743,-27.5063,-38.1562,-1.0875,
0.372269,0.1508,-0.6545,-0.0673,-0.5184,-0.5813,0.1743,-27.5063,-38.1562,-1.0875,
0.375623,0.1508,-0.6545,-0.0673,-0.5184,-0.5813,0.1743,-27.5063,-38.1562,-1.0875,
0.377519,0.1508,-0.6545,-0.0673,-0.4927,-0.5837,0.1720,-27.5063,-38.1562,-1.0875,
0.389712,0.0063,-0.6435,-0.2587,-0.4927,-0.5837,0.1720,-27.5063,-38.1562,-1.0875,
0.409863,-0.0258,-0.5480,-0.3368,-0.4927,-0.5837,0.1720,-27.5063,-38.1562,-1.0875,
0.413632,-0.0258,-0.5480,-0.3368,-0.4927,-0.5837,0.1720,-27.6188,-38.1562,-1.0875,
0.423265,-0.0258,-0.5480,-0.3368,-0.4927,-0.5837,0.1720,-27.6188,-38.1562,-1.0875,
0.429349,0.0022,-0.5295,-0.2370,-0.4927,-0.5837,0.1720,-27.6188,-38.1562,-1.0875,
0.438289,0.0022,-0.5295,-0.2370,-0.6380,-0.7145,0.2513,-27.6188,-38.1562,-1.0875,
0.448141,0.3065,-0.5904,0.1139,-0.6380,-0.7145,0.2513,-27.6188,-38.1562,-1.0875,
0.465918,0.1604,-0.6278,0.3040,-0.6380,-0.7145,0.2513,-27.6188,-38.1562,-1.0875,
0.471651,0.1604,-0.6278,0.3040,-0.6380,-0.7145,0.2513,-27.6188,-38.1562,-1.0875,
0.472240,0.1604,-0.6278,0.3040,-0.6380,-0.7145,0.2513,-27.9188,-37.7063,-1.7063,
0.485087,0.0723,-0.5472,0.4338,-0.6380,-0.7145,0.2513,-27.9188,-37.7063,-1.7063,
0.500158,0.0723,-0.5472,0.4338,-0.5757,-0.2845,0.3112,-27.9188,-37.7063,-1.7063,
0.504326,-0.0198,-0.4094,0.3585,-0.5757,-0.2845,0.3112,-27.9188,-37.7063,-1.7063,
0.518647,-0.0198,-0.4094,0.3585,-0.5757,-0.2845,0.3112,-27.9188,-37.7063,-1.7063,
0.524523,-0.1069,-0.2136,0.1711,-0.5757,-0.2845,0.3112,-27.9188,-37.7063,-1.7063,
0.533953,-0.1069,-0.2136,0.1711,-0.5757,-0.2845,0.3112,-28.9125,-36.9188,-3.0188,
0.542552,-0.0772,-0.0786,0.1213,-0.5757,-0.2845,0.3112,-28.9125,-36.9188,-3.0188,
0.562427,-0.0772,-0.0786,0.1213,-0.6270,-0.6412,0.1414,-28.9125,-36.9188,-3.0188,
0.563613,-0.0673,-0.1415,0.1032,-0.6270,-0.6412,0.1414,-28.9125,-36.9188,-3.0188,
0.565836,-0.0673,-0.1415,0.1032,-0.6270,-0.6412,0.1414,-28.9125,-36.9188,-3.0188,
0.581730,-0.3910,-0.2123,0.1145,-0.6270,-0.6412,0.1414,-28.9125,-36.9188,-3.0188,
0.592484,-0.3910,-0.2123,0.1145,-0.6270,-0.6412,0.1414,-29.1188,-36.6562,-2.2875,
0.599994,-0.6000,-0.1957,-0.1295,-0.6270,-0.6412,0.1414,-29.1188,-36.6562,-2.2875,
0.614096,-0.6000,-0.1957,-0.1295,-0.6270,-0.6412,0.1414,-29.1188,-36.6562,-2.2875,
0.619994,-0.6878,-0.1163,-0.5794,-0.6270,-0.6412,0.1414,-29.1188,-36.6562,-2.2875,
0.623806,-0.6878,-0.1163,-0.5794,-0.5611,-0.5361,0.1915,-29.1188,-36.6562,-2.2875,
0.639189,-0.8499,-0.0825,-0.6702,-0.5611,-0.5361,0.1915,-29.1188,-36.6562,-2.2875,
0.653635,-0.8499,-0.0825,-0.6702,-0.5611,-0.5361,0.1915,-29.0625,-35.7563,-2.3813,
0.658165,-0.9123,-0.1703,-0.4160,-0.5611,-0.5361,0.1915,-29.0625,-35.7563,-2.3813,
0.661823,-0.9123,-0.1703,-0.4160,-0.5611,-0.5361,0.1915,-29.0625,-35.7563,-2.3813,
0.677172,-0.7712,-0.3572,-0.0960,-0.5611,-0.5361,0.1915,-29.0625,-35.7563,-2.3813,
0.686330,-0.7712,-0.3572,-0.0960,-0.8115,-0.3113,0.3809,-29.0625,-35.7563,-2.3813,
0.696358,-0.9068,-0.5269,-0.0979,-0.8115,-0.3113,0.3809,-29.0625,-35.7563,-2.3813,
0.710249,-0.9068,-0.5269,-0.0979,-0.8115,-0.3113,0.3809,-29.0625,-35.7563,-2.3813,
0.713101,-0.9068,-0.5269,-0.0979,-0.8115,-0.3113,0.3809,-29.7563,-35.1562,-3.8063,
0.715102,-1.0202,-0.4308,-0.2525,-0.8115,-0.3113,0.3809,-29.7563,-35.1562,-3.8063,
0.734787,-1.2487,-0.4739,-0.3852,-0.8115,-0.3113,0.3809,-29.7563,-35.1562,-3.8063,
0.749187,-1.2487,-0.4739,-0.3852,-0.7089,-0.9527,0.4602,-29.7563,-35.1562,-3.8063,
0.754529,-1.6297,-0.4341,-0.6293,-0.7089,-0.9527,0.4602,-29.7563,-35.1562,-3.8063,
0.757794,-1.6297,-0.4341,-0.6293,-0.7089,-0.9527,0.4602,-29.7563,-35.1562,-3.8063,
