
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.025422,0.4220,0.0087,-0.2940,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043834,0.5205,0.0876,-0.4007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.047381,0.5205,0.0876,-0.4007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.056330,0.5205,0.0876,-0.4007,0.0000,0.0000,0.0000,-24.4313,-30.3375,7.3313,
0.064448,0.5205,0.0876,-0.4007,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,
0.065569,-0.1081,0.0576,0.0988,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,
0.082331,-0.3891,0.0086,0.2195,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,
0.096345,-0.3891,0.0086,0.2195,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,
0.103158,-0.0058,0.0158,-0.0830,-0.0637,0.0604,-0.0133,-24.4313,-30.3375,7.3313,
0.116690,-0.0058,0.0158,-0.0830,-0.0637,0.0604,-0.0133,-25.4250,-30.0938,7.0500,
0.120998,0.2483,0.0575,-0.2392,-0.0637,0.0604,-0.0133,-25.4250,-30.0938,7.0500,
0.124717,0.2483,0.0575,-0.2392,-0.0161,-0.0080,-0.0060,-25.4250,-30.0938,7.0500,
0.140756,0.1488,-0.0184,-0.0693,-0.0161,-0.0080,-0.0060,-25.4250,-30.0938,7.0500,
0.144024,0.1488,-0.0184,-0.0693,-0.0161,-0.0080,-0.0060,-25.4250,-30.0938,7.0500,
0.159731,-0.0382,-0.0766,0.2023,-0.0161,-0.0080,-0.0060,-25.4250,-30.0938,7.0500,
0.177010,-0.0382,-0.0766,0.2023,-0.0161,-0.0080,-0.0060,-25.1063,-30.2813,6.6188,
0.180231,-0.1073,-0.0264,0.0221,-0.0161,-0.0080,-0.0060,-25.1063,-30.2813,6.6188,
0.186608,-0.1073,-0.0264,0.0221,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,
0.191870,-0.1073,-0.0264,0.0221,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,
0.198912,-0.0093,0.0688,-0.1009,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,
0.216168,0.0771,0.0529,-0.0797,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,
0.236244,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-25.1063,-30.2813,6.6188,
0.239332,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-24.7500,-30.0375,7.4438,
0.241735,0.0496,-0.0459,0.0325,0.0316,-0.0177,-0.0084,-24.7500,-30.0375,7.4438,
0.248849,0.0496,-0.0459,0.0325,-0.0099,-0.0044,-0.0011,-24.7500,-30.0375,7.4438,
0.254225,-0.0162,-0.0674,0.0916,-0.0099,-0.0044,-0.0011,-24.7500,-30.0375,7.4438,
0.274477,0.0004,0.0044,-0.0259,-0.0099,-0.0044,-0.0011,-24.7500,-30.0375,7.4438,
0.286866,0.0004,0.0044,-0.0259,-0.0099,-0.0044,-0.0011,-24.7500,-30.0375,7.4438,
0.292497,0.0440,0.0563,-0.1154,-0.0099,-0.0044,-0.0011,-24.7500,-30.0375,7.4438,
0.298054,0.0440,0.0563,-0.1154,-0.0099,-0.0044,-0.0011,-24.3563,-29.8313,6.9188,
0.312522,0.0440,0.0563,-0.1154,-0.0148,-0.0080,0.0026,-24.3563,-29.8313,6.9188,
0.313590,0.0370,0.0136,-0.0290,-0.0148,-0.0080,0.0026,-24.3563,-29.8313,6.9188,
0.331424,0.0008,-0.0316,0.0222,-0.0148,-0.0080,0.0026,-24.3563,-29.8313,6.9188,
0.339810,0.0008,-0.0316,0.0222,-0.0148,-0.0080,0.0026,-24.3563,-29.8313,6.9188,
0.350639,0.0212,-0.0262,0.0188,-0.0148,-0.0080,0.0026,-24.3563,-29.8313,6.9188,
0.357022,0.0212,-0.0262,0.0188,-0.0148,-0.0080,0.0026,-24.8250,-30.2063,6.9188,
0.370099,0.0585,-0.0305,-0.0330,-0.0148,-0.0080,0.0026,-24.8250,-30.2063,6.9188,
0.373409,0.0585,-0.0305,-0.0330,0.0084,-0.0214,-0.0146,-24.8250,-30.2063,6.9188,
0.382663,0.0585,-0.0305,-0.0330,0.0084,-0.0214,-0.0146,-24.8250,-30.2063,6.9188,
0.388362,0.0269,0.0263,-0.0329,0.0084,-0.0214,-0.0146,-24.8250,-30.2063,6.9188,
0.410707,-0.0112,0.0311,-0.0288,0.0084,-0.0214,-0.0146,-24.8250,-30.2063,6.9188,
0.418035,-0.0112,0.0311,-0.0288,0.0084,-0.0214,-0.0146,-24.9188,-30.4125,7.1438,
0.427028,-0.0003,0.0418,-0.0470,0.0084,-0.0214,-0.0146,-24.9188,-30.4125,7.1438,
0.431687,-0.0003,0.0418,-0.0470,0.0084,-0.0214,-0.0146,-24.9188,-30.4125,7.1438,
0.435544,-0.0003,0.0418,-0.0470,0.0011,-0.0067,0.0026,-24.9188,-30.4125,7.1438,
0.446354,0.0442,0.0033,-0.0651,0.0011,-0.0067,0.0026,-24.9188,-30.4125,7.1438,
0.466176,0.0631,-0.0289,-0.0478,0.0011,-0.0067,0.0026,-24.9188,-30.4125,7.1438,
0.478056,0.0631,-0.0289,-0.0478,0.0011,-0.0067,0.0026,-24.7313,-30.1125,6.8250,
0.481304,0.0631,-0.0289,-0.0478,0.0011,-0.0067,0.0026,-24.7313,-30.1125,6.8250,
0.484649,0.0336,-0.0064,0.0034,0.0011,-0.0067,0.0026,-24.7313,-30.1125,6.8250,
0.498594,0.0336,-0.0064,0.0034,-0.0014,0.0066,-0.0023,-24.7313,-30.1125,6.8250,
0.503378,-0.0056,-0.0090,0.0328,-0.0014,0.0066,-0.0023,-24.7313,-30.1125,6.8250,
0.522837,0.0111,0.0377,-0.0081,-0.0014,0.0066,-0.0023,-24.7313,-30.1125,6.8250,
0.526605,0.0111,0.0377,-0.0081,-0.0014,0.0066,-0.0023,-24.7313,-30.1125,6.8250,
0.537538,0.0111,0.0377,-0.0081,-0.0014,0.0066,-0.0023,-24.6375,-30.3188,7.1250,
0.544831,-0.0062,0.0250,-0.0365,-0.0014,0.0066,-0.0023,-24.6375,-30.3188,7.1250,
0.559927,-0.0062,0.0250,-0.0365,-0.0136,0.0018,0.0049,-24.6375,-30.3188,7.1250,
0.561307,0.0511,0.0095,-0.0240,-0.0136,0.0018,0.0049,-24.6375,-30.3188,7.1250,
