
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.024967,-0.1707,0.0502,0.1859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.038138,-0.1707,0.0502,0.1859,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043978,-0.3821,-0.0759,0.2314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.063007,-0.1018,-0.0069,0.2959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.067754,-0.1018,-0.0069,0.2959,-0.0700,0.1763,0.0088,0.0000,0.0000,0.0000,
0.068742,-0.1018,-0.0069,0.2959,-0.0700,0.1763,0.0088,-42.2625,-13.1250,-1.6500,
0.082486,-0.0446,-0.0580,0.3119,-0.0700,0.1763,0.0088,-42.2625,-13.1250,-1.6500,
0.085896,-0.0446,-0.0580,0.3119,-0.0700,0.1763,0.0088,-42.2625,-13.1250,-1.6500,
0.101156,0.0175,-0.0814,0.2799,-0.0700,0.1763,0.0088,-42.2625,-13.1250,-1.6500,
0.120517,-0.0891,-0.0520,0.2055,-0.0700,0.1763,0.0088,-42.2625,-13.1250,-1.6500,
0.128136,-0.0891,-0.0520,0.2055,-0.0700,0.1763,0.0088,-40.7063,-13.4250,-0.7688,
0.128858,-0.0891,-0.0520,0.2055,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.134681,-0.0891,-0.0520,0.2055,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.139877,-0.1505,-0.0004,0.1010,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.158998,-0.0610,0.0320,-0.1557,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.179681,-0.0288,0.0617,-0.2459,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.182771,-0.0288,0.0617,-0.2459,0.0425,-0.0289,-0.0487,-40.7063,-13.4250,-0.7688,
0.189885,-0.0288,0.0617,-0.2459,0.0425,-0.0289,-0.0487,-40.2000,-13.1250,-2.9625,
0.191349,-0.0288,0.0617,-0.2459,-0.0333,-0.0509,-0.0437,-40.2000,-13.1250,-2.9625,
0.196514,-0.0971,0.0549,-0.2020,-0.0333,-0.0509,-0.0437,-40.2000,-13.1250,-2.9625,
0.216453,-0.0499,-0.0552,-0.0485,-0.0333,-0.0509,-0.0437,-40.2000,-13.1250,-2.9625,
0.229299,-0.0499,-0.0552,-0.0485,-0.0333,-0.0509,-0.0437,-40.2000,-13.1250,-2.9625,
0.234918,-0.0590,-0.0341,0.2174,-0.0333,-0.0509,-0.0437,-40.2000,-13.1250,-2.9625,
0.247896,-0.0590,-0.0341,0.2174,-0.0333,-0.0509,-0.0437,-42.0563,-13.3500,-1.2563,
0.253188,-0.0590,-0.0341,0.2174,0.0351,-0.0571,0.0491,-42.0563,-13.3500,-1.2563,
0.254309,0.2486,-0.3170,-0.0175,0.0351,-0.0571,0.0491,-42.0563,-13.3500,-1.2563,
0.273618,0.2765,-0.1063,-0.1594,0.0351,-0.0571,0.0491,-42.0563,-13.3500,-1.2563,
0.279800,0.2765,-0.1063,-0.1594,0.0351,-0.0571,0.0491,-42.0563,-13.3500,-1.2563,
0.293006,0.2474,0.0018,-0.2844,0.0351,-0.0571,0.0491,-42.0563,-13.3500,-1.2563,
0.308040,0.2474,0.0018,-0.2844,0.0351,-0.0571,0.0491,-42.1500,-13.3500,-1.3500,
0.312015,0.2533,0.0541,-0.2261,0.0351,-0.0571,0.0491,-42.1500,-13.3500,-1.3500,
0.316009,0.2533,0.0541,-0.2261,-0.0540,-0.0411,0.0148,-42.1500,-13.3500,-1.3500,
0.325157,0.2533,0.0541,-0.2261,-0.0540,-0.0411,0.0148,-42.1500,-13.3500,-1.3500,
0.331278,0.4283,-0.0295,-0.1241,-0.0540,-0.0411,0.0148,-42.1500,-13.3500,-1.3500,
0.350569,0.5425,-0.1096,-0.0513,-0.0540,-0.0411,0.0148,-42.1500,-13.3500,-1.3500,
0.368178,0.5425,-0.1096,-0.0513,-0.0540,-0.0411,0.0148,-41.9625,-13.5750,-1.0500,
0.371683,0.4207,-0.0991,0.0211,-0.0540,-0.0411,0.0148,-41.9625,-13.5750,-1.0500,
0.373353,0.4207,-0.0991,0.0211,-0.0540,-0.0411,0.0148,-41.9625,-13.5750,-1.0500,
0.378894,0.4207,-0.0991,0.0211,-0.1213,-0.0826,-0.0732,-41.9625,-13.5750,-1.0500,
0.388272,0.3823,-0.1559,0.1423,-0.1213,-0.0826,-0.0732,-41.9625,-13.5750,-1.0500,
0.408017,0.3106,-0.1176,0.2127,-0.1213,-0.0826,-0.0732,-41.9625,-13.5750,-1.0500,
0.421377,0.3106,-0.1176,0.2127,-0.1213,-0.0826,-0.0732,-41.9625,-13.5750,-1.0500,
0.427823,0.1061,-0.0616,0.1397,-0.1213,-0.0826,-0.0732,-41.9625,-13.5750,-1.0500,
0.428998,0.1061,-0.0616,0.1397,-0.1213,-0.0826,-0.0732,-41.7563,-13.6875,-0.9563,
0.439572,0.1061,-0.0616,0.1397,-0.0578,0.0199,-0.0352,-41.7563,-13.6875,-0.9563,
0.445546,0.0767,0.0166,0.1819,-0.0578,0.0199,-0.0352,-41.7563,-13.6875,-0.9563,
0.464625,0.1042,-0.0064,0.2779,-0.0578,0.0199,-0.0352,-41.7563,-13.6875,-0.9563,
0.469467,0.1042,-0.0064,0.2779,-0.0578,0.0199,-0.0352,-41.7563,-13.6875,-0.9563,
0.484091,0.0765,-0.0166,0.1839,-0.0578,0.0199,-0.0352,-41.7563,-13.6875,-0.9563,
0.486447,0.0765,-0.0166,0.1839,-0.0578,0.0199,-0.0352,-41.3625,-13.7625,-1.5750,
0.502097,0.0765,-0.0166,0.1839,-0.0492,-0.1046,-0.0952,-41.3625,-13.7625,-1.5750,
0.505303,0.1223,-0.0017,-0.0036,-0.0492,-0.1046,-0.0952,-41.3625,-13.7625,-1.5750,
0.517341,0.1223,-0.0017,-0.0036,-0.0492,-0.1046,-0.0952,-41.3625,-13.7625,-1.5750,
0.524383,0.0482,0.1192,-0.1127,-0.0492,-0.1046,-0.0952,-41.3625,-13.7625,-1.5750,
0.542002,-0.0139,0.1347,0.0232,-0.0492,-0.1046,-0.0952,-41.3625,-13.7625,-1.5750,
