
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.019120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.024161,0.0940,0.0360,-0.6847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.043333,0.1871,0.0801,-0.7365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.051924,0.1871,0.0801,-0.7365,0.0000,0.0000,0.0000,-30.8438,-30.9938,-2.7000,
0.062269,0.1871,0.0801,-0.7365,-0.0661,0.1567,0.0125,-30.8438,-30.9938,-2.7000,
0.063465,-0.0118,0.0733,0.0159,-0.0661,0.1567,0.0125,-30.8438,-30.9938,-2.7000,
0.067016,-0.0118,0.0733,0.0159,-0.0661,0.1567,0.0125,-30.8438,-30.9938,-2.7000,
0.082963,-0.0480,-0.1144,0.4004,-0.0661,0.1567,0.0125,-30.8438,-30.9938,-2.7000,
0.101601,-0.0705,0.0155,0.2410,-0.0661,0.1567,0.0125,-30.8438,-30.9938,-2.7000,
0.111806,-0.0705,0.0155,0.2410,-0.0661,0.1567,0.0125,-30.7500,-30.8813,-3.0188,
0.114173,-0.0705,0.0155,0.2410,-0.0661,0.1567,0.0125,-30.7500,-30.8813,-3.0188,
0.119972,-0.0302,0.0197,-0.0545,-0.0661,0.1567,0.0125,-30.7500,-30.8813,-3.0188,
0.123492,-0.0302,0.0197,-0.0545,0.0071,-0.0351,-0.0022,-30.7500,-30.8813,-3.0188,
0.139182,0.0416,-0.0110,-0.0051,0.0071,-0.0351,-0.0022,-30.7500,-30.8813,-3.0188,
0.158916,0.0026,0.0039,0.0079,0.0071,-0.0351,-0.0022,-30.7500,-30.8813,-3.0188,
0.162987,0.0026,0.0039,0.0079,0.0071,-0.0351,-0.0022,-30.7500,-30.8813,-3.0188,
0.174219,0.0026,0.0039,0.0079,0.0071,-0.0351,-0.0022,-30.4688,-30.7125,-2.6063,
0.180987,0.0208,0.0138,-0.1296,0.0071,-0.0351,-0.0022,-30.4688,-30.7125,-2.6063,
0.186202,0.0208,0.0138,-0.1296,0.0084,0.0004,0.0015,-30.4688,-30.7125,-2.6063,
0.197041,0.0178,0.0534,-0.1104,0.0084,0.0004,0.0015,-30.4688,-30.7125,-2.6063,
0.211591,0.0178,0.0534,-0.1104,0.0084,0.0004,0.0015,-30.4688,-30.7125,-2.6063,
0.216117,0.0149,-0.0230,0.0819,0.0084,0.0004,0.0015,-30.4688,-30.7125,-2.6063,
0.234252,0.0149,-0.0230,0.0819,0.0084,0.0004,0.0015,-30.8813,-30.3188,-2.4938,
0.237151,-0.0578,-0.0423,0.1354,0.0084,0.0004,0.0015,-30.8813,-30.3188,-2.4938,
0.248242,-0.0578,-0.0423,0.1354,0.0059,-0.0131,-0.0010,-30.8813,-30.3188,-2.4938,
0.259480,-0.0295,-0.0048,0.0756,0.0059,-0.0131,-0.0010,-30.8813,-30.3188,-2.4938,
0.260606,-0.0295,-0.0048,0.0756,0.0059,-0.0131,-0.0010,-30.8813,-30.3188,-2.4938,
0.273863,0.0281,-0.0082,-0.0213,0.0059,-0.0131,-0.0010,-30.8813,-30.3188,-2.4938,
0.292960,0.0035,0.0104,-0.0253,0.0059,-0.0131,-0.0010,-30.8813,-30.3188,-2.4938,
0.295984,0.0035,0.0104,-0.0253,0.0059,-0.0131,-0.0010,-31.1438,-30.7875,-2.7938,
0.305936,0.0035,0.0104,-0.0253,0.0059,-0.0131,-0.0010,-31.1438,-30.7875,-2.7938,
