
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.148569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.149504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.150428,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.151372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.152024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.152665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.174346,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.176379,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.198248,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.199241,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.215916,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.217962,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,0.0000,0.0000,0.0000,
0.223361,0.0000,0.0000,0.0000,-0.0181,-0.1891,-0.0138,34.9500,26.2313,-12.4125,
0.234641,0.0000,0.0000,0.0000,-0.2087,0.1539,-0.0814,34.9500,26.2313,-12.4125,
0.265046,0.0000,0.0000,0.0000,-0.2087,0.1539,-0.0814,34.9500,26.2313,-12.4125,
0.266328,0.0000,0.0000,0.0000,-0.2087,0.1539,-0.0814,34.9500,26.2313,-12.4125,
0.275194,0.0267,0.0945,-0.1714,-0.2087,0.1539,-0.0814,34.9500,26.2313,-12.4125,
0.276631,0.0267,0.0945,-0.1714,-0.2087,0.1539,-0.0814,34.9500,26.2313,-12.4125,
0.281565,0.0267,0.0945,-0.1714,-0.2087,0.1539,-0.0814,34.8188,26.5313,-11.9438,
0.294348,0.0267,0.0945,-0.1714,-0.1880,-0.0126,-0.1306,34.8188,26.5313,-11.9438,
0.333807,0.0267,0.0945,-0.1714,-0.1880,-0.0126,-0.1306,34.8188,26.5313,-11.9438,
0.335043,0.0267,0.0945,-0.1714,-0.1880,-0.0126,-0.1306,34.8188,26.5313,-11.9438,
0.335987,-0.3804,0.0039,0.3302,-0.1880,-0.0126,-0.1306,34.8188,26.5313,-11.9438,
0.337211,-0.3804,0.0039,0.3302,-0.1880,-0.0126,-0.1306,34.8188,26.5313,-11.9438,
0.362888,-0.3804,0.0039,0.3302,-0.1880,-0.0126,-0.1306,34.6688,26.9250,-11.3625,
0.367022,-0.3804,0.0039,0.3302,-0.1880,-0.0126,-0.1306,34.6688,26.9250,-11.3625,
0.376121,-0.3804,0.0039,0.3302,-0.1223,-0.0468,0.0534,34.6688,26.9250,-11.3625,
0.397031,-0.3804,0.0039,0.3302,-0.1223,-0.0468,0.0534,34.6688,26.9250,-11.3625,
0.400024,-0.3804,0.0039,0.3302,-0.1223,-0.0468,0.0534,34.6688,26.9250,-11.3625,
0.402333,-0.0599,0.0773,0.3599,-0.1223,-0.0468,0.0534,34.6688,26.9250,-11.3625,
0.422864,-0.0599,0.0773,0.3599,-0.1223,-0.0468,0.0534,34.6688,26.9250,-11.3625,
0.424802,-0.0599,0.0773,0.3599,-0.1223,-0.0468,0.0534,34.4625,26.7938,-11.2875,
0.436015,-0.0599,0.0773,0.3599,-0.0113,-0.0622,0.0290,34.4625,26.7938,-11.2875,
0.455590,-0.0599,0.0773,0.3599,-0.0113,-0.0622,0.0290,34.4625,26.7938,-11.2875,
0.458278,-0.0599,0.0773,0.3599,-0.0113,-0.0622,0.0290,34.4625,26.7938,-11.2875,
0.460107,0.2647,0.0822,0.2855,-0.0113,-0.0622,0.0290,34.4625,26.7938,-11.2875,
0.484333,0.2647,0.0822,0.2855,-0.0113,-0.0622,0.0290,34.5563,26.7375,-11.2875,
0.486745,0.2647,0.0822,0.2855,-0.0113,-0.0622,0.0290,34.5563,26.7375,-11.2875,
0.495732,0.2647,0.0822,0.2855,0.0102,0.0240,0.0099,34.5563,26.7375,-11.2875,
0.516847,0.2647,0.0822,0.2855,0.0102,0.0240,0.0099,34.5563,26.7375,-11.2875,
0.518905,0.2647,0.0822,0.2855,0.0102,0.0240,0.0099,34.5563,26.7375,-11.2875,
0.520133,0.3867,0.0734,0.0862,0.0102,0.0240,0.0099,34.5563,26.7375,-11.2875,
0.563592,0.3867,0.0734,0.0862,0.0102,0.0240,0.0099,34.5938,26.7188,-11.1938,
0.567005,0.3867,0.0734,0.0862,0.0102,0.0240,0.0099,34.5938,26.7188,-11.1938,
0.569682,0.3867,0.0734,0.0862,0.0102,0.0240,0.0099,34.5938,26.7188,-11.1938,
0.577484,0.3867,0.0734,0.0862,0.0289,-0.0237,-0.0700,34.5938,26.7188,-11.1938,
0.581206,0.3867,0.0734,0.0862,0.0289,-0.0237,-0.0700,34.5938,26.7188,-11.1938,
0.583229,0.3961,0.0411,-0.0603,0.0289,-0.0237,-0.0700,34.5938,26.7188,-11.1938,
0.604080,0.3961,0.0411,-0.0603,0.0289,-0.0237,-0.0700,34.5938,26.7188,-11.1938,
0.624064,0.3961,0.0411,-0.0603,0.0289,-0.0237,-0.0700,34.5750,26.6625,-11.1562,
0.628131,0.3961,0.0411,-0.0603,0.0289,-0.0237,-0.0700,34.5750,26.6625,-11.1562,
0.638411,0.1439,0.0078,-0.1229,0.0289,-0.0237,-0.0700,34.5750,26.6625,-11.1562,
0.642050,0.1439,0.0078,-0.1229,0.0278,0.0077,-0.0398,34.5750,26.6625,-11.1562,
0.644272,0.1439,0.0078,-0.1229,0.0278,0.0077,-0.0398,34.5750,26.6625,-11.1562,
0.668860,0.1439,0.0078,-0.1229,0.0278,0.0077,-0.0398,34.5750,26.6625,-11.1562,
0.682408,0.1439,0.0078,-0.1229,0.0278,0.0077,-0.0398,34.5375,26.7000,-11.1938,
0.686085,0.1439,0.0078,-0.1229,0.0278,0.0077,-0.0398,34.5375,26.7000,-11.1938,
0.698180,0.1439,0.0078,-0.1229,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.701964,0.1439,0.0078,-0.1229,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.704517,0.0390,-0.1220,-0.0287,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.735442,0.0390,-0.1220,-0.0287,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.755408,-0.0555,-0.1243,-0.1503,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.759392,-0.0555,-0.1243,-0.1503,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.761816,-0.0555,-0.1243,-0.1503,0.0787,-0.0098,-0.0647,34.5375,26.7000,-11.1938,
0.764246,-0.0555,-0.1243,-0.1503,0.0787,-0.0098,-0.0647,34.4250,26.7375,-11.1188,
0.776265,-0.0555,-0.1243,-0.1503,0.0709,0.0538,-0.0463,34.4250,26.7375,-11.1188,
0.801546,-0.0555,-0.1243,-0.1503,0.0709,0.0538,-0.0463,34.4250,26.7375,-11.1188,
0.804468,-0.0555,-0.1243,-0.1503,0.0709,0.0538,-0.0463,34.4250,26.7375,-11.1188,
0.820257,-0.0555,-0.1243,-0.1503,0.0709,0.0538,-0.0463,34.4250,26.7375,-11.1188,
0.822840,-0.0494,-0.0931,-0.2916,0.0709,0.0538,-0.0463,34.4250,26.7375,-11.1188,
0.825285,-0.0494,-0.0931,-0.2916,0.0709,0.0538,-0.0463,34.4250,26.8125,-11.1562,
0.838140,-0.0494,-0.0931,-0.2916,0.0448,0.0098,-0.0363,34.4250,26.8125,-11.1562,
0.846525,-0.0494,-0.0931,-0.2916,0.0448,0.0098,-0.0363,34.4250,26.8125,-11.1562,
0.863314,-0.0494,-0.0931,-0.2916,0.0448,0.0098,-0.0363,34.4250,26.8125,-11.1562,
0.879036,-0.0494,-0.0931,-0.2916,0.0448,0.0098,-0.0363,34.4250,26.8125,-11.1562,
0.881600,-0.1116,-0.1844,-0.2456,0.0448,0.0098,-0.0363,34.4250,26.8125,-11.1562,
0.884115,-0.1116,-0.1844,-0.2456,0.0448,0.0098,-0.0363,34.3875,26.7000,-11.3438,
0.898176,-0.1116,-0.1844,-0.2456,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.934676,-0.1116,-0.1844,-0.2456,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.936697,-0.1116,-0.1844,-0.2456,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.937999,-0.0042,-0.1093,-0.1312,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.939155,-0.0042,-0.1093,-0.1312,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.964123,-0.0042,-0.1093,-0.1312,0.0560,-0.0787,0.0393,34.3875,26.7000,-11.3438,
0.965993,-0.0042,-0.1093,-0.1312,0.0560,-0.0787,0.0393,34.5000,26.7938,-11.4000,
0.976296,-0.0042,-0.1093,-0.1312,0.0958,-0.0579,0.0444,34.5000,26.7938,-11.4000,
0.997682,-0.0042,-0.1093,-0.1312,0.0958,-0.0579,0.0444,34.5000,26.7938,-11.4000,
