
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.051084,0.1081,-0.5194,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069592,0.1081,-0.5194,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.082895,0.1081,-0.5194,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.088698,0.1081,-0.5194,0.4544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.095036,0.1081,-0.5194,0.4544,0.0000,0.0000,0.0000,40.9875,12.0375,-19.8000,
0.096233,0.1081,-0.5194,0.4544,-0.0395,-0.1082,-0.0657,40.9875,12.0375,-19.8000,
0.107802,0.1081,-0.5194,0.4544,-0.0395,-0.1082,-0.0657,40.9875,12.0375,-19.8000,
0.127586,0.6583,-0.5611,-0.0317,-0.0395,-0.1082,-0.0657,40.9875,12.0375,-19.8000,
0.146800,0.6583,-0.5611,-0.0317,-0.0395,-0.1082,-0.0657,40.9875,12.0375,-19.8000,
0.149326,0.7878,-0.5626,0.4694,-0.0395,-0.1082,-0.0657,40.9875,12.0375,-19.8000,
0.151733,0.7878,-0.5626,0.4694,-0.0395,-0.1082,-0.0657,41.3063,11.9625,-20.5312,
0.154847,0.7878,-0.5626,0.4694,-0.2215,-0.2010,-0.1158,41.3063,11.9625,-20.5312,
0.164950,0.8319,-0.5210,0.2615,-0.2215,-0.2010,-0.1158,41.3063,11.9625,-20.5312,
0.184268,0.7596,-0.4694,0.1080,-0.2215,-0.2010,-0.1158,41.3063,11.9625,-20.5312,
0.204234,0.6403,-0.4616,-0.0827,-0.2215,-0.2010,-0.1158,41.3063,11.9625,-20.5312,
0.208119,0.6403,-0.4616,-0.0827,-0.2215,-0.2010,-0.1158,41.3063,11.9625,-20.5312,
0.211641,0.6403,-0.4616,-0.0827,-0.2215,-0.2010,-0.1158,40.9688,12.8813,-20.8313,
0.216811,0.6403,-0.4616,-0.0827,-0.1005,-0.2402,-0.3174,40.9688,12.8813,-20.8313,
0.223796,0.3362,-0.5020,-0.2937,-0.1005,-0.2402,-0.3174,40.9688,12.8813,-20.8313,
0.242048,0.2537,-0.5792,-0.3072,-0.1005,-0.2402,-0.3174,40.9688,12.8813,-20.8313,
0.261529,0.2021,-0.5878,-0.3196,-0.1005,-0.2402,-0.3174,40.9688,12.8813,-20.8313,
0.270384,0.2021,-0.5878,-0.3196,-0.1005,-0.2402,-0.3174,40.9688,12.8813,-20.8313,
0.271778,0.2021,-0.5878,-0.3196,-0.1005,-0.2402,-0.3174,40.6313,13.9688,-20.7000,
0.281574,0.2021,-0.5878,-0.3196,-0.1616,-0.0227,-0.1867,40.6313,13.9688,-20.7000,
0.284451,0.4089,-0.6688,-0.4999,-0.1616,-0.0227,-0.1867,40.6313,13.9688,-20.7000,
0.300235,0.2756,-0.6219,-0.7187,-0.1616,-0.0227,-0.1867,40.6313,13.9688,-20.7000,
0.319506,-0.0901,-0.5214,-0.7861,-0.1616,-0.0227,-0.1867,40.6313,13.9688,-20.7000,
0.331887,-0.0901,-0.5214,-0.7861,-0.1616,-0.0227,-0.1867,39.9188,14.9063,-20.9813,
0.332980,-0.0901,-0.5214,-0.7861,-0.1616,-0.0227,-0.1867,39.9188,14.9063,-20.9813,
0.337540,-0.2071,-0.6318,-0.3402,-0.1616,-0.0227,-0.1867,39.9188,14.9063,-20.9813,
0.341237,-0.2071,-0.6318,-0.3402,-0.3668,0.1606,-0.0730,39.9188,14.9063,-20.9813,
0.356955,-0.1657,-0.5861,0.2664,-0.3668,0.1606,-0.0730,39.9188,14.9063,-20.9813,
0.376475,-0.0797,-0.6880,0.3172,-0.3668,0.1606,-0.0730,39.9188,14.9063,-20.9813,
0.391198,-0.0797,-0.6880,0.3172,-0.3668,0.1606,-0.0730,40.8750,15.0000,-19.8750,
0.394302,-0.0797,-0.6880,0.3172,-0.3668,0.1606,-0.0730,40.8750,15.0000,-19.8750,
0.395387,-0.4019,-0.5985,-0.1087,-0.3668,0.1606,-0.0730,40.8750,15.0000,-19.8750,
0.403963,-0.4019,-0.5985,-0.1087,-0.1493,0.2999,0.3924,40.8750,15.0000,-19.8750,
0.414829,-0.5986,-0.3447,-0.1858,-0.1493,0.2999,0.3924,40.8750,15.0000,-19.8750,
0.433541,0.0692,-0.1492,0.0693,-0.1493,0.2999,0.3924,40.8750,15.0000,-19.8750,
0.452851,0.6501,-0.6320,0.6694,-0.1493,0.2999,0.3924,40.8750,15.0000,-19.8750,
0.456338,0.6501,-0.6320,0.6694,-0.1493,0.2999,0.3924,41.6813,13.7063,-18.2438,
0.458136,0.6501,-0.6320,0.6694,-0.1493,0.2999,0.3924,41.6813,13.7063,-18.2438,
0.465514,0.6501,-0.6320,0.6694,-0.1055,1.4543,0.6428,41.6813,13.7063,-18.2438,
0.472013,0.4234,-0.6513,1.1999,-0.1055,1.4543,0.6428,41.6813,13.7063,-18.2438,
0.490737,0.0362,-0.2666,1.6514,-0.1055,1.4543,0.6428,41.6813,13.7063,-18.2438,
0.509926,0.2360,-0.2739,2.0393,-0.1055,1.4543,0.6428,41.6813,13.7063,-18.2438,
0.511417,0.2360,-0.2739,2.0393,-0.1055,1.4543,0.6428,43.8750,11.6438,-14.6813,
0.518686,0.2360,-0.2739,2.0393,-0.1055,1.4543,0.6428,43.8750,11.6438,-14.6813,
0.528629,0.2360,-0.2739,2.0393,0.6997,0.8141,0.4780,43.8750,11.6438,-14.6813,
0.529930,0.6019,-0.3226,1.8132,0.6997,0.8141,0.4780,43.8750,11.6438,-14.6813,
0.548489,0.9343,-0.2703,1.5115,0.6997,0.8141,0.4780,43.8750,11.6438,-14.6813,
0.568884,1.1152,-0.4685,0.9590,0.6997,0.8141,0.4780,43.8750,11.6438,-14.6813,
0.572278,1.1152,-0.4685,0.9590,0.6997,0.8141,0.4780,44.6250,9.8625,-13.2563,
0.582060,1.1152,-0.4685,0.9590,0.6997,0.8141,0.4780,44.6250,9.8625,-13.2563,
0.586285,1.0881,-0.5269,-0.0488,0.6997,0.8141,0.4780,44.6250,9.8625,-13.2563,
0.592581,1.0881,-0.5269,-0.0488,1.0919,-0.0484,-0.3810,44.6250,9.8625,-13.2563,
0.605249,0.5193,-0.0965,-1.3176,1.0919,-0.0484,-0.3810,44.6250,9.8625,-13.2563,
0.624759,0.0695,-0.0192,-1.9202,1.0919,-0.0484,-0.3810,44.6250,9.8625,-13.2563,
0.632718,0.0695,-0.0192,-1.9202,1.0919,-0.0484,-0.3810,43.4438,10.3313,-13.8563,
0.642955,0.0695,-0.0192,-1.9202,1.0919,-0.0484,-0.3810,43.4438,10.3313,-13.8563,
0.643715,-0.8222,-0.8084,-1.1096,1.0919,-0.0484,-0.3810,43.4438,10.3313,-13.8563,
0.652640,-0.8222,-0.8084,-1.1096,0.3344,-1.2579,-0.6472,43.4438,10.3313,-13.8563,
0.662842,-1.7318,-0.6125,-0.1680,0.3344,-1.2579,-0.6472,43.4438,10.3313,-13.8563,
0.682067,-1.4295,-0.6585,0.0717,0.3344,-1.2579,-0.6472,43.4438,10.3313,-13.8563,
0.693320,-1.4295,-0.6585,0.0717,0.3344,-1.2579,-0.6472,41.6625,12.0563,-18.8813,
0.703200,0.5947,-1.7004,0.4927,0.3344,-1.2579,-0.6472,41.6625,12.0563,-18.8813,
0.704744,0.5947,-1.7004,0.4927,0.3344,-1.2579,-0.6472,41.6625,12.0563,-18.8813,
0.715427,0.5947,-1.7004,0.4927,0.0938,-2.2927,-0.2881,41.6625,12.0563,-18.8813,
0.720020,0.1537,-1.1068,0.9569,0.0938,-2.2927,-0.2881,41.6625,12.0563,-18.8813,
0.739517,-0.9269,-0.2927,1.7220,0.0938,-2.2927,-0.2881,41.6625,12.0563,-18.8813,
0.752074,-0.9269,-0.2927,1.7220,0.0938,-2.2927,-0.2881,39.2438,13.1063,-23.8875,
0.760018,-1.2264,-0.8394,1.9192,0.0938,-2.2927,-0.2881,39.2438,13.1063,-23.8875,
0.770282,-1.2264,-0.8394,1.9192,0.0938,-2.2927,-0.2881,39.2438,13.1063,-23.8875,
0.776386,-1.2264,-0.8394,1.9192,0.6130,-1.5877,0.1396,39.2438,13.1063,-23.8875,
0.777518,-2.0496,-0.8275,1.6350,0.6130,-1.5877,0.1396,39.2438,13.1063,-23.8875,
0.796314,-1.3019,-1.0379,0.8265,0.6130,-1.5877,0.1396,39.2438,13.1063,-23.8875,
0.812568,-1.3019,-1.0379,0.8265,0.6130,-1.5877,0.1396,35.9625,11.2125,-28.8000,
0.815859,-0.1151,-0.7747,0.5818,0.6130,-1.5877,0.1396,35.9625,11.2125,-28.8000,
0.830034,-0.1151,-0.7747,0.5818,0.6130,-1.5877,0.1396,35.9625,11.2125,-28.8000,
