time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.050852,0,0,0,0.1668,1.5225,-2.4174,0,0,0
0.070852,0,0,0,-0.044,-0.10775,-0.02165,0,0,0
0.090852,0.0652,-0.4866,0.3611,-0.041,-0.0576,0.0119,0,0,0
0.110852,0.0796,-0.439,0.3445,-0.03175,-0.0296,0.0247,-30.75,-37.725,6.2625
0.130852,0.1159,-0.3201,0.2797,-0.00245,-0.018,-0.0174,-30.75,-37.725,6.2625
0.150852,-0.0435,-0.1433,0.2302,0.00915,-0.0149,-0.0529,-30.75,-37.725,6.2625
0.170852,-0.161,-0.0926,0.1911,-0.0238,-0.0571,-0.0522,36.6188,20.3813,7.2563
0.190852,-0.3203,-0.3476,0.2999,-0.0324,-0.0974,-0.018,36.6188,20.3813,7.2563
0.210852,-0.3742,-0.4577,0.3354,-0.008,-0.1218,0.0308,36.6188,20.3813,7.2563
0.230852,-0.1197,-0.3362,0.3394,0.014,-0.0803,0.0308,37.1063,20.2875,7.65
0.250852,-0.0173,-0.2461,0.272,0.0067,-0.0485,0.0052,37.1063,20.2875,7.65
0.270852,0.011,-0.242,0.2805,-0.0092,0.0027,-0.0253,37.1063,20.2875,7.65
0.290852,-0.0625,-0.225,0.2502,-0.0275,0.048,-0.0363,36.7313,20.775,7.1438
0.310852,-0.2146,-0.3051,0.2837,-0.0312,0.0235,-0.0192,36.7313,20.775,7.1438
0.330852,-0.3556,-0.424,0.3046,-0.0104,-0.0608,0.0052,36.7313,20.775,7.1438
0.350852,-0.4728,-0.2906,0.2522,0.0067,-0.1426,0.0443,36.8063,20.6813,6.9563
0.370852,-0.4082,-0.2024,0.199,-0.00185,-0.2177,0.0748,36.8063,20.6813,6.9563
0.390852,-0.1407,-0.2149,0.251,-0.0098,-0.1969,0.04855,36.8063,20.6813,6.9563
0.410852,0.1372,-0.2615,0.2247,-0.0202,-0.1291,0.0278,36.6188,20.2875,7.05
0.430852,0.12025,-0.26315,0.20645,-0.0263,-0.0314,0.0137,36.6188,20.2875,7.05
0.450852,0.1033,-0.2648,0.1882,-0.0275,0.0034,0.00585,36.6188,20.2875,7.05
0.470852,-0.0174,-0.3166,0.1546,-0.0244,0.00645,0.0156,36.6188,20.2875,7.05
0.490852,-0.2177,-0.3191,0.1406,-0.0312,-0.03145,0.0455,35.9438,22.05,5.7
0.510852,-0.1254,-0.2574,0.1203,-0.02565,-0.0601,0.0559,35.9438,22.05,5.7
0.530852,-0.026,-0.1585,0.1019,-0.0245,-0.07115,0.05405,35.9438,22.05,5.7
0.550852,0.0822,-0.2267,0.122,-0.04765,-0.05705,0.0364,36.525,20.2875,6.2625
0.570852,0.0572,-0.3434,0.1516,-0.05925,-0.02955,0.01925,36.525,20.2875,6.2625
0.590852,-0.0797,-0.5001,0.1748,-0.03425,0.02235,0.02845,36.525,20.2875,6.2625
0.610852,-0.0749,-0.4955,0.1403,-0.0244,0.02235,0.0443,36.6188,20.4938,6.2625
0.630852,-0.1171,-0.3718,0.0998,-0.0428,0.00155,0.05525,36.6188,20.4938,6.2625
0.650852,-0.1682,-0.2821,0.0261,-0.07205,-0.0143,0.07355,36.6188,20.4938,6.2625
0.670852,-0.0723,-0.1871,0.0496,-0.09655,-0.0485,0.07665,37.0125,20.1938,6.375
0.690852,0.0116,-0.3197,0.1414,-0.10995,-0.0968,0.06025,37.0125,20.1938,6.375
0.710852,-0.0356,-0.2998,0.2341,-0.09895,-0.09125,0.05835,37.0125,20.1938,6.375
0.730852,-0.0158,-0.2945,0.2303,-0.1088,-0.09255,0.07725,37.5938,20.0063,6.375
0.750852,0.033,-0.2381,0.2921,-0.12465,-0.07785,0.0712,37.5938,20.0063,6.375
0.770852,0.033,-0.2381,0.2921,-0.129,-0.073,0.0675,37.5938,20.0063,6.375
0.790852,-0.00365,-0.2498,0.31135,-0.1338,-0.0718,0.059,37.5938,20.0063,6.375
0.810852,-0.0574,-0.2921,0.3628,-0.1363,-0.08155,0.06625,36.8063,19.8938,6.2625
0.830852,-0.0197,-0.3038,0.4098,-0.12405,-0.1157,0.0736,36.8063,19.8938,6.2625
0.850852,-0.0039,-0.265,0.4359,-0.1063,-0.12245,0.0754,37.2188,19.4062,6.1875
0.870852,0.0414,-0.246,0.402,-0.09715,-0.12185,0.0742,37.2188,19.4062,6.1875
0.890852,0.0693,-0.3068,0.3968,-0.0996,-0.1102,0.07305,37.2188,19.4062,6.1875
0.910852,0.126,-0.3885,0.4307,-0.09595,-0.0889,0.0669,36.8063,19.8,6.075
0.930852,0.1916,-0.4704,0.3924,-0.0898,-0.062,0.0773,36.8063,19.8,6.075
0.950852,0.1747,-0.4025,0.2975,-0.0788,-0.05215,0.09385,36.8063,19.8,6.075
0.970852,0.2204,-0.1771,0.1259,-0.07815,-0.03265,0.09265,37.9875,19.5,5.775
0.990852,0.2293,-0.1025,0.0348,-0.11125,-0.01615,0.0889,37.9875,19.5,5.775
1.010852,0.1686,-0.0495,-0.0418,-0.1564,-0.02045,0.08955,37.9875,19.5,5.775
1.030852,0.1152,-0.1085,0.0556,-0.1778,-0.0608,0.0895,37.64065,19.40625,5.83125
1.050852,0.0112,-0.2349,0.2038,-0.1863,-0.12915,0.1189,37.2938,19.3125,5.8875
1.070852,-0.0659,-0.3836,0.351,-0.1826,-0.2208,0.1823,37.2938,19.3125,5.8875
1.090852,0.0248,-0.3413,0.5091,-0.1753,-0.2623,0.2215,37.2938,19.3125,5.8875
1.110852,0.1467,-0.2846,0.634,-0.1826,-0.2782,0.2508,37.9875,19.125,6.075
1.130852,0.3251,-0.0483,0.6596,-0.179,-0.3185,0.2361,37.9875,19.125,6.075
1.150852,0.3449,-0.0526,0.6815,-0.146,-0.3136,0.2031,37.9875,19.125,6.075
1.170852,0.4944,-0.0726,0.7458,-0.118,-0.3149,0.1798,37.8938,18.4313,5.9813
1.190852,0.4984,-0.1219,0.7695,-0.096,-0.2941,0.1763,37.8938,18.4313,5.9813
1.210852,0.4618,-0.1306,0.7753,-0.0642,-0.2574,0.1848,37.8938,18.4313,5.9813
1.230852,0.3812,-0.15,0.7086,-0.0434,-0.2281,0.197,37.2938,18.7313,5.1938
1.250852,0.3723,-0.1612,0.6997,-0.0397,-0.2183,0.1995,37.2938,18.7313,5.1938
1.270852,0.3564,-0.16,0.6206,-0.0464,-0.23125,0.1745,37.2938,18.7313,5.1938
1.290852,0.3871,-0.279,0.6445,-0.04215,-0.2294,0.1219,38.2875,17.55,5.0063
1.310852,0.48575,-0.5389,0.7589,0.0005,-0.1866,0.0505,38.2875,17.55,5.0063
1.330852,0.4569,-0.6442,0.73235,0.0605,-0.0961,0.0113,38.2875,17.55,5.0063
1.350852,0.1923,-0.6043,0.4481,0.11605,0.0376,-0.0045,38.475,17.0625,3.825
1.370852,0.1923,-0.6043,0.4481,0.1338,0.0669,-0.00885,38.475,17.0625,3.825
1.390852,-0.2185,-0.3123,0.0299,0.14045,0.0254,-0.02715,38.475,17.0625,3.825
1.410852,-0.3691,-0.3996,-0.0607,0.11485,0.00645,-0.0583,38.475,16.9688,3.825
1.430852,-0.5879,-0.6107,-0.1471,0.06355,-0.0412,-0.0766,38.475,16.9688,3.825
1.450852,-0.6518,-0.7363,-0.0532,0.01955,-0.10535,-0.0724,38.475,16.9688,3.825
1.470852,-0.6499,-0.7662,0.041,0.0018,-0.1145,-0.0668,38.1375,17.36255,3.6844
1.490852,-0.5577,-0.6943,0.0751,0.0189,-0.0589,-0.0748,37.8,17.7563,3.5438
1.510852,-0.6373,-0.5096,0.0157,0.02565,-0.0033,-0.06625,37.8,17.7563,3.5438
1.530852,-0.7566,-0.4502,-0.006,0.008,0.026,-0.0498,37.9875,17.45625,3.3469
1.550852,-0.7948,-0.5317,-0.0124,-0.0287,0.0107,-0.032,38.175,17.1562,3.15
1.570852,-0.8102,-0.5303,0.0456,-0.0489,-0.0363,-0.0711,38.175,17.1562,3.15
1.590852,-0.8313,-0.4749,0.0918,-0.0434,-0.0595,-0.10045,38.175,17.1562,3.15
1.610852,-0.8107,-0.4696,0.1311,-0.02875,-0.0571,-0.11575,38.0813,17.1562,3.0563
1.630852,-0.8057,-0.5902,0.266,-0.0226,-0.0345,-0.11875,38.0813,17.1562,3.0563
1.650852,-0.6987,-0.4412,0.267,-0.00485,0.01685,-0.1175,38.0813,17.1562,3.0563
1.670852,-0.5395,-0.2422,0.1931,0.00055,0.08835,-0.1261,38.0813,17.3625,3.15
1.690852,-0.4744,-0.1365,0.1227,-0.0116,0.1134,-0.1646,38.0813,17.3625,3.15
1.710852,-0.3811,-0.1011,0.139,-0.0134,0.1158,-0.22875,38.0813,17.3625,3.15
1.730852,-0.4089,-0.1791,0.1798,0.00055,0.15795,-0.2703,37.9875,18.0375,2.6625
1.750852,-0.4856,-0.4696,0.2217,-0.00065,0.21045,-0.28125,37.9875,18.0375,2.6625
1.770852,-0.4856,-0.4696,0.2217,-0.0043,0.2153,-0.2819,37.9875,18.0375,2.6625
1.790852,-0.6414,-0.9985,0.5459,-0.0465,0.27885,-0.30075,37.9875,18.0375,2.6625
1.810852,-0.4003,-1.1869,0.6533,-0.03365,0.40415,-0.3002,37.9875,18.3375,3.15
1.830852,-0.27,-0.9493,0.6497,0.0415,0.48845,-0.24155,37.9875,18.3375,3.15
1.850852,-0.1738,-0.4189,0.4305,0.08485,0.54705,-0.18775,37.8938,18.9188,3.9375
1.870852,-0.1899,0.1503,0.1589,0.05315,0.46885,-0.14745,37.8938,18.9188,3.9375
1.890852,-0.1448,0.3864,-0.0447,-0.00675,0.2795,-0.13835,37.8938,18.9188,3.9375
1.910852,-0.1067,0.3276,-0.0423,-0.0373,0.037,-0.1463,37.5,19.8938,4.9125
1.930852,0.0631,0.0168,0.0767,-0.0434,-0.0876,-0.1378,37.5,19.8938,4.9125
1.950852,0.3526,-0.4348,0.3303,-0.0562,-0.13825,-0.1182,37.5,19.8938,4.9125
1.970852,0.5586,-0.565,0.4309,-0.0727,-0.0718,-0.1096,37.25625,19.80005,5.30625
1.990852,0.7346,-0.5788,0.4417,-0.091,0.0358,-0.1353,37.0125,19.7063,5.7
2.010852,0.6634,-0.5675,0.4616,-0.1228,0.1298,-0.1963,37.0125,19.7063,5.7
2.030852,0.4626,-0.6495,0.5526,-0.1558,0.1823,-0.2476,37.0125,19.7063,5.7
2.050852,0.2663,-0.733,0.7028,-0.1473,0.1885,-0.2331,36.8063,20.4938,5.7
2.070852,0.1225,-0.7637,0.7816,-0.0886,0.1482,-0.1561,36.8063,20.4938,5.7
2.090852,0.2349,-0.5146,0.7333,-0.0263,0.065,-0.0815,36.8063,20.4938,5.7
2.110852,0.3711,-0.2315,0.5629,-0.0165,0.0065,-0.0583,37.1063,20.6813,5.7
2.130852,0.6209,-0.0652,0.3454,-0.066,-0.0516,-0.0546,37.1063,20.6813,5.7
2.150852,0.8444,0.1084,0.2016,-0.10145,-0.0644,-0.04295,37.1063,20.6813,5.7
2.170852,0.9339,0.29685,0.15815,-0.0972,-0.0436,-0.0265,36.9188,20.9625,6.6563
2.190852,0.9451,0.3696,0.1418,-0.09165,-0.0253,-0.0302,36.9188,20.9625,6.6563
2.210852,0.84535,0.45605,0.0766,-0.1326,-0.04,-0.04,36.9188,20.9625,6.6563
2.230852,0.7151,0.3391,0.2474,-0.2034,-0.10285,-0.0332,36.525,21.2625,6.375
2.250852,0.7079,0.2181,0.4462,-0.2407,-0.1206,-0.0363,36.525,21.2625,6.375
2.270852,0.6144,0.0992,0.7202,-0.2511,-0.1487,-0.02285,36.525,21.2625,6.375
2.290852,0.4872,-0.084,0.9807,-0.2273,-0.16645,0.01685,35.85,21.3563,6.4688
2.310852,0.4014,-0.1038,1.1101,-0.1509,-0.18475,0.07425,35.85,21.3563,6.4688
2.330852,0.4295,-0.0694,1.0264,-0.0568,-0.18535,0.13415,35.85,21.3563,6.4688
2.350852,0.5056,0.1035,0.8916,0.0005,-0.2049,0.1738,35.99065,21.3563,6.51565
2.370852,0.5587,0.3754,0.6846,0.0434,-0.2281,0.22085,36.1313,21.3563,6.5625
2.390852,0.629,0.5217,0.5723,0.06845,-0.2306,0.2404,36.1313,21.3563,6.5625
2.410852,0.6471,0.4729,0.5164,0.08305,-0.25375,0.2349,36.7313,21.3563,5.9813
2.430852,0.5963,0.4483,0.4159,0.1008,-0.25555,0.2532,36.7313,21.3563,5.9813
2.450852,0.4441,0.4979,0.2472,0.1252,-0.23115,0.30395,36.7313,21.3563,5.9813
2.470852,0.1666,0.4007,0.2037,0.1276,-0.2159,0.3449,36.7313,20.96255,5.69065
2.490852,-0.0502,0.1961,0.2269,0.08,-0.28915,0.37545,36.7313,20.5688,5.4
2.510852,-0.1485,-0.1021,0.411,0.02745,-0.42235,0.39925,36.7313,20.5688,5.4
2.530852,-0.1247,-0.421,0.6623,0.01525,-0.49135,0.4182,36.7313,20.5688,5.4
2.550852,-0.1298,-0.7,0.9912,0.06345,-0.54695,0.508,36.8063,20.4938,4.425
2.570852,0.0583,-0.8198,1.2977,0.19545,-0.6649,0.5574,36.8063,20.4938,4.425
2.590852,0.6291,-0.3521,1.2271,0.3799,-0.7229,0.4622,36.8063,20.4938,4.425
2.610852,0.6288,-0.3018,0.7106,0.43425,-0.68135,0.3534,37.5,19.2188,4.125
2.630852,0.4729,-0.3547,0.5605,0.3005,-0.42355,0.307,37.5,19.2188,4.125
2.650852,-0.5379,-0.7951,0.4561,0.0513,-0.14685,0.3381,37.5,19.2188,4.125
2.670852,-1.5356,-1.6559,0.7159,-0.09535,-0.19945,0.3962,37.8938,18.525,2.4563
2.690852,-1.9401,-2.1135,1.0407,-0.10445,-0.5372,0.4255,37.8938,18.525,2.4563
2.710852,-2.032,-1.9874,1.0392,-0.05865,-0.81935,0.4817,37.8938,18.525,2.4563
2.730852,-1.7938,-1.589,1.1984,0.04455,-1.02345,0.5574,38.475,17.0625,0.225
2.750852,-1.591,-1.2332,0.9957,0.09705,-1.2226,0.6094,38.475,17.0625,0.225
2.770852,-1.1066,-0.7754,0.7921,0.0874,-1.37165,0.6149,38.475,17.0625,0.225
2.790852,-0.8801,-0.7672,0.5539,-0.0024,-1.46515,0.58005,38.3813,16.3688,-0.75
2.810852,-0.2693,-0.7184,0.6505,0.0433,-1.3802,0.5709,38.3813,16.3688,-0.75
2.830852,-0.2789,-0.4388,0.3088,0.0898,-1.3117,0.5684,38.3813,16.3688,-0.75
2.850852,-0.543,-0.6394,0.3783,0.0715,-1.3375,0.5501,37.9875,14.8125,-3.8813
2.870852,-0.3934,-0.5623,0.4586,0.0213,-1.4242,0.4927,37.9875,14.8125,-3.8813
2.890852,-0.1893,-0.2602,0.1079,-0.0385,-1.528,0.3986,37.9875,14.8125,-3.8813
2.910852,0.0372,0.2168,0.0582,-0.0617,-1.6673,0.2998,37.5938,13.1625,-6.9
2.930852,0.0803,0.5373,0.2301,-0.0128,-1.7284,0.1983,37.5938,13.1625,-6.9
2.950852,-0.0771,1.4006,0.8066,0.2046,-1.6746,0.3119,37.5938,13.1625,-6.9
2.970852,0.316,-0.3125,0.676,0.3622,-1.3057,0.1066,37.20005,12.7219,-8.75625
2.990852,0.3994,-1.4162,0.8053,0.3549,-0.6374,-0.1878,36.8063,12.2813,-10.6125
3.010852,0.3533,-0.9095,1.1655,0.4685,-0.3992,-0.2953,36.8063,12.2813,-10.6125
3.030852,0.0538,-0.8459,0.198,0.6542,-0.20735,-0.2782,36.8063,12.2813,-10.6125
3.050852,-0.4382,-0.7597,0.082,0.65175,-0.0974,-0.30935,35.0625,11.3063,-14.2313
