
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.153865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.155243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.156448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.157730,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.158757,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.159673,0.0000,0.0000,0.0000,-0.3674,0.2542,-0.3586,0.0000,0.0000,0.0000,
0.160985,0.0000,0.0000,0.0000,-0.3674,0.2542,-0.3586,0.0000,0.0000,0.0000,
0.187373,0.0000,0.0000,0.0000,-0.3674,0.2542,-0.3586,0.0000,0.0000,0.0000,
0.188759,0.0000,0.0000,0.0000,-0.3674,0.2542,-0.3586,0.0000,0.0000,0.0000,
0.212212,0.0000,0.0000,0.0000,-0.3674,0.2542,-0.3586,0.0000,0.0000,0.0000,
0.215319,0.0000,0.0000,0.0000,-0.3350,0.7363,-0.3966,0.0000,0.0000,0.0000,
0.218144,0.0000,0.0000,0.0000,-0.3350,0.7363,-0.3966,0.0000,0.0000,0.0000,
0.220130,0.0000,0.0000,0.0000,-0.3350,0.7363,-0.3966,37.3875,20.7938,-6.4313,
0.253189,0.0000,0.0000,0.0000,-0.3350,0.7363,-0.3966,37.3875,20.7938,-6.4313,
0.255498,0.0000,0.0000,0.0000,-0.3350,0.7363,-0.3966,37.3875,20.7938,-6.4313,
0.257532,-0.7216,0.0780,0.5356,-0.3350,0.7363,-0.3966,37.3875,20.7938,-6.4313,
0.259932,-0.7216,0.0780,0.5356,-0.3350,0.7363,-0.3966,37.3875,20.7938,-6.4313,
0.277803,-0.7216,0.0780,0.5356,-0.1861,0.1193,-0.2294,37.3875,20.7938,-6.4313,
0.283708,-0.7216,0.0780,0.5356,-0.1861,0.1193,-0.2294,37.3875,20.7938,-6.4313,
0.285837,-0.7216,0.0780,0.5356,-0.1861,0.1193,-0.2294,37.2000,21.0750,-5.8688,
0.319347,-0.7216,0.0780,0.5356,-0.1861,0.1193,-0.2294,37.2000,21.0750,-5.8688,
0.322051,-0.7216,0.0780,0.5356,-0.1861,0.1193,-0.2294,37.2000,21.0750,-5.8688,
0.324651,-0.4579,0.3533,0.1119,-0.1861,0.1193,-0.2294,37.2000,21.0750,-5.8688,
0.343045,-0.4579,0.3533,0.1119,-0.2998,0.2251,-0.0521,37.2000,21.0750,-5.8688,
0.346086,-0.4579,0.3533,0.1119,-0.2998,0.2251,-0.0521,37.2000,21.0750,-5.8688,
0.347451,-0.4579,0.3533,0.1119,-0.2998,0.2251,-0.0521,37.0312,21.6000,-5.4563,
0.378066,-0.4579,0.3533,0.1119,-0.2998,0.2251,-0.0521,37.0312,21.6000,-5.4563,
0.380481,-0.4579,0.3533,0.1119,-0.2998,0.2251,-0.0521,37.0312,21.6000,-5.4563,
0.382043,0.0496,0.3095,0.3383,-0.2998,0.2251,-0.0521,37.0312,21.6000,-5.4563,
0.400978,0.0496,0.3095,0.3383,-0.2872,0.2099,-0.1180,37.0312,21.6000,-5.4563,
0.405278,0.0496,0.3095,0.3383,-0.2872,0.2099,-0.1180,37.0312,21.6000,-5.4563,
0.407035,0.0496,0.3095,0.3383,-0.2872,0.2099,-0.1180,36.9188,21.9000,-5.0438,
0.440292,0.0496,0.3095,0.3383,-0.2872,0.2099,-0.1180,36.9188,21.9000,-5.0438,
0.442528,0.0496,0.3095,0.3383,-0.2872,0.2099,-0.1180,36.9188,21.9000,-5.0438,
0.444845,0.2145,0.4277,0.6753,-0.2872,0.2099,-0.1180,36.9188,21.9000,-5.0438,
0.478517,0.2145,0.4277,0.6753,-0.1432,0.0680,-0.0671,36.9188,21.9000,-5.0438,
0.481911,0.2145,0.4277,0.6753,-0.1432,0.0680,-0.0671,36.9188,21.9000,-5.0438,
0.484672,0.2145,0.4277,0.6753,-0.1432,0.0680,-0.0671,36.8063,22.1250,-4.5000,
0.487268,0.2145,0.4277,0.6753,-0.1432,0.0680,-0.0671,36.8063,22.1250,-4.5000,
0.499495,0.2145,0.4277,0.6753,-0.1432,0.0680,-0.0671,36.8063,22.1250,-4.5000,
0.502304,0.1565,0.1932,0.8885,-0.1432,0.0680,-0.0671,36.8063,22.1250,-4.5000,
0.520863,0.1565,0.1932,0.8885,-0.1432,0.0680,-0.0671,36.8063,22.1250,-4.5000,
0.539641,0.1565,0.1932,0.8885,-0.0152,0.0208,-0.0194,36.8063,22.1250,-4.5000,
0.542823,0.1565,0.1932,0.8885,-0.0152,0.0208,-0.0194,36.8063,22.1250,-4.5000,
0.545010,0.1565,0.1932,0.8885,-0.0152,0.0208,-0.0194,36.6750,22.2375,-4.1625,
0.563621,0.1565,0.1932,0.8885,-0.0152,0.0208,-0.0194,36.6750,22.2375,-4.1625,
0.566692,0.3343,0.1462,0.4532,-0.0152,0.0208,-0.0194,36.6750,22.2375,-4.1625,
0.586982,0.3343,0.1462,0.4532,-0.0152,0.0208,-0.0194,36.6750,22.2375,-4.1625,
0.599528,0.3343,0.1462,0.4532,0.0793,0.0359,-0.0584,36.6750,22.2375,-4.1625,
0.608010,0.3343,0.1462,0.4532,0.0793,0.0359,-0.0584,36.6188,22.3313,-3.9000,
