
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.117500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.118057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.118775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.119420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.141463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.142649,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,0.0000,0.0000,0.0000,
0.167017,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,0.0000,0.0000,0.0000,
0.168082,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,0.0000,0.0000,0.0000,
0.180953,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,0.0000,0.0000,0.0000,
0.181882,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,34.5375,13.0313,-27.5813,
0.182873,0.0000,0.0000,0.0000,0.6086,-0.0321,-0.6093,34.5375,13.0313,-27.5813,
0.200318,0.0000,0.0000,0.0000,0.6745,0.1394,-0.2944,34.5375,13.0313,-27.5813,
0.214466,0.0000,0.0000,0.0000,0.6745,0.1394,-0.2944,34.5375,13.0313,-27.5813,
0.232689,0.0000,0.0000,0.0000,0.6745,0.1394,-0.2944,34.5375,13.0313,-27.5813,
0.241829,-0.6007,0.1789,-0.2479,0.6745,0.1394,-0.2944,34.5375,13.0313,-27.5813,
0.243435,-0.6007,0.1789,-0.2479,0.6745,0.1394,-0.2944,34.5375,13.0313,-27.5813,
0.263704,-0.6007,0.1789,-0.2479,0.5437,0.0232,0.0173,34.5375,13.0313,-27.5813,
0.265037,-0.6007,0.1789,-0.2479,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.266364,-0.6007,0.1789,-0.2479,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.302271,-0.5404,0.4076,-0.2510,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.303524,-0.5404,0.4076,-0.2510,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.304341,-0.5404,0.4076,-0.2510,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.320901,-0.5404,0.4076,-0.2510,0.5437,0.0232,0.0173,35.1000,12.4875,-27.3563,
0.321559,-0.5404,0.4076,-0.2510,0.5437,0.0232,0.0173,34.8188,12.0375,-27.4500,
0.341674,-0.5404,0.4076,-0.2510,0.4673,-0.0483,0.1260,34.8188,12.0375,-27.4500,
0.361810,0.7126,0.2305,-0.2642,0.4673,-0.0483,0.1260,34.8188,12.0375,-27.4500,
0.363321,0.7126,0.2305,-0.2642,0.4673,-0.0483,0.1260,34.8188,12.0375,-27.4500,
0.364260,0.7126,0.2305,-0.2642,0.4673,-0.0483,0.1260,34.8188,12.0375,-27.4500,
0.382379,0.7126,0.2305,-0.2642,0.4673,-0.0483,0.1260,35.0625,11.4188,-27.5063,
0.383898,0.7126,0.2305,-0.2642,0.4673,-0.0483,0.1260,35.0625,11.4188,-27.5063,
0.402254,0.7126,0.2305,-0.2642,0.5830,0.0558,0.4614,35.0625,11.4188,-27.5063,
0.419705,0.7126,0.2305,-0.2642,0.5830,0.0558,0.4614,35.0625,11.4188,-27.5063,
0.424887,0.7126,0.2305,-0.2642,0.5830,0.0558,0.4614,35.0625,11.4188,-27.5063,
0.427735,0.0303,0.1051,0.7167,0.5830,0.0558,0.4614,35.0625,11.4188,-27.5063,
0.464044,0.0303,0.1051,0.7167,0.6403,-0.1586,0.3183,35.0625,11.4188,-27.5063,
0.465637,0.0303,0.1051,0.7167,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.466878,0.0303,0.1051,0.7167,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.467828,0.0303,0.1051,0.7167,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.482108,0.0303,0.1051,0.7167,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.483320,0.7844,0.3710,-0.1381,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.521783,0.7844,0.3710,-0.1381,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.523262,0.7844,0.3710,-0.1381,0.6403,-0.1586,0.3183,35.2688,10.5375,-27.6000,
0.524307,0.7844,0.3710,-0.1381,0.6403,-0.1586,0.3183,35.1938,9.6375,-27.7875,
0.542364,0.7844,0.3710,-0.1381,0.7300,0.2117,0.3050,35.1938,9.6375,-27.7875,
0.544159,0.9458,-0.3648,0.7020,0.7300,0.2117,0.3050,35.1938,9.6375,-27.7875,
0.545527,0.9458,-0.3648,0.7020,0.7300,0.2117,0.3050,35.1938,9.6375,-27.7875,
0.566600,0.9458,-0.3648,0.7020,0.7300,0.2117,0.3050,35.1938,9.6375,-27.7875,
0.584686,0.9458,-0.3648,0.7020,0.7300,0.2117,0.3050,35.1938,9.6375,-27.7875,
0.587566,0.9458,-0.3648,0.7020,0.7300,0.2117,0.3050,35.2313,8.7563,-27.9000,
0.604483,0.9458,-0.3648,0.7020,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.608850,0.9458,-0.3648,0.7020,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.611751,1.7836,-0.1452,0.2218,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.634535,1.7836,-0.1452,0.2218,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.665421,1.7836,-0.1452,0.2218,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.668123,1.7836,-0.1452,0.2218,0.7817,-0.0902,-0.0483,35.2313,8.7563,-27.9000,
0.670015,1.7836,-0.1452,0.2218,0.7748,-0.3960,-0.2172,35.2313,8.7563,-27.9000,
