
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.103057,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.104161,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.105437,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.129360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.131466,0.0000,0.0000,0.0000,-0.0178,0.0906,0.0026,0.0000,0.0000,0.0000,
0.162120,0.0000,0.0000,0.0000,-0.0178,0.0906,0.0026,0.0000,0.0000,0.0000,
0.163923,0.0000,0.0000,0.0000,-0.0178,0.0906,0.0026,0.0000,0.0000,0.0000,
0.176341,0.0000,0.0000,0.0000,-0.0178,0.0906,0.0026,0.0000,0.0000,0.0000,
0.178338,0.0000,0.0000,0.0000,-0.0178,0.0906,0.0026,37.6313,18.3000,-22.7250,
0.187325,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.6313,18.3000,-22.7250,
0.189301,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.6313,18.3000,-22.7250,
0.190481,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.6313,18.3000,-22.7250,
0.219736,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.6313,18.3000,-22.7250,
0.238210,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.6313,18.3000,-22.7250,
0.240626,0.0000,0.0000,0.0000,0.0086,-0.0300,-0.0886,37.2563,17.6250,-23.0250,
0.246865,0.1608,0.0735,-0.3374,0.0086,-0.0300,-0.0886,37.2563,17.6250,-23.0250,
0.249916,0.1608,0.0735,-0.3374,0.0086,-0.0300,-0.0886,37.2563,17.6250,-23.0250,
0.269019,0.1608,0.0735,-0.3374,-0.1073,0.2014,-0.1149,37.2563,17.6250,-23.0250,
0.287160,0.1608,0.0735,-0.3374,-0.1073,0.2014,-0.1149,37.2563,17.6250,-23.0250,
0.289223,0.1608,0.0735,-0.3374,-0.1073,0.2014,-0.1149,37.2563,17.6250,-23.0250,
0.307551,-0.1534,0.0346,-0.1488,-0.1073,0.2014,-0.1149,37.2563,17.6250,-23.0250,
0.311665,-0.1534,0.0346,-0.1488,-0.1073,0.2014,-0.1149,37.2563,17.6250,-23.0250,
0.316724,-0.1534,0.0346,-0.1488,-0.1073,0.2014,-0.1149,37.2188,18.0188,-22.7250,
0.325299,-0.1534,0.0346,-0.1488,0.0769,-0.0460,-0.0530,37.2188,18.0188,-22.7250,
0.353527,-0.1534,0.0346,-0.1488,0.0769,-0.0460,-0.0530,37.2188,18.0188,-22.7250,
0.356690,-0.1534,0.0346,-0.1488,0.0769,-0.0460,-0.0530,37.2188,18.0188,-22.7250,
0.366764,-0.1534,0.0346,-0.1488,0.0769,-0.0460,-0.0530,37.2188,18.0188,-22.7250,
0.369269,-0.3855,-0.3340,0.7678,0.0769,-0.0460,-0.0530,37.2188,18.0188,-22.7250,
0.377410,-0.3855,-0.3340,0.7678,0.0769,-0.0460,-0.0530,37.1250,18.3000,-22.7438,
0.388274,-0.3855,-0.3340,0.7678,0.1190,-0.1153,-0.1571,37.1250,18.3000,-22.7438,
0.420391,-0.3855,-0.3340,0.7678,0.1190,-0.1153,-0.1571,37.1250,18.3000,-22.7438,
0.423551,-0.3855,-0.3340,0.7678,0.1190,-0.1153,-0.1571,37.1250,18.3000,-22.7438,
0.426397,0.0307,0.2671,-0.5996,0.1190,-0.1153,-0.1571,37.1250,18.3000,-22.7438,
0.429318,0.0307,0.2671,-0.5996,0.1190,-0.1153,-0.1571,37.1250,18.3000,-22.7438,
0.439645,0.0307,0.2671,-0.5996,0.1190,-0.1153,-0.1571,37.0125,18.5063,-22.7063,
0.468534,0.0307,0.2671,-0.5996,0.1190,-0.1153,-0.1571,37.0125,18.5063,-22.7063,
0.471456,0.0307,0.2671,-0.5996,0.0089,0.2234,0.0003,37.0125,18.5063,-22.7063,
0.486763,0.0307,0.2671,-0.5996,0.0089,0.2234,0.0003,37.0125,18.5063,-22.7063,
0.489128,0.0307,0.2671,-0.5996,0.0089,0.2234,0.0003,37.0125,18.5063,-22.7063,
0.490710,-0.2379,-0.1164,0.2265,0.0089,0.2234,0.0003,37.0125,18.5063,-22.7063,
0.517258,-0.2379,-0.1164,0.2265,0.0089,0.2234,0.0003,37.0125,18.5063,-22.7063,
0.519443,-0.2379,-0.1164,0.2265,0.0089,0.2234,0.0003,36.9938,18.7125,-22.6500,
0.526673,-0.2379,-0.1164,0.2265,0.0445,-0.1526,-0.1400,36.9938,18.7125,-22.6500,
0.545722,-0.2379,-0.1164,0.2265,0.0445,-0.1526,-0.1400,36.9938,18.7125,-22.6500,
0.547599,-0.2379,-0.1164,0.2265,0.0445,-0.1526,-0.1400,36.9938,18.7125,-22.6500,
0.548904,0.0579,0.0556,-0.2711,0.0445,-0.1526,-0.1400,36.9938,18.7125,-22.6500,
0.576508,0.0579,0.0556,-0.2711,0.0445,-0.1526,-0.1400,36.9938,18.7125,-22.6500,
0.578676,0.0579,0.0556,-0.2711,0.0445,-0.1526,-0.1400,37.0125,18.7875,-22.7438,
0.587417,0.0579,0.0556,-0.2711,0.0159,0.0928,-0.0828,37.0125,18.7875,-22.7438,
0.607577,0.0579,0.0556,-0.2711,0.0159,0.0928,-0.0828,37.0125,18.7875,-22.7438,
