
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.160934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.162048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.163101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.164350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.165162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.166074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.166744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.190584,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,0.0000,0.0000,0.0000,
0.193392,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,0.0000,0.0000,0.0000,
0.212368,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,0.0000,0.0000,0.0000,
0.213631,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,0.0000,0.0000,0.0000,
0.214434,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,0.0000,0.0000,0.0000,
0.218574,0.0000,0.0000,0.0000,0.0346,-0.0940,-0.0145,30.1500,35.3063,-18.3188,
0.231614,0.0000,0.0000,0.0000,0.0263,-0.0796,0.0237,30.1500,35.3063,-18.3188,
0.256712,0.0000,0.0000,0.0000,0.0263,-0.0796,0.0237,30.1500,35.3063,-18.3188,
0.258462,0.0000,0.0000,0.0000,0.0263,-0.0796,0.0237,30.1500,35.3063,-18.3188,
0.273700,0.0000,0.0000,0.0000,0.0263,-0.0796,0.0237,30.1500,35.3063,-18.3188,
0.274981,0.0052,0.0354,-0.0066,0.0263,-0.0796,0.0237,30.1500,35.3063,-18.3188,
0.276290,0.0052,0.0354,-0.0066,0.0263,-0.0796,0.0237,30.1688,35.2875,-18.3375,
0.293385,0.0052,0.0354,-0.0066,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.324097,0.0052,0.0354,-0.0066,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.325513,0.0052,0.0354,-0.0066,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.333487,0.0156,0.0061,0.0376,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.335152,0.0156,0.0061,0.0376,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.358722,0.0156,0.0061,0.0376,-0.0144,-0.0667,0.0249,30.1688,35.2875,-18.3375,
0.362385,0.0156,0.0061,0.0376,-0.0144,-0.0667,0.0249,30.0000,35.1750,-18.3750,
0.373664,0.0156,0.0061,0.0376,0.0459,-0.1010,0.0740,30.0000,35.1750,-18.3750,
0.390686,0.0156,0.0061,0.0376,0.0459,-0.1010,0.0740,30.0000,35.1750,-18.3750,
0.393958,0.0524,-0.0147,0.1222,0.0459,-0.1010,0.0740,30.0000,35.1750,-18.3750,
0.396676,0.0524,-0.0147,0.1222,0.0459,-0.1010,0.0740,30.0000,35.1750,-18.3750,
0.416903,0.0524,-0.0147,0.1222,0.0459,-0.1010,0.0740,30.0000,35.1750,-18.3750,
0.419898,0.0524,-0.0147,0.1222,0.0459,-0.1010,0.0740,30.3375,35.1375,-18.4500,
0.434357,0.0524,-0.0147,0.1222,0.1494,0.0855,0.2556,30.3375,35.1375,-18.4500,
0.438623,0.0524,-0.0147,0.1222,0.1494,0.0855,0.2556,30.3375,35.1375,-18.4500,
0.454477,0.0524,-0.0147,0.1222,0.1494,0.0855,0.2556,30.3375,35.1375,-18.4500,
0.457477,-0.0037,-0.1030,-0.1197,0.1494,0.0855,0.2556,30.3375,35.1375,-18.4500,
0.477055,-0.0037,-0.1030,-0.1197,0.1494,0.0855,0.2556,30.3375,35.1375,-18.4500,
0.479436,-0.0037,-0.1030,-0.1197,0.1494,0.0855,0.2556,30.5438,35.0438,-18.5625,
0.497129,-0.0037,-0.1030,-0.1197,0.1846,-0.2139,0.2466,30.5438,35.0438,-18.5625,
0.514735,-0.0037,-0.1030,-0.1197,0.1846,-0.2139,0.2466,30.5438,35.0438,-18.5625,
0.517915,-0.0037,-0.1030,-0.1197,0.1846,-0.2139,0.2466,30.5438,35.0438,-18.5625,
0.519791,-0.0340,-0.0378,-0.0439,0.1846,-0.2139,0.2466,30.5438,35.0438,-18.5625,
0.561315,-0.0340,-0.0378,-0.0439,0.1846,-0.2139,0.2466,30.7125,34.8375,-18.8063,
0.564514,-0.0340,-0.0378,-0.0439,0.1846,-0.2139,0.2466,30.7125,34.8375,-18.8063,
0.566756,-0.0340,-0.0378,-0.0439,0.1846,-0.2139,0.2466,30.7125,34.8375,-18.8063,
0.574041,-0.0340,-0.0378,-0.0439,0.0844,-0.0441,0.3645,30.7125,34.8375,-18.8063,
0.577838,0.0881,0.1938,-0.1463,0.0844,-0.0441,0.3645,30.7125,34.8375,-18.8063,
0.580431,0.0881,0.1938,-0.1463,0.0844,-0.0441,0.3645,30.7125,34.8375,-18.8063,
0.617213,0.0881,0.1938,-0.1463,0.0844,-0.0441,0.3645,30.7125,34.8375,-18.8063,
0.620750,0.0881,0.1938,-0.1463,0.0844,-0.0441,0.3645,30.7125,34.8375,-18.8063,
0.623725,0.0881,0.1938,-0.1463,0.0844,-0.0441,0.3645,30.9563,34.4813,-18.9750,
0.637867,0.0881,0.1938,-0.1463,0.0801,0.0751,0.3273,30.9563,34.4813,-18.9750,
0.640977,0.0881,0.1938,-0.1463,0.0801,0.0751,0.3273,30.9563,34.4813,-18.9750,
0.642821,0.3978,0.0171,0.0121,0.0801,0.0751,0.3273,30.9563,34.4813,-18.9750,
0.660299,0.3978,0.0171,0.0121,0.0801,0.0751,0.3273,30.9563,34.4813,-18.9750,
0.678265,0.3978,0.0171,0.0121,0.0801,0.0751,0.3273,30.9563,34.4813,-18.9750,
0.680668,0.3978,0.0171,0.0121,0.0801,0.0751,0.3273,31.2563,34.0688,-19.1250,
0.694661,0.3978,0.0171,0.0121,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.697488,0.1281,-0.1600,0.2213,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.699464,0.1281,-0.1600,0.2213,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.723210,0.1281,-0.1600,0.2213,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.757082,-0.0324,-0.3114,0.2325,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.762108,-0.0324,-0.3114,0.2325,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.764453,-0.0324,-0.3114,0.2325,0.3648,-0.0636,0.3389,31.2563,34.0688,-19.1250,
0.767032,-0.0324,-0.3114,0.2325,0.3648,-0.0636,0.3389,31.6500,33.3188,-19.5375,
0.774744,-0.0324,-0.3114,0.2325,0.3902,-0.0999,0.4694,31.6500,33.3188,-19.5375,
0.788745,-0.0324,-0.3114,0.2325,0.3902,-0.0999,0.4694,31.6500,33.3188,-19.5375,
0.801399,-0.0324,-0.3114,0.2325,0.3902,-0.0999,0.4694,31.6500,33.3188,-19.5375,
