
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.090918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091582,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.137792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.138489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.143478,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,0.0000,0.0000,0.0000,
0.163774,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,0.0000,0.0000,0.0000,
0.164442,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,0.0000,0.0000,0.0000,
0.164864,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,0.0000,0.0000,0.0000,
0.165185,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,32.2125,16.8750,-29.4563,
0.206334,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,32.2125,16.8750,-29.4563,
0.207021,0.0000,0.0000,0.0000,-0.0782,-0.2482,-0.2537,32.2125,16.8750,-29.4563,
0.207432,0.0000,0.0000,0.0000,0.1389,0.9786,-0.0402,32.2125,16.8750,-29.4563,
0.227505,0.0000,0.0000,0.0000,0.1389,0.9786,-0.0402,32.2125,16.8750,-29.4563,
0.228202,0.5418,0.4126,-0.7958,0.1389,0.9786,-0.0402,32.2125,16.8750,-29.4563,
0.229004,0.5418,0.4126,-0.7958,0.1389,0.9786,-0.0402,33.1313,16.8375,-28.7250,
0.264930,0.5418,0.4126,-0.7958,0.1389,0.9786,-0.0402,33.1313,16.8375,-28.7250,
0.265566,0.5418,0.4126,-0.7958,-0.2454,0.9913,-0.1452,33.1313,16.8375,-28.7250,
0.271197,0.5418,0.4126,-0.7958,-0.2454,0.9913,-0.1452,33.1313,16.8375,-28.7250,
0.284070,0.5418,0.4126,-0.7958,-0.2454,0.9913,-0.1452,33.1313,16.8375,-28.7250,
0.284782,-0.4800,0.3420,-0.5577,-0.2454,0.9913,-0.1452,33.1313,16.8375,-28.7250,
0.307641,-0.4800,0.3420,-0.5577,-0.2454,0.9913,-0.1452,33.8625,17.0063,-27.8063,
0.308609,-0.4800,0.3420,-0.5577,-0.2454,0.9913,-0.1452,33.8625,17.0063,-27.8063,
0.336730,-0.4800,0.3420,-0.5577,-0.2454,0.9913,-0.1452,33.8625,17.0063,-27.8063,
0.344442,-0.4800,0.3420,-0.5577,-0.0486,0.4361,-0.2125,33.8625,17.0063,-27.8063,
0.345333,-0.4800,0.3420,-0.5577,-0.0486,0.4361,-0.2125,33.8625,17.0063,-27.8063,
0.345782,-0.9409,0.0148,0.0242,-0.0486,0.4361,-0.2125,33.8625,17.0063,-27.8063,
0.367258,-0.9409,0.0148,0.0242,-0.0486,0.4361,-0.2125,33.8625,17.0063,-27.8063,
0.367915,-0.9409,0.0148,0.0242,-0.0486,0.4361,-0.2125,34.4438,17.4188,-27.2438,
0.409093,-0.9409,0.0148,0.0242,-0.0198,0.2018,-0.1852,34.4438,17.4188,-27.2438,
0.409933,-0.9409,0.0148,0.0242,-0.0198,0.2018,-0.1852,34.4438,17.4188,-27.2438,
