
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.165877,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.166489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.167083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.167633,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.168039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.168457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.168831,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.169229,0.0000,0.0000,0.0000,0.0463,-0.0251,-0.0684,0.0000,0.0000,0.0000,
0.202171,0.0000,0.0000,0.0000,0.0463,-0.0251,-0.0684,0.0000,0.0000,0.0000,
0.203474,0.0000,0.0000,0.0000,0.0463,-0.0251,-0.0684,0.0000,0.0000,0.0000,
0.224419,0.0000,0.0000,0.0000,0.0463,-0.0251,-0.0684,0.0000,0.0000,0.0000,
0.227449,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,0.0000,0.0000,0.0000,
0.230081,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,0.0000,0.0000,0.0000,
0.232118,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,0.0000,0.0000,0.0000,
0.238325,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,33.3000,16.2188,-22.0312,
0.271349,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,33.3000,16.2188,-22.0312,
0.273817,0.0000,0.0000,0.0000,0.0338,-0.0054,-0.0652,33.3000,16.2188,-22.0312,
0.288156,-0.0420,-0.0103,-0.0121,0.0338,-0.0054,-0.0652,33.3000,16.2188,-22.0312,
0.290815,-0.0420,-0.0103,-0.0121,0.0338,-0.0054,-0.0652,33.3000,16.2188,-22.0312,
0.306213,-0.0420,-0.0103,-0.0121,0.0298,0.0173,-0.0426,33.3000,16.2188,-22.0312,
0.320288,-0.0420,-0.0103,-0.0121,0.0298,0.0173,-0.0426,33.3000,16.2188,-22.0312,
0.322957,-0.0420,-0.0103,-0.0121,0.0298,0.0173,-0.0426,33.2812,15.7875,-22.5375,
0.336945,-0.0420,-0.0103,-0.0121,0.0298,0.0173,-0.0426,33.2812,15.7875,-22.5375,
0.346145,-0.0265,-0.0036,-0.0198,0.0298,0.0173,-0.0426,33.2812,15.7875,-22.5375,
0.348069,-0.0265,-0.0036,-0.0198,0.0298,0.0173,-0.0426,33.2812,15.7875,-22.5375,
0.368624,-0.0265,-0.0036,-0.0198,-0.0045,-0.0006,-0.0055,33.2812,15.7875,-22.5375,
0.377017,-0.0265,-0.0036,-0.0198,-0.0045,-0.0006,-0.0055,33.2812,15.7875,-22.5375,
0.379558,-0.0265,-0.0036,-0.0198,-0.0045,-0.0006,-0.0055,33.4125,15.7500,-22.5000,
0.403277,-0.0265,-0.0036,-0.0198,-0.0045,-0.0006,-0.0055,33.4125,15.7500,-22.5000,
