time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.042747,0,0,0,-0.058,3.647,-3.6792,0,0,0
0.062747,0,0,0,0.0214,-0.0583,-0.0648,0,0,0
0.082747,0.0312,-0.1919,0.1023,-0.0428,-0.04915,-0.03115,0,0,0
0.102747,0.0313,-0.3146,0.3351,0.0061,-0.08885,-0.0202,-20.0063,-42.8063,-2.5125
0.122747,0.1113,-0.502,0.4654,0.0592,-0.07425,-0.03115,-20.0063,-42.8063,-2.5125
0.142747,0.0523,-0.4991,0.3287,0.055,0.004,0.0226,-20.0063,-42.8063,-2.5125
0.162747,0.1848,-0.4695,0.2542,0.0323,0.032,0.0446,33.6,25.3688,9.7875
0.182747,0.2837,-0.3714,0.2501,0.0336,0.0052,0.0005,33.6,25.3688,9.7875
0.202747,0.2137,-0.4073,0.2129,0.036,-0.0253,-0.0128,33.6,25.3688,9.7875
0.222747,0.1599,-0.447,0.2211,0.0409,-0.0388,-0.0116,33.8063,23.7,10.8563
0.242747,0.2183,-0.4974,0.258,0.0605,-0.0278,-0.0165,33.8063,23.7,10.8563
0.262747,0.1013,-0.543,0.146,0.0653,-0.0132,0.014,33.8063,23.7,10.8563
0.282747,0.1135,-0.5346,0.0357,0.036,0.0015,0.036,33.6938,24.3938,10.1813
0.302747,0.2577,-0.4529,-0.0575,0.0128,-0.0107,0.0201,33.6938,24.3938,10.1813
0.322747,0.2793,-0.4895,-0.0255,0.0018,-0.0498,-0.0007,33.6938,24.3938,10.1813
0.342747,0.2103,-0.5686,-0.0191,0.0005,-0.0852,0.0005,33.9,24.2813,9.7875
0.362747,0.1939,-0.5992,-0.047,0.0092,-0.0901,0.0263,33.9,24.2813,9.7875
0.382747,0.206,-0.4944,-0.1591,-0.0165,-0.1158,0.0433,33.9,24.2813,9.7875
0.402747,0.2439,-0.4539,-0.1552,-0.05865,-0.14445,0.0025,34.1813,25.3688,9.5063
0.422747,0.3372,-0.4688,-0.0602,-0.0642,-0.1243,-0.019,34.1813,25.3688,9.5063
0.442747,0.3624,-0.5185,0.0001,-0.0568,-0.0571,-0.0238,34.1813,25.3688,9.5063
0.462747,0.3207,-0.6049,0.0055,-0.0543,-0.0095,-0.0214,34.1813,25.3688,9.5063
0.482747,0.2224,-0.4055,-0.1878,-0.0495,-0.00275,-0.02565,34.3688,24.0938,9.3
0.502747,0.1781,-0.3075,-0.1831,-0.0874,-0.03265,-0.03665,34.3688,24.0938,9.3
0.522747,0.0939,-0.4008,-0.073,-0.11915,-0.07305,-0.06235,34.3688,24.0938,9.3
0.542747,0.064,-0.4401,-0.0033,-0.1191,-0.0706,-0.06655,34.8563,24,9.6
0.562747,0.0762,-0.4692,0.0141,-0.12525,-0.0199,-0.05315,34.8563,24,9.6
0.582747,0.0762,-0.4692,0.0141,-0.1454,-0.0022,-0.04515,34.8563,24,9.6
0.602747,-0.089,-0.4572,0.0066,-0.16915,-0.0272,-0.03055,34.4813,23.7,9.7875
0.622747,-0.0106,-0.412,0.1101,-0.18445,-0.0675,-0.0244,34.4813,23.7,9.7875
0.642747,0.0092,-0.4058,0.178,-0.1826,-0.07485,-0.0348,34.4813,23.7,9.7875
0.662747,-0.0764,-0.3331,0.2412,-0.1857,-0.0773,-0.0202,34.9688,24.2063,9.6
0.682747,-0.0205,-0.4095,0.3028,-0.18875,-0.08465,-0.01955,34.9688,24.2063,9.6
0.702747,0.0287,-0.421,0.4037,-0.1919,-0.0517,-0.02625,34.9688,24.2063,9.6
0.722747,0.0253,-0.5099,0.5268,-0.1754,-0.0076,-0.0116,34.4813,23.6063,10.0875
0.742747,0.0408,-0.4697,0.5579,-0.1252,0.00525,-0.0104,34.4813,23.6063,10.0875
0.762747,-0.0226,-0.3846,0.5331,-0.09415,-0.0186,-0.0128,34.4813,23.6063,10.0875
0.782747,-0.102,-0.2497,0.4961,-0.09105,-0.04065,-0.00485,34.275,24.675,9.2063
0.802747,-0.0608,-0.2712,0.4844,-0.08915,-0.06685,0.00855,34.275,24.675,9.2063
0.822747,-0.0391,-0.3646,0.6247,-0.0519,-0.1115,0.0104,34.275,24.675,9.2063
0.842747,-0.0525,-0.4201,0.6229,-0.02445,-0.1353,0.01095,34.275,24.4875,10.1813
0.862747,0.0562,-0.4649,0.6582,0.00665,-0.1121,0.02385,34.275,24.4875,10.1813
0.882747,0.1544,-0.4347,0.5917,0.0299,-0.06625,0.02995,34.275,24.4875,10.1813
0.902747,0.1544,-0.4347,0.5917,0.0379,-0.05165,0.0275,34.275,24.4875,10.1813
0.922747,0.1748,-0.2911,0.388,0.03235,0.018,0.0024,34.4813,23.7,10.3688
0.942747,0.1266,-0.3687,0.3778,0.01275,0.0198,-0.0098,34.4813,23.7,10.3688
0.962747,0.0815,-0.4042,0.4224,0.0446,0.0052,-0.0165,34.6688,23.65315,10.22815
0.982747,0.083,-0.4543,0.3355,0.0788,0.004,-0.01715,34.8563,23.6063,10.0875
1.002747,0.0597,-0.3802,0.1711,0.0482,-0.00575,0.00175,34.8563,23.6063,10.0875
1.022747,0.0765,-0.3502,0.1488,0.0134,-0.0156,0.0098,34.8563,23.6063,10.0875
1.042747,0.0809,-0.3491,0.1536,0.0055,-0.0352,0.0055,32.625,26.5313,8.5125
1.062747,0.1421,-0.5166,0.2185,0.0043,-0.0645,-0.0005,32.625,26.5313,8.5125
1.082747,0.0846,-0.5508,0.2268,0.025,-0.0682,0.0128,32.625,26.5313,8.5125
1.102747,0.1546,-0.5403,0.2135,0.047,-0.0388,0.0202,33.8063,24.2063,10.1813
1.122747,0.2324,-0.5094,0.1857,0.047,-0.0375,0.0005,33.8063,24.2063,10.1813
1.142747,0.1774,-0.4059,0.1005,0.0225,-0.0058,-0.003,33.8063,24.2063,10.1813
1.162747,0.2242,-0.3789,0.0287,-0.02015,0.02045,0.00485,33.3188,25.1625,9.6938
1.182747,0.2031,-0.3842,0.087,-0.0422,-0.012,-0.0018,33.3188,25.1625,9.6938
1.202747,0.2043,-0.396,0.1185,-0.008,-0.0315,-0.025,33.3188,25.1625,9.6938
1.222747,0.1393,-0.4024,0.1508,-0.0055,-0.0205,-0.0104,34.3688,23.7,9.6
1.242747,0.2117,-0.4721,0.2022,-0.0324,-0.0192,-0.0213,34.3688,23.7,9.6
1.262747,0.2506,-0.4449,0.2315,-0.0177,0.0015,-0.0458,34.3688,23.7,9.6
1.282747,0.1872,-0.452,0.1751,-0.0092,0.0009,-0.0458,34.7625,24,9.6
1.302747,0.0648,-0.5198,0.1816,-0.02995,-0.015,-0.03115,34.7625,24,9.6
1.322747,0.0445,-0.5381,0.2122,-0.0397,-0.0278,-0.019,34.7625,24,9.6
