
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.096418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.097392,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.098326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.099234,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.149685,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.151385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.152894,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.158489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.1813,19.0875,-2.8125,
0.217077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.1813,19.0875,-2.8125,
0.218934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.1813,19.0875,-2.8125,
0.220271,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.1813,19.0875,-2.8125,
0.238399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.1813,19.0875,-2.8125,
0.240820,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.7125,19.1063,-2.8500,
0.262700,0.0000,0.0000,0.0000,0.0092,0.0114,0.0314,39.7125,19.1063,-2.8500,
0.266954,0.0000,0.0000,0.0000,0.0092,0.0114,0.0314,39.7125,19.1063,-2.8500,
0.282891,0.0000,0.0000,0.0000,0.0092,0.0114,0.0314,39.7125,19.1063,-2.8500,
0.285015,0.0000,0.0000,0.0000,0.0092,0.0114,0.0314,39.7125,19.1063,-2.8500,
0.286466,0.0996,0.0160,-0.0906,0.0092,0.0114,0.0314,39.7125,19.1063,-2.8500,
0.298433,0.0996,0.0160,-0.0906,0.0092,0.0114,0.0314,39.6750,18.9188,-2.5688,
0.340698,0.0996,0.0160,-0.0906,0.0092,0.0114,0.0314,39.6750,18.9188,-2.5688,
0.343373,0.0996,0.0160,-0.0906,0.0092,0.0114,0.0314,39.6750,18.9188,-2.5688,
0.345214,0.0996,0.0160,-0.0906,0.0092,0.0114,0.0314,39.6750,18.9188,-2.5688,
0.347004,0.0996,0.0160,-0.0906,-0.0147,-0.0167,-0.0039,39.6750,18.9188,-2.5688,
0.348750,0.1106,0.0138,-0.1280,-0.0147,-0.0167,-0.0039,39.6750,18.9188,-2.5688,
0.359054,0.1106,0.0138,-0.1280,-0.0147,-0.0167,-0.0039,39.7875,18.7500,-2.7938,
0.402529,0.1106,0.0138,-0.1280,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.405335,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.407387,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.409027,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.410635,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.434089,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.7875,18.7500,-2.7938,
0.438371,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.9375,18.8250,-2.8500,
0.463084,0.0753,-0.0401,-0.0650,-0.0025,-0.0090,-0.0007,39.9375,18.8250,-2.8500,
0.465618,-0.0146,0.0177,0.0069,-0.0025,-0.0090,-0.0007,39.9375,18.8250,-2.8500,
0.468639,-0.0146,0.0177,0.0069,-0.0025,-0.0090,-0.0007,39.9375,18.8250,-2.8500,
0.470592,-0.0146,0.0177,0.0069,-0.0037,-0.0121,0.0012,39.9375,18.8250,-2.8500,
0.484955,-0.0146,0.0177,0.0069,-0.0037,-0.0121,0.0012,39.9375,18.8250,-2.8500,
0.500829,-0.0146,0.0177,0.0069,-0.0037,-0.0121,0.0012,40.0312,18.7875,-2.9813,
0.523403,-0.0146,0.0177,0.0069,-0.0037,-0.0121,0.0012,40.0312,18.7875,-2.9813,
0.525964,-0.0146,0.0177,0.0069,-0.0037,-0.0121,0.0012,40.0312,18.7875,-2.9813,
0.527916,0.0655,0.0026,0.1088,-0.0037,-0.0121,0.0012,40.0312,18.7875,-2.9813,
0.542973,0.0655,0.0026,0.1088,0.0234,0.0033,-0.0000,40.0312,18.7875,-2.9813,
0.550081,0.0655,0.0026,0.1088,0.0234,0.0033,-0.0000,40.0312,18.7875,-2.9813,
0.558609,0.0655,0.0026,0.1088,0.0234,0.0033,-0.0000,40.1250,18.7688,-3.0188,
0.581991,0.0655,0.0026,0.1088,0.0234,0.0033,-0.0000,40.1250,18.7688,-3.0188,
0.583964,0.0655,0.0026,0.1088,0.0234,0.0033,-0.0000,40.1250,18.7688,-3.0188,
0.585414,0.0875,0.0592,-0.0222,0.0234,0.0033,-0.0000,40.1250,18.7688,-3.0188,
0.600331,0.0875,0.0592,-0.0222,0.0280,-0.0210,0.0031,40.1250,18.7688,-3.0188,
0.616856,0.0875,0.0592,-0.0222,0.0280,-0.0210,0.0031,40.1250,18.7688,-3.0188,
0.638292,0.0875,0.0592,-0.0222,0.0280,-0.0210,0.0031,40.1250,18.7688,-3.0188,
0.641042,0.0875,0.0592,-0.0222,0.0280,-0.0210,0.0031,40.1625,18.7313,-3.0750,
0.644389,-0.0385,-0.0297,0.0934,0.0280,-0.0210,0.0031,40.1625,18.7313,-3.0750,
0.647177,-0.0385,-0.0297,0.0934,0.0280,-0.0210,0.0031,40.1625,18.7313,-3.0750,
0.662393,-0.0385,-0.0297,0.0934,0.0245,-0.0360,-0.0062,40.1625,18.7313,-3.0750,
0.685620,-0.0385,-0.0297,0.0934,0.0245,-0.0360,-0.0062,40.1625,18.7313,-3.0750,
0.688557,-0.0385,-0.0297,0.0934,0.0245,-0.0360,-0.0062,40.1625,18.7313,-3.0750,
0.701350,-0.0385,-0.0297,0.0934,0.0245,-0.0360,-0.0062,40.2375,18.7688,-3.1875,
0.705409,0.2585,0.0003,-0.0772,0.0245,-0.0360,-0.0062,40.2375,18.7688,-3.1875,
0.708718,0.2585,0.0003,-0.0772,0.0245,-0.0360,-0.0062,40.2375,18.7688,-3.1875,
0.736974,0.2585,0.0003,-0.0772,0.0245,-0.0360,-0.0062,40.2375,18.7688,-3.1875,
0.742149,0.2585,0.0003,-0.0772,0.0448,0.0342,-0.0302,40.2375,18.7688,-3.1875,
0.750594,0.2585,0.0003,-0.0772,0.0448,0.0342,-0.0302,40.2375,18.7688,-3.1875,
0.757704,0.2585,0.0003,-0.0772,0.0448,0.0342,-0.0302,40.3313,18.7688,-3.3563,
0.760481,0.2687,-0.0644,-0.1047,0.0448,0.0342,-0.0302,40.3313,18.7688,-3.3563,
0.762440,0.2687,-0.0644,-0.1047,0.0448,0.0342,-0.0302,40.3313,18.7688,-3.3563,
0.801488,0.2687,-0.0644,-0.1047,0.0448,0.0342,-0.0302,40.3313,18.7688,-3.3563,
0.803752,0.2687,-0.0644,-0.1047,0.0131,-0.0182,-0.0583,40.3313,18.7688,-3.3563,
0.816810,0.2687,-0.0644,-0.1047,0.0131,-0.0182,-0.0583,40.3313,18.7688,-3.3563,
0.820817,0.0594,-0.0569,-0.0052,0.0131,-0.0182,-0.0583,40.3313,18.7688,-3.3563,
0.824156,0.0594,-0.0569,-0.0052,0.0131,-0.0182,-0.0583,40.3313,18.7688,-3.3563,
0.838180,0.0594,-0.0569,-0.0052,0.0131,-0.0182,-0.0583,40.4250,18.7688,-3.5625,
0.862646,0.0594,-0.0569,-0.0052,0.0131,-0.0182,-0.0583,40.4250,18.7688,-3.5625,
0.865190,0.0594,-0.0569,-0.0052,-0.0076,0.0142,-0.0630,40.4250,18.7688,-3.5625,
0.882231,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.4250,18.7688,-3.5625,
0.884603,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.4250,18.7688,-3.5625,
0.886228,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.4250,18.7688,-3.5625,
0.898483,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.3688,18.9375,-3.7125,
0.943797,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.3688,18.9375,-3.7125,
0.947447,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.3688,18.9375,-3.7125,
0.950614,0.0396,0.0864,-0.1247,-0.0076,0.0142,-0.0630,40.3688,18.9375,-3.7125,
0.953265,0.0396,0.0864,-0.1247,0.0211,0.0095,-0.0495,40.3688,18.9375,-3.7125,
0.957095,-0.1239,-0.0481,0.0441,0.0211,0.0095,-0.0495,40.3688,18.9375,-3.7125,
0.959744,-0.1239,-0.0481,0.0441,0.0211,0.0095,-0.0495,40.2563,18.8438,-3.7500,
1.004631,-0.1239,-0.0481,0.0441,0.0211,0.0095,-0.0495,40.2563,18.8438,-3.7500,
1.007125,-0.1239,-0.0481,0.0441,0.0211,0.0095,-0.0495,40.2563,18.8438,-3.7500,
1.009013,-0.1239,-0.0481,0.0441,0.0211,0.0095,-0.0495,40.2563,18.8438,-3.7500,
1.010760,-0.1239,-0.0481,0.0441,-0.0155,0.0037,-0.0272,40.2563,18.8438,-3.7500,
1.012940,-0.1245,0.1291,-0.0459,-0.0155,0.0037,-0.0272,40.2563,18.8438,-3.7500,
1.038652,-0.1245,0.1291,-0.0459,-0.0155,0.0037,-0.0272,40.2563,18.8438,-3.7500,
1.040595,-0.1245,0.1291,-0.0459,-0.0155,0.0037,-0.0272,40.1625,18.9000,-3.7500,
1.045131,-0.1245,0.1291,-0.0459,-0.0155,0.0037,-0.0272,40.1625,18.9000,-3.7500,
1.063248,-0.1245,0.1291,-0.0459,-0.0053,0.0156,-0.0115,40.1625,18.9000,-3.7500,
1.065995,-0.1245,0.1291,-0.0459,-0.0053,0.0156,-0.0115,40.1625,18.9000,-3.7500,
1.067956,-0.0368,0.0487,0.0362,-0.0053,0.0156,-0.0115,40.1625,18.9000,-3.7500,
1.084334,-0.0368,0.0487,0.0362,-0.0053,0.0156,-0.0115,40.1625,18.9000,-3.7500,
1.098653,-0.0368,0.0487,0.0362,-0.0053,0.0156,-0.0115,40.0312,18.8813,-3.8250,
1.123573,-0.0368,0.0487,0.0362,-0.0053,0.0156,-0.0115,40.0312,18.8813,-3.8250,
1.125847,-0.0368,0.0487,0.0362,-0.0053,0.0156,-0.0115,40.0312,18.8813,-3.8250,
1.127548,-0.0708,0.0567,0.0890,-0.0053,0.0156,-0.0115,40.0312,18.8813,-3.8250,
1.142595,-0.0708,0.0567,0.0890,0.0105,0.0044,0.0110,40.0312,18.8813,-3.8250,
1.152425,-0.0708,0.0567,0.0890,0.0105,0.0044,0.0110,40.0312,18.8813,-3.8250,
1.159543,-0.0708,0.0567,0.0890,0.0105,0.0044,0.0110,39.8250,18.7313,-4.0312,
1.181295,-0.0708,0.0567,0.0890,0.0105,0.0044,0.0110,39.8250,18.7313,-4.0312,
1.183774,-0.0708,0.0567,0.0890,0.0105,0.0044,0.0110,39.8250,18.7313,-4.0312,
1.185268,0.0358,0.0435,0.0286,0.0105,0.0044,0.0110,39.8250,18.7313,-4.0312,
1.201733,0.0358,0.0435,0.0286,0.0053,-0.0111,0.0052,39.8250,18.7313,-4.0312,
1.217016,0.0358,0.0435,0.0286,0.0053,-0.0111,0.0052,39.8250,18.7313,-4.0312,
1.238817,0.0358,0.0435,0.0286,0.0053,-0.0111,0.0052,39.8250,18.7313,-4.0312,
1.241162,0.0358,0.0435,0.0286,0.0053,-0.0111,0.0052,39.3938,18.4875,-4.2375,
1.244661,0.0358,0.0435,0.0286,0.0053,-0.0111,0.0052,39.3938,18.4875,-4.2375,
1.246102,0.0434,0.0680,0.0291,0.0053,-0.0111,0.0052,39.3938,18.4875,-4.2375,
1.264013,0.0434,0.0680,0.0291,0.0005,-0.0389,0.0355,39.3938,18.4875,-4.2375,
1.285085,0.0434,0.0680,0.0291,0.0005,-0.0389,0.0355,39.3938,18.4875,-4.2375,
1.287641,0.0434,0.0680,0.0291,0.0005,-0.0389,0.0355,39.3938,18.4875,-4.2375,
1.301203,0.0434,0.0680,0.0291,0.0005,-0.0389,0.0355,39.0938,18.2812,-4.4062,
1.303905,0.0302,0.0928,0.0492,0.0005,-0.0389,0.0355,39.0938,18.2812,-4.4062,
1.305563,0.0302,0.0928,0.0492,0.0005,-0.0389,0.0355,39.0938,18.2812,-4.4062,
1.340976,0.0302,0.0928,0.0492,0.0005,-0.0389,0.0355,39.0938,18.2812,-4.4062,
1.342662,0.0302,0.0928,0.0492,0.0176,-0.0572,0.0196,39.0938,18.2812,-4.4062,
1.349719,0.0302,0.0928,0.0492,0.0176,-0.0572,0.0196,39.0938,18.2812,-4.4062,
1.357921,0.0302,0.0928,0.0492,0.0176,-0.0572,0.0196,38.7563,18.2250,-4.5375,
1.361073,0.0302,0.0928,0.0492,0.0176,-0.0572,0.0196,38.7563,18.2250,-4.5375,
1.362475,0.1102,0.0305,0.1428,0.0176,-0.0572,0.0196,38.7563,18.2250,-4.5375,
