
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.123636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.124264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.124758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.125243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.125713,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.126093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.141061,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.179045,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.181485,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.205147,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.207197,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.208476,0.0000,0.0000,0.0000,-0.5141,0.9331,-0.4587,0.0000,0.0000,0.0000,
0.225129,0.0000,0.0000,0.0000,-0.5882,0.6557,-0.4598,0.0000,0.0000,0.0000,
0.228147,0.0000,0.0000,0.0000,-0.5882,0.6557,-0.4598,0.0000,0.0000,0.0000,
0.229889,0.0000,0.0000,0.0000,-0.5882,0.6557,-0.4598,41.4188,15.0750,-10.7812,
0.261658,0.0000,0.0000,0.0000,-0.5882,0.6557,-0.4598,41.4188,15.0750,-10.7812,
0.262976,0.0000,0.0000,0.0000,-0.5882,0.6557,-0.4598,41.4188,15.0750,-10.7812,
0.263966,-0.1485,0.2544,0.4180,-0.5882,0.6557,-0.4598,41.4188,15.0750,-10.7812,
0.281928,-0.1485,0.2544,0.4180,-0.4872,0.7852,-0.2983,41.4188,15.0750,-10.7812,
0.285987,-0.1485,0.2544,0.4180,-0.4872,0.7852,-0.2983,41.4188,15.0750,-10.7812,
0.288726,-0.1485,0.2544,0.4180,-0.4872,0.7852,-0.2983,42.1688,15.9938,-9.8250,
0.308727,-0.1485,0.2544,0.4180,-0.4872,0.7852,-0.2983,42.1688,15.9938,-9.8250,
0.323913,0.2003,0.3572,0.6171,-0.4872,0.7852,-0.2983,42.1688,15.9938,-9.8250,
0.326962,0.2003,0.3572,0.6171,-0.4872,0.7852,-0.2983,42.1688,15.9938,-9.8250,
0.341985,0.2003,0.3572,0.6171,-0.3940,0.6520,-0.3441,42.1688,15.9938,-9.8250,
0.345275,0.2003,0.3572,0.6171,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.347372,0.2003,0.3572,0.6171,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.373541,0.2003,0.3572,0.6171,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.384409,0.2801,0.4036,0.6944,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.387080,0.2801,0.4036,0.6944,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.423929,0.2801,0.4036,0.6944,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.426234,0.2801,0.4036,0.6944,-0.3940,0.6520,-0.3441,42.5625,17.0063,-8.6438,
0.427766,0.2801,0.4036,0.6944,-0.3013,0.3998,-0.1304,42.5625,17.0063,-8.6438,
0.430687,0.2801,0.4036,0.6944,-0.3013,0.3998,-0.1304,42.9375,17.5500,-7.7250,
0.441496,0.2416,0.3379,0.8332,-0.3013,0.3998,-0.1304,42.9375,17.5500,-7.7250,
0.443918,0.2416,0.3379,0.8332,-0.3013,0.3998,-0.1304,42.9375,17.5500,-7.7250,
0.483019,0.2416,0.3379,0.8332,-0.3013,0.3998,-0.1304,42.9375,17.5500,-7.7250,
0.484999,0.2416,0.3379,0.8332,-0.3013,0.3998,-0.1304,43.0875,18.0000,-7.1063,
0.487248,0.2416,0.3379,0.8332,-0.1648,0.1021,-0.1519,43.0875,18.0000,-7.1063,
0.488883,0.2416,0.3379,0.8332,-0.1648,0.1021,-0.1519,43.0875,18.0000,-7.1063,
0.504339,0.2416,0.3379,0.8332,-0.1648,0.1021,-0.1519,43.0875,18.0000,-7.1063,
0.506788,0.7735,0.1513,0.7571,-0.1648,0.1021,-0.1519,43.0875,18.0000,-7.1063,
0.544740,0.7735,0.1513,0.7571,-0.1648,0.1021,-0.1519,43.0875,18.0000,-7.1063,
0.547148,0.7735,0.1513,0.7571,-0.1648,0.1021,-0.1519,43.0500,18.3375,-6.6188,
0.549753,0.7735,0.1513,0.7571,-0.1648,0.1021,-0.1519,43.0500,18.3375,-6.6188,
0.551477,0.7735,0.1513,0.7571,0.1190,0.2267,-0.2196,43.0500,18.3375,-6.6188,
0.565901,0.7735,0.1513,0.7571,0.1190,0.2267,-0.2196,43.0500,18.3375,-6.6188,
0.568770,0.7226,-0.1596,0.3917,0.1190,0.2267,-0.2196,43.0500,18.3375,-6.6188,
0.622474,0.7226,-0.1596,0.3917,0.1190,0.2267,-0.2196,43.0500,18.3375,-6.6188,
