time,ax,ay,az,wx,wy,wz,Bx,By,Bz,time_diff,acc_mag,acc_mag_filtered,label
0.048339,0.0,0.0,0.0,-0.0263,3.013,-3.3422,0.0,0.0,0.0,0.0,0.0,-9.55555510325245e-05,non_fall
0.068339,0.0,0.0,0.0,-0.05685,-0.08095,-0.07295,0.0,0.0,0.0,0.019999999999999997,0.0,0.16728702766517617,non_fall
0.088339,0.0786,-0.4443,0.1794,0.1942,-0.1573,-0.07665,0.0,0.0,0.0,0.020000000000000004,0.4855561862441874,0.3265357325146188,non_fall
0.108339,-0.004,-0.3309,0.3567,0.0922,-0.1316,-0.0974,-48.3188,1.3313,-4.1813,0.020000000000000004,0.48656520631874206,0.470661489481593,non_fall
0.128339,-0.1881,-0.446,0.3446,-0.0226,-0.145,-0.07295,-48.3188,1.3313,-4.1813,0.020000000000000004,0.5941773893375614,0.5940714987524063,non_fall
0.148339,-0.2832,-0.4476,0.2748,0.0971,-0.1683,-0.0705,-48.3188,1.3313,-4.1813,0.01999999999999999,0.5967101809086217,0.6926180062209442,non_fall
0.168339,-0.2198,-0.4939,0.4571,0.10685,-0.164,-0.0852,-48.3188,1.3313,-4.1813,0.01999999999999999,0.7079474980533514,0.7634621980021976,non_fall
0.188339,-0.2864,-0.6147,0.4826,0.0543,-0.1048,-0.1145,36.3375,18.825,2.85,0.020000000000000018,0.8323363562887302,0.8052886291502196,non_fall
0.208339,-0.5311,-0.6986,0.4406,0.135,-0.095,-0.0461,36.3375,18.825,2.85,0.01999999999999999,0.9819559715180717,0.8190959827988903,non_fall
0.228339,-0.4989,-0.5057,0.3478,0.1008,-0.1084,0.0089,36.1313,18.9188,2.6625,0.01999999999999999,0.7909478743886983,0.8090293391357273,non_fall
0.248339,-0.4721,-0.4226,0.3582,0.0641,-0.1376,0.0052,36.1313,18.9188,2.6625,0.020000000000000018,0.7278574104864222,0.7823412726729337,non_fall
0.268339,-0.4455,-0.4085,0.3315,0.0958,-0.1621,-0.0448,36.1313,18.9188,2.6625,0.01999999999999999,0.6893727221177235,0.748086650250019,non_fall
0.288339,-0.4633,-0.4325,0.31135,0.0861,-0.2013,-0.0693,36.525,19.2188,1.875,0.020000000000000018,0.7061458507277374,0.7150818910065501,non_fall
