filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_wrist_bf_1.csv,1.390703,26.281728671986084,1087,193,894
p10_wrist_bf_2.csv,2.886137,30.79904788341441,929,195,734
p10_wrist_bf_3.csv,2.886137,30.79904788341441,929,195,734
p1_wrist_bf_1.csv,2.247506,42.689445940361296,981,193,788
p1_wrist_bf_2.csv,1.926338,48.53570889470018,542,193,349
p1_wrist_bf_3.csv,1.668617,27.283585044229106,875,195,680
p2_wrist_bf_1.csv,2.927711,31.51584988558749,799,195,604
p2_wrist_bf_2.csv,2.593995,21.79627429579277,749,195,554
p2_wrist_bf_3.csv,2.622472,32.4000464268154,716,195,521
p3_wrist_bf_1.csv,3.356829,20.14439557413885,751,195,556
p3_wrist_bf_2.csv,3.080341,25.833110330589832,846,195,651
p3_wrist_bf_3.csv,2.794704,47.155834918581036,755,195,560
p4_wrist_bf_1.csv,4.403307,28.968891160104466,912,195,717
p4_wrist_bf_2.csv,3.282853,30.94316762836507,1105,195,910
p4_wrist_bf_3.csv,3.444642,31.25902625634722,1103,195,908
p5_wrist_bf_1.csv,1.905629,31.87941591850422,1515,193,1322
p5_wrist_bf_2.csv,2.310217,20.644304107951754,581,195,386
p5_wrist_bf_3.csv,3.864992,26.809460172127856,943,195,748
p6_wrist_bf_1.csv,1.831386,23.319125944016555,735,203,532
p6_wrist_bf_2.csv,1.906751,25.534466253310036,924,203,721
p6_wrist_bf_3.csv,3.08291,31.392625872619355,923,203,720
p7_wrist_bf_1.csv,3.468346,27.69660451693057,1159,193,966
p7_wrist_bf_2.csv,3.340017,29.14198881065399,1193,193,1000
p7_wrist_bf_3.csv,3.112428,17.821248077848498,1153,193,960
p8_wrist_bf_1.csv,5.828339,18.20004857842463,522,101,421
p8_wrist_bf_2.csv,4.450852,23.1516369460863,491,101,390
p8_wrist_bf_3.csv,5.082747,21.90014943356209,483,101,382
p9_wrist_bf_1.csv,3.989958,22.483054996622812,1178,195,983
p9_wrist_bf_2.csv,3.650847,20.408656790699073,981,195,786
p9_wrist_bf_3.csv,3.954611,19.63192898661238,918,193,725
