
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.166426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.168356,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.169925,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.171473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.172655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.173812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.174943,0.0000,0.0000,0.0000,-0.0160,-0.0258,0.0075,0.0000,0.0000,0.0000,
0.200585,0.0000,0.0000,0.0000,-0.0160,-0.0258,0.0075,0.0000,0.0000,0.0000,
0.201517,0.0000,0.0000,0.0000,-0.0160,-0.0258,0.0075,0.0000,0.0000,0.0000,
0.202117,0.0000,0.0000,0.0000,-0.0160,-0.0258,0.0075,0.0000,0.0000,0.0000,
0.205681,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,0.0000,0.0000,0.0000,
0.206601,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,0.0000,0.0000,0.0000,
0.207137,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,0.0000,0.0000,0.0000,
0.212568,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,-45.3938,3.7688,-4.3875,
0.265637,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,-45.3938,3.7688,-4.3875,
0.267032,0.0000,0.0000,0.0000,0.0196,-0.0495,0.0303,-45.3938,3.7688,-4.3875,
0.268121,0.0895,-0.0064,-0.0830,0.0196,-0.0495,0.0303,-45.3938,3.7688,-4.3875,
0.269592,0.0895,-0.0064,-0.0830,0.0196,-0.0495,0.0303,-45.3938,3.7688,-4.3875,
0.287716,0.0895,-0.0064,-0.0830,-0.0189,-0.0183,-0.0144,-45.3938,3.7688,-4.3875,
0.295269,0.0895,-0.0064,-0.0830,-0.0189,-0.0183,-0.0144,-45.2625,3.5438,-4.2563,
0.298547,0.0895,-0.0064,-0.0830,-0.0189,-0.0183,-0.0144,-45.2625,3.5438,-4.2563,
0.326983,0.0895,-0.0064,-0.0830,-0.0189,-0.0183,-0.0144,-45.2625,3.5438,-4.2563,
0.330656,0.0895,-0.0064,-0.0830,-0.0189,-0.0183,-0.0144,-45.2625,3.5438,-4.2563,
0.333258,-0.0542,0.0288,-0.1028,-0.0189,-0.0183,-0.0144,-45.2625,3.5438,-4.2563,
0.346542,-0.0542,0.0288,-0.1028,-0.0275,0.0287,-0.0457,-45.2625,3.5438,-4.2563,
0.356319,-0.0542,0.0288,-0.1028,-0.0275,0.0287,-0.0457,-45.0563,3.4125,-4.2188,
0.360358,-0.0542,0.0288,-0.1028,-0.0275,0.0287,-0.0457,-45.0563,3.4125,-4.2188,
0.389016,0.2410,0.0638,0.0243,-0.0275,0.0287,-0.0457,-45.0563,3.4125,-4.2188,
0.392268,0.2410,0.0638,0.0243,-0.0275,0.0287,-0.0457,-45.0563,3.4125,-4.2188,
0.394856,0.2410,0.0638,0.0243,-0.0275,0.0287,-0.0457,-45.0563,3.4125,-4.2188,
0.407289,0.2410,0.0638,0.0243,-0.0300,0.0486,-0.0434,-45.0563,3.4125,-4.2188,
0.414225,0.2410,0.0638,0.0243,-0.0300,0.0486,-0.0434,-45.0563,3.4125,-4.2188,
0.417075,0.2410,0.0638,0.0243,-0.0300,0.0486,-0.0434,-45.1125,3.5438,-4.4250,
