
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.153929,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.154481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.155073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.155644,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.156108,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.156601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.157070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.169581,0.0000,0.0000,0.0000,-0.1926,0.4356,-0.4295,0.0000,0.0000,0.0000,
0.193719,0.0000,0.0000,0.0000,-0.1926,0.4356,-0.4295,0.0000,0.0000,0.0000,
0.194394,0.0000,0.0000,0.0000,-0.1926,0.4356,-0.4295,0.0000,0.0000,0.0000,
0.207080,0.0000,0.0000,0.0000,-0.1926,0.4356,-0.4295,0.0000,0.0000,0.0000,
0.215852,0.0000,0.0000,0.0000,-0.1926,0.4356,-0.4295,-38.4188,-15.6188,-17.6813,
0.225895,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.4188,-15.6188,-17.6813,
0.228531,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.4188,-15.6188,-17.6813,
0.229988,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.4188,-15.6188,-17.6813,
0.262003,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.4188,-15.6188,-17.6813,
0.276879,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.4188,-15.6188,-17.6813,
0.279306,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.0063,-15.9188,-17.7000,
0.287510,0.0000,0.0000,0.0000,0.1974,0.1196,-0.3315,-38.0063,-15.9188,-17.7000,
0.289265,-0.1451,0.3121,-0.3454,0.1974,0.1196,-0.3315,-38.0063,-15.9188,-17.7000,
0.306487,-0.1451,0.3121,-0.3454,-0.0420,0.2107,-0.2512,-38.0063,-15.9188,-17.7000,
0.328288,-0.1451,0.3121,-0.3454,-0.0420,0.2107,-0.2512,-38.0063,-15.9188,-17.7000,
0.329771,-0.1451,0.3121,-0.3454,-0.0420,0.2107,-0.2512,-38.0063,-15.9188,-17.7000,
0.345654,-0.1451,0.3121,-0.3454,-0.0420,0.2107,-0.2512,-38.0063,-15.9188,-17.7000,
0.347046,0.0500,0.5444,-0.3452,-0.0420,0.2107,-0.2512,-38.0063,-15.9188,-17.7000,
0.356740,0.0500,0.5444,-0.3452,-0.0420,0.2107,-0.2512,-37.8000,-16.1438,-17.9250,
0.365247,0.0500,0.5444,-0.3452,-0.2406,-0.0113,-0.0704,-37.8000,-16.1438,-17.9250,
0.397475,0.0500,0.5444,-0.3452,-0.2406,-0.0113,-0.0704,-37.8000,-16.1438,-17.9250,
0.398725,0.0500,0.5444,-0.3452,-0.2406,-0.0113,-0.0704,-37.8000,-16.1438,-17.9250,
0.407996,0.0500,0.5444,-0.3452,-0.2406,-0.0113,-0.0704,-37.8000,-16.1438,-17.9250,
0.410949,-0.2338,0.3764,0.3489,-0.2406,-0.0113,-0.0704,-37.8000,-16.1438,-17.9250,
0.416013,-0.2338,0.3764,0.3489,-0.2406,-0.0113,-0.0704,-37.7250,-16.2000,-17.8500,
0.424241,-0.2338,0.3764,0.3489,-0.1603,-0.3789,0.0583,-37.7250,-16.2000,-17.8500,
0.462475,-0.2338,0.3764,0.3489,-0.1603,-0.3789,0.0583,-37.7250,-16.2000,-17.8500,
0.465949,-0.2338,0.3764,0.3489,-0.1603,-0.3789,0.0583,-37.7250,-16.2000,-17.8500,
0.468694,0.3702,0.2862,0.4762,-0.1603,-0.3789,0.0583,-37.7250,-16.2000,-17.8500,
0.472516,0.3702,0.2862,0.4762,-0.1603,-0.3789,0.0583,-37.7250,-16.2000,-17.8500,
0.483575,0.3702,0.2862,0.4762,-0.1603,-0.3789,0.0583,-37.6500,-16.2938,-17.8125,
0.505961,0.3702,0.2862,0.4762,-0.1603,-0.3789,0.0583,-37.6500,-16.2938,-17.8125,
0.508812,0.3702,0.2862,0.4762,-0.1209,-0.0400,0.1028,-37.6500,-16.2938,-17.8125,
0.530473,0.3702,0.2862,0.4762,-0.1209,-0.0400,0.1028,-37.6500,-16.2938,-17.8125,
0.533413,0.3702,0.2862,0.4762,-0.1209,-0.0400,0.1028,-37.6500,-16.2938,-17.8125,
0.535493,0.8649,0.3582,0.4462,-0.1209,-0.0400,0.1028,-37.6500,-16.2938,-17.8125,
0.559414,0.8649,0.3582,0.4462,-0.1209,-0.0400,0.1028,-37.6500,-16.2938,-17.8125,
0.562631,0.8649,0.3582,0.4462,-0.1209,-0.0400,0.1028,-37.7625,-16.2563,-17.7938,
0.573197,0.8649,0.3582,0.4462,-0.0170,-0.0241,0.0318,-37.7625,-16.2563,-17.7938,
0.588652,0.8649,0.3582,0.4462,-0.0170,-0.0241,0.0318,-37.7625,-16.2563,-17.7938,
0.591636,0.8649,0.3582,0.4462,-0.0170,-0.0241,0.0318,-37.7625,-16.2563,-17.7938,
0.593801,0.7205,0.2210,0.4892,-0.0170,-0.0241,0.0318,-37.7625,-16.2563,-17.7938,
0.615993,0.7205,0.2210,0.4892,-0.0170,-0.0241,0.0318,-37.7063,-16.2938,-17.8688,
0.619226,0.7205,0.2210,0.4892,-0.0170,-0.0241,0.0318,-37.7063,-16.2938,-17.8688,
0.625055,0.7205,0.2210,0.4892,0.0257,-0.1074,0.0052,-37.7063,-16.2938,-17.8688,
0.637241,0.7205,0.2210,0.4892,0.0257,-0.1074,0.0052,-37.7063,-16.2938,-17.8688,
0.646934,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.7063,-16.2938,-17.8688,
0.650435,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.7063,-16.2938,-17.8688,
0.676311,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.8563,-16.3125,-17.8875,
0.679292,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.8563,-16.3125,-17.8875,
0.707638,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.8563,-16.3125,-17.8875,
0.710746,0.6803,0.1232,0.1870,0.0257,-0.1074,0.0052,-37.8563,-16.3125,-17.8875,
0.712660,0.6803,0.1232,0.1870,0.0502,0.0159,-0.0089,-37.8563,-16.3125,-17.8875,
0.714970,0.6516,0.0564,0.0591,0.0502,0.0159,-0.0089,-37.8563,-16.3125,-17.8875,
0.730460,0.6516,0.0564,0.0591,0.0502,0.0159,-0.0089,-37.8563,-16.3125,-17.8875,
0.758198,0.6516,0.0564,0.0591,0.0502,0.0159,-0.0089,-37.8563,-16.3125,-17.8875,
0.760383,0.6516,0.0564,0.0591,0.0502,0.0159,-0.0089,-37.7625,-16.3313,-17.8875,
0.766661,0.6516,0.0564,0.0591,0.0763,0.1076,-0.0457,-37.7625,-16.3313,-17.8875,
0.768940,0.6516,0.0564,0.0591,0.0763,0.1076,-0.0457,-37.7625,-16.3313,-17.8875,
0.770073,0.5217,0.0554,0.0250,0.0763,0.1076,-0.0457,-37.7625,-16.3313,-17.8875,
0.794887,0.5217,0.0554,0.0250,0.0763,0.1076,-0.0457,-37.7625,-16.3313,-17.8875,
0.816632,0.5217,0.0554,0.0250,0.0763,0.1076,-0.0457,-37.7625,-16.3313,-17.8875,
0.818705,0.5217,0.0554,0.0250,0.0763,0.1076,-0.0457,-37.7250,-16.3500,-17.8875,
0.826295,0.5217,0.0554,0.0250,0.0476,0.1207,0.0150,-37.7250,-16.3500,-17.8875,
0.828756,0.5217,0.0554,0.0250,0.0476,0.1207,0.0150,-37.7250,-16.3500,-17.8875,
0.830597,0.3144,-0.0034,-0.1046,0.0476,0.1207,0.0150,-37.7250,-16.3500,-17.8875,
0.862002,0.3144,-0.0034,-0.1046,0.0476,0.1207,0.0150,-37.7250,-16.3500,-17.8875,
0.878582,0.3144,-0.0034,-0.1046,0.0476,0.1207,0.0150,-37.7250,-16.3500,-17.8875,
0.881386,0.3144,-0.0034,-0.1046,0.0476,0.1207,0.0150,-37.8563,-16.2938,-17.8125,
0.888970,0.1817,-0.1172,-0.1847,0.0476,0.1207,0.0150,-37.8563,-16.2938,-17.8125,
0.892420,0.1817,-0.1172,-0.1847,0.0476,0.1207,0.0150,-37.8563,-16.2938,-17.8125,
0.905674,0.1817,-0.1172,-0.1847,0.0678,-0.0027,-0.0223,-37.8563,-16.2938,-17.8125,
0.929673,0.1817,-0.1172,-0.1847,0.0678,-0.0027,-0.0223,-37.8563,-16.2938,-17.8125,
0.932344,0.1817,-0.1172,-0.1847,0.0678,-0.0027,-0.0223,-37.8563,-16.2938,-17.8125,
0.946945,0.3850,-0.1449,-0.2602,0.0678,-0.0027,-0.0223,-37.8563,-16.2938,-17.8125,
