
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.132452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.134436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.135778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.136960,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.137956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.154404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.155303,0.0000,0.0000,0.0000,-0.0230,-0.1185,0.0215,0.0000,0.0000,0.0000,
0.175927,0.0000,0.0000,0.0000,-0.0230,-0.1185,0.0215,0.0000,0.0000,0.0000,
0.176881,0.0000,0.0000,0.0000,-0.0230,-0.1185,0.0215,0.0000,0.0000,0.0000,
0.208207,0.0000,0.0000,0.0000,-0.0230,-0.1185,0.0215,-41.9625,7.2000,5.6813,
0.209932,0.0000,0.0000,0.0000,-0.0230,-0.1185,0.0215,-41.9625,7.2000,5.6813,
0.212442,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.214145,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.215122,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.242326,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.275145,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.278430,0.0000,0.0000,0.0000,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.280512,0.1695,0.0296,-0.0540,0.0079,-0.1087,0.0317,-41.9625,7.2000,5.6813,
0.283035,0.1695,0.0296,-0.0540,0.0079,-0.1087,0.0317,-41.6625,7.6125,5.8313,
0.293715,0.1695,0.0296,-0.0540,-0.0167,0.0902,0.0173,-41.6625,7.6125,5.8313,
0.310291,0.1695,0.0296,-0.0540,-0.0167,0.0902,0.0173,-41.6625,7.6125,5.8313,
0.328885,0.1695,0.0296,-0.0540,-0.0167,0.0902,0.0173,-41.6625,7.6125,5.8313,
0.331341,0.1695,0.0296,-0.0540,-0.0167,0.0902,0.0173,-41.4563,7.5750,5.4000,
0.334482,0.6071,0.1360,-0.2735,-0.0167,0.0902,0.0173,-41.4563,7.5750,5.4000,
0.337668,0.6071,0.1360,-0.2735,-0.0167,0.0902,0.0173,-41.4563,7.5750,5.4000,
0.356282,0.6071,0.1360,-0.2735,-0.2065,0.3343,-0.0736,-41.4563,7.5750,5.4000,
0.375957,0.6071,0.1360,-0.2735,-0.2065,0.3343,-0.0736,-41.4563,7.5750,5.4000,
0.377517,0.6071,0.1360,-0.2735,-0.2065,0.3343,-0.0736,-41.4563,7.5750,5.4000,
0.393865,0.6071,0.1360,-0.2735,-0.2065,0.3343,-0.0736,-41.4563,7.5750,5.4000,
0.394679,0.3180,-0.0452,-0.2572,-0.2065,0.3343,-0.0736,-41.4563,7.5750,5.4000,
0.408541,0.3180,-0.0452,-0.2572,-0.2065,0.3343,-0.0736,-41.7000,7.3500,5.2500,
0.411985,0.3180,-0.0452,-0.2572,-0.1542,-0.0131,-0.2420,-41.7000,7.3500,5.2500,
0.443191,0.3180,-0.0452,-0.2572,-0.1542,-0.0131,-0.2420,-41.7000,7.3500,5.2500,
0.444542,0.3180,-0.0452,-0.2572,-0.1542,-0.0131,-0.2420,-41.7000,7.3500,5.2500,
0.456691,0.3180,-0.0452,-0.2572,-0.1542,-0.0131,-0.2420,-41.7000,7.3500,5.2500,
0.457920,-0.3617,-0.3020,0.1489,-0.1542,-0.0131,-0.2420,-41.7000,7.3500,5.2500,
0.467367,-0.3617,-0.3020,0.1489,-0.1542,-0.0131,-0.2420,-41.6813,7.0313,4.9500,
0.494903,-0.3617,-0.3020,0.1489,-0.1542,-0.0131,-0.2420,-41.6813,7.0313,4.9500,
0.497631,-0.3617,-0.3020,0.1489,-0.0562,-0.0709,-0.1786,-41.6813,7.0313,4.9500,
0.510084,-0.3617,-0.3020,0.1489,-0.0562,-0.0709,-0.1786,-41.6813,7.0313,4.9500,
0.515367,-0.6590,-0.1200,0.0406,-0.0562,-0.0709,-0.1786,-41.6813,7.0313,4.9500,
0.519037,-0.6590,-0.1200,0.0406,-0.0562,-0.0709,-0.1786,-41.6813,7.0313,4.9500,
0.528505,-0.6590,-0.1200,0.0406,-0.0562,-0.0709,-0.1786,-41.6625,6.6750,4.9688,
0.555260,-0.6590,-0.1200,0.0406,-0.0562,-0.0709,-0.1786,-41.6625,6.6750,4.9688,
0.558079,-0.6590,-0.1200,0.0406,-0.1129,-0.0679,-0.2020,-41.6625,6.6750,4.9688,
0.573416,-0.6551,0.0449,-0.0388,-0.1129,-0.0679,-0.2020,-41.6625,6.6750,4.9688,
0.576797,-0.6551,0.0449,-0.0388,-0.1129,-0.0679,-0.2020,-41.6625,6.6750,4.9688,
0.579198,-0.6551,0.0449,-0.0388,-0.1129,-0.0679,-0.2020,-41.6625,6.6750,4.9688,
0.610784,-0.6551,0.0449,-0.0388,-0.1129,-0.0679,-0.2020,-41.6625,6.6750,4.9688,
0.613684,-0.6551,0.0449,-0.0388,-0.1129,-0.0679,-0.2020,-41.7750,6.3375,4.9313,
0.616621,-0.6551,0.0449,-0.0388,-0.1557,0.0670,-0.1763,-41.7750,6.3375,4.9313,
0.634792,-0.6809,-0.1560,0.2215,-0.1557,0.0670,-0.1763,-41.7750,6.3375,4.9313,
0.639485,-0.6809,-0.1560,0.2215,-0.1557,0.0670,-0.1763,-41.7750,6.3375,4.9313,
0.641287,-0.6809,-0.1560,0.2215,-0.1557,0.0670,-0.1763,-41.7750,6.3375,4.9313,
0.670847,-0.6809,-0.1560,0.2215,-0.1557,0.0670,-0.1763,-41.7188,5.9250,4.9875,
0.674474,-0.6809,-0.1560,0.2215,-0.1557,0.0670,-0.1763,-41.7188,5.9250,4.9875,
0.694751,-0.6809,-0.1560,0.2215,-0.0476,0.1435,-0.1580,-41.7188,5.9250,4.9875,
0.697511,-0.4659,-0.2121,0.3584,-0.0476,0.1435,-0.1580,-41.7188,5.9250,4.9875,
0.700071,-0.4659,-0.2121,0.3584,-0.0476,0.1435,-0.1580,-41.7188,5.9250,4.9875,
0.701787,-0.4659,-0.2121,0.3584,-0.0476,0.1435,-0.1580,-41.7188,5.9250,4.9875,
0.729801,-0.4659,-0.2121,0.3584,-0.0476,0.1435,-0.1580,-41.8125,5.4375,4.8188,
0.732985,-0.4659,-0.2121,0.3584,-0.0476,0.1435,-0.1580,-41.8125,5.4375,4.8188,
0.754253,-0.4255,0.2861,-0.1595,-0.0476,0.1435,-0.1580,-41.8125,5.4375,4.8188,
0.757127,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.8125,5.4375,4.8188,
0.758885,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.8125,5.4375,4.8188,
0.760079,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.8125,5.4375,4.8188,
0.776754,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.8125,5.4375,4.8188,
0.808989,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.9438,4.8375,4.5750,
0.813786,-0.4255,0.2861,-0.1595,-0.1474,0.2187,-0.0793,-41.9438,4.8375,4.5750,
0.816655,-0.4255,0.2861,-0.1595,-0.1539,0.1301,0.0230,-41.9438,4.8375,4.5750,
0.820248,-0.3580,0.2618,0.1338,-0.1539,0.1301,0.0230,-41.9438,4.8375,4.5750,
0.824447,-0.3580,0.2618,0.1338,-0.1539,0.1301,0.0230,-41.9438,4.8375,4.5750,
0.844967,-0.3580,0.2618,0.1338,-0.1539,0.1301,0.0230,-41.9438,4.8375,4.5750,
0.881458,-0.3580,0.2618,0.1338,-0.1539,0.1301,0.0230,-42.0188,4.2938,4.4438,
0.885426,-0.3580,0.2618,0.1338,-0.1539,0.1301,0.0230,-42.0188,4.2938,4.4438,
0.887138,-0.1299,0.5776,0.1044,-0.1539,0.1301,0.0230,-42.0188,4.2938,4.4438,
0.889478,-0.1299,0.5776,0.1044,-0.1539,0.1301,0.0230,-42.0188,4.2938,4.4438,
0.896101,-0.1299,0.5776,0.1044,-0.3002,0.0657,0.0728,-42.0188,4.2938,4.4438,
0.913746,-0.1299,0.5776,0.1044,-0.3002,0.0657,0.0728,-42.0188,4.2938,4.4438,
0.930349,-0.1299,0.5776,0.1044,-0.3002,0.0657,0.0728,-42.0375,3.7688,4.3500,
0.933536,-0.1299,0.5776,0.1044,-0.3002,0.0657,0.0728,-42.0375,3.7688,4.3500,
0.935440,-0.1299,0.5776,0.1044,-0.3002,0.0657,0.0728,-42.0375,3.7688,4.3500,
0.937161,0.0802,0.6636,0.1995,-0.3002,0.0657,0.0728,-42.0375,3.7688,4.3500,
0.963635,0.0802,0.6636,0.1995,-0.3738,0.0016,0.0928,-42.0375,3.7688,4.3500,
0.977034,0.0802,0.6636,0.1995,-0.3738,0.0016,0.0928,-42.0375,3.7688,4.3500,
0.978969,0.0802,0.6636,0.1995,-0.3738,0.0016,0.0928,-42.0375,3.7688,4.3500,
0.997595,0.3540,0.4319,0.2632,-0.3738,0.0016,0.0928,-42.0375,3.7688,4.3500,
0.999449,0.3540,0.4319,0.2632,-0.3738,0.0016,0.0928,-42.0375,3.7688,4.3500,
1.008811,0.3540,0.4319,0.2632,-0.3738,0.0016,0.0928,-42.1313,3.3750,4.3688,
1.016581,0.3540,0.4319,0.2632,-0.3987,-0.0402,0.1029,-42.1313,3.3750,4.3688,
1.045684,0.3540,0.4319,0.2632,-0.3987,-0.0402,0.1029,-42.1313,3.3750,4.3688,
1.048255,0.3540,0.4319,0.2632,-0.3987,-0.0402,0.1029,-42.1313,3.3750,4.3688,
1.062801,0.3540,0.4319,0.2632,-0.3987,-0.0402,0.1029,-42.1313,3.3750,4.3688,
1.065492,0.4407,0.8630,0.0020,-0.3987,-0.0402,0.1029,-42.1313,3.3750,4.3688,
1.079438,0.4407,0.8630,0.0020,-0.3987,-0.0402,0.1029,-42.2250,3.1313,4.2000,
1.098681,0.4407,0.8630,0.0020,-0.3987,-0.0402,0.1029,-42.2250,3.1313,4.2000,
1.101759,0.4407,0.8630,0.0020,-0.7319,0.0725,0.1345,-42.2250,3.1313,4.2000,
1.114281,0.4407,0.8630,0.0020,-0.7319,0.0725,0.1345,-42.2250,3.1313,4.2000,
1.116953,0.5115,0.9322,-0.0762,-0.7319,0.0725,0.1345,-42.2250,3.1313,4.2000,
1.119430,0.5115,0.9322,-0.0762,-0.7319,0.0725,0.1345,-42.2250,3.1313,4.2000,
1.127876,0.5115,0.9322,-0.0762,-0.7319,0.0725,0.1345,-42.1500,2.8875,4.0125,
1.162596,0.5115,0.9322,-0.0762,-0.7319,0.0725,0.1345,-42.1500,2.8875,4.0125,
1.166634,0.5115,0.9322,-0.0762,-0.8378,-0.0029,0.1339,-42.1500,2.8875,4.0125,
1.180597,0.5115,0.9322,-0.0762,-0.8378,-0.0029,0.1339,-42.1500,2.8875,4.0125,
1.183894,0.5115,0.9322,-0.0762,-0.8378,-0.0029,0.1339,-42.1500,2.8875,4.0125,
1.186172,0.2543,0.5688,0.4733,-0.8378,-0.0029,0.1339,-42.1500,2.8875,4.0125,
1.214559,0.2543,0.5688,0.4733,-0.8378,-0.0029,0.1339,-42.3375,2.9062,3.8625,
1.218550,0.2543,0.5688,0.4733,-0.8378,-0.0029,0.1339,-42.3375,2.9062,3.8625,
1.221014,0.2543,0.5688,0.4733,-0.9149,-0.1823,0.1833,-42.3375,2.9062,3.8625,
1.234925,-0.1913,1.2339,0.1042,-0.9149,-0.1823,0.1833,-42.3375,2.9062,3.8625,
1.238806,-0.1913,1.2339,0.1042,-0.9149,-0.1823,0.1833,-42.3375,2.9062,3.8625,
1.241154,-0.1913,1.2339,0.1042,-0.9149,-0.1823,0.1833,-42.3375,2.9062,3.8625,
1.268216,-0.1913,1.2339,0.1042,-0.9149,-0.1823,0.1833,-42.3563,2.8313,3.8250,
1.271855,-0.1913,1.2339,0.1042,-0.9149,-0.1823,0.1833,-42.3563,2.8313,3.8250,
1.297486,-0.1913,1.2339,0.1042,-0.9160,-0.0056,0.2995,-42.3563,2.8313,3.8250,
1.301543,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.3563,2.8313,3.8250,
1.305405,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.3563,2.8313,3.8250,
1.307651,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.3563,2.8313,3.8250,
1.330058,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.4125,2.8313,3.8813,
1.333743,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.4125,2.8313,3.8813,
1.364152,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.4125,2.8313,3.8813,
1.367050,-0.0459,0.6965,0.7573,-0.9160,-0.0056,0.2995,-42.4125,2.8313,3.8813,
1.368947,-0.0459,0.6965,0.7573,-0.8187,-0.1519,0.0719,-42.4125,2.8313,3.8813,
1.371450,0.1604,0.5220,1.7060,-0.8187,-0.1519,0.0719,-42.4125,2.8313,3.8813,
1.379791,0.1604,0.5220,1.7060,-0.8187,-0.1519,0.0719,-42.4125,2.8313,3.8813,
1.411983,0.1604,0.5220,1.7060,-0.8187,-0.1519,0.0719,-42.4125,2.8313,3.8813,
1.415292,0.1604,0.5220,1.7060,-0.8187,-0.1519,0.0719,-42.4688,2.7563,4.0875,
1.417834,0.1604,0.5220,1.7060,-0.4457,0.3229,0.0383,-42.4688,2.7563,4.0875,
1.420383,0.1604,0.5220,1.7060,-0.4457,0.3229,0.0383,-42.4688,2.7563,4.0875,
1.422291,0.6139,0.2446,2.0250,-0.4457,0.3229,0.0383,-42.4688,2.7563,4.0875,
1.446646,0.6139,0.2446,2.0250,-0.4457,0.3229,0.0383,-42.4688,2.7563,4.0875,
1.477971,0.6139,0.2446,2.0250,-0.4457,0.3229,0.0383,-42.4688,2.7750,4.0312,
1.480789,0.6139,0.2446,2.0250,-0.4457,0.3229,0.0383,-42.4688,2.7750,4.0312,
1.482117,0.6139,0.2446,2.0250,-0.4457,0.3229,0.0383,-42.4688,2.7750,4.0312,
1.483546,0.3676,1.2067,1.8409,-0.4457,0.3229,0.0383,-42.4688,2.7750,4.0312,
1.496059,0.3676,1.2067,1.8409,0.0525,0.5524,0.1089,-42.4688,2.7750,4.0312,
1.510976,0.3676,1.2067,1.8409,0.0525,0.5524,0.1089,-42.4688,2.7750,4.0312,
1.530509,0.3676,1.2067,1.8409,0.0525,0.5524,0.1089,-42.4688,2.7750,4.0312,
1.533626,0.3676,1.2067,1.8409,0.0525,0.5524,0.1089,-42.5813,2.8125,3.8063,
1.536642,0.3676,1.2067,1.8409,0.0525,0.5524,0.1089,-42.5813,2.8125,3.8063,
1.538845,0.2603,2.9926,0.9250,0.0525,0.5524,0.1089,-42.5813,2.8125,3.8063,
1.561989,0.2603,2.9926,0.9250,-0.4788,0.3276,0.0475,-42.5813,2.8125,3.8063,
