
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.049962,-0.3823,-0.6943,-0.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.069978,-0.3823,-0.6943,-0.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.082647,-0.3823,-0.6943,-0.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.088319,-0.3823,-0.6943,-0.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.090557,-0.3823,-0.6943,-0.2681,0.0000,0.0000,0.0000,-53.7375,0.7688,17.3813,
0.091587,-0.3823,-0.6943,-0.2681,-0.3957,0.0499,-0.0140,-53.7375,0.7688,17.3813,
0.106745,-0.3823,-0.6943,-0.2681,-0.3957,0.0499,-0.0140,-53.7375,0.7688,17.3813,
0.126504,0.0357,-0.1867,-0.2574,-0.3957,0.0499,-0.0140,-53.7375,0.7688,17.3813,
0.146477,0.0357,-0.1867,-0.2574,-0.3957,0.0499,-0.0140,-53.7375,0.7688,17.3813,
0.148467,0.5387,-0.2998,0.2569,-0.3957,0.0499,-0.0140,-53.7375,0.7688,17.3813,
0.151165,0.5387,-0.2998,0.2569,-0.3957,0.0499,-0.0140,-54.4313,1.0875,17.6250,
0.156875,0.5387,-0.2998,0.2569,-0.0976,-0.1334,0.1253,-54.4313,1.0875,17.6250,
0.164053,0.6370,-0.2991,0.0028,-0.0976,-0.1334,0.1253,-54.4313,1.0875,17.6250,
0.183947,0.7709,-0.1928,-0.2407,-0.0976,-0.1334,0.1253,-54.4313,1.0875,17.6250,
0.203194,0.6738,-0.0846,-0.3391,-0.0976,-0.1334,0.1253,-54.4313,1.0875,17.6250,
0.207545,0.6738,-0.0846,-0.3391,-0.0976,-0.1334,0.1253,-54.4313,1.0875,17.6250,
0.208406,0.6738,-0.0846,-0.3391,-0.0976,-0.1334,0.1253,-54.6188,0.7688,17.8313,
0.217051,0.6738,-0.0846,-0.3391,0.1015,-0.1321,0.0557,-54.6188,0.7688,17.8313,
0.222184,0.4807,0.0570,-0.7057,0.1015,-0.1321,0.0557,-54.6188,0.7688,17.8313,
0.242053,0.5199,0.1013,-0.8714,0.1015,-0.1321,0.0557,-54.6188,0.7688,17.8313,
0.260849,0.7778,-0.0701,-0.8307,0.1015,-0.1321,0.0557,-54.6188,0.7688,17.8313,
0.270955,0.7778,-0.0701,-0.8307,0.1015,-0.1321,0.0557,-54.6188,0.7688,17.8313,
0.273167,0.7778,-0.0701,-0.8307,0.1015,-0.1321,0.0557,-54.1500,1.0312,18.3375,
0.280116,0.7778,-0.0701,-0.8307,-0.1331,-0.0148,0.0654,-54.1500,1.0312,18.3375,
0.280926,0.6849,-0.0689,-0.6569,-0.1331,-0.0148,0.0654,-54.1500,1.0312,18.3375,
0.299432,0.6663,-0.0271,-0.4120,-0.1331,-0.0148,0.0654,-54.1500,1.0312,18.3375,
0.317831,0.7697,-0.0184,-0.3866,-0.1331,-0.0148,0.0654,-54.1500,1.0312,18.3375,
0.331287,0.7697,-0.0184,-0.3866,-0.1331,-0.0148,0.0654,-53.6625,0.9000,18.5250,
0.332084,0.7697,-0.0184,-0.3866,-0.1331,-0.0148,0.0654,-53.6625,0.9000,18.5250,
0.336662,0.6737,-0.0825,-0.3465,-0.1331,-0.0148,0.0654,-53.6625,0.9000,18.5250,
0.341140,0.6737,-0.0825,-0.3465,-0.1123,0.0670,-0.0103,-53.6625,0.9000,18.5250,
0.355977,0.2557,-0.0203,-0.3503,-0.1123,0.0670,-0.0103,-53.6625,0.9000,18.5250,
0.376128,0.1119,0.0128,-0.5223,-0.1123,0.0670,-0.0103,-53.6625,0.9000,18.5250,
0.391757,0.1119,0.0128,-0.5223,-0.1123,0.0670,-0.0103,-54.4313,0.7313,18.6562,
0.394836,0.1119,0.0128,-0.5223,-0.1123,0.0670,-0.0103,-54.4313,0.7313,18.6562,
0.397291,0.3746,-0.1166,-0.5055,-0.1123,0.0670,-0.0103,-54.4313,0.7313,18.6562,
0.402583,0.3746,-0.1166,-0.5055,-0.0720,-0.3032,0.0667,-54.4313,0.7313,18.6562,
0.414193,0.6332,-0.2641,-0.1605,-0.0720,-0.3032,0.0667,-54.4313,0.7313,18.6562,
0.432479,0.6958,-0.2350,-0.1574,-0.0720,-0.3032,0.0667,-54.4313,0.7313,18.6562,
0.449428,0.6958,-0.2350,-0.1574,-0.0720,-0.3032,0.0667,-53.8500,0.9000,18.8438,
0.452907,0.6666,-0.1967,-0.2291,-0.0720,-0.3032,0.0667,-53.8500,0.9000,18.8438,
0.456021,0.6666,-0.1967,-0.2291,-0.0720,-0.3032,0.0667,-53.8500,0.9000,18.8438,
0.465080,0.6666,-0.1967,-0.2291,0.1710,0.0181,0.0263,-53.8500,0.9000,18.8438,
