time,ax,ay,az,wx,wy,wz,Bx,By,Bz
0.030839,0,0,0,0.3458,-0.0925,0.0323,0,0,0
0.050839,0.0873,-0.3485,0.252,0.1668,-0.0363,0.0372,0,0,0
0.070839,0.0513,-0.2574,0.1752,-0.0868,-0.018,0.0238,0,0,0
0.090839,0.0153,-0.3568,0.1891,-0.1221,-0.0412,0.0225,-34.5563,23.7,-15.0188
0.110839,0.0151,-0.5681,0.2276,-0.0403,-0.1023,0.0311,-34.5563,23.7,-15.0188
0.130839,0.0991,-0.6329,0.2275,0.0697,-0.1341,0.0384,-34.5563,23.7,-15.0188
0.150839,0.2291,-0.5392,0.1911,0.116,-0.1194,0.0446,-45.7875,-6.075,-15.8063
0.170839,0.1826,-0.4258,0.1874,0.0685,-0.0998,0.0543,-45.7875,-6.075,-15.8063
0.190839,0.0872,-0.3788,0.1946,-0.0183,-0.1194,0.0568,-45.7875,-6.075,-15.8063
0.210839,0.0642,-0.4207,0.1696,-0.055,-0.1486,0.0261,-45.2063,-6.2813,-15.4125
0.230839,0.0987,-0.5842,0.2215,-0.0085,-0.1719,0.0323,-45.2063,-6.2813,-15.4125
0.250839,0.0484,-0.6223,0.1962,0.061,-0.2281,0.0934,-45.2063,-6.2813,-15.4125
0.270839,-0.0317,-0.5469,0.1548,0.0795,-0.3393,0.1411,-45.2063,-6.2813,-15.4125
0.290839,-0.0906,-0.3721,0.1174,0.044,-0.4847,0.1239,-46.1813,-5.775,-15.5063
0.310839,0.0731,-0.3988,0.1429,0.02745,-0.4993,0.06595,-46.1813,-5.775,-15.5063
0.330839,0.1007,-0.4951,0.1475,0.0428,-0.492,0.1093,-46.1813,-5.775,-15.5063
0.350839,-0.0491,-0.5013,0.07685,0.083,-0.597,0.2424,-45.5063,-6.2813,-14.8125
0.370839,-0.21805,-0.4352,0.00995,0.088,-0.806,0.3279,-45.5063,-6.2813,-14.8125
0.390839,-0.0852,-0.3533,0.076,0.0928,-0.9514,0.3121,-45.5063,-6.2813,-14.8125
0.410839,0.2731,-0.3507,0.0448,0.1094,-0.9092,0.26255,-46.575,-5.8875,-13.8375
0.430839,0.3225,-0.3119,0.1276,0.1136,-0.8139,0.31385,-46.575,-5.8875,-13.8375
0.450839,0.4064,-0.3907,0.241,0.1026,-0.7345,0.40805,-46.575,-5.8875,-13.8375
0.470839,0.5002,-0.4736,0.3857,0.0928,-0.64595,0.4611,-47.0625,-5.8875,-11.9813
0.490839,0.7021,-0.2898,0.4618,0.10385,-0.5549,0.4642,-47.0625,-5.8875,-11.9813
0.510839,0.6774,-0.0977,0.4192,0.1289,-0.4853,0.44895,-47.0625,-5.8875,-11.9813
0.530839,0.6348,0.0101,0.3836,0.08125,-0.55855,0.4525,-47.7563,-4.425,-10.5188
0.550839,0.6169,-0.1305,0.3253,-0.0568,-0.7339,0.42445,-47.7563,-4.425,-10.5188
0.570839,0.6957,-0.316,0.4146,-0.1881,-0.8493,0.37805,-47.7563,-4.425,-10.5188
0.590839,1.0072,-0.4898,0.54,-0.2022,-0.82185,0.3652,-49.0125,-3.45,-8.775
0.610839,1.2611,-0.5092,0.5912,-0.11855,-0.72905,0.3976,-49.0125,-3.45,-8.775
0.630839,1.3568,-0.3729,0.547,-0.0427,-0.6679,0.43915,-49.0125,-3.45,-8.775
0.650839,1.36315,-0.2535,0.51155,-0.0355,-0.6655,0.4415,-49.0125,-3.45,-8.775
0.670839,1.2957,-0.0878,0.4854,-0.1179,-0.70035,0.3536,-49.3125,-2.5688,-6.6188
0.690839,1.3716,-0.3147,0.5821,-0.1582,-0.6472,0.237,-49.3125,-2.5688,-6.6188
0.710839,1.2396,-0.4513,0.5837,-0.1363,-0.5604,0.2009,-49.8938,-1.1063,-4.95
0.730839,0.953,-0.5123,0.5015,-0.0873,-0.561,0.2529,-49.8938,-1.1063,-4.95
0.750839,0.8416,-0.5189,0.4162,-0.05315,-0.65265,0.229,-49.8938,-1.1063,-4.95
0.770839,1.002,-0.5598,0.2748,-0.0708,-0.6753,0.1068,-49.8469,-0.7594,-4.07815
0.790839,0.9946,-0.5735,0.375,-0.0886,-0.5036,-0.03245,-49.8,-0.4125,-3.2063
0.810839,0.6996,-0.5069,0.3406,-0.09955,-0.263,-0.0398,-49.8,-0.4125,-3.2063
0.830839,0.1917,-0.4354,0.3163,-0.13565,-0.2079,0.03045,-49.8,-0.4125,-3.2063
0.850839,-0.3611,-0.5698,0.3495,-0.1802,-0.27335,0.0543,-49.7063,0.1688,-1.6313
0.870839,-0.6483,-0.6121,0.3323,-0.19785,-0.4132,0.01455,-49.7063,0.1688,-1.6313
0.890839,-0.7232,-0.6202,0.2969,-0.1924,-0.53845,-0.0557,-49.7063,0.1688,-1.6313
0.910839,-0.8449,-0.757,0.2603,-0.19975,-0.5769,-0.11555,-50.775,1.05,0.1125
0.930839,-1.0623,-0.9917,0.4734,-0.2211,-0.5342,-0.121,-50.775,1.05,0.1125
0.950839,-1.1819,-1.0243,0.6624,-0.237,-0.45965,-0.1003,-50.775,1.05,0.1125
0.970839,-1.1743,-1.019,0.8622,-0.2089,-0.3369,-0.0947,-49.8,-0.3188,1.3875
0.990839,-1.2889,-1.0128,0.9149,-0.1405,-0.2452,-0.0764,-49.8,-0.3188,1.3875
1.010839,-1.336,-0.812,0.7741,-0.0683,-0.2098,-0.0472,-49.8,-0.3188,1.3875
1.030839,-1.3072,-0.6332,0.52,-0.0268,-0.2464,-0.0349,-50.0813,-0.4125,2.175
1.050839,-1.2228,-0.4404,0.3314,-0.0245,-0.3051,-0.0484,-50.0813,-0.4125,2.175
1.070839,-1.126,-0.3109,0.2198,-0.055,-0.2953,-0.0495,-50.0813,-0.4125,2.175
1.090839,-1.0254,-0.2193,0.0374,-0.1173,-0.2086,-0.019,-49.8938,-1.3875,2.9438
1.110839,-0.8566,-0.2528,-0.1362,-0.2089,-0.1048,0.0286,-49.8938,-1.3875,2.9438
1.130839,-0.8694,-0.2977,-0.0705,-0.3006,-0.0546,0.0751,-49.8938,-1.3875,2.9438
1.150839,-0.8242,-0.4816,0.2527,-0.3616,-0.0791,0.1056,-49.5,-1.1063,3.7313
1.170839,-0.8236,-0.7306,0.5949,-0.3531,-0.1573,0.1484,-49.5,-1.1063,3.7313
1.190839,-0.5997,-0.6677,0.6807,-0.2724,-0.2526,0.2217,-49.5,-1.1063,3.7313
1.210839,-0.2372,-0.3755,0.4211,-0.1783,-0.2746,0.2669,-49.9875,-1.5,4.2188
1.230839,0.3314,-0.13365,0.21525,-0.1111,-0.2856,0.2546,-49.9875,-1.5,4.2188
1.250839,0.4015,-0.1184,0.179,-0.13195,-0.24335,0.2027,-49.9875,-1.5,4.2188
