
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.076639,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.077092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.077538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.129988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.130763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.131470,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,0.0000,0.0000,0.0000,
0.132094,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,0.0000,0.0000,0.0000,
0.140836,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,-40.8750,3.9000,-1.9875,
0.169487,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,-40.8750,3.9000,-1.9875,
0.170892,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,-40.8750,3.9000,-1.9875,
0.171887,0.0000,0.0000,0.0000,-0.0036,0.1156,-0.0650,-40.8750,3.9000,-1.9875,
0.189496,0.0000,0.0000,0.0000,0.0205,0.0645,-0.0318,-40.8750,3.9000,-1.9875,
0.200548,0.0000,0.0000,0.0000,0.0205,0.0645,-0.0318,-40.8750,3.9000,-1.9875,
0.221888,0.0000,0.0000,0.0000,0.0205,0.0645,-0.0318,-40.8750,3.9000,-1.9875,
0.223143,0.0000,0.0000,0.0000,0.0205,0.0645,-0.0318,-40.9500,3.7875,-2.2500,
0.232387,0.0000,0.0000,0.0000,0.0205,0.0645,-0.0318,-40.9500,3.7875,-2.2500,
0.233604,-0.0102,0.0193,-0.1362,0.0205,0.0645,-0.0318,-40.9500,3.7875,-2.2500,
0.250658,-0.0102,0.0193,-0.1362,0.0173,0.0975,-0.0068,-40.9500,3.7875,-2.2500,
0.265684,-0.0102,0.0193,-0.1362,0.0173,0.0975,-0.0068,-40.9500,3.7875,-2.2500,
0.284459,-0.0102,0.0193,-0.1362,0.0173,0.0975,-0.0068,-40.9500,3.7875,-2.2500,
0.286014,-0.0102,0.0193,-0.1362,0.0173,0.0975,-0.0068,-41.1000,3.7500,-2.3813,
0.290451,-0.0102,0.0193,-0.1362,0.0173,0.0975,-0.0068,-41.1000,3.7500,-2.3813,
0.292057,0.0152,0.0093,-0.0437,0.0173,0.0975,-0.0068,-41.1000,3.7500,-2.3813,
0.330739,0.0152,0.0093,-0.0437,0.0173,0.0975,-0.0068,-41.1000,3.7500,-2.3813,
0.332814,0.0152,0.0093,-0.0437,-0.0078,-0.0013,-0.0198,-41.1000,3.7500,-2.3813,
0.334070,0.0152,0.0093,-0.0437,-0.0078,-0.0013,-0.0198,-41.1000,3.7500,-2.3813,
0.342499,0.0152,0.0093,-0.0437,-0.0078,-0.0013,-0.0198,-41.3250,3.6750,-2.6625,
0.354219,-0.0155,0.0368,-0.0799,-0.0078,-0.0013,-0.0198,-41.3250,3.6750,-2.6625,
0.355713,-0.0155,0.0368,-0.0799,-0.0078,-0.0013,-0.0198,-41.3250,3.6750,-2.6625,
0.392631,-0.0155,0.0368,-0.0799,-0.0078,-0.0013,-0.0198,-41.3250,3.6750,-2.6625,
0.394013,-0.0155,0.0368,-0.0799,0.0023,0.0197,-0.0047,-41.3250,3.6750,-2.6625,
0.399440,-0.0155,0.0368,-0.0799,0.0023,0.0197,-0.0047,-41.3250,3.6750,-2.6625,
0.412743,-0.0155,0.0368,-0.0799,0.0023,0.0197,-0.0047,-41.3250,3.6750,-2.6625,
0.414610,0.1590,-0.0154,0.0632,0.0023,0.0197,-0.0047,-41.3250,3.6750,-2.6625,
0.424931,0.1590,-0.0154,0.0632,0.0023,0.0197,-0.0047,-41.3625,3.6188,-2.6813,
0.450048,0.1590,-0.0154,0.0632,0.0023,0.0197,-0.0047,-41.3625,3.6188,-2.6813,
0.451560,0.1590,-0.0154,0.0632,-0.0051,0.0512,-0.0335,-41.3625,3.6188,-2.6813,
0.466296,0.1590,-0.0154,0.0632,-0.0051,0.0512,-0.0335,-41.3625,3.6188,-2.6813,
0.472305,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.3625,3.6188,-2.6813,
0.474473,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.3625,3.6188,-2.6813,
0.481762,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.4563,3.5438,-2.8313,
0.533298,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.4563,3.5438,-2.8313,
0.535004,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.4563,3.5438,-2.8313,
0.536199,0.1121,0.0558,-0.0383,-0.0051,0.0512,-0.0335,-41.4563,3.5438,-2.8313,
0.537188,0.1121,0.0558,-0.0383,0.0043,0.0138,-0.0257,-41.4563,3.5438,-2.8313,
0.538137,-0.0159,0.0231,0.0054,0.0043,0.0138,-0.0257,-41.4563,3.5438,-2.8313,
0.542675,-0.0159,0.0231,0.0054,0.0043,0.0138,-0.0257,-41.4188,3.5438,-2.8125,
0.590145,-0.0159,0.0231,0.0054,0.0043,0.0138,-0.0257,-41.4188,3.5438,-2.8125,
0.591745,-0.0159,0.0231,0.0054,0.0043,0.0138,-0.0257,-41.4188,3.5438,-2.8125,
0.592714,-0.0159,0.0231,0.0054,0.0043,0.0138,-0.0257,-41.4188,3.5438,-2.8125,
0.593856,-0.0159,0.0231,0.0054,-0.0269,0.0904,0.0067,-41.4188,3.5438,-2.8125,
0.594664,0.0369,-0.0243,-0.0979,-0.0269,0.0904,0.0067,-41.4188,3.5438,-2.8125,
0.621520,0.0369,-0.0243,-0.0979,-0.0269,0.0904,0.0067,-41.4188,3.5438,-2.8125,
0.623640,0.0369,-0.0243,-0.0979,-0.0269,0.0904,0.0067,-41.4375,3.5250,-2.9250,
0.652803,0.0369,-0.0243,-0.0979,-0.0514,-0.0418,0.0038,-41.4375,3.5250,-2.9250,
0.654757,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.4375,3.5250,-2.9250,
0.656260,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.4375,3.5250,-2.9250,
0.657419,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.4375,3.5250,-2.9250,
0.682950,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.4375,3.5250,-2.9250,
0.685116,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.5125,3.4313,-3.0750,
0.713060,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.5125,3.4313,-3.0750,
0.715233,-0.0943,0.0289,-0.0566,-0.0514,-0.0418,0.0038,-41.5125,3.4313,-3.0750,
0.716373,-0.0472,0.0470,-0.0931,-0.0514,-0.0418,0.0038,-41.5125,3.4313,-3.0750,
0.734614,-0.0472,0.0470,-0.0931,-0.0730,-0.0027,0.0278,-41.5125,3.4313,-3.0750,
0.736440,-0.0472,0.0470,-0.0931,-0.0730,-0.0027,0.0278,-41.5125,3.4313,-3.0750,
0.743089,-0.0472,0.0470,-0.0931,-0.0730,-0.0027,0.0278,-41.5875,3.3375,-3.1688,
0.771180,-0.0472,0.0470,-0.0931,-0.0730,-0.0027,0.0278,-41.5875,3.3375,-3.1688,
0.773386,-0.0472,0.0470,-0.0931,-0.0730,-0.0027,0.0278,-41.5875,3.3375,-3.1688,
0.774419,-0.0033,-0.0206,0.0143,-0.0730,-0.0027,0.0278,-41.5875,3.3375,-3.1688,
0.790177,-0.0033,-0.0206,0.0143,-0.0680,-0.0325,0.0076,-41.5875,3.3375,-3.1688,
0.797954,-0.0033,-0.0206,0.0143,-0.0680,-0.0325,0.0076,-41.5875,3.3375,-3.1688,
0.821749,-0.0033,-0.0206,0.0143,-0.0680,-0.0325,0.0076,-41.5875,3.3375,-3.1688,
0.823817,-0.0033,-0.0206,0.0143,-0.0680,-0.0325,0.0076,-41.5312,3.4125,-3.2625,
0.831982,0.0719,-0.0146,0.0642,-0.0680,-0.0325,0.0076,-41.5312,3.4125,-3.2625,
0.834713,0.0719,-0.0146,0.0642,-0.0680,-0.0325,0.0076,-41.5312,3.4125,-3.2625,
0.852719,0.0719,-0.0146,0.0642,-0.0480,-0.0266,0.0440,-41.5312,3.4125,-3.2625,
0.865424,0.0719,-0.0146,0.0642,-0.0480,-0.0266,0.0440,-41.5312,3.4125,-3.2625,
0.884952,0.0719,-0.0146,0.0642,-0.0480,-0.0266,0.0440,-41.5312,3.4125,-3.2625,
0.886669,0.0719,-0.0146,0.0642,-0.0480,-0.0266,0.0440,-41.3250,3.4688,-3.1313,
0.893502,0.0719,-0.0146,0.0642,-0.0480,-0.0266,0.0440,-41.3250,3.4688,-3.1313,
0.894977,0.1053,-0.0084,0.0959,-0.0480,-0.0266,0.0440,-41.3250,3.4688,-3.1313,
0.936824,0.1053,-0.0084,0.0959,-0.0480,-0.0266,0.0440,-41.3250,3.4688,-3.1313,
