
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.140719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.142270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.149737,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.151128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.152561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.153826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.201682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.202569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.203267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.223016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.223968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.224626,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.9375,18.6750,10.3688,
0.259052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.9375,18.6750,10.3688,
0.284596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.2188,18.6375,10.6500,
0.288186,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.2188,18.6375,10.6500,
0.290434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.2188,18.6375,10.6500,
0.304346,0.0000,0.0000,0.0000,-0.2168,0.1500,0.0293,-43.2188,18.6375,10.6500,
0.308118,0.0000,0.0000,0.0000,-0.2168,0.1500,0.0293,-43.2188,18.6375,10.6500,
0.310143,-0.2669,0.0328,-0.3625,-0.2168,0.1500,0.0293,-43.2188,18.6375,10.6500,
0.327028,-0.2669,0.0328,-0.3625,-0.2168,0.1500,0.0293,-43.2188,18.6375,10.6500,
0.343659,-0.2669,0.0328,-0.3625,-0.2168,0.1500,0.0293,-43.2188,18.6375,10.6500,
