
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.115062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.115654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.116200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.116666,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.117069,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.139068,0.0000,0.0000,0.0000,0.0694,-0.0110,0.0118,0.0000,0.0000,0.0000,
0.160640,0.0000,0.0000,0.0000,0.0694,-0.0110,0.0118,0.0000,0.0000,0.0000,
0.162013,0.0000,0.0000,0.0000,0.0694,-0.0110,0.0118,0.0000,0.0000,0.0000,
0.190965,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,0.0000,0.0000,0.0000,
0.192557,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,0.0000,0.0000,0.0000,
0.193741,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,0.0000,0.0000,0.0000,
0.194816,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,0.0000,0.0000,0.0000,
0.195872,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,-42.5250,-3.6938,3.6000,
0.228300,0.0000,0.0000,0.0000,0.0654,-0.0037,-0.0191,-42.5250,-3.6938,3.6000,
0.252874,0.0000,0.0000,0.0000,0.1027,-0.0200,-0.0021,-42.5250,-3.6938,3.6000,
0.254754,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.5250,-3.6938,3.6000,
0.256152,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.5250,-3.6938,3.6000,
0.257272,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.5250,-3.6938,3.6000,
0.272597,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.5250,-3.6938,3.6000,
0.274055,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.9375,-3.4125,4.0312,
0.294169,-0.0277,-0.0419,-0.0169,0.1027,-0.0200,-0.0021,-42.9375,-3.4125,4.0312,
0.311758,-0.0124,-0.0215,0.2712,0.1027,-0.0200,-0.0021,-42.9375,-3.4125,4.0312,
0.314769,-0.0124,-0.0215,0.2712,0.1027,-0.0200,-0.0021,-42.9375,-3.4125,4.0312,
0.329797,-0.0124,-0.0215,0.2712,0.0722,0.0660,0.0305,-42.9375,-3.4125,4.0312,
0.332272,-0.0124,-0.0215,0.2712,0.0722,0.0660,0.0305,-42.8063,-3.7125,3.5625,
0.334686,-0.0124,-0.0215,0.2712,0.0722,0.0660,0.0305,-42.8063,-3.7125,3.5625,
0.361522,-0.0124,-0.0215,0.2712,0.0722,0.0660,0.0305,-42.8063,-3.7125,3.5625,
0.374983,0.0291,-0.0405,0.0004,0.0722,0.0660,0.0305,-42.8063,-3.7125,3.5625,
0.376499,0.0291,-0.0405,0.0004,0.0722,0.0660,0.0305,-42.8063,-3.7125,3.5625,
0.394811,0.0291,-0.0405,0.0004,0.0722,0.0660,0.0305,-42.8063,-3.8438,3.3563,
0.396600,0.0291,-0.0405,0.0004,0.1645,0.0159,0.0137,-42.8063,-3.8438,3.3563,
0.428827,0.0291,-0.0405,0.0004,0.1645,0.0159,0.0137,-42.8063,-3.8438,3.3563,
0.432726,0.0291,-0.0405,0.0004,0.1645,0.0159,0.0137,-42.8063,-3.8438,3.3563,
0.435296,0.0849,0.0174,0.0995,0.1645,0.0159,0.0137,-42.8063,-3.8438,3.3563,
0.437868,0.0849,0.0174,0.0995,0.1645,0.0159,0.0137,-42.8063,-3.8438,3.3563,
0.450981,0.0849,0.0174,0.0995,0.2971,-0.0080,-0.0003,-42.8063,-3.8438,3.3563,
0.471778,0.0849,0.0174,0.0995,0.2971,-0.0080,-0.0003,-42.8063,-3.8438,3.3563,
0.474434,0.0849,0.0174,0.0995,0.2971,-0.0080,-0.0003,-42.7500,-3.7875,3.4688,
0.492149,-0.0425,-0.0868,-0.0227,0.2971,-0.0080,-0.0003,-42.7500,-3.7875,3.4688,
0.496190,-0.0425,-0.0868,-0.0227,0.2971,-0.0080,-0.0003,-42.7500,-3.7875,3.4688,
0.498572,-0.0425,-0.0868,-0.0227,0.2971,-0.0080,-0.0003,-42.7500,-3.7875,3.4688,
0.533640,-0.0425,-0.0868,-0.0227,0.2971,-0.0080,-0.0003,-42.7500,-3.7875,3.4688,
0.537073,-0.0425,-0.0868,-0.0227,0.2971,-0.0080,-0.0003,-42.7875,-3.6750,3.6375,
0.541076,-0.0425,-0.0868,-0.0227,0.6608,-0.1235,0.0579,-42.7875,-3.6750,3.6375,
0.553553,-0.0425,-0.0868,-0.0227,0.6608,-0.1235,0.0579,-42.7875,-3.6750,3.6375,
0.556820,-0.0425,-0.0868,-0.0227,0.6608,-0.1235,0.0579,-42.7875,-3.6750,3.6375,
0.558848,-0.1495,-0.1054,0.0309,0.6608,-0.1235,0.0579,-42.7875,-3.6750,3.6375,
0.591387,-0.1495,-0.1054,0.0309,0.6608,-0.1235,0.0579,-42.7875,-3.6750,3.6375,
0.594211,-0.1495,-0.1054,0.0309,0.4507,-0.0010,0.1537,-42.7875,-3.6750,3.6375,
0.596841,-0.1495,-0.1054,0.0309,0.4507,-0.0010,0.1537,-42.8813,-3.5438,3.7125,
0.611078,-0.1495,-0.1054,0.0309,0.4507,-0.0010,0.1537,-42.8813,-3.5438,3.7125,
0.613537,-0.1495,-0.1054,0.0309,0.4507,-0.0010,0.1537,-42.8813,-3.5438,3.7125,
0.615101,-0.0924,-0.1338,-0.3160,0.4507,-0.0010,0.1537,-42.8813,-3.5438,3.7125,
0.650708,-0.0924,-0.1338,-0.3160,0.4507,-0.0010,0.1537,-42.8813,-3.5438,3.7125,
0.653241,-0.0924,-0.1338,-0.3160,0.7310,-0.3498,0.1565,-42.8813,-3.5438,3.7125,
0.671810,-0.0924,-0.1338,-0.3160,0.7310,-0.3498,0.1565,-42.8813,-3.5438,3.7125,
0.674513,-0.0924,-0.1338,-0.3160,0.7310,-0.3498,0.1565,-42.8813,-3.5438,3.7125,
0.676269,-0.0924,-0.1338,-0.3160,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.678537,-0.0422,-0.0295,0.7550,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.694604,-0.0422,-0.0295,0.7550,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.734151,0.4829,0.7435,-1.8348,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.738821,0.4829,0.7435,-1.8348,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.741063,0.4829,0.7435,-1.8348,0.7310,-0.3498,0.1565,-42.9375,-3.3938,3.9563,
0.742657,0.4829,0.7435,-1.8348,0.7310,-0.3498,0.1565,-43.0312,-3.1875,4.1813,
0.744782,0.4829,0.7435,-1.8348,-0.0693,0.2999,0.0395,-43.0312,-3.1875,4.1813,
0.760283,0.4829,0.7435,-1.8348,-0.0693,0.2999,0.0395,-43.0312,-3.1875,4.1813,
0.791125,0.4829,0.7435,-1.8348,-0.0693,0.2999,0.0395,-43.0312,-3.1875,4.1813,
0.793640,0.4829,0.7435,-1.8348,-0.0693,0.2999,0.0395,-43.0312,-3.1875,4.1813,
