
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.114684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.115804,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.116595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.117207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.170481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.172302,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.173386,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.195461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.197401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.2000,2.1750,19.9125,
0.199329,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.2000,2.1750,19.9125,
0.200724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.2000,2.1750,19.9125,
0.217925,0.0000,0.0000,0.0000,-0.0748,0.2121,0.0441,-40.2000,2.1750,19.9125,
0.232868,0.0000,0.0000,0.0000,-0.0748,0.2121,0.0441,-40.2000,2.1750,19.9125,
0.257928,0.0000,0.0000,0.0000,-0.0748,0.2121,0.0441,-40.2000,2.1750,19.9125,
0.262070,0.0000,0.0000,0.0000,-0.0748,0.2121,0.0441,-40.2000,2.1750,19.9125,
0.264215,0.0937,0.0786,-0.1593,-0.0748,0.2121,0.0441,-40.2000,2.1750,19.9125,
0.273955,0.0937,0.0786,-0.1593,-0.0748,0.2121,0.0441,-40.1813,2.1188,19.6688,
0.282839,0.0937,0.0786,-0.1593,-0.0939,0.3878,0.0580,-40.1813,2.1188,19.6688,
0.298737,0.0937,0.0786,-0.1593,-0.0939,0.3878,0.0580,-40.1813,2.1188,19.6688,
0.300725,0.0937,0.0786,-0.1593,-0.0939,0.3878,0.0580,-40.1813,2.1188,19.6688,
0.316681,0.2412,-0.1074,0.1635,-0.0939,0.3878,0.0580,-40.1813,2.1188,19.6688,
0.319637,0.2412,-0.1074,0.1635,-0.0939,0.3878,0.0580,-40.1813,2.1188,19.6688,
0.333196,0.2412,-0.1074,0.1635,-0.0939,0.3878,0.0580,-40.3125,2.1000,19.1250,
0.358236,0.2412,-0.1074,0.1635,0.2932,-0.2051,0.0050,-40.3125,2.1000,19.1250,
0.361831,0.2412,-0.1074,0.1635,0.2932,-0.2051,0.0050,-40.3125,2.1000,19.1250,
0.367763,0.2412,-0.1074,0.1635,0.2932,-0.2051,0.0050,-40.3125,2.1000,19.1250,
0.380646,-0.2507,-0.0261,0.1619,0.2932,-0.2051,0.0050,-40.3125,2.1000,19.1250,
0.383604,-0.2507,-0.0261,0.1619,0.2932,-0.2051,0.0050,-40.3125,2.1000,19.1250,
0.393359,-0.2507,-0.0261,0.1619,0.2932,-0.2051,0.0050,-40.2563,2.1000,19.0500,
0.419326,-0.2507,-0.0261,0.1619,0.2932,-0.2051,0.0050,-40.2563,2.1000,19.0500,
0.422099,-0.2507,-0.0261,0.1619,0.0250,-0.0028,0.0660,-40.2563,2.1000,19.0500,
