time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.131508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.001863468094221238,non_fall
0.13374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.002231999999999984,0.0,-0.0004917478703829171,non_fall
0.135796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0020560000000000023,0.0,-0.002774308705177259,non_fall
0.137154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.001357999999999998,0.0,-0.004609674752352035,non_fall
0.154586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.017432000000000003,0.0,-0.0056283609175804125,non_fall
0.156875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0022889999999999855,0.0,-0.0054809209639996165,non_fall
0.158054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0011790000000000134,0.0,-0.0038532823611909144,non_fall
0.183132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.02507799999999999,0.0,-0.00048187806377039444,non_fall
0.185071,0.0,0.0,0.0,0.0,0.0,0.0,-44.175,-9.45,2.0813,,0.001939000000000024,0.0,0.004832563540796916,non_fall
0.222471,0.0,0.0,0.0,0.0,0.0,0.0,-44.175,-9.45,2.0813,,0.03739999999999999,0.0,0.01221423480397448,non_fall
0.22378,0.0,0.0,0.0,0.0,0.0,0.0,-44.175,-9.45,2.0813,,0.0013090000000000046,0.0,0.021706414326897742,non_fall
0.233262,0.0,0.0,0.0,0.0,0.0,0.0,-44.175,-9.45,2.0813,,0.00948199999999999,0.0,0.033272337634867415,non_fall
0.234473,-0.0301,-0.0764,-0.016,0.0,0.0,0.0,-44.175,-9.45,2.0813,,0.0012109999999999899,0.08365984699962102,0.04680367338464538,non_fall
0.24533,-0.0301,-0.0764,-0.016,0.0,0.0,0.0,-44.5312,-8.7188,2.3813,,0.010857000000000006,0.08365984699962102,0.062136021022116975,non_fall
0.253497,-0.0301,-0.0764,-0.016,0.0115,-0.1167,0.0832,-44.5312,-8.7188,2.3813,,0.00816699999999998,0.08365984699962102,0.07906932105363,non_fall
0.288671,-0.0301,-0.0764,-0.016,0.0115,-0.1167,0.0832,-44.5312,-8.7188,2.3813,,0.03517400000000004,0.08365984699962102,0.09739043826621821,non_fall
0.292182,-0.0301,-0.0764,-0.016,0.0115,-0.1167,0.0832,-44.5312,-8.7188,2.3813,,0.0035109999999999864,0.08365984699962102,0.11689578962739731,non_fall
0.295358,-0.0301,-0.0764,-0.016,0.0115,-0.1167,0.0832,-44.5312,-8.7188,2.3813,,0.003176000000000012,0.08365984699962102,0.13741291313179638,non_fall
0.298475,0.0906,-0.0449,0.2105,0.0115,-0.1167,0.0832,-44.5312,-8.7188,2.3813,,0.003116999999999981,0.23352648672045745,0.15881998413546528,non_fall
0.307669,0.0906,-0.0449,0.2105,0.0115,-0.1167,0.0832,-44.5125,-8.6813,2.5312,,0.009194000000000035,0.23352648672045745,0.18106098033445994,non_fall
0.334049,0.0906,-0.0449,0.2105,0.0115,-0.1167,0.0832,-44.5125,-8.6813,2.5312,,0.02637999999999996,0.23352648672045745,0.204152548405782,non_fall
0.336496,0.0906,-0.0449,0.2105,-0.1045,-0.0047,0.0126,-44.5125,-8.6813,2.5312,,0.0024470000000000325,0.23352648672045745,0.22817859611693697,non_fall
0.353161,0.0906,-0.0449,0.2105,-0.1045,-0.0047,0.0126,-44.5125,-8.6813,2.5312,,0.016664999999999985,0.23352648672045745,0.25327117041653896,non_fall
0.354928,0.0906,-0.0449,0.2105,-0.1045,-0.0047,0.0126,-44.5125,-8.6813,2.5312,,0.0017670000000000186,0.23352648672045745,0.2795800951524971,non_fall
0.356337,0.1946,0.1678,-0.225,-0.1045,-0.0047,0.0126,-44.5125,-8.6813,2.5312,,0.0014089999999999936,0.3415420911103052,0.3072369243501104,non_fall
0.384163,0.1946,0.1678,-0.225,-0.1045,-0.0047,0.0126,-44.5125,-8.6813,2.5312,,0.027825999999999962,0.3415420911103052,0.33631974585701024,non_fall
0.386448,0.1946,0.1678,-0.225,-0.1045,-0.0047,0.0126,-44.325,-8.7188,2.6625,,0.002285000000000037,0.3415420911103052,0.3668246716579156,non_fall
0.394391,0.1946,0.1678,-0.225,-0.0273,-0.0365,0.0199,-44.325,-8.7188,2.6625,,0.007942999999999978,0.3415420911103052,0.3986487866805468,non_fall
0.413876,0.1946,0.1678,-0.225,-0.0273,-0.0365,0.0199,-44.325,-8.7188,2.6625,,0.01948500000000003,0.3415420911103052,0.4315885002055701,non_fall
0.41592,0.1946,0.1678,-0.225,-0.0273,-0.0365,0.0199,-44.325,-8.7188,2.6625,,0.0020439999999999903,0.3415420911103052,0.46535570447581565,non_fall
0.417532,-0.0871,0.1023,0.6392,-0.0273,-0.0365,0.0199,-44.325,-8.7188,2.6625,,0.0016120000000000023,0.6531679263405392,0.4996103345843281,non_fall
0.44221,-0.0871,0.1023,0.6392,-0.0273,-0.0365,0.0199,-44.3625,-8.85,2.5312,,0.024677999999999978,0.6531679263405392,0.5340016928140858,non_fall
0.444903,-0.0871,0.1023,0.6392,-0.0273,-0.0365,0.0199,-44.3625,-8.85,2.5312,,0.002693000000000001,0.6531679263405392,0.5682049106106332,non_fall
0.452417,-0.0871,0.1023,0.6392,0.0412,0.2429,-0.0189,-44.3625,-8.85,2.5312,,0.007514000000000021,0.6531679263405392,0.6019374715785373,non_fall
0.476623,-0.0871,0.1023,0.6392,0.0412,0.2429,-0.0189,-44.3625,-8.85,2.5312,,0.024206000000000005,0.6531679263405392,0.6349459753301127,non_fall
0.479403,-0.0871,0.1023,0.6392,0.0412,0.2429,-0.0189,-44.3625,-8.85,2.5312,,0.0027800000000000047,0.6531679263405392,0.6669630362484493,non_fall
0.481236,0.3244,0.1162,0.5717,0.0412,0.2429,-0.0189,-44.3625,-8.85,2.5312,,0.0018329999999999735,0.6675168087771274,0.6976439547982418,non_fall
0.503975,0.3244,0.1162,0.5717,0.0412,0.2429,-0.0189,-44.3625,-8.85,2.5312,,0.022738999999999954,0.6675168087771274,0.7264994993178227,non_fall
0.506938,0.3244,0.1162,0.5717,0.0412,0.2429,-0.0189,-44.2688,-8.8125,2.3625,,0.002963000000000049,0.6675168087771274,0.7528439231905726,non_fall
0.535172,0.3244,0.1162,0.5717,0.0412,0.2429,-0.0189,-44.2688,-8.8125,2.3625,,0.02823399999999998,0.6675168087771274,0.7757764018600526,non_fall
0.538163,0.3244,0.1162,0.5717,0.0412,0.2429,-0.0189,-44.2688,-8.8125,2.3625,,0.002990999999999966,0.6675168087771274,0.7942097017621048,non_fall
0.540091,0.3244,0.1162,0.5717,0.0912,0.48,-0.138,-44.2688,-8.8125,2.3625,,0.0019280000000000408,0.6675168087771274,0.8069522490482202,non_fall
0.542648,0.6642,0.2511,0.5901,0.0912,0.48,-0.138,-44.2688,-8.8125,2.3625,,0.0025570000000000315,0.9232718234626247,0.8128391295727035,non_fall
