time,ax,ay,az,wx,wy,wz,Bx,By,Bz,time_diff,acc_mag,acc_mag_filtered,label
0.053572,0.0,0.0,0.0,0.421,0.1585,-1.596,0.0,0.0,0.0,0.0,0.0,0.0019855729971037625,non_fall
0.073572,0.0,0.0,0.0,-0.00225,-0.17015,-0.0175,0.0,0.0,0.0,0.019999999999999997,0.0,0.22429832518868403,non_fall
0.093572,0.1751,-0.768,0.2921,0.0209,-0.03275,0.0325,0.0,0.0,0.0,0.020000000000000004,0.8401228600627411,0.41657657172264073,non_fall
0.113572,0.1301,-0.7994,0.1965,0.06675,0.03755,0.0642,-31.4438,28.4063,-15.3,0.020000000000000004,0.833413834778377,0.5588803565316872,non_fall
0.133572,0.0552,-0.5233,-0.0346,0.07895,-0.00155,0.05015,-31.4438,28.4063,-15.3,0.01999999999999999,0.5273396343913475,0.6454037823654741,non_fall
0.153572,-0.1213,-0.4165,-0.0622,0.0362,-0.1213,0.0203,-31.4438,28.4063,-15.3,0.01999999999999999,0.43824055038300597,0.6832125720789618,non_fall
0.173572,-0.1722,-0.4301,-0.0728,-0.0176,-0.2373,0.0191,-50.0813,1.05,1.5938,0.020000000000000018,0.46897621474867995,0.6862186079791341,non_fall
0.193572,-0.0416,-0.6199,0.1083,-0.0091,-0.2398,0.0117,-50.0813,1.05,1.5938,0.01999999999999999,0.6306627149277179,0.6684403359578083,non_fall
0.213572,0.1592,-0.7938,0.285,0.0644,-0.175,0.0349,-50.0813,1.05,1.5938,0.020000000000000018,0.858305353589269,0.6402660357605232,non_fall
0.233572,0.1522,-0.8203,0.2538,0.1156,-0.0968,0.0644,-49.8938,1.3313,1.5938,0.01999999999999999,0.8720500960380659,0.6084859238420152,non_fall
0.253572,0.1075,-0.5022,-0.0291,0.0899,-0.1018,0.0606,-49.8938,1.3313,1.5938,0.020000000000000018,0.5144005248830914,0.5779749582703398,non_fall
0.273572,-0.0001,-0.2707,-0.254,0.0276,-0.1653,0.0349,-49.8938,1.3313,1.5938,0.019999999999999962,0.3712068156701867,0.5524875216441488,non_fall
0.293572,0.1251,-0.2784,-0.1556,0.0106,-0.1958,-0.0041,-50.775,1.5375,2.4563,0.020000000000000018,0.34259003196240256,0.5340220787931579,non_fall
0.313572,0.0814,-0.521,-0.0633,0.0191,-0.22995,0.03065,-50.775,1.5375,2.4563,0.020000000000000018,0.5311062511400144,0.5223497749068433,non_fall
0.333572,-0.0689,-0.7151,-0.011,0.0227,-0.2801,0.1107,-50.775,1.5375,2.4563,0.019999999999999962,0.7184958037455751,0.5163811094328647,non_fall
0.353572,-0.2149,-0.566,-0.2495,-0.0114,-0.4352,0.184,-50.0813,1.2563,2.6625,0.020000000000000018,0.6548192575054584,0.5171017912916424,non_fall
0.373572,0.0947,-0.3875,-0.3432,-0.01325,-0.6081,0.18585,-50.0813,1.2563,2.6625,0.020000000000000018,0.5262229375464358,0.5298812672677827,non_fall
0.393572,0.22435,-0.39775,-0.1964,0.0093,-0.6588,0.1376,-50.0813,1.2563,2.6625,0.019999999999999962,0.49710254978223556,0.5639146376916402,non_fall
0.413572,0.3527,-0.5694,0.1604,0.03805,-0.5782,0.1467,-49.7063,1.3313,2.85,0.020000000000000018,0.6887247708627882,0.6283813581307323,non_fall
0.433572,0.2828,-0.5506,0.1062,0.0557,-0.4889,0.2207,-49.7063,1.3313,2.85,0.020000000000000018,0.6280243944306622,0.7270814506367798,non_fall
0.453572,-0.0452,-0.2826,-0.2818,0.02825,-0.4847,0.30125,-49.7063,1.3313,2.85,0.019999999999999962,0.401642925992728,0.8544961258667335,non_fall
0.473572,-0.5339,0.0007,-0.7993,-0.0566,-0.6772,0.3685,-49.98755,1.6313,3.73125,0.020000000000000018,0.9612128744456142,0.9959197894163838,non_fall
0.493572,-1.2112,-0.0014,-1.4839,-0.24295,-1.3014,0.4723,-50.2688,1.9313,4.6125,0.020000000000000018,1.9154546744833196,1.1323485633700276,non_fall
0.513572,-0.5795,-0.3346,-1.1088,-0.34185,-2.0577,0.4803,-50.2688,1.9313,4.6125,0.020000000000000018,1.2950732990838782,1.2477111194655444,non_fall
0.533572,-0.0749,-0.6365,-0.8007,-0.2002,-2.2898,0.4259,-50.2688,1.9313,4.6125,0.020000000000000018,1.0256036027627826,1.334065290073385,non_fall
0.553572,-0.0581,-1.0451,-0.6223,-0.1189,-2.3747,0.5627,-49.8,2.5125,5.8875,0.019999999999999907,1.2177302287452667,1.3918997166651152,non_fall
