filename,fall_peak_time,peak_acceleration,total_samples,fall_samples,non_fall_samples
p10_wrist_ff_1.csv,3.616008,29.777747214320534,1613,193,1420
p10_wrist_ff_2.csv,3.204443,29.23995563836987,766,195,571
p10_wrist_ff_3.csv,1.744472,43.038498264907865,548,195,353
p1_wrist_ff_1.csv,1.347733,45.851389901704664,1306,193,1113
p1_wrist_ff_2.csv,1.934787,37.31464956535759,1093,193,900
p1_wrist_ff_3.csv,1.394944,51.116908544949155,252,39,213
p2_wrist_ff_1.csv,2.784875,49.173465054125394,883,195,688
p2_wrist_ff_2.csv,2.272642,38.88564701890702,715,195,520
p2_wrist_ff_3.csv,2.237161,30.375937877501563,715,195,520
p3_wrist_ff_1.csv,2.696346,32.42986442960268,671,195,476
p3_wrist_ff_2.csv,2.389662,48.69917973150303,809,195,614
p3_wrist_ff_3.csv,3.924605,68.32949341368742,429,57,372
p4_wrist_ff_1.csv,3.632472,48.89428607383496,829,195,634
p4_wrist_ff_2.csv,3.366372,30.67117905360467,878,195,683
p4_wrist_ff_3.csv,4.1941,49.353401717808104,855,195,660
p5_wrist_ff_1.csv,2.01346,20.660544840123624,959,193,766
p5_wrist_ff_2.csv,2.685642,19.995085923826995,714,195,519
p5_wrist_ff_3.csv,1.788404,11.25092511923194,586,195,391
p6_wrist_ff_1.csv,1.640314,78.0679980963254,579,203,376
p6_wrist_ff_2.csv,2.313844,84.51649603237419,665,203,462
p6_wrist_ff_3.csv,2.250187,54.83669530350209,743,203,540
p7_wrist_ff_1.csv,2.596558,25.80958528467588,829,193,636
p7_wrist_ff_2.csv,4.351494,28.891527274432978,958,193,765
p7_wrist_ff_3.csv,2.239997,29.996925567280318,709,193,516
p8_wrist_ff_1.csv,2.888673,53.978640242651764,419,101,318
p8_wrist_ff_2.csv,2.430839,61.38174635671805,452,101,351
p8_wrist_ff_3.csv,2.293572,36.75013196786297,556,101,455
p9_wrist_ff_1.csv,3.622418,39.01833437855281,917,193,724
p9_wrist_ff_2.csv,3.851433,45.67832292737984,941,195,746
p9_wrist_ff_3.csv,3.361745,38.210479316672604,1901,193,1708
