
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.144817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.145409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.145979,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.146490,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.146864,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.147487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.171314,0.0000,0.0000,0.0000,0.0669,-0.0344,-0.0974,0.0000,0.0000,0.0000,
0.185859,0.0000,0.0000,0.0000,0.0669,-0.0344,-0.0974,0.0000,0.0000,0.0000,
0.188158,0.0000,0.0000,0.0000,0.0669,-0.0344,-0.0974,0.0000,0.0000,0.0000,
0.212202,0.0000,0.0000,0.0000,0.0669,-0.0344,-0.0974,0.0000,0.0000,0.0000,
0.213683,0.0000,0.0000,0.0000,0.0669,-0.0344,-0.0974,0.0000,0.0000,0.0000,
0.214521,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,0.0000,0.0000,0.0000,
0.215264,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,0.0000,0.0000,0.0000,
0.239442,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,0.0000,0.0000,0.0000,
0.241673,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,-24.6375,38.4750,6.7688,
0.274110,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,-24.6375,38.4750,6.7688,
0.276622,0.0000,0.0000,0.0000,0.0140,-0.0155,-0.0557,-24.6375,38.4750,6.7688,
0.278694,-0.0508,0.0259,0.0450,0.0140,-0.0155,-0.0557,-24.6375,38.4750,6.7688,
0.294782,-0.0508,0.0259,0.0450,-0.0019,-0.0153,-0.0008,-24.6375,38.4750,6.7688,
0.296327,-0.0508,0.0259,0.0450,-0.0019,-0.0153,-0.0008,-24.8813,37.5375,7.0875,
0.298314,-0.0508,0.0259,0.0450,-0.0019,-0.0153,-0.0008,-24.8813,37.5375,7.0875,
0.318160,-0.0508,0.0259,0.0450,-0.0019,-0.0153,-0.0008,-24.8813,37.5375,7.0875,
0.335745,0.0288,0.1013,0.0861,-0.0019,-0.0153,-0.0008,-24.8813,37.5375,7.0875,
0.337566,0.0288,0.1013,0.0861,-0.0019,-0.0153,-0.0008,-24.8813,37.5375,7.0875,
0.355603,0.0288,0.1013,0.0861,-0.0113,0.0155,-0.0058,-24.8813,37.5375,7.0875,
0.357213,0.0288,0.1013,0.0861,-0.0113,0.0155,-0.0058,-24.4875,37.5563,6.9938,
0.358693,0.0288,0.1013,0.0861,-0.0113,0.0155,-0.0058,-24.4875,37.5563,6.9938,
0.386907,0.0288,0.1013,0.0861,-0.0113,0.0155,-0.0058,-24.4875,37.5563,6.9938,
0.393816,0.1454,0.1249,0.1271,-0.0113,0.0155,-0.0058,-24.4875,37.5563,6.9938,
0.397626,0.1454,0.1249,0.1271,-0.0113,0.0155,-0.0058,-24.4875,37.5563,6.9938,
0.413243,0.1454,0.1249,0.1271,0.0027,0.0273,0.0053,-24.4875,37.5563,6.9938,
0.437596,0.1454,0.1249,0.1271,0.0027,0.0273,0.0053,-24.4875,37.5563,6.9938,
0.440270,0.1454,0.1249,0.1271,0.0027,0.0273,0.0053,-24.4875,37.5563,6.9938,
0.442070,0.1454,0.1249,0.1271,0.0027,0.0273,0.0053,-24.4875,37.4062,7.0125,
