
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.129532,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.130520,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.131173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.131749,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.132218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.132687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.158913,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,0.0000,0.0000,0.0000,
0.177813,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,0.0000,0.0000,0.0000,
0.178408,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,0.0000,0.0000,0.0000,
0.185797,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,0.0000,0.0000,0.0000,
0.186397,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,28.6875,-71.0063,-82.4438,
0.187132,0.0000,0.0000,0.0000,0.0096,0.0169,-0.1039,28.6875,-71.0063,-82.4438,
0.205367,0.0000,0.0000,0.0000,0.1389,-0.0280,0.0061,28.6875,-71.0063,-82.4438,
0.244118,0.0000,0.0000,0.0000,0.1389,-0.0280,0.0061,28.6875,-71.0063,-82.4438,
0.245526,0.0000,0.0000,0.0000,0.1389,-0.0280,0.0061,28.6875,-71.0063,-82.4438,
0.248724,0.0000,0.0000,0.0000,0.1389,-0.0280,0.0061,28.6875,-71.0063,-82.4438,
0.249946,-0.0480,0.0056,-0.0764,0.1389,-0.0280,0.0061,28.6875,-71.0063,-82.4438,
0.270158,-0.0480,0.0056,-0.0764,0.0467,-0.0111,-0.0625,28.6875,-71.0063,-82.4438,
0.272252,-0.0480,0.0056,-0.0764,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.274228,-0.0480,0.0056,-0.0764,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.295407,-0.0480,0.0056,-0.0764,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.308377,-0.0480,0.0056,-0.0764,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.309868,0.0682,-0.0490,-0.0669,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.328145,0.0682,-0.0490,-0.0669,0.0467,-0.0111,-0.0625,28.1625,-70.8563,-82.0500,
0.329451,0.0682,-0.0490,-0.0669,0.0467,-0.0111,-0.0625,28.0500,-71.0625,-82.2750,
0.347031,0.0682,-0.0490,-0.0669,0.0338,-0.0102,0.0016,28.0500,-71.0625,-82.2750,
0.368593,0.0792,0.0134,0.0433,0.0338,-0.0102,0.0016,28.0500,-71.0625,-82.2750,
0.370399,0.0792,0.0134,0.0433,0.0338,-0.0102,0.0016,28.0500,-71.0625,-82.2750,
0.371379,0.0792,0.0134,0.0433,0.0338,-0.0102,0.0016,28.0500,-71.0625,-82.2750,
0.390020,0.0792,0.0134,0.0433,0.0338,-0.0102,0.0016,28.0500,-71.0625,-82.2750,
0.392971,0.0792,0.0134,0.0433,0.0338,-0.0102,0.0016,27.9375,-71.1000,-82.3875,
0.408748,0.0792,0.0134,0.0433,-0.0068,-0.0982,-0.0370,27.9375,-71.1000,-82.3875,
