
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.104554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.105431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.105966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.106404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.157649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.158552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.159194,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.166372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.4313,28.5750,27.1125,
0.194561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.4313,28.5750,27.1125,
0.195668,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.4313,28.5750,27.1125,
0.196583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.4313,28.5750,27.1125,
0.224763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.4313,28.5750,27.1125,
0.226976,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.6562,28.8375,26.8875,
0.255146,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.6562,28.8375,26.8875,
0.257733,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.6562,28.8375,26.8875,
0.259730,0.1075,0.1013,-0.0867,0.0000,0.0000,0.0000,-18.6562,28.8375,26.8875,
0.277873,0.1075,0.1013,-0.0867,-0.0090,-0.4271,-0.0050,-18.6562,28.8375,26.8875,
0.286272,0.1075,0.1013,-0.0867,-0.0090,-0.4271,-0.0050,-18.6562,28.8375,26.8875,
0.289795,0.1075,0.1013,-0.0867,-0.0090,-0.4271,-0.0050,-18.1688,28.6688,26.9625,
0.315497,0.1075,0.1013,-0.0867,-0.0090,-0.4271,-0.0050,-18.1688,28.6688,26.9625,
0.317787,0.1075,0.1013,-0.0867,-0.0090,-0.4271,-0.0050,-18.1688,28.6688,26.9625,
0.319727,-0.2410,0.0471,-0.0102,-0.0090,-0.4271,-0.0050,-18.1688,28.6688,26.9625,
0.336463,-0.2410,0.0471,-0.0102,-0.0599,-0.4043,0.0728,-18.1688,28.6688,26.9625,
0.357639,-0.2410,0.0471,-0.0102,-0.0599,-0.4043,0.0728,-18.1688,28.6688,26.9625,
0.361088,-0.2410,0.0471,-0.0102,-0.0599,-0.4043,0.0728,-18.1688,28.6688,26.9625,
0.369270,-0.2410,0.0471,-0.0102,-0.0599,-0.4043,0.0728,-17.7563,28.6688,27.3000,
0.375742,-0.2410,0.0471,-0.0102,-0.0599,-0.4043,0.0728,-17.7563,28.6688,27.3000,
