
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.139176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.139905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.140547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.141127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.141544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.141930,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.161713,0.0000,0.0000,0.0000,0.1523,0.0309,0.0425,0.0000,0.0000,0.0000,
0.186535,0.0000,0.0000,0.0000,0.1523,0.0309,0.0425,0.0000,0.0000,0.0000,
0.187763,0.0000,0.0000,0.0000,0.1523,0.0309,0.0425,0.0000,0.0000,0.0000,
0.205867,0.0000,0.0000,0.0000,0.1523,0.0309,0.0425,0.0000,0.0000,0.0000,
0.208601,0.0000,0.0000,0.0000,0.1523,0.0309,0.0425,-8.5500,23.9813,34.2188,
0.216620,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-8.5500,23.9813,34.2188,
0.219643,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-8.5500,23.9813,34.2188,
0.221662,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-8.5500,23.9813,34.2188,
0.257363,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-8.5500,23.9813,34.2188,
0.271139,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-8.5500,23.9813,34.2188,
0.273658,0.0000,0.0000,0.0000,0.1022,0.0376,0.0126,-9.1125,24.5250,33.9000,
0.276654,-0.1225,0.0244,-0.1225,0.1022,0.0376,0.0126,-9.1125,24.5250,33.9000,
0.279153,-0.1225,0.0244,-0.1225,0.1022,0.0376,0.0126,-9.1125,24.5250,33.9000,
0.292049,-0.1225,0.0244,-0.1225,0.1411,0.0612,0.0658,-9.1125,24.5250,33.9000,
0.319658,-0.1225,0.0244,-0.1225,0.1411,0.0612,0.0658,-9.1125,24.5250,33.9000,
0.321450,-0.1225,0.0244,-0.1225,0.1411,0.0612,0.0658,-9.1125,24.5250,33.9000,
0.336576,0.0103,-0.0101,0.0322,0.1411,0.0612,0.0658,-9.1125,24.5250,33.9000,
0.338042,0.0103,-0.0101,0.0322,0.1411,0.0612,0.0658,-9.1125,24.5250,33.9000,
0.344188,0.0103,-0.0101,0.0322,0.1411,0.0612,0.0658,-9.4688,24.6750,33.8063,
0.353714,0.0103,-0.0101,0.0322,0.1086,0.0712,0.0547,-9.4688,24.6750,33.8063,
0.367266,0.0103,-0.0101,0.0322,0.1086,0.0712,0.0547,-9.4688,24.6750,33.8063,
0.384492,0.0103,-0.0101,0.0322,0.1086,0.0712,0.0547,-9.4688,24.6750,33.8063,
0.396083,0.0103,-0.0101,0.0322,0.1086,0.0712,0.0547,-9.4688,24.6750,33.8063,
0.397553,0.0666,0.0208,-0.1495,0.1086,0.0712,0.0547,-9.4688,24.6750,33.8063,
0.406206,0.0666,0.0208,-0.1495,0.1086,0.0712,0.0547,-9.7313,24.7125,33.8063,
