
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.122295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.123111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.123614,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.124124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.124502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.139728,0.0000,0.0000,0.0000,0.3261,-0.2953,-0.1605,0.0000,0.0000,0.0000,
0.167819,0.0000,0.0000,0.0000,0.3261,-0.2953,-0.1605,0.0000,0.0000,0.0000,
0.170246,0.0000,0.0000,0.0000,0.3261,-0.2953,-0.1605,0.0000,0.0000,0.0000,
0.187805,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,0.0000,0.0000,0.0000,
0.190804,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,0.0000,0.0000,0.0000,
0.192390,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,0.0000,0.0000,0.0000,
0.195044,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,0.0000,0.0000,0.0000,
0.196707,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,17.8688,-13.3875,-38.9062,
0.229762,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,17.8688,-13.3875,-38.9062,
0.231359,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,17.8688,-13.3875,-38.9062,
0.248110,0.0000,0.0000,0.0000,0.3468,-0.1034,-0.1351,17.8688,-13.3875,-38.9062,
0.249875,-0.2680,0.1512,-0.2892,0.3468,-0.1034,-0.1351,17.8688,-13.3875,-38.9062,
0.270221,-0.2680,0.1512,-0.2892,0.2046,-0.2895,-0.1073,17.8688,-13.3875,-38.9062,
0.273403,-0.2680,0.1512,-0.2892,0.2046,-0.2895,-0.1073,17.8688,-13.3875,-38.9062,
0.274836,-0.2680,0.1512,-0.2892,0.2046,-0.2895,-0.1073,17.7000,-13.7625,-39.0375,
0.296622,-0.2680,0.1512,-0.2892,0.2046,-0.2895,-0.1073,17.7000,-13.7625,-39.0375,
0.309386,-0.2680,0.1512,-0.2892,0.2046,-0.2895,-0.1073,17.7000,-13.7625,-39.0375,
0.310555,-0.2157,0.1658,-0.2853,0.2046,-0.2895,-0.1073,17.7000,-13.7625,-39.0375,
0.327651,-0.2157,0.1658,-0.2853,0.0574,-0.1693,-0.0185,17.7000,-13.7625,-39.0375,
0.333700,-0.2157,0.1658,-0.2853,0.0574,-0.1693,-0.0185,17.8875,-14.0438,-39.3188,
0.335348,-0.2157,0.1658,-0.2853,0.0574,-0.1693,-0.0185,17.8875,-14.0438,-39.3188,
0.363585,-0.2157,0.1658,-0.2853,0.0574,-0.1693,-0.0185,17.8875,-14.0438,-39.3188,
0.368179,-0.3033,0.3628,-0.0792,0.0574,-0.1693,-0.0185,17.8875,-14.0438,-39.3188,
0.369888,-0.3033,0.3628,-0.0792,0.0574,-0.1693,-0.0185,17.8875,-14.0438,-39.3188,
0.388465,-0.3033,0.3628,-0.0792,-0.0320,-0.2191,-0.0061,17.8875,-14.0438,-39.3188,
0.399230,-0.3033,0.3628,-0.0792,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.402162,-0.3033,0.3628,-0.0792,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.430661,-0.3033,0.3628,-0.0792,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.433526,-0.3033,0.3628,-0.0792,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.435422,-0.1883,0.1892,0.2596,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.468538,-0.1883,0.1892,0.2596,-0.0320,-0.2191,-0.0061,17.5500,-14.1375,-39.5250,
0.470386,-0.1883,0.1892,0.2596,0.0284,-0.1145,0.0126,17.5500,-14.1375,-39.5250,
0.472992,-0.1883,0.1892,0.2596,0.0284,-0.1145,0.0126,17.1938,-13.8375,-39.6188,
0.475131,-0.1883,0.1892,0.2596,0.0284,-0.1145,0.0126,17.1938,-13.8375,-39.6188,
0.491717,-0.1883,0.1892,0.2596,0.0284,-0.1145,0.0126,17.1938,-13.8375,-39.6188,
0.494311,-0.1268,-0.0694,0.4903,0.0284,-0.1145,0.0126,17.1938,-13.8375,-39.6188,
0.530065,-0.1268,-0.0694,0.4903,0.1086,-0.1764,0.0314,17.1938,-13.8375,-39.6188,
0.533166,-0.1268,-0.0694,0.4903,0.1086,-0.1764,0.0314,17.1938,-13.8375,-39.6188,
0.534822,-0.1268,-0.0694,0.4903,0.1086,-0.1764,0.0314,17.0813,-13.8750,-39.8063,
0.536800,-0.1268,-0.0694,0.4903,0.1086,-0.1764,0.0314,17.0813,-13.8750,-39.8063,
0.548370,-0.2704,0.1155,0.3795,0.1086,-0.1764,0.0314,17.0813,-13.8750,-39.8063,
0.551304,-0.2704,0.1155,0.3795,0.1086,-0.1764,0.0314,17.0813,-13.8750,-39.8063,
0.588591,-0.2704,0.1155,0.3795,0.1158,-0.2259,0.2097,17.0813,-13.8750,-39.8063,
0.592098,-0.2704,0.1155,0.3795,0.1158,-0.2259,0.2097,17.0813,-13.8750,-39.8063,
0.594797,-0.2704,0.1155,0.3795,0.1158,-0.2259,0.2097,17.0813,-13.8750,-39.8063,
0.597840,-0.2704,0.1155,0.3795,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.611339,-0.2704,0.1155,0.3795,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.614873,-0.6684,0.3235,0.2800,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.632226,-0.6684,0.3235,0.2800,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.668797,-0.6684,0.3235,0.2800,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.670939,-0.6684,0.3235,0.2800,0.1158,-0.2259,0.2097,16.9500,-13.8938,-39.9000,
0.673423,-0.6684,0.3235,0.2800,0.3231,-0.6989,0.3373,16.9500,-13.8938,-39.9000,
0.675986,-0.8114,0.4435,0.5143,0.3231,-0.6989,0.3373,16.9500,-13.8938,-39.9000,
0.677615,-0.8114,0.4435,0.5143,0.3231,-0.6989,0.3373,16.4813,-14.0250,-40.0312,
0.696598,-0.8114,0.4435,0.5143,0.3231,-0.6989,0.3373,16.4813,-14.0250,-40.0312,
0.730940,-0.8114,0.4435,0.5143,0.3231,-0.6989,0.3373,16.4813,-14.0250,-40.0312,
0.734506,-0.8114,0.4435,0.5143,0.3231,-0.6989,0.3373,16.4813,-14.0250,-40.0312,
0.736739,-0.8114,0.4435,0.5143,0.1613,-0.7706,0.1151,16.4813,-14.0250,-40.0312,
0.739430,-0.2247,0.2410,0.4388,0.1613,-0.7706,0.1151,16.4813,-14.0250,-40.0312,
0.742213,-0.2247,0.2410,0.4388,0.1613,-0.7706,0.1151,15.6188,-14.3438,-40.3688,
0.763636,-0.2247,0.2410,0.4388,0.1613,-0.7706,0.1151,15.6188,-14.3438,-40.3688,
0.790558,-0.2247,0.2410,0.4388,0.1613,-0.7706,0.1151,15.6188,-14.3438,-40.3688,
0.793762,-0.2247,0.2410,0.4388,0.1613,-0.7706,0.1151,15.6188,-14.3438,-40.3688,
0.796138,-0.2247,0.2410,0.4388,-0.1235,-0.1861,-0.1240,15.6188,-14.3438,-40.3688,
