
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.136004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.136857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.137658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.138337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.138800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.139296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.156845,0.0000,0.0000,0.0000,-0.0534,-0.0384,0.0362,0.0000,0.0000,0.0000,
0.182797,0.0000,0.0000,0.0000,-0.0534,-0.0384,0.0362,0.0000,0.0000,0.0000,
0.184610,0.0000,0.0000,0.0000,-0.0534,-0.0384,0.0362,0.0000,0.0000,0.0000,
0.215044,0.0000,0.0000,0.0000,-0.0534,-0.0384,0.0362,0.0000,0.0000,0.0000,
0.217398,0.0000,0.0000,0.0000,-0.0534,-0.0384,0.0362,0.0000,0.0000,0.0000,
0.219044,0.0000,0.0000,0.0000,0.0499,-0.0099,0.0117,0.0000,0.0000,0.0000,
0.220920,0.0000,0.0000,0.0000,0.0499,-0.0099,0.0117,0.0000,0.0000,0.0000,
0.237554,0.0000,0.0000,0.0000,0.0499,-0.0099,0.0117,0.0000,0.0000,0.0000,
0.240086,0.0000,0.0000,0.0000,0.0499,-0.0099,0.0117,-17.3063,27.5063,29.0063,
0.277282,-0.0451,0.0139,-0.2244,0.0499,-0.0099,0.0117,-17.3063,27.5063,29.0063,
0.281231,-0.0451,0.0139,-0.2244,0.0499,-0.0099,0.0117,-17.3063,27.5063,29.0063,
0.283374,-0.0451,0.0139,-0.2244,0.0499,-0.0099,0.0117,-17.3063,27.5063,29.0063,
0.296347,-0.0451,0.0139,-0.2244,0.0615,-0.0387,-0.0122,-17.3063,27.5063,29.0063,
0.298693,-0.0451,0.0139,-0.2244,0.0615,-0.0387,-0.0122,-17.3063,27.5063,29.0063,
0.300481,-0.0451,0.0139,-0.2244,0.0615,-0.0387,-0.0122,-17.3250,27.2063,28.8938,
0.316514,-0.0451,0.0139,-0.2244,0.0615,-0.0387,-0.0122,-17.3250,27.2063,28.8938,
0.333285,-0.0451,0.0139,-0.2244,0.0615,-0.0387,-0.0122,-17.3250,27.2063,28.8938,
0.335466,-0.1772,0.0065,-0.1416,0.0615,-0.0387,-0.0122,-17.3250,27.2063,28.8938,
0.354680,-0.1772,0.0065,-0.1416,0.0598,-0.0137,0.0253,-17.3250,27.2063,28.8938,
0.358026,-0.1772,0.0065,-0.1416,0.0598,-0.0137,0.0253,-17.3250,27.2063,28.8938,
0.359871,-0.1772,0.0065,-0.1416,0.0598,-0.0137,0.0253,-17.1750,26.8125,28.9125,
0.384713,-0.1772,0.0065,-0.1416,0.0598,-0.0137,0.0253,-17.1750,26.8125,28.9125,
0.396347,-0.1772,0.0065,-0.1416,0.0598,-0.0137,0.0253,-17.1750,26.8125,28.9125,
0.398485,-0.1121,-0.0334,-0.2669,0.0598,-0.0137,0.0253,-17.1750,26.8125,28.9125,
0.414336,-0.1121,-0.0334,-0.2669,0.0421,0.0312,0.0500,-17.1750,26.8125,28.9125,
0.435563,-0.1121,-0.0334,-0.2669,0.0421,0.0312,0.0500,-17.1750,26.8125,28.9125,
0.437867,-0.1121,-0.0334,-0.2669,0.0421,0.0312,0.0500,-17.1750,26.8125,28.9125,
0.439407,-0.1121,-0.0334,-0.2669,0.0421,0.0312,0.0500,-17.1188,27.0938,28.9688,
0.453378,-0.1584,0.0133,0.0268,0.0421,0.0312,0.0500,-17.1188,27.0938,28.9688,
0.456603,-0.1584,0.0133,0.0268,0.0421,0.0312,0.0500,-17.1188,27.0938,28.9688,
0.494094,-0.1584,0.0133,0.0268,0.1830,-0.0507,0.1589,-17.1188,27.0938,28.9688,
0.496758,-0.1584,0.0133,0.0268,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.498990,-0.1584,0.0133,0.0268,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.500902,-0.1584,0.0133,0.0268,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.514173,-0.1584,0.0133,0.0268,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.516395,-0.0960,0.0658,0.1203,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.556623,-0.0960,0.0658,0.1203,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.559347,-0.0960,0.0658,0.1203,0.1830,-0.0507,0.1589,-16.9313,27.2063,28.6313,
0.561661,-0.0960,0.0658,0.1203,0.1830,-0.0507,0.1589,-16.7250,27.3938,28.5563,
0.564676,-0.0960,0.0658,0.1203,0.1370,0.0312,0.1897,-16.7250,27.3938,28.5563,
0.583419,-0.0960,0.0658,0.1203,0.1370,0.0312,0.1897,-16.7250,27.3938,28.5563,
0.586739,0.1517,0.0339,-0.1004,0.1370,0.0312,0.1897,-16.7250,27.3938,28.5563,
0.614337,0.1517,0.0339,-0.1004,0.1370,0.0312,0.1897,-16.7250,27.3938,28.5563,
0.617467,0.1517,0.0339,-0.1004,0.3371,-0.1235,0.1928,-16.7250,27.3938,28.5563,
0.636254,0.1517,0.0339,-0.1004,0.3371,-0.1235,0.1928,-16.7250,27.3938,28.5563,
0.639697,0.1517,0.0339,-0.1004,0.3371,-0.1235,0.1928,-16.7250,27.3938,28.5563,
0.642065,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.7250,27.3938,28.5563,
0.644624,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.5375,27.6375,28.3688,
0.697144,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.5375,27.6375,28.3688,
0.700637,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.2750,27.9188,28.0875,
0.705419,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.2750,27.9188,28.0875,
0.708109,0.2102,0.0016,0.2549,0.3371,-0.1235,0.1928,-16.2750,27.9188,28.0875,
0.711034,0.0531,0.0692,-0.3102,0.3371,-0.1235,0.1928,-16.2750,27.9188,28.0875,
0.715214,0.0531,0.0692,-0.3102,0.3597,0.0131,0.3358,-16.2750,27.9188,28.0875,
0.718748,0.0531,0.0692,-0.3102,0.3597,0.0131,0.3358,-16.2750,27.9188,28.0875,
0.758545,0.0531,0.0692,-0.3102,0.3597,0.0131,0.3358,-16.2750,27.9188,28.0875,
0.762584,0.0531,0.0692,-0.3102,0.3597,0.0131,0.3358,-16.2750,27.9188,28.0875,
0.765431,0.0531,0.0692,-0.3102,0.3597,0.0131,0.3358,-15.7125,28.3500,27.7125,
0.768831,0.0531,0.0692,-0.3102,0.1852,0.2077,0.5060,-15.7125,28.3500,27.7125,
0.772847,0.1850,0.1627,-0.5371,0.1852,0.2077,0.5060,-15.7125,28.3500,27.7125,
0.783448,0.1850,0.1627,-0.5371,0.1852,0.2077,0.5060,-15.7125,28.3500,27.7125,
0.814550,0.1850,0.1627,-0.5371,0.1852,0.2077,0.5060,-15.7125,28.3500,27.7125,
0.817252,0.1850,0.1627,-0.5371,0.1852,0.2077,0.5060,-15.7125,28.3500,27.7125,
0.819146,0.1850,0.1627,-0.5371,-0.5038,0.3083,0.6382,-15.7125,28.3500,27.7125,
0.822750,-0.0497,0.4539,-1.2628,-0.5038,0.3083,0.6382,-15.7125,28.3500,27.7125,
0.835948,-0.0497,0.4539,-1.2628,-0.5038,0.3083,0.6382,-15.2063,28.8188,27.4500,
0.838956,-0.0497,0.4539,-1.2628,-0.5038,0.3083,0.6382,-15.2063,28.8188,27.4500,
0.877316,-0.0497,0.4539,-1.2628,-0.5038,0.3083,0.6382,-15.2063,28.8188,27.4500,
0.879742,-0.0497,0.4539,-1.2628,-0.5038,0.3083,0.6382,-15.2063,28.8188,27.4500,
0.882076,0.5956,0.4551,-0.4490,-0.5038,0.3083,0.6382,-15.2063,28.8188,27.4500,
0.896578,0.5956,0.4551,-0.4490,-0.5484,0.1144,0.4955,-15.2063,28.8188,27.4500,
0.899959,0.5956,0.4551,-0.4490,-0.5484,0.1144,0.4955,-14.6063,29.4750,27.2813,
0.902358,0.5956,0.4551,-0.4490,-0.5484,0.1144,0.4955,-14.6063,29.4750,27.2813,
0.918676,0.5956,0.4551,-0.4490,-0.5484,0.1144,0.4955,-14.6063,29.4750,27.2813,
0.934442,0.2386,0.5254,0.2774,-0.5484,0.1144,0.4955,-14.6063,29.4750,27.2813,
0.938428,0.2386,0.5254,0.2774,-0.5484,0.1144,0.4955,-14.6063,29.4750,27.2813,
0.954787,0.2386,0.5254,0.2774,-0.3501,-0.0221,0.6125,-14.6063,29.4750,27.2813,
0.958995,0.2386,0.5254,0.2774,-0.3501,-0.0221,0.6125,-13.8000,29.7563,27.1500,
0.962650,0.2386,0.5254,0.2774,-0.3501,-0.0221,0.6125,-13.8000,29.7563,27.1500,
0.983820,0.2386,0.5254,0.2774,-0.3501,-0.0221,0.6125,-13.8000,29.7563,27.1500,
0.999700,0.5280,0.6760,0.3022,-0.3501,-0.0221,0.6125,-13.8000,29.7563,27.1500,
