
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.131695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.132272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.132817,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.133376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.133786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.165475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.166999,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,0.0000,0.0000,0.0000,
0.180129,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,0.0000,0.0000,0.0000,
0.188932,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,19.9500,-28.2938,-28.8563,
0.191335,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,19.9500,-28.2938,-28.8563,
0.205037,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,19.9500,-28.2938,-28.8563,
0.205874,0.0000,0.0000,0.0000,0.6763,0.1683,-0.1357,19.9500,-28.2938,-28.8563,
0.224757,0.0000,0.0000,0.0000,1.1164,-0.1171,0.2650,19.9500,-28.2938,-28.8563,
0.243142,0.0000,0.0000,0.0000,1.1164,-0.1171,0.2650,19.9500,-28.2938,-28.8563,
0.251030,0.0000,0.0000,0.0000,1.1164,-0.1171,0.2650,19.9500,-28.2938,-28.8563,
0.252344,0.0000,0.0000,0.0000,1.1164,-0.1171,0.2650,19.6313,-30.1688,-27.6938,
0.269134,0.0000,0.0000,0.0000,1.1164,-0.1171,0.2650,19.6313,-30.1688,-27.6938,
0.271623,-0.1297,-0.3709,1.2388,1.1164,-0.1171,0.2650,19.6313,-30.1688,-27.6938,
0.285861,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,
0.310875,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,
0.313907,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,
0.329337,-0.1297,-0.3709,1.2388,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,
0.332516,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.6313,-30.1688,-27.6938,
0.335963,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.1625,-31.5563,-26.7188,
0.375955,-0.0002,-0.1244,-0.9524,1.4079,0.2583,0.6068,19.1625,-31.5563,-26.7188,
0.379154,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,
0.381875,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,
0.393154,-0.0002,-0.1244,-0.9524,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,
0.395166,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,19.1625,-31.5563,-26.7188,
0.397602,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,18.4125,-33.4875,-24.8250,
0.426483,-0.4587,-1.2342,1.7955,2.6312,-0.9901,0.7039,18.4125,-33.4875,-24.8250,
0.429405,-0.4587,-1.2342,1.7955,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.8250,
0.446531,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.8250,
0.450163,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.8250,
0.451859,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.4125,-33.4875,-24.8250,
0.453385,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.1125,-35.0813,-22.6875,
0.492207,1.8041,0.2434,-3.8349,1.8177,0.7055,-0.3197,18.1125,-35.0813,-22.6875,
0.494471,1.8041,0.2434,-3.8349,1.1279,1.0925,0.1389,18.1125,-35.0813,-22.6875,
0.508325,1.8041,0.2434,-3.8349,1.1279,1.0925,0.1389,18.1125,-35.0813,-22.6875,
0.511558,-1.7706,1.1861,-1.7854,1.1279,1.0925,0.1389,18.1125,-35.0813,-22.6875,
0.514605,-1.7706,1.1861,-1.7854,1.1279,1.0925,0.1389,18.1125,-35.0813,-22.6875,
0.530918,-1.7706,1.1861,-1.7854,1.1279,1.0925,0.1389,17.9625,-36.1313,-20.5125,
0.533936,-1.7706,1.1861,-1.7854,1.1279,1.0925,0.1389,17.9625,-36.1313,-20.5125,
0.574421,-1.7706,1.1861,-1.7854,0.9704,1.0410,-0.1527,17.9625,-36.1313,-20.5125,
0.578419,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9625,-36.1313,-20.5125,
0.581539,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9625,-36.1313,-20.5125,
0.583714,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9625,-36.1313,-20.5125,
0.592937,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9250,-37.0688,-18.4125,
0.596746,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9250,-37.0688,-18.4125,
0.613886,1.1999,0.2938,-1.7327,0.9704,1.0410,-0.1527,17.9250,-37.0688,-18.4125,
0.629096,1.1999,0.2938,-1.7327,0.2819,2.5197,0.1452,17.9250,-37.0688,-18.4125,
0.632430,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,17.9250,-37.0688,-18.4125,
0.634528,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,17.9250,-37.0688,-18.4125,
0.659087,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,17.9250,-37.0688,-18.4125,
0.661582,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,18.0000,-37.7063,-16.3688,
0.694215,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,18.0000,-37.7063,-16.3688,
0.696869,0.5354,0.1404,-1.5902,0.2819,2.5197,0.1452,18.0000,-37.7063,-16.3688,
0.699146,0.5354,0.1404,-1.5902,-0.5704,2.1720,-0.0160,18.0000,-37.7063,-16.3688,
0.702015,2.6302,-0.2535,-0.9282,-0.5704,2.1720,-0.0160,18.0000,-37.7063,-16.3688,
0.712413,2.6302,-0.2535,-0.9282,-0.5704,2.1720,-0.0160,18.0000,-37.7063,-16.3688,
0.730809,2.6302,-0.2535,-0.9282,-0.5704,2.1720,-0.0160,18.0000,-37.7063,-16.3688,
0.733137,2.6302,-0.2535,-0.9282,-0.5704,2.1720,-0.0160,17.8313,-39.5813,-12.8625,
0.746251,2.6302,-0.2535,-0.9282,-0.5704,2.1720,-0.0160,17.8313,-39.5813,-12.8625,
0.748526,-3.1900,2.8812,0.5768,-0.5704,2.1720,-0.0160,17.8313,-39.5813,-12.8625,
0.776077,-3.1900,2.8812,0.5768,-0.4407,-2.5611,0.2488,17.8313,-39.5813,-12.8625,
0.780232,-3.1900,2.8812,0.5768,-0.4407,-2.5611,0.2488,17.8313,-39.5813,-12.8625,
0.789743,-3.1900,2.8812,0.5768,-0.4407,-2.5611,0.2488,17.8313,-39.5813,-12.8625,
0.791727,-3.1900,2.8812,0.5768,-0.4407,-2.5611,0.2488,17.5500,-40.9313,-10.2563,
0.808666,-3.1900,2.8812,0.5768,-0.4407,-2.5611,0.2488,17.5500,-40.9313,-10.2563,
