
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.079829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080138,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.080416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.131121,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.132763,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.133291,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,0.0000,0.0000,0.0000,
0.135242,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,0.0000,0.0000,0.0000,
0.150936,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,9.7313,-7.4063,-43.1438,
0.171983,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,9.7313,-7.4063,-43.1438,
0.172658,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,9.7313,-7.4063,-43.1438,
0.173047,0.0000,0.0000,0.0000,0.5336,0.5392,0.5849,9.7313,-7.4063,-43.1438,
0.190267,0.0000,0.0000,0.0000,1.5663,0.4373,0.5058,9.7313,-7.4063,-43.1438,
0.204080,0.0000,0.0000,0.0000,1.5663,0.4373,0.5058,9.7313,-7.4063,-43.1438,
0.228643,0.0000,0.0000,0.0000,1.5663,0.4373,0.5058,9.7313,-7.4063,-43.1438,
0.229377,0.0000,0.0000,0.0000,1.5663,0.4373,0.5058,10.1438,-10.0688,-42.5438,
0.230257,-0.1803,-0.5676,1.4135,1.5663,0.4373,0.5058,10.1438,-10.0688,-42.5438,
0.231000,-0.1803,-0.5676,1.4135,1.5663,0.4373,0.5058,10.1438,-10.0688,-42.5438,
0.249379,-0.1803,-0.5676,1.4135,1.5696,0.3031,0.2914,10.1438,-10.0688,-42.5438,
0.272487,-0.1803,-0.5676,1.4135,1.5696,0.3031,0.2914,10.1438,-10.0688,-42.5438,
0.273255,-0.1803,-0.5676,1.4135,1.5696,0.3031,0.2914,10.1438,-10.0688,-42.5438,
0.292339,-0.1803,-0.5676,1.4135,1.5696,0.3031,0.2914,10.7250,-12.4688,-41.6813,
0.293320,-0.1803,-0.5676,1.4135,1.5696,0.3031,0.2914,10.7250,-12.4688,-41.6813,
0.293755,-0.0540,-0.3363,-1.1694,1.5696,0.3031,0.2914,10.7250,-12.4688,-41.6813,
0.331136,-0.0540,-0.3363,-1.1694,1.5696,0.3031,0.2914,10.7250,-12.4688,-41.6813,
0.331891,-0.0540,-0.3363,-1.1694,1.5535,-0.3125,0.6458,10.7250,-12.4688,-41.6813,
0.335314,-0.0540,-0.3363,-1.1694,1.5535,-0.3125,0.6458,10.7250,-12.4688,-41.6813,
0.347582,-0.0540,-0.3363,-1.1694,1.5535,-0.3125,0.6458,10.5750,-14.6063,-41.1562,
0.351209,-0.0540,-0.3363,-1.1694,1.5535,-0.3125,0.6458,10.5750,-14.6063,-41.1562,
0.351871,-0.0887,0.5463,1.3713,1.5535,-0.3125,0.6458,10.5750,-14.6063,-41.1562,
0.391261,-0.0887,0.5463,1.3713,1.5535,-0.3125,0.6458,10.5750,-14.6063,-41.1562,
0.391897,-0.0887,0.5463,1.3713,1.1224,-1.3203,0.6614,10.5750,-14.6063,-41.1562,
0.402632,-0.0887,0.5463,1.3713,1.1224,-1.3203,0.6614,10.5750,-14.6063,-41.1562,
0.410455,-0.0886,-0.1453,-1.3764,1.1224,-1.3203,0.6614,10.5750,-14.6063,-41.1562,
0.411429,-0.0886,-0.1453,-1.3764,1.1224,-1.3203,0.6614,10.5750,-14.6063,-41.1562,
0.428617,-0.0886,-0.1453,-1.3764,1.1224,-1.3203,0.6614,9.5063,-16.5375,-40.5750,
0.451442,-0.0886,-0.1453,-1.3764,1.1224,-1.3203,0.6614,9.5063,-16.5375,-40.5750,
0.452146,-0.0886,-0.1453,-1.3764,-0.2091,-0.0100,0.4910,9.5063,-16.5375,-40.5750,
0.475388,-1.6931,1.3652,-1.5895,-0.2091,-0.0100,0.4910,9.5063,-16.5375,-40.5750,
0.476771,-1.6931,1.3652,-1.5895,-0.2091,-0.0100,0.4910,9.5063,-16.5375,-40.5750,
0.477205,-1.6931,1.3652,-1.5895,-0.2091,-0.0100,0.4910,9.5063,-16.5375,-40.5750,
0.488378,-1.6931,1.3652,-1.5895,-0.2091,-0.0100,0.4910,8.6625,-17.7563,-40.0875,
0.529961,-1.6931,1.3652,-1.5895,-0.8100,-1.3168,0.5570,8.6625,-17.7563,-40.0875,
0.531017,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,8.6625,-17.7563,-40.0875,
0.531913,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,8.6625,-17.7563,-40.0875,
0.532373,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,8.6625,-17.7563,-40.0875,
0.532752,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,8.6625,-17.7563,-40.0875,
0.547555,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,7.5000,-18.3938,-40.0875,
0.591654,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,7.5000,-18.3938,-40.0875,
0.592358,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,7.5000,-18.3938,-40.0875,
0.592748,-0.7230,0.9336,-0.5124,-0.8100,-1.3168,0.5570,7.5000,-18.3938,-40.0875,
0.593229,-0.7230,0.9336,-0.5124,-1.1275,-0.8246,0.4024,7.5000,-18.3938,-40.0875,
0.593910,0.5090,0.5227,0.4081,-1.1275,-0.8246,0.4024,7.5000,-18.3938,-40.0875,
0.630933,0.5090,0.5227,0.4081,-1.1275,-0.8246,0.4024,6.3375,-18.3563,-40.2938,
0.632061,0.5090,0.5227,0.4081,-1.1275,-0.8246,0.4024,6.3375,-18.3563,-40.2938,
0.653241,0.5090,0.5227,0.4081,-0.7097,0.0075,0.6413,6.3375,-18.3563,-40.2938,
0.654156,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,6.3375,-18.3563,-40.2938,
0.654704,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,6.3375,-18.3563,-40.2938,
0.655070,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,6.3375,-18.3563,-40.2938,
0.688714,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,6.3375,-18.3563,-40.2938,
0.689354,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,4.7438,-19.5375,-40.0500,
0.711738,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,4.7438,-19.5375,-40.0500,
0.712521,-0.1070,-0.0704,0.9761,-0.7097,0.0075,0.6413,4.7438,-19.5375,-40.0500,
0.713137,0.1523,0.1419,2.3335,-0.7097,0.0075,0.6413,4.7438,-19.5375,-40.0500,
0.730602,0.1523,0.1419,2.3335,-0.3942,-0.6782,0.6360,4.7438,-19.5375,-40.0500,
0.736894,0.1523,0.1419,2.3335,-0.3942,-0.6782,0.6360,4.7438,-19.5375,-40.0500,
0.747966,0.1523,0.1419,2.3335,-0.3942,-0.6782,0.6360,2.7750,-19.8375,-40.1063,
0.772233,0.1523,0.1419,2.3335,-0.3942,-0.6782,0.6360,2.7750,-19.8375,-40.1063,
0.772901,0.1523,0.1419,2.3335,-0.3942,-0.6782,0.6360,2.7750,-19.8375,-40.1063,
0.773261,-0.0036,0.4099,0.9210,-0.3942,-0.6782,0.6360,2.7750,-19.8375,-40.1063,
0.792324,-0.0036,0.4099,0.9210,-0.4104,-1.0332,0.4104,2.7750,-19.8375,-40.1063,
0.803404,-0.0036,0.4099,0.9210,-0.4104,-1.0332,0.4104,2.7750,-19.8375,-40.1063,
0.828468,-0.0036,0.4099,0.9210,-0.4104,-1.0332,0.4104,2.7750,-19.8375,-40.1063,
0.829217,-0.0036,0.4099,0.9210,-0.4104,-1.0332,0.4104,0.2063,-19.3688,-40.4062,
0.831969,0.5504,0.0305,1.4625,-0.4104,-1.0332,0.4104,0.2063,-19.3688,-40.4062,
0.833078,0.5504,0.0305,1.4625,-0.4104,-1.0332,0.4104,0.2063,-19.3688,-40.4062,
0.849694,0.5504,0.0305,1.4625,-0.1529,-1.1768,0.0970,0.2063,-19.3688,-40.4062,
0.868422,0.5504,0.0305,1.4625,-0.1529,-1.1768,0.0970,0.2063,-19.3688,-40.4062,
0.889153,0.5504,0.0305,1.4625,-0.1529,-1.1768,0.0970,-2.6438,-18.3375,-40.6875,
0.890032,0.5504,0.0305,1.4625,-0.1529,-1.1768,0.0970,-2.6438,-18.3375,-40.6875,
0.890456,0.4060,-0.1387,1.2257,-0.1529,-1.1768,0.0970,-2.6438,-18.3375,-40.6875,
0.891115,0.4060,-0.1387,1.2257,-0.1529,-1.1768,0.0970,-2.6438,-18.3375,-40.6875,
0.930623,0.4060,-0.1387,1.2257,-0.3487,-0.6944,-0.1051,-2.6438,-18.3375,-40.6875,
0.931569,0.4060,-0.1387,1.2257,-0.3487,-0.6944,-0.1051,-2.6438,-18.3375,-40.6875,
0.935104,0.4060,-0.1387,1.2257,-0.3487,-0.6944,-0.1051,-2.6438,-18.3375,-40.6875,
0.947970,0.4060,-0.1387,1.2257,-0.3487,-0.6944,-0.1051,-5.0063,-16.8188,-41.0063,
0.953233,0.3644,-0.0894,0.5490,-0.3487,-0.6944,-0.1051,-5.0063,-16.8188,-41.0063,
0.954130,0.3644,-0.0894,0.5490,-0.3487,-0.6944,-0.1051,-5.0063,-16.8188,-41.0063,
0.993499,0.3644,-0.0894,0.5490,-0.3707,-0.6376,-0.2233,-5.0063,-16.8188,-41.0063,
0.995185,0.3644,-0.0894,0.5490,-0.3707,-0.6376,-0.2233,-5.0063,-16.8188,-41.0063,
1.005099,0.3644,-0.0894,0.5490,-0.3707,-0.6376,-0.2233,-5.0063,-16.8188,-41.0063,
1.011141,-0.0321,-0.0763,0.8427,-0.3707,-0.6376,-0.2233,-5.0063,-16.8188,-41.0063,
1.012808,-0.0321,-0.0763,0.8427,-0.3707,-0.6376,-0.2233,-5.0063,-16.8188,-41.0063,
1.028974,-0.0321,-0.0763,0.8427,-0.3707,-0.6376,-0.2233,-7.6125,-15.2813,-41.4375,
1.036092,-0.0321,-0.0763,0.8427,-0.3707,-0.6376,-0.2233,-7.6125,-15.2813,-41.4375,
1.052163,-0.0321,-0.0763,0.8427,-0.3909,-0.4100,-0.1601,-7.6125,-15.2813,-41.4375,
1.072571,-0.0321,-0.0763,0.8427,-0.3909,-0.4100,-0.1601,-7.6125,-15.2813,-41.4375,
1.075325,-0.0321,-0.0763,0.8427,-0.3909,-0.4100,-0.1601,-7.6125,-15.2813,-41.4375,
1.078154,-0.2663,0.0971,0.4018,-0.3909,-0.4100,-0.1601,-7.6125,-15.2813,-41.4375,
1.089914,-0.2663,0.0971,0.4018,-0.3909,-0.4100,-0.1601,-9.6938,-13.8563,-41.6438,
1.133181,-0.2663,0.0971,0.4018,-0.3909,-0.4100,-0.1601,-9.6938,-13.8563,-41.6438,
1.136455,-0.2663,0.0971,0.4018,-0.3909,-0.4100,-0.1601,-9.6938,-13.8563,-41.6438,
1.138754,-0.2663,0.0971,0.4018,-0.3909,-0.4100,-0.1601,-9.6938,-13.8563,-41.6438,
1.140441,-0.2663,0.0971,0.4018,-0.4721,0.0108,-0.2324,-9.6938,-13.8563,-41.6438,
1.142680,0.2675,0.2551,0.2245,-0.4721,0.0108,-0.2324,-9.6938,-13.8563,-41.6438,
1.149818,0.2675,0.2551,0.2245,-0.4721,0.0108,-0.2324,-11.4000,-12.7125,-41.5500,
1.192630,0.2675,0.2551,0.2245,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.195475,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.198256,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.201225,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.203276,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.232292,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-11.4000,-12.7125,-41.5500,
1.234563,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-12.9938,-11.7563,-41.6250,
1.252122,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-12.9938,-11.7563,-41.6250,
1.254097,0.2738,0.2241,0.8178,-0.2887,-0.1505,-0.3395,-12.9938,-11.7563,-41.6250,
1.255545,0.2738,0.2241,0.8178,-0.1419,-0.0383,-0.1978,-12.9938,-11.7563,-41.6250,
1.257788,-0.1230,0.5338,0.3460,-0.1419,-0.0383,-0.1978,-12.9938,-11.7563,-41.6250,
1.288052,-0.1230,0.5338,0.3460,-0.1419,-0.0383,-0.1978,-14.4750,-11.0438,-41.4750,
1.289898,-0.1230,0.5338,0.3460,-0.1419,-0.0383,-0.1978,-14.4750,-11.0438,-41.4750,
1.314708,-0.1230,0.5338,0.3460,-0.1419,-0.0383,-0.1978,-14.4750,-11.0438,-41.4750,
1.316239,-0.1230,0.5338,0.3460,-0.1419,-0.0383,-0.1978,-14.4750,-11.0438,-41.4750,
1.317267,0.1013,0.8570,-0.1224,-0.1419,-0.0383,-0.1978,-14.4750,-11.0438,-41.4750,
1.333974,0.1013,0.8570,-0.1224,-0.2215,-0.0990,-0.3005,-14.4750,-11.0438,-41.4750,
1.337580,0.1013,0.8570,-0.1224,-0.2215,-0.0990,-0.3005,-14.4750,-11.0438,-41.4750,
1.349479,0.1013,0.8570,-0.1224,-0.2215,-0.0990,-0.3005,-15.4500,-10.4438,-41.3438,
1.372347,0.1013,0.8570,-0.1224,-0.2215,-0.0990,-0.3005,-15.4500,-10.4438,-41.3438,
1.375026,0.1013,0.8570,-0.1224,-0.2215,-0.0990,-0.3005,-15.4500,-10.4438,-41.3438,
1.377647,0.6955,0.9344,-0.4517,-0.2215,-0.0990,-0.3005,-15.4500,-10.4438,-41.3438,
1.392326,0.6955,0.9344,-0.4517,-0.3995,0.0288,-0.6448,-15.4500,-10.4438,-41.3438,
1.402867,0.6955,0.9344,-0.4517,-0.3995,0.0288,-0.6448,-15.4500,-10.4438,-41.3438,
1.432914,0.6955,0.9344,-0.4517,-0.3995,0.0288,-0.6448,-15.4500,-10.4438,-41.3438,
1.435549,0.6955,0.9344,-0.4517,-0.3995,0.0288,-0.6448,-15.9000,-9.8438,-41.3813,
1.438365,0.6955,0.9344,-0.4517,-0.3995,0.0288,-0.6448,-15.9000,-9.8438,-41.3813,
1.440205,0.4492,0.5297,-0.6723,-0.3995,0.0288,-0.6448,-15.9000,-9.8438,-41.3813,
1.453355,0.4492,0.5297,-0.6723,-0.5727,0.1145,-0.9919,-15.9000,-9.8438,-41.3813,
1.469129,0.4492,0.5297,-0.6723,-0.5727,0.1145,-0.9919,-15.9000,-9.8438,-41.3813,
1.489227,0.4492,0.5297,-0.6723,-0.5727,0.1145,-0.9919,-16.0312,-9.3750,-41.5500,
1.492236,0.4492,0.5297,-0.6723,-0.5727,0.1145,-0.9919,-16.0312,-9.3750,-41.5500,
1.493988,0.4492,0.5297,-0.6723,-0.5727,0.1145,-0.9919,-16.0312,-9.3750,-41.5500,
1.495358,-0.3031,0.4497,-1.1258,-0.5727,0.1145,-0.9919,-16.0312,-9.3750,-41.5500,
1.533530,-0.3031,0.4497,-1.1258,-0.5727,0.1145,-0.9919,-16.0312,-9.3750,-41.5500,
1.536193,-0.3031,0.4497,-1.1258,-0.6792,0.2206,-1.3788,-16.0312,-9.3750,-41.5500,
1.538687,-0.3031,0.4497,-1.1258,-0.6792,0.2206,-1.3788,-16.0312,-9.3750,-41.5500,
1.550599,-0.3031,0.4497,-1.1258,-0.6792,0.2206,-1.3788,-15.6938,-8.8500,-41.7563,
1.553245,-0.3031,0.4497,-1.1258,-0.6792,0.2206,-1.3788,-15.6938,-8.8500,-41.7563,
1.554641,-0.4738,-0.2820,-2.0556,-0.6792,0.2206,-1.3788,-15.6938,-8.8500,-41.7563,
1.595745,-0.4738,-0.2820,-2.0556,-0.6792,0.2206,-1.3788,-15.6938,-8.8500,-41.7563,
1.598600,-0.4738,-0.2820,-2.0556,-0.8483,-0.2595,-1.5646,-15.6938,-8.8500,-41.7563,
1.605057,-0.4738,-0.2820,-2.0556,-0.8483,-0.2595,-1.5646,-15.6938,-8.8500,-41.7563,
1.618321,-0.4738,-0.2820,-2.0556,-0.8483,-0.2595,-1.5646,-15.6938,-8.8500,-41.7563,
1.620338,-0.4986,-2.4094,-1.2047,-0.8483,-0.2595,-1.5646,-15.6938,-8.8500,-41.7563,
1.628341,-0.4986,-2.4094,-1.2047,-0.8483,-0.2595,-1.5646,-15.4313,-8.2688,-41.8875,
1.651664,-0.4986,-2.4094,-1.2047,-0.8483,-0.2595,-1.5646,-15.4313,-8.2688,-41.8875,
1.653812,-0.4986,-2.4094,-1.2047,-1.3398,-0.4746,-1.7318,-15.4313,-8.2688,-41.8875,
1.669446,-0.4986,-2.4094,-1.2047,-1.3398,-0.4746,-1.7318,-15.4313,-8.2688,-41.8875,
1.671435,-1.3366,-3.8144,-1.2213,-1.3398,-0.4746,-1.7318,-15.4313,-8.2688,-41.8875,
1.673343,-1.3366,-3.8144,-1.2213,-1.3398,-0.4746,-1.7318,-15.4313,-8.2688,-41.8875,
1.688182,-1.3366,-3.8144,-1.2213,-1.3398,-0.4746,-1.7318,-15.3563,-7.6500,-42.1125,
1.732450,-1.3366,-3.8144,-1.2213,-1.5481,-0.6821,-1.4840,-15.3563,-7.6500,-42.1125,
1.735771,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.3563,-7.6500,-42.1125,
1.738928,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.3563,-7.6500,-42.1125,
1.740695,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.3563,-7.6500,-42.1125,
1.743528,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.3563,-7.6500,-42.1125,
1.750589,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.4125,-6.6000,-42.3375,
1.798896,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.4125,-6.6000,-42.3375,
1.800870,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.4125,-6.6000,-42.3375,
1.802282,-2.6086,-4.2423,0.7583,-1.5481,-0.6821,-1.4840,-15.4125,-6.6000,-42.3375,
1.803546,-2.6086,-4.2423,0.7583,-1.4095,-0.5478,-1.2451,-15.4125,-6.6000,-42.3375,
1.805367,-1.2208,-5.6810,2.5217,-1.4095,-0.5478,-1.2451,-15.4125,-6.6000,-42.3375,
1.827839,-1.2208,-5.6810,2.5217,-1.4095,-0.5478,-1.2451,-15.4125,-6.6000,-42.3375,
1.829503,-1.2208,-5.6810,2.5217,-1.4095,-0.5478,-1.2451,-15.4875,-5.1938,-42.3938,
1.851969,-1.2208,-5.6810,2.5217,-1.4095,-0.5478,-1.2451,-15.4875,-5.1938,-42.3938,
1.853640,-1.2208,-5.6810,2.5217,-1.4095,-0.5478,-1.2451,-15.4875,-5.1938,-42.3938,
1.854628,-1.2208,-5.6810,2.5217,-1.5430,1.5784,-1.7307,-15.4875,-5.1938,-42.3938,
1.856705,3.3467,-8.0646,0.5901,-1.5430,1.5784,-1.7307,-15.4875,-5.1938,-42.3938,
1.874480,3.3467,-8.0646,0.5901,-1.5430,1.5784,-1.7307,-15.4875,-5.1938,-42.3938,
1.890623,3.3467,-8.0646,0.5901,-1.5430,1.5784,-1.7307,-15.0938,-3.3563,-42.5625,
1.914693,3.3467,-8.0646,0.5901,-1.5430,1.5784,-1.7307,-15.0938,-3.3563,-42.5625,
1.916151,3.3467,-8.0646,0.5901,-1.5430,1.5784,-1.7307,-15.0938,-3.3563,-42.5625,
1.917288,6.0241,-0.8937,-4.8944,-1.5430,1.5784,-1.7307,-15.0938,-3.3563,-42.5625,
1.933422,6.0241,-0.8937,-4.8944,-2.1747,1.5090,-2.7247,-15.0938,-3.3563,-42.5625,
1.937687,6.0241,-0.8937,-4.8944,-2.1747,1.5090,-2.7247,-15.0938,-3.3563,-42.5625,
1.950115,6.0241,-0.8937,-4.8944,-2.1747,1.5090,-2.7247,-14.4938,-1.2188,-42.6188,
1.973859,6.0241,-0.8937,-4.8944,-2.1747,1.5090,-2.7247,-14.4938,-1.2188,-42.6188,
1.976929,6.0241,-0.8937,-4.8944,-2.1747,1.5090,-2.7247,-14.4938,-1.2188,-42.6188,
1.979028,6.9613,-3.9935,3.0892,-2.1747,1.5090,-2.7247,-14.4938,-1.2188,-42.6188,
1.992911,6.9613,-3.9935,3.0892,-0.2739,0.8304,-3.0568,-14.4938,-1.2188,-42.6188,
2.002131,6.9613,-3.9935,3.0892,-0.2739,0.8304,-3.0568,-14.4938,-1.2188,-42.6188,
2.030984,6.9613,-3.9935,3.0892,-0.2739,0.8304,-3.0568,-14.4938,-1.2188,-42.6188,
2.033198,6.9613,-3.9935,3.0892,-0.2739,0.8304,-3.0568,-13.9875,0.9750,-42.6375,
2.034809,5.5993,-10.4301,-2.6030,-0.2739,0.8304,-3.0568,-13.9875,0.9750,-42.6375,
2.038550,5.5993,-10.4301,-2.6030,-0.2739,0.8304,-3.0568,-13.9875,0.9750,-42.6375,
2.052905,5.5993,-10.4301,-2.6030,1.0899,-0.6950,-0.7294,-13.9875,0.9750,-42.6375,
2.074008,5.5993,-10.4301,-2.6030,1.0899,-0.6950,-0.7294,-13.9875,0.9750,-42.6375,
2.087797,5.5993,-10.4301,-2.6030,1.0899,-0.6950,-0.7294,-13.9875,0.9750,-42.6375,
2.089822,5.5993,-10.4301,-2.6030,1.0899,-0.6950,-0.7294,-13.8000,2.8313,-42.4875,
2.093488,-6.8959,-2.8471,4.0979,1.0899,-0.6950,-0.7294,-13.8000,2.8313,-42.4875,
2.096701,-6.8959,-2.8471,4.0979,1.0899,-0.6950,-0.7294,-13.8000,2.8313,-42.4875,
2.131781,-6.8959,-2.8471,4.0979,1.0899,-0.6950,-0.7294,-13.8000,2.8313,-42.4875,
2.133515,-6.8959,-2.8471,4.0979,1.6866,-3.0400,0.7619,-13.8000,2.8313,-42.4875,
2.136750,-6.8959,-2.8471,4.0979,1.6866,-3.0400,0.7619,-13.8000,2.8313,-42.4875,
2.149467,-6.8959,-2.8471,4.0979,1.6866,-3.0400,0.7619,-14.2500,4.0500,-42.0750,
2.153046,0.6388,16.7058,1.1270,1.6866,-3.0400,0.7619,-14.2500,4.0500,-42.0750,
2.154259,0.6388,16.7058,1.1270,1.6866,-3.0400,0.7619,-14.2500,4.0500,-42.0750,
2.193919,0.6388,16.7058,1.1270,1.6866,-3.0400,0.7619,-14.2500,4.0500,-42.0750,
2.195271,0.6388,16.7058,1.1270,-0.2318,1.0552,-2.8782,-14.2500,4.0500,-42.0750,
2.203770,0.6388,16.7058,1.1270,-0.2318,1.0552,-2.8782,-14.2500,4.0500,-42.0750,
2.213029,5.9311,3.6799,3.1126,-0.2318,1.0552,-2.8782,-14.2500,4.0500,-42.0750,
2.214692,5.9311,3.6799,3.1126,-0.2318,1.0552,-2.8782,-14.2500,4.0500,-42.0750,
2.231118,5.9311,3.6799,3.1126,-0.2318,1.0552,-2.8782,-14.4188,4.6875,-41.8313,
2.253494,5.9311,3.6799,3.1126,-0.2318,1.0552,-2.8782,-14.4188,4.6875,-41.8313,
2.255756,5.9311,3.6799,3.1126,1.2987,-1.0704,-1.6267,-14.4188,4.6875,-41.8313,
2.269658,5.9311,3.6799,3.1126,1.2987,-1.0704,-1.6267,-14.4188,4.6875,-41.8313,
2.277111,5.9311,3.6799,3.1126,1.2987,-1.0704,-1.6267,-14.4188,4.6875,-41.8313,
2.279747,-4.8656,-3.1183,5.9898,1.2987,-1.0704,-1.6267,-14.4188,4.6875,-41.8313,
2.288805,-4.8656,-3.1183,5.9898,1.2987,-1.0704,-1.6267,-14.6438,4.2000,-41.2875,
2.332690,-4.8656,-3.1183,5.9898,1.2987,-1.0704,-1.6267,-14.6438,4.2000,-41.2875,
2.335640,-4.8656,-3.1183,5.9898,1.2987,-1.0704,-1.6267,-14.6438,4.2000,-41.2875,
2.338624,-4.8656,-3.1183,5.9898,1.2987,-1.0704,-1.6267,-14.6438,4.2000,-41.2875,
2.341078,-4.8656,-3.1183,5.9898,1.3686,-2.7834,-1.9174,-14.6438,4.2000,-41.2875,
2.345009,1.9165,1.6028,3.1509,1.3686,-2.7834,-1.9174,-14.6438,4.2000,-41.2875,
2.354464,1.9165,1.6028,3.1509,1.3686,-2.7834,-1.9174,-15.2813,2.6063,-40.3688,
2.395162,1.9165,1.6028,3.1509,1.3686,-2.7834,-1.9174,-15.2813,2.6063,-40.3688,
2.397869,1.9165,1.6028,3.1509,1.3686,-2.7834,-1.9174,-15.2813,2.6063,-40.3688,
2.399333,1.9165,1.6028,3.1509,1.3686,-2.7834,-1.9174,-15.2813,2.6063,-40.3688,
2.400988,1.9165,1.6028,3.1509,1.0397,0.5197,-3.1343,-15.2813,2.6063,-40.3688,
2.403333,4.6444,4.9138,2.2466,1.0397,0.5197,-3.1343,-15.2813,2.6063,-40.3688,
2.429020,4.6444,4.9138,2.2466,1.0397,0.5197,-3.1343,-15.2813,2.6063,-40.3688,
2.430257,4.6444,4.9138,2.2466,1.0397,0.5197,-3.1343,-15.8813,-0.4875,-39.4125,
2.454536,4.6444,4.9138,2.2466,1.0397,0.5197,-3.1343,-15.8813,-0.4875,-39.4125,
2.456069,4.6444,4.9138,2.2466,1.0397,0.5197,-3.1343,-15.8813,-0.4875,-39.4125,
2.457402,4.6444,4.9138,2.2466,0.9759,0.1379,-3.2586,-15.8813,-0.4875,-39.4125,
2.458956,-0.4349,1.1704,0.2590,0.9759,0.1379,-3.2586,-15.8813,-0.4875,-39.4125,
2.488540,-0.4349,1.1704,0.2590,0.9759,0.1379,-3.2586,-16.0125,-4.4625,-38.4750,
2.490413,-0.4349,1.1704,0.2590,0.9759,0.1379,-3.2586,-16.0125,-4.4625,-38.4750,
2.513927,-0.4349,1.1704,0.2590,0.9759,0.1379,-3.2586,-16.0125,-4.4625,-38.4750,
2.517178,-0.4349,1.1704,0.2590,0.9759,0.1379,-3.2586,-16.0125,-4.4625,-38.4750,
2.519378,-6.6199,-6.5034,-2.0092,0.9759,0.1379,-3.2586,-16.0125,-4.4625,-38.4750,
2.539701,-6.6199,-6.5034,-2.0092,-0.1462,1.0310,-1.9546,-16.0125,-4.4625,-38.4750,
2.543677,-6.6199,-6.5034,-2.0092,-0.1462,1.0310,-1.9546,-16.0125,-4.4625,-38.4750,
2.552037,-6.6199,-6.5034,-2.0092,-0.1462,1.0310,-1.9546,-15.7875,-8.6250,-37.4625,
2.575190,-6.6199,-6.5034,-2.0092,-0.1462,1.0310,-1.9546,-15.7875,-8.6250,-37.4625,
2.577768,-6.6199,-6.5034,-2.0092,-0.1462,1.0310,-1.9546,-15.7875,-8.6250,-37.4625,
2.579220,-8.0451,-7.0424,4.3323,-0.1462,1.0310,-1.9546,-15.7875,-8.6250,-37.4625,
